,R10LATIN_AM,R10INDIA+,R10AFRICA,R10CHINA+,R10MIDDLE_EAST,R10EUROPE,R10REST_ASIA,R10PAC_OECD,R10REF_ECON,R10NORTH_AM
2005,1486.7737399999999,1375.85136,1062.7877939999998,6122.738399999999,1435.4118999999998,4614.42,1628.023754,1713.7734,2361.4682,6706.9469
2006,1535.5827699999998,1495.2701000000002,1091.769622,6740.544099999999,1527.9086,4649.4902999999995,1638.9879320000002,1696.8842000000002,2470.9438000000005,6621.2707
2007,1573.2974800000002,1609.2463500000001,1122.3073920000002,7223.5251,1489.7962,4633.6662,1711.0145980000002,1738.9229,2476.7941,6723.8781
2008,1616.35964,1709.51857,1175.194712,7757.7407,1633.6336,4533.4342,1726.293444,1673.7783,2515.0294,6491.9272
2009,1575.4014399999999,1841.5221,1172.71263,8142.972999999999,1706.7785,4192.7366999999995,1750.7854299999997,1605.1543,2322.7393000000006,6024.8654
2010,1691.72475,1912.8996899999997,1214.91935,8886.555900000001,1818.8194,4313.7931,1896.22442,1655.0301000000002,2456.9801,6235.7773
2011,1734.1948799999998,2009.58214,1254.665868,9810.533099999999,1838.2859000000003,4200.6781,1988.3606700000003,1703.1531,2534.3816,6111.3701
2012,1806.3039099999996,2174.5421899999997,1255.41534,10060.8634,1970.2624,4157.2703,2052.79518,1748.4074999999998,2564.9381999999996,5909.867700000001
2013,1865.90549,2240.4105999999997,1265.0448299999998,10246.22208,1932.5616,4063.9339999999997,2074.32141,1749.7202,2498.4712999999997,6049.6962
2014,1876.6100899999997,2407.4071999999996,1344.44653,10314.6051,2026.546,3893.6238,2088.8081100000004,1692.5593,2474.222,6095.0341
2015,1843.5318399999999,2512.5284,1319.27815,10213.9708,2122.7076,3954.1228000000006,2158.1767600000003,1660.3592,2438.1992000000005,5947.1534
2016,1796.71361,2671.4901999999997,1354.92547,10135.101100000002,2163.0323000000003,3959.487,2164.4168799999998,1646.8612,2449.4815000000003,5810.6219
2017,1762.8368100000002,2771.5325000000003,1369.12337,10426.8133,2215.0849999999996,3993.1639,2224.62939,1636.1450000000002,2487.1101,5778.8142
2018,1701.80784,2929.6061999999997,1356.46335,10816.9537,2248.1909,3902.0778999999998,2316.4102799999996,1592.7237999999998,2554.6790000000005,5954.8637
2019,1707.85991,2969.0413,1456.95993,11277.3333,2270.501,3728.8660000000004,2326.32283,1557.23,2516.4206,5840.7328
2020,1552.0863900000002,2765.75386,1355.8092499999998,11472.0952,2109.0566999999996,3431.6322999999993,2231.52093,1470.7184,2408.0363,5237.4733
2021,1711.1008000000002,3047.245,1434.53387,11891.3409,2188.0615,3663.4275000000002,2295.1994600000003,1483.0541,2506.0553000000004,5569.3865000000005
2022,1753.0138499999998,3179.679,1415.9503099999997,11938.8412,2241.8969,3571.1306,2400.4649499999996,1478.289,2395.4307000000003,5605.2477
