Model,Scenario,Region,Variable,Unit,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
MESSAGEix-GLOBIOM_1.1,EN_NoPolicy,Countries of Latin America and the Caribbean,GDP|MER,billion US$2010/yr,5534.82291,7127.697643,8720.572376,10589.1636,12457.75481,14687.3585,16916.96218,19568.17171,22219.38124,,28440.00599,,35855.32832,,44799.33185,,54647.58355
MESSAGEix-GLOBIOM_1.1,EN_NoPolicy,Countries of Latin America and the Caribbean,Price|Secondary Energy|Electricity,US$2010/GJ,6.012708883,7.978922334,8.864146125,7.415571414,7.625708719,7.050913706,8.272160533,8.414327752,9.465143869,,9.247083785,,10.13376725,,10.30987784,,10.47356397
MESSAGEix-GLOBIOM_1.1,EN_NoPolicy,Countries of South Asia; primarily India,GDP|MER,billion US$2010/yr,2835.482078,4498.698301,6161.914524,9212.353549,12262.79257,17124.22034,21985.6481,28622.94925,35260.25039,,51679.17267,,70477.4097,,91617.40908,,115844.2368
MESSAGEix-GLOBIOM_1.1,EN_NoPolicy,Countries of South Asia; primarily India,Price|Secondary Energy|Electricity,US$2010/GJ,12.07085922,8.374025828,8.432650004,8.964702969,8.375288591,9.320345664,9.809580432,10.4116358,11.14844827,,10.61912852,,11.18948125,,10.76646274,,12.40832177
MESSAGEix-GLOBIOM_1.1,EN_NoPolicy,Countries of Sub-Saharan Africa,GDP|MER,billion US$2010/yr,1106.299879,1581.077119,2055.854257,2862.953117,3670.051576,5246.806531,6823.559678,10035.94041,13248.31273,,25195.3244,,44184.54819,,70915.44531,,107181.6853
MESSAGEix-GLOBIOM_1.1,EN_NoPolicy,Countries of Sub-Saharan Africa,Price|Secondary Energy|Electricity,US$2010/GJ,8.528707128,9.647460059,5.911925169,7.524967995,7.913752548,7.970204248,8.449954737,9.594131608,10.81052381,,9.727786158,,9.990836187,,11.05015899,,13.9997888
MESSAGEix-GLOBIOM_1.1,EN_NoPolicy,Countries of centrally-planned Asia; primarily China,GDP|MER,billion US$2010/yr,14375.80662,22172.74539,29969.68415,36356.4699,42743.25564,48069.1034,53394.95116,57346.86899,61298.78683,,68398.95714,,74625.12058,,80534.47038,,84594.11593
MESSAGEix-GLOBIOM_1.1,EN_NoPolicy,Countries of centrally-planned Asia; primarily China,Price|Secondary Energy|Electricity,US$2010/GJ,14.13640877,8.391862264,9.58992714,7.991096331,8.642552711,8.457295623,8.536250389,8.360916835,9.862070503,,8.634495514,,8.16393276,,8.321454428,,10.51059864
MESSAGEix-GLOBIOM_1.1,EN_NoPolicy,"Countries of the Middle East; Iran, Iraq, Israel, Saudi Arabia, Qatar, etc.",GDP|MER,billion US$2010/yr,4009.797252,5329.281753,6648.766254,8408.577405,10168.38856,12263.56799,14358.74743,16910.64807,19462.5487,,25898.18578,,33535.49921,,42681.77607,,53705.45068
MESSAGEix-GLOBIOM_1.1,EN_NoPolicy,"Countries of the Middle East; Iran, Iraq, Israel, Saudi Arabia, Qatar, etc.",Price|Secondary Energy|Electricity,US$2010/GJ,6.806457139,7.813334777,4.89460335,6.629264121,6.252998017,6.303804547,7.132933916,7.264383426,8.863592741,,8.991673881,,10.28301716,,11.2458535,,13.12796339
