model,scenario,baseline
IMAGE 3.2,SSP1_SPA1_19I_D,SSP1-baseline
IMAGE 3.2,SSP1_SPA1_19I_D_LB,SSP1-baseline
IMAGE 3.2,SSP1_SPA1_19I_LI,SSP1-baseline
IMAGE 3.2,SSP1_SPA1_19I_LIRE,SSP1-baseline
IMAGE 3.2,SSP1_SPA1_19I_LIRE_LB,SSP1-baseline
IMAGE 3.2,SSP1_SPA1_19I_RE,SSP1-baseline
IMAGE 3.2,SSP1_SPA1_19I_RE_LB,SSP1-baseline
IMAGE 3.2,SSP2_SPA1_19I_D_LB,SSP2-baseline
IMAGE 3.2,SSP2_SPA1_19I_LIRE_LB,SSP2-baseline
IMAGE 3.2,SSP2_SPA1_19I_RE_LB,SSP2-baseline
IMAGE 3.2,SSP2_SPA2_19I_D,SSP2-baseline
IMAGE 3.2,SSP2_SPA2_19I_LI,SSP2-baseline
IMAGE 3.2,SSP2_SPA2_19I_LIRE,SSP2-baseline
IMAGE 3.2,SSP2_SPA2_19I_RE,SSP2-baseline
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_600f_COV,EN_NoPolicy
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_600f_COV_NDCp,EN_NoPolicy
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_700f,EN_NoPolicy
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_700f_COV,EN_NoPolicy
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_700f_COV_NDCp,EN_NoPolicy
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_700f_NDCp,EN_NoPolicy
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_200f,EN_NoPolicy
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_300f,EN_NoPolicy
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_400f,EN_NoPolicy
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_450,EN_NoPolicy
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_450f,EN_NoPolicy
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_500,EN_NoPolicy
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_500f,EN_NoPolicy
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600,EN_NoPolicy
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600_COV,EN_NoPolicy
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600_DR10p,EN_NoPolicy
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600_DR1p,EN_NoPolicy
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600_DR2p,EN_NoPolicy
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600_DR3p,EN_NoPolicy
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600_DR4p,EN_NoPolicy
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600f,EN_NoPolicy
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600f_COV,EN_NoPolicy
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600f_DR10p,EN_NoPolicy
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600f_DR1p,EN_NoPolicy
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600f_DR2p,EN_NoPolicy
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600f_DR3p,EN_NoPolicy
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600f_DR4p,EN_NoPolicy
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_700,EN_NoPolicy
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_700_COV,EN_NoPolicy
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_700f,EN_NoPolicy
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_700f_COV,EN_NoPolicy
MESSAGEix-GLOBIOM_1.1,NGFS2_Divergent Net Zero Policies,NGFS2_Current Policies
MESSAGEix-GLOBIOM_1.1,NGFS2_Net-Zero 2050,NGFS2_Current Policies
REMIND-MAgPIE 1.7-3.0,CD-LINKS_INDC2030i_1000,CD-LINKS_NoPolicy
REMIND-MAgPIE 1.7-3.0,CD-LINKS_INDC2030i_400,CD-LINKS_NoPolicy
REMIND-MAgPIE 1.7-3.0,CD-LINKS_NPi2020_1000,CD-LINKS_NoPolicy
REMIND-MAgPIE 1.7-3.0,CD-LINKS_NPi2020_400,CD-LINKS_NoPolicy
REMIND-MAgPIE 1.7-3.0,CO_2Deg2020,CO_BAU
REMIND-MAgPIE 1.7-3.0,CO_2Deg2030,CO_BAU
REMIND-MAgPIE 1.7-3.0,CO_Bridge,CO_BAU
REMIND-MAgPIE 1.7-3.0,PEP_1p5C_full_NDC,PEP_NoPolicy
REMIND-MAgPIE 1.7-3.0,PEP_1p5C_full_eff,PEP_NoPolicy
REMIND-MAgPIE 1.7-3.0,PEP_1p5C_full_goodpractice,PEP_NoPolicy
REMIND-MAgPIE 1.7-3.0,PEP_1p5C_full_netzero,PEP_NoPolicy
REMIND-MAgPIE 1.7-3.0,PEP_1p5C_red_eff,PEP_NoPolicy
REMIND-MAgPIE 1.7-3.0,PEP_2C_full_NDC,PEP_NoPolicy
REMIND-MAgPIE 1.7-3.0,PEP_2C_full_eff,PEP_NoPolicy
REMIND-MAgPIE 1.7-3.0,PEP_2C_full_goodpractice,PEP_NoPolicy
REMIND-MAgPIE 1.7-3.0,PEP_2C_full_netzero,PEP_NoPolicy
REMIND-MAgPIE 1.7-3.0,PEP_2C_red_NDC,PEP_NoPolicy
REMIND-MAgPIE 1.7-3.0,PEP_2C_red_eff,PEP_NoPolicy
REMIND-MAgPIE 1.7-3.0,PEP_2C_red_goodpractice,PEP_NoPolicy
REMIND-MAgPIE 1.7-3.0,PEP_2C_red_netzero,PEP_NoPolicy
REMIND-MAgPIE 2.1-4.2,CEMICS_SSP1-1p5C-fullCDR,CEMICS_SSP1-Npi
