model,model_family
AIM/CGE 2.0,AIM
AIM/CGE 2.1,AIM
AIM/CGE 2.2,AIM
AIM/Hub-Global 2.0,AIM
C-ROADS-5.005,C-ROADS
COFFEE 1.1,COFFEE
EPPA 6,EPPA
GCAM 4.2,GCAM
GCAM 5.2,GCAM
GCAM 5.3,GCAM
GCAM-PR 5.3,GCAM
GEM-E3_V2021,GEM-E3
IMAGE 3.0,IMAGE
IMAGE 3.0.1,IMAGE
IMAGE 3.0.2,IMAGE
IMAGE 3.2,IMAGE
MERGE-ETL 6.0,MERGE
MESSAGE-GLOBIOM 1.0,MESSAGE
MESSAGEix-GLOBIOM 1.0,MESSAGE
MESSAGEix-GLOBIOM_1.1,MESSAGE
MESSAGEix-GLOBIOM_1.2,MESSAGE
MESSAGEix-GLOBIOM_GEI 1.0,MESSAGE
POLES ADVANCE,POLES
POLES CD-LINKS,POLES
POLES ENGAGE,POLES
POLES EMF30,POLES
POLES EMF33,POLES
POLES GECO2019,POLES
REMIND 1.6,REMIND
REMIND 1.7,REMIND
REMIND 2.1,REMIND
REMIND-Buildings 2.0,REMIND
REMIND-MAgPIE 1.5,REMIND
REMIND-MAgPIE 1.7-3.0,REMIND
REMIND-MAgPIE 2.0-4.1,REMIND
REMIND-MAgPIE 2.1-4.2,REMIND
REMIND-MAgPIE 2.1-4.3,REMIND
REMIND-Transport 2.1,REMIND
TIAM-ECN 1.1,TIAM
WITCH 5.0,WITCH
WITCH 4.6,WITCH
WITCH-GLOBIOM 3.1,WITCH
WITCH-GLOBIOM 4.2,WITCH
WITCH-GLOBIOM 4.4,WITCH
