model,scenario,between_region_gini
IMAGE 3.0,ENGAGE-INDCi2030-1000,0.3314707973552124
IMAGE 3.0,ENGAGE-INDCi2030-1000f,0.3314707973552124
IMAGE 3.0,ENGAGE-INDCi2030-1200,0.3314707973552124
IMAGE 3.0,ENGAGE-INDCi2030-1200f,0.3314707973552124
IMAGE 3.0,ENGAGE-INDCi2030-1400f,0.3314707973552124
IMAGE 3.0,ENGAGE-INDCi2030-800f,0.3314707973552124
IMAGE 3.0,ENGAGE-NPi2020-1000,0.3314707973552124
IMAGE 3.0,ENGAGE-NPi2020-1200,0.3314707973552124
IMAGE 3.0,ENGAGE-NPi2020-1400,0.3314707973552124
IMAGE 3.0,ENGAGE-NPi2020-1400f,0.3314707973552124
IMAGE 3.2,SSP2021-SSP1-SPA1-19-Default,0.32489480066111054
IMAGE 3.2,SSP2021-SSP1-SPA1-19-Lifestyle-Renewables,0.35986188649721595
IMAGE 3.2,SSP2021-SSP1-SPA1-19-Renewables,0.32489480066111054
IMAGE 3.2,SSP2021-SSP1-SPA1-26-Default,0.32489480066111054
IMAGE 3.2,SSP2021-SSP1-SPA1-26-Lifestyle,0.32489480066111054
IMAGE 3.2,SSP2021-SSP1-SPA1-26-Lifestyle-Renewables,0.35986188649721595
IMAGE 3.2,SSP2021-SSP1-SPA1-26-Renewables,0.32489480066111054
IMAGE 3.2,SSP2021-SSP2-SPA0-26-Default,0.3762999533990051
IMAGE 3.2,SSP2021-SSP2-SPA2-19-Renewables,0.35986188649721595
IMAGE 3.2,SSP2021-SSP2-SPA2-26-Default,0.35986188649721595
IMAGE 3.2,SSP2021-SSP2-SPA2-26-Lifestyle,0.35986188649721595
IMAGE 3.2,SSP2021-SSP2-SPA2-26-Lifestyle-Renewables,0.35986188649721595
IMAGE 3.2,SSP2021-SSP2-SPA2-26-Renewables,0.35986188649721595
IMAGE 3.3,NAVIGATE Demand-1.5°C-ele_u,0.37690025219919737
IMAGE 3.3,NAVIGATE Demand-1.5°C-tec_u,0.37690025219919737
IMAGE 3.3,NAVIGATE Demand-2.0°C-ele_u,0.37690025219919737
IMAGE 3.3,NAVIGATE Demand-2.0°C-ref,0.37690025219919737
IMAGE 3.3,NAVIGATE Demand-2.0°C-tec_u,0.37690025219919737
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,NGFS Phase 5-Below 2°C,0.29157439742578967
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,NGFS Phase 5-Delayed Transition,0.2916830236120174
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,NGFS Phase 5-Low Demand,0.2911525150029272
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,NGFS Phase 5-Nationally Determined Contributions (NDCs),0.291442703543646
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,NGFS Phase 5-Net-Zero 2050,0.2917806427145092
POLES-JRC ENGAGE,ENGAGE-INDCi2030-1000,0.41404673067479253
POLES-JRC ENGAGE,ENGAGE-INDCi2030-1000-COV,0.4311227318311349
POLES-JRC ENGAGE,ENGAGE-INDCi2030-1000-COV-NDCp,0.4311227318311349
POLES-JRC ENGAGE,ENGAGE-INDCi2030-1000-NDCp,0.41404673067479253
POLES-JRC ENGAGE,ENGAGE-INDCi2030-1000f,0.41404673067479253
POLES-JRC ENGAGE,ENGAGE-INDCi2030-1000f-COV,0.4311227318311349
POLES-JRC ENGAGE,ENGAGE-INDCi2030-1000f-COV-NDCp,0.4311227318311349
POLES-JRC ENGAGE,ENGAGE-INDCi2030-1000f-NDCp,0.41404673067479253
POLES-JRC ENGAGE,ENGAGE-INDCi2030-1200,0.41404673067479253
