model,scenario,carbon_budget_fairness
IMAGE 3.2,SSP1_SPA1_19I_D,5.195831141572801
IMAGE 3.2,SSP1_SPA1_19I_D_LB,4.578277424833083
IMAGE 3.2,SSP1_SPA1_19I_LI,4.936803546798601
IMAGE 3.2,SSP1_SPA1_19I_LIRE,5.0975476601695355
IMAGE 3.2,SSP1_SPA1_19I_LIRE_LB,4.504053911108249
IMAGE 3.2,SSP1_SPA1_19I_RE,5.12296625648323
IMAGE 3.2,SSP1_SPA1_19I_RE_LB,4.655955525831987
IMAGE 3.2,SSP2_SPA1_19I_D_LB,4.733250010420453
IMAGE 3.2,SSP2_SPA1_19I_LIRE_LB,4.473889851063815
IMAGE 3.2,SSP2_SPA1_19I_RE_LB,4.838422453872243
IMAGE 3.2,SSP2_SPA2_19I_D,5.083948835947432
IMAGE 3.2,SSP2_SPA2_19I_LI,5.069317668770763
IMAGE 3.2,SSP2_SPA2_19I_LIRE,4.942336121092743
IMAGE 3.2,SSP2_SPA2_19I_RE,4.931991884154008
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_600f_COV,5.546799706099192
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_600f_COV_NDCp,5.351153022030834
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_700f,5.716023525494529
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_700f_COV,5.546799706099192
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_700f_COV_NDCp,5.351153022030834
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_700f_NDCp,5.481664038645485
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_200f,4.360752070455934
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_300f,4.61698687740334
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_400f,4.758741905003225
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_450,3.7121163822163994
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_450f,4.846503941153762
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_500,3.9451920966527285
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_500f,4.917205826236892
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600,4.322403480615334
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600_COV,4.412633285090395
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600_DR10p,4.5924308010698525
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600_DR1p,4.024863396250004
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600_DR2p,4.12056134614816
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600_DR3p,4.169535458789745
