model,scenario,carbon_budget_fairness
IMAGE 3.0,ENGAGE-INDCi2030-1000,5.141921687071363
IMAGE 3.0,ENGAGE-INDCi2030-1000f,5.160035438227378
IMAGE 3.0,ENGAGE-INDCi2030-1200,5.145379061365679
IMAGE 3.0,ENGAGE-INDCi2030-1200f,5.154504041897342
IMAGE 3.0,ENGAGE-INDCi2030-1400f,5.154504041897342
IMAGE 3.0,ENGAGE-INDCi2030-800f,5.147633037338407
IMAGE 3.0,ENGAGE-NPi2020-1000,5.618099894861242
IMAGE 3.0,ENGAGE-NPi2020-1200,5.654541513018824
IMAGE 3.0,ENGAGE-NPi2020-1400,5.702667705387315
IMAGE 3.0,ENGAGE-NPi2020-1400f,5.616793908253607
IMAGE 3.2,SSP2021-SSP1-SPA1-19-Default,5.195831141572801
IMAGE 3.2,SSP2021-SSP1-SPA1-19-Lifestyle-Renewables,5.0975476601695355
IMAGE 3.2,SSP2021-SSP1-SPA1-19-Renewables,5.122966256483229
IMAGE 3.2,SSP2021-SSP1-SPA1-26-Default,5.345259506856109
IMAGE 3.2,SSP2021-SSP1-SPA1-26-Lifestyle,5.169484087031654
IMAGE 3.2,SSP2021-SSP1-SPA1-26-Lifestyle-Renewables,5.292127499836769
IMAGE 3.2,SSP2021-SSP1-SPA1-26-Renewables,5.331776469531519
IMAGE 3.2,SSP2021-SSP2-SPA0-26-Default,5.473167420451485
IMAGE 3.2,SSP2021-SSP2-SPA2-19-Renewables,4.931991884154008
IMAGE 3.2,SSP2021-SSP2-SPA2-26-Default,5.369096548814025
IMAGE 3.2,SSP2021-SSP2-SPA2-26-Lifestyle,5.028402445662303
IMAGE 3.2,SSP2021-SSP2-SPA2-26-Lifestyle-Renewables,4.921466774863641
IMAGE 3.2,SSP2021-SSP2-SPA2-26-Renewables,5.139822590351714
IMAGE 3.3,NAVIGATE Demand-1.5°C-ele_u,4.498518498454505
IMAGE 3.3,NAVIGATE Demand-1.5°C-tec_u,4.50097015027877
IMAGE 3.3,NAVIGATE Demand-2.0°C-ele_u,4.720736937492838
IMAGE 3.3,NAVIGATE Demand-2.0°C-ref,4.594276797762989
IMAGE 3.3,NAVIGATE Demand-2.0°C-tec_u,4.67959367010428
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,NGFS Phase 5-Below 2°C,4.859202346535213
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,NGFS Phase 5-Delayed Transition,4.906027214268615
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,NGFS Phase 5-Low Demand,4.5517053746805525
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,NGFS Phase 5-Nationally Determined Contributions (NDCs),4.872389657806093
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,NGFS Phase 5-Net-Zero 2050,4.482840976951286
POLES-JRC ENGAGE,ENGAGE-INDCi2030-1000,4.749380588029451
POLES-JRC ENGAGE,ENGAGE-INDCi2030-1000-COV,4.627648675337702
POLES-JRC ENGAGE,ENGAGE-INDCi2030-1000-COV-NDCp,4.134555548316154
POLES-JRC ENGAGE,ENGAGE-INDCi2030-1000-NDCp,4.302188864519998
POLES-JRC ENGAGE,ENGAGE-INDCi2030-1000f,4.749380588029451
POLES-JRC ENGAGE,ENGAGE-INDCi2030-1000f-COV,4.627648675337702
POLES-JRC ENGAGE,ENGAGE-INDCi2030-1000f-COV-NDCp,4.1345532750108145
POLES-JRC ENGAGE,ENGAGE-INDCi2030-1000f-NDCp,4.302186402164906
POLES-JRC ENGAGE,ENGAGE-INDCi2030-1200,4.749380588029451
POLES-JRC ENGAGE,ENGAGE-INDCi2030-1200f,4.749380588029451
POLES-JRC ENGAGE,ENGAGE-INDCi2030-300f,4.749380588029451
POLES-JRC ENGAGE,ENGAGE-INDCi2030-400f,4.749380588029451
POLES-JRC ENGAGE,ENGAGE-INDCi2030-500f,4.749380588029451
POLES-JRC ENGAGE,ENGAGE-INDCi2030-600f,4.749380588029451
POLES-JRC ENGAGE,ENGAGE-INDCi2030-600f-COV,4.627648675337702
POLES-JRC ENGAGE,ENGAGE-INDCi2030-600f-COV-NDCp,4.1345532750108145
POLES-JRC ENGAGE,ENGAGE-INDCi2030-600f-NDCp,4.302188864519998
POLES-JRC ENGAGE,ENGAGE-INDCi2030-700f,4.749380588029451
