model,scenario,carbon_budget_share
IMAGE 3.0,ENGAGE-INDCi2030-1000,1.288914407832723
IMAGE 3.0,ENGAGE-INDCi2030-1000f,1.291262739069596
IMAGE 3.0,ENGAGE-INDCi2030-1200,1.28875811962503
IMAGE 3.0,ENGAGE-INDCi2030-1200f,1.2903696522605401
IMAGE 3.0,ENGAGE-INDCi2030-1400f,1.2903696522605401
IMAGE 3.0,ENGAGE-INDCi2030-800f,1.2904948323499295
IMAGE 3.0,ENGAGE-NPi2020-1000,1.2524664973770152
IMAGE 3.0,ENGAGE-NPi2020-1200,1.2588612124649874
IMAGE 3.0,ENGAGE-NPi2020-1400,1.2736187281401228
IMAGE 3.0,ENGAGE-NPi2020-1400f,1.2558307788659242
IMAGE 3.2,SSP2021-SSP1-SPA1-19-Default,1.2011693458903372
IMAGE 3.2,SSP2021-SSP1-SPA1-19-Lifestyle-Renewables,1.1656697927573159
IMAGE 3.2,SSP2021-SSP1-SPA1-19-Renewables,1.1760091559560453
IMAGE 3.2,SSP2021-SSP1-SPA1-26-Default,1.2577481780631417
IMAGE 3.2,SSP2021-SSP1-SPA1-26-Lifestyle,1.229708231856347
IMAGE 3.2,SSP2021-SSP1-SPA1-26-Lifestyle-Renewables,1.2477071777774584
IMAGE 3.2,SSP2021-SSP1-SPA1-26-Renewables,1.2240014004867805
IMAGE 3.2,SSP2021-SSP2-SPA0-26-Default,1.262124713348738
IMAGE 3.2,SSP2021-SSP2-SPA2-19-Renewables,1.122460241836614
IMAGE 3.2,SSP2021-SSP2-SPA2-26-Default,1.2830952233797548
IMAGE 3.2,SSP2021-SSP2-SPA2-26-Lifestyle,1.2212037039804449
IMAGE 3.2,SSP2021-SSP2-SPA2-26-Lifestyle-Renewables,1.200153023368285
IMAGE 3.2,SSP2021-SSP2-SPA2-26-Renewables,1.23923339791217
IMAGE 3.3,NAVIGATE Demand-1.5°C-ele_u,1.1571049162548324
IMAGE 3.3,NAVIGATE Demand-1.5°C-tec_u,1.1459218215434972
IMAGE 3.3,NAVIGATE Demand-2.0°C-ele_u,1.2452278101729757
IMAGE 3.3,NAVIGATE Demand-2.0°C-ref,1.2275926168736124
IMAGE 3.3,NAVIGATE Demand-2.0°C-tec_u,1.2392840415014672
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,NGFS Phase 5-Below 2°C,1.236740092013728
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,NGFS Phase 5-Delayed Transition,1.3149241233832656
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,NGFS Phase 5-Low Demand,1.1841436535592473
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,NGFS Phase 5-Nationally Determined Contributions (NDCs),1.291826340042814
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,NGFS Phase 5-Net-Zero 2050,1.1716698340371472
POLES-JRC ENGAGE,ENGAGE-INDCi2030-1000,1.293451665940849
POLES-JRC ENGAGE,ENGAGE-INDCi2030-1000-COV,1.2498526351712644
