model,scenario,carbon_budget_share,region
IMAGE 3.0,ENGAGE-INDCi2030-1000,0.9170333994090558,R10LATIN_AM
IMAGE 3.0,ENGAGE-INDCi2030-1000f,0.9164117282472006,R10LATIN_AM
IMAGE 3.0,ENGAGE-INDCi2030-1200,0.9137645803372483,R10LATIN_AM
IMAGE 3.0,ENGAGE-INDCi2030-1200f,0.9164312356787808,R10LATIN_AM
IMAGE 3.0,ENGAGE-INDCi2030-1400f,0.9164312356787808,R10LATIN_AM
IMAGE 3.0,ENGAGE-INDCi2030-800f,0.9187250485491676,R10LATIN_AM
IMAGE 3.0,ENGAGE-NPi2020-1000,0.8839641508411112,R10LATIN_AM
IMAGE 3.0,ENGAGE-NPi2020-1200,0.8912069746317178,R10LATIN_AM
IMAGE 3.0,ENGAGE-NPi2020-1400,0.8988390894362215,R10LATIN_AM
IMAGE 3.0,ENGAGE-NPi2020-1400f,0.8871667984039391,R10LATIN_AM
IMAGE 3.2,SSP2021-SSP1-SPA1-19-Default,0.7326311058963404,R10LATIN_AM
IMAGE 3.2,SSP2021-SSP1-SPA1-19-Lifestyle-Renewables,0.6169669263743643,R10LATIN_AM
IMAGE 3.2,SSP2021-SSP1-SPA1-19-Renewables,0.6919465703651216,R10LATIN_AM
IMAGE 3.2,SSP2021-SSP1-SPA1-26-Default,0.746788533591584,R10LATIN_AM
IMAGE 3.2,SSP2021-SSP1-SPA1-26-Lifestyle,0.6369515281640181,R10LATIN_AM
IMAGE 3.2,SSP2021-SSP1-SPA1-26-Lifestyle-Renewables,0.6496619397533696,R10LATIN_AM
IMAGE 3.2,SSP2021-SSP1-SPA1-26-Renewables,0.7111408444078603,R10LATIN_AM
IMAGE 3.2,SSP2021-SSP2-SPA0-26-Default,0.7700006347296283,R10LATIN_AM
IMAGE 3.2,SSP2021-SSP2-SPA2-19-Renewables,0.7430287843384381,R10LATIN_AM
IMAGE 3.2,SSP2021-SSP2-SPA2-26-Default,0.8047347949485336,R10LATIN_AM
IMAGE 3.2,SSP2021-SSP2-SPA2-26-Lifestyle,0.724737346589166,R10LATIN_AM
IMAGE 3.2,SSP2021-SSP2-SPA2-26-Lifestyle-Renewables,0.7191577391890199,R10LATIN_AM
IMAGE 3.2,SSP2021-SSP2-SPA2-26-Renewables,0.7853745276313072,R10LATIN_AM
IMAGE 3.3,NAVIGATE Demand-1.5°C-ele_u,0.8859141472074927,R10LATIN_AM
IMAGE 3.3,NAVIGATE Demand-1.5°C-tec_u,0.8887028237308812,R10LATIN_AM
IMAGE 3.3,NAVIGATE Demand-2.0°C-ele_u,0.9155537155609014,R10LATIN_AM
IMAGE 3.3,NAVIGATE Demand-2.0°C-ref,0.9071068955233053,R10LATIN_AM
IMAGE 3.3,NAVIGATE Demand-2.0°C-tec_u,0.9133032191419945,R10LATIN_AM
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,NGFS Phase 5-Below 2°C,0.9178885793188168,R10LATIN_AM
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,NGFS Phase 5-Delayed Transition,0.983506911977235,R10LATIN_AM
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,NGFS Phase 5-Low Demand,0.8999699937574022,R10LATIN_AM
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,NGFS Phase 5-Nationally Determined Contributions (NDCs),0.9697233012855923,R10LATIN_AM
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,NGFS Phase 5-Net-Zero 2050,0.8984294112053923,R10LATIN_AM
POLES-JRC ENGAGE,ENGAGE-INDCi2030-1000,0.8584481559736212,R10LATIN_AM
POLES-JRC ENGAGE,ENGAGE-INDCi2030-1000-COV,0.8278649761274404,R10LATIN_AM
POLES-JRC ENGAGE,ENGAGE-INDCi2030-1000-COV-NDCp,0.8101232683114897,R10LATIN_AM
POLES-JRC ENGAGE,ENGAGE-INDCi2030-1000-NDCp,0.8503655062962682,R10LATIN_AM
POLES-JRC ENGAGE,ENGAGE-INDCi2030-1000f,0.8584481559736212,R10LATIN_AM
POLES-JRC ENGAGE,ENGAGE-INDCi2030-1000f-COV,0.8278649761274404,R10LATIN_AM
POLES-JRC ENGAGE,ENGAGE-INDCi2030-1000f-COV-NDCp,0.8101232683114897,R10LATIN_AM
POLES-JRC ENGAGE,ENGAGE-INDCi2030-1000f-NDCp,0.8503655303982922,R10LATIN_AM
POLES-JRC ENGAGE,ENGAGE-INDCi2030-1200,0.8584481559736212,R10LATIN_AM
POLES-JRC ENGAGE,ENGAGE-INDCi2030-1200f,0.8584481559736212,R10LATIN_AM
POLES-JRC ENGAGE,ENGAGE-INDCi2030-300f,0.8584481559736212,R10LATIN_AM
POLES-JRC ENGAGE,ENGAGE-INDCi2030-400f,0.8584481559736212,R10LATIN_AM
POLES-JRC ENGAGE,ENGAGE-INDCi2030-500f,0.8584481559736212,R10LATIN_AM
POLES-JRC ENGAGE,ENGAGE-INDCi2030-600f,0.8584481559736212,R10LATIN_AM
POLES-JRC ENGAGE,ENGAGE-INDCi2030-600f-COV,0.8278649761274404,R10LATIN_AM
POLES-JRC ENGAGE,ENGAGE-INDCi2030-600f-COV-NDCp,0.8101232683114897,R10LATIN_AM
POLES-JRC ENGAGE,ENGAGE-INDCi2030-600f-NDCp,0.8503655062962682,R10LATIN_AM
POLES-JRC ENGAGE,ENGAGE-INDCi2030-700f,0.8584481559736212,R10LATIN_AM
POLES-JRC ENGAGE,ENGAGE-INDCi2030-800f,0.8584481559736212,R10LATIN_AM
POLES-JRC ENGAGE,ENGAGE-INDCi2030-900,0.8584481559736212,R10LATIN_AM
POLES-JRC ENGAGE,ENGAGE-INDCi2030-900f,0.8584481559736212,R10LATIN_AM
POLES-JRC ENGAGE,ENGAGE-NPi2020-1000f,0.7582535957781259,R10LATIN_AM
POLES-JRC ENGAGE,ENGAGE-NPi2020-1000f-COV,0.7390878575058248,R10LATIN_AM
POLES-JRC ENGAGE,ENGAGE-NPi2020-1200f,0.7841360000022585,R10LATIN_AM
POLES-JRC ENGAGE,ENGAGE-NPi2020-900f,0.7526809724613951,R10LATIN_AM
REMIND-MAgPIE 2.1-4.2,NGFS Phase 2-Delayed Transition,0.933108764430426,R10LATIN_AM
REMIND-MAgPIE 3.2.0-4.8.0,RESCUE-End-of-Century-Budget-1150,0.8368776846110616,R10LATIN_AM
REMIND-MAgPIE 3.2.0-4.8.0,RESCUE-End-of-Century-Budget-1150-with-OAE,0.8368776846110616,R10LATIN_AM
REMIND-MAgPIE 3.2.0-4.8.0,RESCUE-End-of-Century-Budget-500,0.8368776846110616,R10LATIN_AM
REMIND-MAgPIE 3.2.0-4.8.0,RESCUE-End-of-Century-Budget-500-with-OAE,0.8368776846110616,R10LATIN_AM
REMIND-MAgPIE 3.2.0-4.8.0,RESCUE-Peak-Budget-1150,0.8168448254049834,R10LATIN_AM
REMIND-MAgPIE 3.2.0-4.8.0,RESCUE-Peak-Budget-1150-with-OAE,0.8123446013990671,R10LATIN_AM
REMIND-MAgPIE 3.3-4.8,NGFS Phase 5-Below 2°C,0.8410673935390507,R10LATIN_AM
REMIND-MAgPIE 3.3-4.8,NGFS Phase 5-Delayed Transition,0.8396029566236445,R10LATIN_AM
REMIND-MAgPIE 3.3-4.8,NGFS Phase 5-Low Demand,0.6662431087303871,R10LATIN_AM
