model,scenario,investment_score,investment_score_2050
IMAGE 3.0,ENGAGE-INDCi2030-1000,0.19017101357293864,0.07868153253902371
IMAGE 3.0,ENGAGE-INDCi2030-1000f,0.27140081287040396,0.026100890366486926
IMAGE 3.0,ENGAGE-INDCi2030-1200,0.16277631601945006,0.02254434062936692
IMAGE 3.0,ENGAGE-INDCi2030-1200f,0.19391753019327512,0.0236757681208646
IMAGE 3.0,ENGAGE-INDCi2030-1400f,0.20735876670918407,0.026556383693832987
IMAGE 3.0,ENGAGE-INDCi2030-800f,0.27488192331433403,0.09923486390686792
IMAGE 3.0,ENGAGE-NPi2020-1000,0.16558401177943777,0.03038397411574783
IMAGE 3.0,ENGAGE-NPi2020-1200,0.15573590054174435,0.0
IMAGE 3.0,ENGAGE-NPi2020-1400,0.16700486517921043,0.025299596308147307
IMAGE 3.0,ENGAGE-NPi2020-1400f,0.18360131661888948,0.021894707479916942
IMAGE 3.2,SSP2021-SSP1-SPA1-19-Default,0.3207147621789531,0.5311559044512663
IMAGE 3.2,SSP2021-SSP1-SPA1-19-Lifestyle-Renewables,0.5384589693485269,0.6168304431038804
IMAGE 3.2,SSP2021-SSP1-SPA1-19-Renewables,0.4662845992966006,0.7158507897932441
IMAGE 3.2,SSP2021-SSP1-SPA1-26-Default,0.2824240792090879,0.4404214997132525
IMAGE 3.2,SSP2021-SSP1-SPA1-26-Lifestyle,0.22662283750726767,0.3718240574335134
IMAGE 3.2,SSP2021-SSP1-SPA1-26-Lifestyle-Renewables,0.462356895273552,0.47985121539565173
IMAGE 3.2,SSP2021-SSP1-SPA1-26-Renewables,0.420927060579196,0.6431843975938191
IMAGE 3.2,SSP2021-SSP2-SPA0-26-Default,0.3867539871431733,0.3733495313677386
IMAGE 3.2,SSP2021-SSP2-SPA2-19-Renewables,0.7309698964213439,0.9320838563663053
IMAGE 3.2,SSP2021-SSP2-SPA2-26-Default,0.3661526442374901,0.41848966388031744
IMAGE 3.2,SSP2021-SSP2-SPA2-26-Lifestyle,0.28228188852675956,0.3271518843883155
IMAGE 3.2,SSP2021-SSP2-SPA2-26-Lifestyle-Renewables,0.48377670226518094,0.5190306771343051
IMAGE 3.2,SSP2021-SSP2-SPA2-26-Renewables,0.607406624115426,0.6585787500231002
IMAGE 3.3,NAVIGATE Demand-1.5°C-ele_u,0.42787137220464294,0.6366515213495683
IMAGE 3.3,NAVIGATE Demand-1.5°C-tec_u,0.3495715382317655,0.5520979659355915
