model,scenario,investment_score,investment_score_2050,Region
IMAGE 3.0,ENGAGE-INDCi2030-1000,0.20662446672486243,0.09258986226392234,R10LATIN_AM
IMAGE 3.0,ENGAGE-INDCi2030-1000f,0.32778848680722505,0.0,R10LATIN_AM
IMAGE 3.0,ENGAGE-INDCi2030-1200,0.18031017284030643,0.011288733028478454,R10LATIN_AM
IMAGE 3.0,ENGAGE-INDCi2030-1200f,0.2073062720021244,0.02027459767042829,R10LATIN_AM
IMAGE 3.0,ENGAGE-INDCi2030-1400f,0.23673937100802728,0.03963978763811008,R10LATIN_AM
IMAGE 3.0,ENGAGE-INDCi2030-800f,0.33159901593476293,0.1292418218469722,R10LATIN_AM
IMAGE 3.0,ENGAGE-NPi2020-1000,0.1861493441343004,0.04788306284491357,R10LATIN_AM
IMAGE 3.0,ENGAGE-NPi2020-1200,0.1902777736368904,0.036956541975779,R10LATIN_AM
IMAGE 3.0,ENGAGE-NPi2020-1400,0.2037548890866087,0.07543333215875742,R10LATIN_AM
IMAGE 3.0,ENGAGE-NPi2020-1400f,0.22274325802847944,0.08476093084048104,R10LATIN_AM
IMAGE 3.2,SSP2021-SSP1-SPA1-19-Default,0.31715089578694133,0.617592690385242,R10LATIN_AM
IMAGE 3.2,SSP2021-SSP1-SPA1-19-Lifestyle-Renewables,0.46738526025433974,0.7212411063796844,R10LATIN_AM
IMAGE 3.2,SSP2021-SSP1-SPA1-19-Renewables,0.429778814066405,0.7897482344023798,R10LATIN_AM
IMAGE 3.2,SSP2021-SSP1-SPA1-26-Default,0.29380855399431577,0.5848713211953809,R10LATIN_AM
IMAGE 3.2,SSP2021-SSP1-SPA1-26-Lifestyle,0.2469127594311409,0.5087272946324,R10LATIN_AM
IMAGE 3.2,SSP2021-SSP1-SPA1-26-Lifestyle-Renewables,0.4170247478949874,0.6204023200002969,R10LATIN_AM
IMAGE 3.2,SSP2021-SSP1-SPA1-26-Renewables,0.4127795572431547,0.74701718284548,R10LATIN_AM
IMAGE 3.2,SSP2021-SSP2-SPA0-26-Default,0.38446918304053984,0.6142210526166892,R10LATIN_AM
IMAGE 3.2,SSP2021-SSP2-SPA2-19-Renewables,0.6161388800891197,1.0,R10LATIN_AM
IMAGE 3.2,SSP2021-SSP2-SPA2-26-Default,0.38112971451111677,0.6378542761325924,R10LATIN_AM
IMAGE 3.2,SSP2021-SSP2-SPA2-26-Lifestyle,0.320746909628361,0.5761851066074652,R10LATIN_AM
IMAGE 3.2,SSP2021-SSP2-SPA2-26-Lifestyle-Renewables,0.4766970348573511,0.6942084669468884,R10LATIN_AM
IMAGE 3.2,SSP2021-SSP2-SPA2-26-Renewables,0.5549789806300662,0.7997733640141306,R10LATIN_AM
IMAGE 3.3,NAVIGATE Demand-1.5°C-ele_u,0.4027881361254707,0.7575383212591648,R10LATIN_AM
IMAGE 3.3,NAVIGATE Demand-1.5°C-tec_u,0.3571018914642544,0.6709237255590392,R10LATIN_AM
IMAGE 3.3,NAVIGATE Demand-2.0°C-ele_u,0.3469155250239789,0.6831169530011577,R10LATIN_AM
IMAGE 3.3,NAVIGATE Demand-2.0°C-ref,0.33680326862497373,0.6429991412849421,R10LATIN_AM
IMAGE 3.3,NAVIGATE Demand-2.0°C-tec_u,0.2898688892605883,0.566877439499092,R10LATIN_AM
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,NGFS Phase 5-Below 2°C,0.15629382511345255,0.3101644904315011,R10LATIN_AM
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,NGFS Phase 5-Delayed Transition,0.1567114964072963,0.3115131153384879,R10LATIN_AM
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,NGFS Phase 5-Low Demand,0.0,0.008369482536156471,R10LATIN_AM
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,NGFS Phase 5-Nationally Determined Contributions (NDCs),0.16213336125310904,0.3185626880748626,R10LATIN_AM
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,NGFS Phase 5-Net-Zero 2050,0.19042160968382688,0.38420046697716365,R10LATIN_AM
POLES-JRC ENGAGE,ENGAGE-INDCi2030-1000,0.39555289649087,0.5471355016669358,R10LATIN_AM
POLES-JRC ENGAGE,ENGAGE-INDCi2030-1000-COV,0.3446618631720278,0.34464681815892245,R10LATIN_AM
POLES-JRC ENGAGE,ENGAGE-INDCi2030-1000-COV-NDCp,0.33278709195109896,0.3185454129309365,R10LATIN_AM
POLES-JRC ENGAGE,ENGAGE-INDCi2030-1000-NDCp,0.38851140760284575,0.44901455581733324,R10LATIN_AM
POLES-JRC ENGAGE,ENGAGE-INDCi2030-1000f,0.5243648814125346,0.3063902520978404,R10LATIN_AM
POLES-JRC ENGAGE,ENGAGE-INDCi2030-1000f-COV,0.3551965886803694,0.16972993932486571,R10LATIN_AM
POLES-JRC ENGAGE,ENGAGE-INDCi2030-1000f-COV-NDCp,0.33427922676653204,0.12056444647572466,R10LATIN_AM
POLES-JRC ENGAGE,ENGAGE-INDCi2030-1000f-NDCp,0.5196876582274681,0.2356506978853438,R10LATIN_AM
POLES-JRC ENGAGE,ENGAGE-INDCi2030-1200,0.29067133994717054,0.21864364442588874,R10LATIN_AM
POLES-JRC ENGAGE,ENGAGE-INDCi2030-1200f,0.30323668864430253,0.1085286004306625,R10LATIN_AM
POLES-JRC ENGAGE,ENGAGE-INDCi2030-300f,1.0,0.8649970349075211,R10LATIN_AM
POLES-JRC ENGAGE,ENGAGE-INDCi2030-400f,0.873178358996853,0.68352647130449,R10LATIN_AM
POLES-JRC ENGAGE,ENGAGE-INDCi2030-500f,0.7919066264807006,0.6366508006913176,R10LATIN_AM
POLES-JRC ENGAGE,ENGAGE-INDCi2030-600f,0.7003727354793858,0.6238182908292256,R10LATIN_AM
POLES-JRC ENGAGE,ENGAGE-INDCi2030-600f-COV,0.6644351232048972,0.5964273229858191,R10LATIN_AM
POLES-JRC ENGAGE,ENGAGE-INDCi2030-600f-COV-NDCp,0.6679806732402093,0.5797554750905423,R10LATIN_AM
POLES-JRC ENGAGE,ENGAGE-INDCi2030-600f-NDCp,0.7161780707315246,0.635765435636892,R10LATIN_AM
POLES-JRC ENGAGE,ENGAGE-INDCi2030-700f,0.7118659061852418,0.5903491269051656,R10LATIN_AM
POLES-JRC ENGAGE,ENGAGE-INDCi2030-800f,0.633206771436865,0.5364413909255278,R10LATIN_AM
POLES-JRC ENGAGE,ENGAGE-INDCi2030-900,0.4338246944349352,0.7940062995902168,R10LATIN_AM
POLES-JRC ENGAGE,ENGAGE-INDCi2030-900f,0.6068558126194106,0.38561656689165197,R10LATIN_AM
POLES-JRC ENGAGE,ENGAGE-NPi2020-1000f,0.3306959286408276,0.09802617791303962,R10LATIN_AM
POLES-JRC ENGAGE,ENGAGE-NPi2020-1000f-COV,0.2930023039866743,0.05887649901362813,R10LATIN_AM
POLES-JRC ENGAGE,ENGAGE-NPi2020-1200f,0.25258062133020937,0.04061662264739181,R10LATIN_AM
POLES-JRC ENGAGE,ENGAGE-NPi2020-900f,0.4125554650905701,0.15020001504368316,R10LATIN_AM
REMIND-MAgPIE 2.1-4.2,NGFS Phase 2-Delayed Transition,0.31966988923365186,0.42107246995990216,R10LATIN_AM
REMIND-MAgPIE 3.2.0-4.8.0,RESCUE-End-of-Century-Budget-1150,0.6016718676378408,0.8136262927160423,R10LATIN_AM
REMIND-MAgPIE 3.2.0-4.8.0,RESCUE-End-of-Century-Budget-1150-with-OAE,0.6294330009781077,0.8338448543961794,R10LATIN_AM
REMIND-MAgPIE 3.2.0-4.8.0,RESCUE-End-of-Century-Budget-500,0.7211445097694928,0.8845793291584518,R10LATIN_AM
REMIND-MAgPIE 3.2.0-4.8.0,RESCUE-End-of-Century-Budget-500-with-OAE,0.6843077813808776,0.8778643430848342,R10LATIN_AM
REMIND-MAgPIE 3.2.0-4.8.0,RESCUE-Peak-Budget-1150,0.6606761825339681,0.9768348668165101,R10LATIN_AM
REMIND-MAgPIE 3.2.0-4.8.0,RESCUE-Peak-Budget-1150-with-OAE,0.6609947447973525,0.9757239805003279,R10LATIN_AM
REMIND-MAgPIE 3.3-4.8,NGFS Phase 5-Below 2°C,0.43181178736017184,0.6366736115786595,R10LATIN_AM
REMIND-MAgPIE 3.3-4.8,NGFS Phase 5-Delayed Transition,0.4241770471877441,0.5791711335803037,R10LATIN_AM
REMIND-MAgPIE 3.3-4.8,NGFS Phase 5-Low Demand,0.1553133677315004,0.11101373645019094,R10LATIN_AM
REMIND-MAgPIE 3.3-4.8,NGFS Phase 5-Net-Zero 2050,0.5409736597711607,0.8957440829314568,R10LATIN_AM
WITCH 5.0,ENGAGE-INDCi2030-1000,0.18242257031324344,0.2274522245255094,R10LATIN_AM
WITCH 5.0,ENGAGE-INDCi2030-1000-NDCp,0.20640520717486296,0.22338716776024403,R10LATIN_AM
WITCH 5.0,ENGAGE-INDCi2030-1000f,0.18907377384552862,0.2365899289722707,R10LATIN_AM
WITCH 5.0,ENGAGE-INDCi2030-1000f-NDCp,0.22355838700001415,0.24495332443194065,R10LATIN_AM
WITCH 5.0,ENGAGE-INDCi2030-1200,0.2292453887088034,0.2953909300524321,R10LATIN_AM
WITCH 5.0,ENGAGE-INDCi2030-1200-NDCp,0.2372234518570487,0.28385730120960084,R10LATIN_AM
