model,scenario,investment_score,investment_score_2050,Region
IMAGE 3.2,SSP1_SPA1_19I_D,0.20705815029321933,0.24959907387818808,R10LATIN_AM
IMAGE 3.2,SSP1_SPA1_19I_D_LB,0.2151987857862556,0.2822572923863589,R10LATIN_AM
IMAGE 3.2,SSP1_SPA1_19I_LI,0.18043128006180817,0.2287400307543318,R10LATIN_AM
IMAGE 3.2,SSP1_SPA1_19I_LIRE,0.274379772745161,0.2736205158242986,R10LATIN_AM
IMAGE 3.2,SSP1_SPA1_19I_LIRE_LB,0.2874584681743951,0.30102371411005335,R10LATIN_AM
IMAGE 3.2,SSP1_SPA1_19I_RE,0.25752792276397507,0.2894976518413141,R10LATIN_AM
IMAGE 3.2,SSP1_SPA1_19I_RE_LB,0.2761835068730407,0.3453095695595364,R10LATIN_AM
IMAGE 3.2,SSP2_SPA1_19I_D_LB,0.22518195295104781,0.257047205735422,R10LATIN_AM
IMAGE 3.2,SSP2_SPA1_19I_LIRE_LB,0.2901213753541336,0.30076766812891387,R10LATIN_AM
IMAGE 3.2,SSP2_SPA1_19I_RE_LB,0.3273433066375637,0.33195635237225685,R10LATIN_AM
IMAGE 3.2,SSP2_SPA2_19I_D,0.25287593284428905,0.2734684279452097,R10LATIN_AM
IMAGE 3.2,SSP2_SPA2_19I_LI,0.23749634507631948,0.2608491740572734,R10LATIN_AM
IMAGE 3.2,SSP2_SPA2_19I_LIRE,0.359883183449376,0.3417062376481305,R10LATIN_AM
IMAGE 3.2,SSP2_SPA2_19I_RE,0.3410378577204522,0.33822536786971263,R10LATIN_AM
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_600f_COV,0.17881815031068135,0.1461341293012993,R10LATIN_AM
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_600f_COV_NDCp,0.17520565649955033,0.13406812312269864,R10LATIN_AM
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_700f,0.15984832960524498,0.1366857760691408,R10LATIN_AM
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_700f_COV,0.1728547852800501,0.13627988668654525,R10LATIN_AM
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_700f_COV_NDCp,0.16743221777371298,0.12713816351568238,R10LATIN_AM
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_700f_NDCp,0.15880999663971487,0.13483138109836568,R10LATIN_AM
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_200f,0.15952561969214712,0.1334199308922344,R10LATIN_AM
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_300f,0.1573887565343991,0.1292035166389233,R10LATIN_AM
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_400f,0.157621189469707,0.13054010599877192,R10LATIN_AM
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_450,0.1869091438474316,0.192649451244784,R10LATIN_AM
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_450f,0.1568939650526753,0.12841038572647936,R10LATIN_AM
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_500,0.16753209452634385,0.16078864682913058,R10LATIN_AM
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_500f,0.1553488793578513,0.12585713862955672,R10LATIN_AM
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600,0.1502997137771903,0.1347179921978591,R10LATIN_AM
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600_COV,0.16202047929483743,0.13272910918102454,R10LATIN_AM
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600_DR10p,0.16287663907330271,0.15657231625781518,R10LATIN_AM
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600_DR1p,0.1580695411101726,0.1374401492515168,R10LATIN_AM
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600_DR2p,0.15853623331236605,0.1441969271105221,R10LATIN_AM
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600_DR3p,0.15381090767192446,0.13343028211759916,R10LATIN_AM
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600_DR4p,0.1539062192105111,0.13911679303789914,R10LATIN_AM
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600f,0.15346827726394544,0.11912806396876532,R10LATIN_AM
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600f_COV,0.1692026148881742,0.11572634632546398,R10LATIN_AM
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600f_DR10p,0.16499599840289558,0.1320381034964954,R10LATIN_AM
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600f_DR1p,0.15429231523126227,0.12179128264587875,R10LATIN_AM
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600f_DR2p,0.1618208894640049,0.12468378126428942,R10LATIN_AM
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600f_DR3p,0.16152228968759738,0.12177632197400562,R10LATIN_AM
