model,scenario,investment_score,investment_score_2050,Region
IMAGE 3.0,ENGAGE-INDCi2030-1000,0.2336395770259904,0.23409983032744863,R10LATIN_AM
IMAGE 3.0,ENGAGE-INDCi2030-1000f,0.3153020224771333,0.19854808016030898,R10LATIN_AM
IMAGE 3.0,ENGAGE-INDCi2030-1200,0.2159041999109676,0.20288261751157993,R10LATIN_AM
IMAGE 3.0,ENGAGE-INDCi2030-1200f,0.2340991019429159,0.20633292197229638,R10LATIN_AM
IMAGE 3.0,ENGAGE-INDCi2030-1400f,0.2539364995498439,0.21376857830482,R10LATIN_AM
IMAGE 3.0,ENGAGE-INDCi2030-800f,0.31787025293701754,0.248173091463948,R10LATIN_AM
IMAGE 3.0,ENGAGE-NPi2020-1000,0.2198396999624806,0.21693375053367475,R10LATIN_AM
IMAGE 3.0,ENGAGE-NPi2020-1200,0.2226221897546233,0.21273829186641555,R10LATIN_AM
IMAGE 3.0,ENGAGE-NPi2020-1400,0.2317055315297084,0.22751223361739825,R10LATIN_AM
IMAGE 3.0,ENGAGE-NPi2020-1400f,0.24450336245235055,0.23109375377396502,R10LATIN_AM
IMAGE 3.2,SSP2021-SSP1-SPA1-19-Default,0.3081324708574777,0.4356852839185557,R10LATIN_AM
IMAGE 3.2,SSP2021-SSP1-SPA1-19-Lifestyle-Renewables,0.40938782360053116,0.4754831894403354,R10LATIN_AM
IMAGE 3.2,SSP2021-SSP1-SPA1-19-Renewables,0.38404173192788776,0.5017878867428189,R10LATIN_AM
IMAGE 3.2,SSP2021-SSP1-SPA1-26-Default,0.29240013784272245,0.42312125245635573,R10LATIN_AM
IMAGE 3.2,SSP2021-SSP1-SPA1-26-Lifestyle,0.26079318668015755,0.39388421350957736,R10LATIN_AM
IMAGE 3.2,SSP2021-SSP1-SPA1-26-Lifestyle-Renewables,0.37544571281020195,0.43676409803161603,R10LATIN_AM
IMAGE 3.2,SSP2021-SSP1-SPA1-26-Renewables,0.37258452803109565,0.4853804352985153,R10LATIN_AM
IMAGE 3.2,SSP2021-SSP2-SPA0-26-Default,0.35350382744480824,0.43439067540882487,R10LATIN_AM
IMAGE 3.2,SSP2021-SSP2-SPA2-19-Renewables,0.5096451801752,0.5825183043064615,R10LATIN_AM
IMAGE 3.2,SSP2021-SSP2-SPA2-26-Default,0.3512530836478094,0.44346512953952233,R10LATIN_AM
IMAGE 3.2,SSP2021-SSP2-SPA2-26-Lifestyle,0.3105561217397022,0.4197860046940522,R10LATIN_AM
IMAGE 3.2,SSP2021-SSP2-SPA2-26-Lifestyle-Renewables,0.41566379797852593,0.4651034608180626,R10LATIN_AM
IMAGE 3.2,SSP2021-SSP2-SPA2-26-Renewables,0.46842447001737186,0.505637238006937,R10LATIN_AM
IMAGE 3.3,NAVIGATE Demand-1.5°C-ele_u,0.3658504837046724,0.48942023917349053,R10LATIN_AM
IMAGE 3.3,NAVIGATE Demand-1.5°C-tec_u,0.3350587481714831,0.45616281344818493,R10LATIN_AM
IMAGE 3.3,NAVIGATE Demand-2.0°C-ele_u,0.32819331408297325,0.46084464972220024,R10LATIN_AM
IMAGE 3.3,NAVIGATE Demand-2.0°C-ref,0.32137782887531513,0.44544060456527174,R10LATIN_AM
IMAGE 3.3,NAVIGATE Demand-2.0°C-tec_u,0.2897448722267821,0.41621213766817233,R10LATIN_AM
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,NGFS Phase 5-Below 2°C,0.19971759860105137,0.3176420090734696,R10LATIN_AM
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,NGFS Phase 5-Delayed Transition,0.19999910179999478,0.31815984088129445,R10LATIN_AM
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,NGFS Phase 5-Low Demand,0.09437827460865034,0.2017617122457043,R10LATIN_AM
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,NGFS Phase 5-Nationally Determined Contributions (NDCs),0.20365334455220518,0.3208666669050148,R10LATIN_AM
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,NGFS Phase 5-Net-Zero 2050,0.22271913275246105,0.346069619582587,R10LATIN_AM
POLES-JRC ENGAGE,ENGAGE-INDCi2030-1000,0.36097405783513714,0.4086318213736799,R10LATIN_AM
POLES-JRC ENGAGE,ENGAGE-INDCi2030-1000-COV,0.3266743851309199,0.3308821961800487,R10LATIN_AM
POLES-JRC ENGAGE,ENGAGE-INDCi2030-1000-COV-NDCp,0.31867099554039025,0.32086003376412936,R10LATIN_AM
POLES-JRC ENGAGE,ENGAGE-INDCi2030-1000-NDCp,0.35622821660419884,0.3709562998023755,R10LATIN_AM
POLES-JRC ENGAGE,ENGAGE-INDCi2030-1000f,0.44779109877656836,0.31619281393451293,R10LATIN_AM
POLES-JRC ENGAGE,ENGAGE-INDCi2030-1000f-COV,0.3337746071818465,0.26371932300719053,R10LATIN_AM
POLES-JRC ENGAGE,ENGAGE-INDCi2030-1000f-COV-NDCp,0.31967666849419474,0.2448412376976498,R10LATIN_AM
POLES-JRC ENGAGE,ENGAGE-INDCi2030-1000f-NDCp,0.4446387315725612,0.2890309314475417,R10LATIN_AM
POLES-JRC ENGAGE,ENGAGE-INDCi2030-1200,0.29028571005451104,0.2825007293186491,R10LATIN_AM
POLES-JRC ENGAGE,ENGAGE-INDCi2030-1200f,0.2987545368717181,0.2402198311939387,R10LATIN_AM
POLES-JRC ENGAGE,ENGAGE-INDCi2030-300f,0.7683609090213408,0.5306811855395072,R10LATIN_AM
POLES-JRC ENGAGE,ENGAGE-INDCi2030-400f,0.6828853253174992,0.46100189255692264,R10LATIN_AM
POLES-JRC ENGAGE,ENGAGE-INDCi2030-500f,0.6281095889329794,0.44300303080458164,R10LATIN_AM
POLES-JRC ENGAGE,ENGAGE-INDCi2030-600f,0.5664173359378691,0.43807572911647646,R10LATIN_AM
POLES-JRC ENGAGE,ENGAGE-INDCi2030-600f-COV,0.5421960093426075,0.4275584130540636,R10LATIN_AM
POLES-JRC ENGAGE,ENGAGE-INDCi2030-600f-COV-NDCp,0.5445856484958491,0.42115691988078363,R10LATIN_AM
POLES-JRC ENGAGE,ENGAGE-INDCi2030-600f-NDCp,0.5770698574288814,0.4426630769861827,R10LATIN_AM
POLES-JRC ENGAGE,ENGAGE-INDCi2030-700f,0.5741635334079568,0.4252245667425708,R10LATIN_AM
POLES-JRC ENGAGE,ENGAGE-INDCi2030-800f,0.5211486425496229,0.4045256012752577,R10LATIN_AM
POLES-JRC ENGAGE,ENGAGE-INDCi2030-900,0.38676858503718836,0.5034228569874216,R10LATIN_AM
POLES-JRC ENGAGE,ENGAGE-INDCi2030-900f,0.5033885539065347,0.3466133597841664,R10LATIN_AM
POLES-JRC ENGAGE,ENGAGE-NPi2020-1000f,0.3172615877835464,0.23618721366576942,R10LATIN_AM
POLES-JRC ENGAGE,ENGAGE-NPi2020-1000f-COV,0.29185673933857703,0.2211549026835125,R10LATIN_AM
POLES-JRC ENGAGE,ENGAGE-NPi2020-1200f,0.264613227174379,0.2141436538622877,R10LATIN_AM
POLES-JRC ENGAGE,ENGAGE-NPi2020-900f,0.3724334938117455,0.2562204136033875,R10LATIN_AM
REMIND-MAgPIE 2.1-4.2,NGFS Phase 2-Delayed Transition,0.30983022869675997,0.36022737083258666,R10LATIN_AM
REMIND-MAgPIE 3.2.0-4.8.0,RESCUE-End-of-Century-Budget-1150,0.4998946650112059,0.5109563501456907,R10LATIN_AM
REMIND-MAgPIE 3.2.0-4.8.0,RESCUE-End-of-Century-Budget-1150-with-OAE,0.5186051867941609,0.5187196758059258,R10LATIN_AM
REMIND-MAgPIE 3.2.0-4.8.0,RESCUE-End-of-Century-Budget-500,0.5804171510953413,0.5382002034523329,R10LATIN_AM
REMIND-MAgPIE 3.2.0-4.8.0,RESCUE-End-of-Century-Budget-500-with-OAE,0.5555898358528376,0.5356218487445077,R10LATIN_AM
REMIND-MAgPIE 3.2.0-4.8.0,RESCUE-Peak-Budget-1150,0.5396625486066137,0.5736235829256213,R10LATIN_AM
REMIND-MAgPIE 3.2.0-4.8.0,RESCUE-Peak-Budget-1150-with-OAE,0.539877254040114,0.573197035657796,R10LATIN_AM
REMIND-MAgPIE 3.3-4.8,NGFS Phase 5-Below 2°C,0.38541192062411145,0.44301178950610726,R10LATIN_AM
REMIND-MAgPIE 3.3-4.8,NGFS Phase 5-Delayed Transition,0.3802662383296422,0.4209325501401194,R10LATIN_AM
REMIND-MAgPIE 3.3-4.8,NGFS Phase 5-Low Demand,0.1990567873518339,0.24117404942839069,R10LATIN_AM
REMIND-MAgPIE 3.3-4.8,NGFS Phase 5-Net-Zero 2050,0.4589851269690917,0.5424871364610903,R10LATIN_AM
WITCH 5.0,ENGAGE-INDCi2030-1000,0.2173279191247044,0.2858829617939098,R10LATIN_AM
WITCH 5.0,ENGAGE-INDCi2030-1000-NDCp,0.2334917998968616,0.28432210103658406,R10LATIN_AM
WITCH 5.0,ENGAGE-INDCi2030-1000f,0.22181071480340894,0.2893915682185141,R10LATIN_AM
WITCH 5.0,ENGAGE-INDCi2030-1000f-NDCp,0.2450527452239716,0.29260286304778643,R10LATIN_AM
WITCH 5.0,ENGAGE-INDCi2030-1200,0.24888568561757088,0.3119694017832818,R10LATIN_AM
WITCH 5.0,ENGAGE-INDCi2030-1200-NDCp,0.2542627616357361,0.30754083173128133,R10LATIN_AM
WITCH 5.0,ENGAGE-INDCi2030-1200f,0.23723542252868787,0.3073895528809498,R10LATIN_AM
WITCH 5.0,ENGAGE-INDCi2030-1200f-NDCp,0.2569629131457606,0.3064050525975048,R10LATIN_AM
WITCH 5.0,ENGAGE-INDCi2030-1400,0.25406481060082303,0.3214453315157115,R10LATIN_AM
WITCH 5.0,ENGAGE-INDCi2030-1400-NDCp,0.2674878821543077,0.3155386468964502,R10LATIN_AM
WITCH 5.0,ENGAGE-INDCi2030-1400f,0.24809106726768027,0.318742208979567,R10LATIN_AM
WITCH 5.0,ENGAGE-INDCi2030-1400f-NDCp,0.2669907696238041,0.3163555193270447,R10LATIN_AM
WITCH 5.0,ENGAGE-INDCi2030-1600-NDCp,0.27930885597103206,0.31971618592434614,R10LATIN_AM
WITCH 5.0,ENGAGE-INDCi2030-500f,0.18539374152653457,0.23862305834754124,R10LATIN_AM
WITCH 5.0,ENGAGE-INDCi2030-600f,0.19002950767778562,0.23728428335232563,R10LATIN_AM
WITCH 5.0,ENGAGE-INDCi2030-600f-NDCp,0.21507864363162396,0.2469760376624774,R10LATIN_AM
WITCH 5.0,ENGAGE-INDCi2030-700f,0.20044819902451075,0.25623223491075076,R10LATIN_AM
WITCH 5.0,ENGAGE-INDCi2030-700f-NDCp,0.22317814396532593,0.2598523560437198,R10LATIN_AM
WITCH 5.0,ENGAGE-INDCi2030-800,0.210028324326443,0.2500942053511664,R10LATIN_AM
WITCH 5.0,ENGAGE-INDCi2030-800-NDCp,0.21739019250899683,0.24923090754589053,R10LATIN_AM
WITCH 5.0,ENGAGE-INDCi2030-800f,0.21152474933119736,0.27417688133805057,R10LATIN_AM
WITCH 5.0,ENGAGE-INDCi2030-800f-NDCp,0.23225994069647066,0.2754177000947619,R10LATIN_AM
WITCH 5.0,ENGAGE-INDCi2030-900,0.22652518348681394,0.2759428510258874,R10LATIN_AM
WITCH 5.0,ENGAGE-INDCi2030-900-NDCp,0.21905125490485006,0.26132634591526677,R10LATIN_AM
WITCH 5.0,ENGAGE-INDCi2030-900f,0.21714494849525484,0.28416863135442927,R10LATIN_AM
WITCH 5.0,ENGAGE-INDCi2030-900f-NDCp,0.23821298727222792,0.28480306953726714,R10LATIN_AM
IMAGE 3.0,ENGAGE-INDCi2030-1000,0.2585423030212954,0.339084824553664,R10INDIA+
IMAGE 3.0,ENGAGE-INDCi2030-1000f,0.2718867441660775,0.3071538522614346,R10INDIA+
IMAGE 3.0,ENGAGE-INDCi2030-1200,0.23561288934839344,0.31026484830485407,R10INDIA+
IMAGE 3.0,ENGAGE-INDCi2030-1200f,0.23597435423061355,0.3023730179494095,R10INDIA+
IMAGE 3.0,ENGAGE-INDCi2030-1400f,0.24081496964681912,0.3033310201153906,R10INDIA+
IMAGE 3.0,ENGAGE-INDCi2030-800f,0.2737322428832712,0.3349124111600318,R10INDIA+
IMAGE 3.0,ENGAGE-NPi2020-1000,0.24704067452377057,0.3199084184652884,R10INDIA+
IMAGE 3.0,ENGAGE-NPi2020-1200,0.2399645517082479,0.3133704642819617,R10INDIA+
IMAGE 3.0,ENGAGE-NPi2020-1400,0.2421141648126091,0.3221097925244789,R10INDIA+
IMAGE 3.0,ENGAGE-NPi2020-1400f,0.2454636777471966,0.31926861448431076,R10INDIA+
IMAGE 3.2,SSP2021-SSP1-SPA1-19-Default,0.27820445796914045,0.4782322213877762,R10INDIA+
IMAGE 3.2,SSP2021-SSP1-SPA1-19-Lifestyle-Renewables,0.29954677391814266,0.42752786667130527,R10INDIA+
IMAGE 3.2,SSP2021-SSP1-SPA1-19-Renewables,0.3334686234100164,0.5692513658629499,R10INDIA+
IMAGE 3.2,SSP2021-SSP1-SPA1-26-Default,0.2334712979507423,0.3677916661487332,R10INDIA+
IMAGE 3.2,SSP2021-SSP1-SPA1-26-Lifestyle,0.2063082373442563,0.33314583328452246,R10INDIA+
IMAGE 3.2,SSP2021-SSP1-SPA1-26-Lifestyle-Renewables,0.2650344658699789,0.36493711575266213,R10INDIA+
IMAGE 3.2,SSP2021-SSP1-SPA1-26-Renewables,0.25994759226470693,0.46541763841618244,R10INDIA+
IMAGE 3.2,SSP2021-SSP2-SPA0-26-Default,0.2759609917351066,0.3547079353245889,R10INDIA+
IMAGE 3.2,SSP2021-SSP2-SPA2-19-Renewables,0.3967702273849331,0.5849896921232065,R10INDIA+
IMAGE 3.2,SSP2021-SSP2-SPA2-26-Default,0.2697324369727064,0.37110100708327365,R10INDIA+
IMAGE 3.2,SSP2021-SSP2-SPA2-26-Lifestyle,0.2504188584933769,0.3665792559359266,R10INDIA+
IMAGE 3.2,SSP2021-SSP2-SPA2-26-Lifestyle-Renewables,0.29189937153031886,0.43497283235237993,R10INDIA+
IMAGE 3.2,SSP2021-SSP2-SPA2-26-Renewables,0.33734141825868125,0.4755182719263222,R10INDIA+
IMAGE 3.3,NAVIGATE Demand-1.5°C-ele_u,0.33395444640591426,0.5360950690850904,R10INDIA+
IMAGE 3.3,NAVIGATE Demand-1.5°C-tec_u,0.3284653437739046,0.5707062531616196,R10INDIA+
IMAGE 3.3,NAVIGATE Demand-2.0°C-ele_u,0.2630705183036392,0.375078074287825,R10INDIA+
IMAGE 3.3,NAVIGATE Demand-2.0°C-ref,0.2566759774759835,0.3834217901150567,R10INDIA+
IMAGE 3.3,NAVIGATE Demand-2.0°C-tec_u,0.23334190243396213,0.3508802106209162,R10INDIA+
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,NGFS Phase 5-Below 2°C,0.11501745121401348,0.20859975578500242,R10INDIA+
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,NGFS Phase 5-Delayed Transition,0.11338468053441322,0.20672949145602457,R10INDIA+
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,NGFS Phase 5-Low Demand,0.07272759124227603,0.18365797189491,R10INDIA+
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,NGFS Phase 5-Nationally Determined Contributions (NDCs),0.09773120019201648,0.18043039299199246,R10INDIA+
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,NGFS Phase 5-Net-Zero 2050,0.13884174003725688,0.25320916456048187,R10INDIA+
POLES-JRC ENGAGE,ENGAGE-INDCi2030-1000,0.4355403788529596,0.5259062292714922,R10INDIA+
POLES-JRC ENGAGE,ENGAGE-INDCi2030-1000-COV,0.37852715109309326,0.46214732555395444,R10INDIA+
POLES-JRC ENGAGE,ENGAGE-INDCi2030-1000-COV-NDCp,0.3719167854068081,0.45888550017005,R10INDIA+
POLES-JRC ENGAGE,ENGAGE-INDCi2030-1000-NDCp,0.4248558751672722,0.5211599634838309,R10INDIA+
POLES-JRC ENGAGE,ENGAGE-INDCi2030-1000f,0.4120225359760607,0.4508591708331865,R10INDIA+
POLES-JRC ENGAGE,ENGAGE-INDCi2030-1000f-COV,0.3617109080996483,0.3833798045817351,R10INDIA+
