,scenario,model,mean_value,mean_value_2050
0,ENGAGE-INDCi2030-1000,IMAGE 3.0,0.41777624632947863,0.5285165800531644
1,ENGAGE-INDCi2030-1000f,IMAGE 3.0,0.47478808932944855,0.49780702449755065
2,ENGAGE-INDCi2030-1200,IMAGE 3.0,0.3985490389565818,0.4957298330212655
3,ENGAGE-INDCi2030-1200f,IMAGE 3.0,0.42040577169089444,0.4963906396217875
4,ENGAGE-INDCi2030-1400f,IMAGE 3.0,0.429839620753653,0.498073053915667
5,ENGAGE-INDCi2030-800f,IMAGE 3.0,0.4772313370514836,0.5405206873712645
6,ENGAGE-NPi2020-1000,IMAGE 3.0,0.40051964471019097,0.500308545835302
7,ENGAGE-NPi2020-1200,IMAGE 3.0,0.39360766195773406,0.48256288312456325
8,ENGAGE-NPi2020-1400,IMAGE 3.0,0.4015168830593486,0.49733903127068557
9,ENGAGE-NPi2020-1400f,IMAGE 3.0,0.4131652472313518,0.49535041686220954
10,SSP2021-SSP1-SPA1-19-Default,IMAGE 3.2,0.5093995146930861,0.7927827869232672
11,SSP2021-SSP1-SPA1-19-Lifestyle-Renewables,IMAGE 3.2,0.6622251853296013,0.8428207266620146
12,SSP2021-SSP1-SPA1-19-Renewables,IMAGE 3.2,0.6115689743133252,0.9006532428152961
13,SSP2021-SSP1-SPA1-26-Default,IMAGE 3.2,0.4825248649374551,0.739789648612702
14,SSP2021-SSP1-SPA1-26-Lifestyle,IMAGE 3.2,0.4433602768352804,0.6997255322835381
15,SSP2021-SSP1-SPA1-26-Lifestyle-Renewables,IMAGE 3.2,0.6088122809932743,0.7628184476965432
16,SSP2021-SSP1-SPA1-26-Renewables,IMAGE 3.2,0.5797343902248918,0.858212669325309
17,SSP2021-SSP2-SPA0-26-Default,IMAGE 3.2,0.5557497206281301,0.7006164804461339
18,SSP2021-SSP2-SPA2-19-Renewables,IMAGE 3.2,0.79734065828383,1.0269434723848865
19,SSP2021-SSP2-SPA2-26-Default,IMAGE 3.2,0.5412904884561259,0.7269804301794608
20,SSP2021-SSP2-SPA2-26-Lifestyle,IMAGE 3.2,0.48242506716709166,0.6736348927774647
21,SSP2021-SSP2-SPA2-26-Lifestyle-Renewables,IMAGE 3.2,0.6238459593214013,0.7857010867665287
22,SSP2021-SSP2-SPA2-26-Renewables,IMAGE 3.2,0.7106166980845667,0.8672036915273282
23,NAVIGATE Demand-1.5°C-ele_u,IMAGE 3.3,0.5846083158969598,0.8543971638907718
24,NAVIGATE Demand-1.5°C-tec_u,IMAGE 3.3,0.5296528946107633,0.8050139308201341
25,NAVIGATE Demand-2.0°C-ele_u,IMAGE 3.3,0.5187031627530783,0.7367239353460426
26,NAVIGATE Demand-2.0°C-ref,IMAGE 3.3,0.49742395654500154,0.7198775164139067
27,NAVIGATE Demand-2.0°C-tec_u,IMAGE 3.3,0.4679284833063789,0.6849790089482365
28,NGFS Phase 5-Below 2°C,MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,0.39068973621758984,0.6206330014708731
29,NGFS Phase 5-Delayed Transition,MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,0.3874596902999647,0.6123992187736883
30,NGFS Phase 5-Low Demand,MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,0.28430306207031425,0.5228931975132787
31,NGFS Phase 5-Nationally Determined Contributions (NDCs),MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,0.3809013152924334,0.6004148556028652
32,NGFS Phase 5-Net-Zero 2050,MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,0.4299995295299026,0.6873388941215601
33,ENGAGE-INDCi2030-1000,POLES-JRC ENGAGE,0.5544801894308373,0.7466482817978028
34,ENGAGE-INDCi2030-1000-COV,POLES-JRC ENGAGE,0.5149199027537333,0.6835688469107152
35,ENGAGE-INDCi2030-1000-COV-NDCp,POLES-JRC ENGAGE,0.5200882394878071,0.6831830675678102
36,ENGAGE-INDCi2030-1000-NDCp,POLES-JRC ENGAGE,0.5425800643259913,0.7376848685550328
37,ENGAGE-INDCi2030-1000f,POLES-JRC ENGAGE,0.5973358416851534,0.6648217742623508
38,ENGAGE-INDCi2030-1000f-COV,POLES-JRC ENGAGE,0.5042788459522838,0.597504788971788
39,ENGAGE-INDCi2030-1000f-COV-NDCp,POLES-JRC ENGAGE,0.49285392379952087,0.5847820296217466
40,ENGAGE-INDCi2030-1000f-NDCp,POLES-JRC ENGAGE,0.559625306890333,0.6417266357351783
41,ENGAGE-INDCi2030-1200,POLES-JRC ENGAGE,0.476296399779135,0.6229286346878256
42,ENGAGE-INDCi2030-1200f,POLES-JRC ENGAGE,0.4706442913909348,0.5764798826345626
43,ENGAGE-INDCi2030-300f,POLES-JRC ENGAGE,0.7726213168703837,0.7768814375291351
44,ENGAGE-INDCi2030-400f,POLES-JRC ENGAGE,0.7613413235088381,0.779290986545001
45,ENGAGE-INDCi2030-500f,POLES-JRC ENGAGE,0.707030858640243,0.7708800011804806
46,ENGAGE-INDCi2030-600f,POLES-JRC ENGAGE,0.7088953393777991,0.7646684872900436
47,ENGAGE-INDCi2030-600f-COV,POLES-JRC ENGAGE,0.6865653696056573,0.7499313196472243
48,ENGAGE-INDCi2030-600f-COV-NDCp,POLES-JRC ENGAGE,0.6881756583939747,0.7524285994307559
49,ENGAGE-INDCi2030-600f-NDCp,POLES-JRC ENGAGE,0.6944446813282146,0.7761653203859519
50,ENGAGE-INDCi2030-700f,POLES-JRC ENGAGE,0.6782625764277866,0.7543001294322178
51,ENGAGE-INDCi2030-800f,POLES-JRC ENGAGE,0.6646657530927492,0.7428245005600295
52,ENGAGE-INDCi2030-900,POLES-JRC ENGAGE,0.5742652787875409,0.7745654111672882
53,ENGAGE-INDCi2030-900f,POLES-JRC ENGAGE,0.6453846080293035,0.6954016950412476
54,ENGAGE-NPi2020-1000f,POLES-JRC ENGAGE,0.49259044367831906,0.5863398996950548
55,ENGAGE-NPi2020-1000f-COV,POLES-JRC ENGAGE,0.4755113498017459,0.5687622668473242
56,ENGAGE-NPi2020-1200f,POLES-JRC ENGAGE,0.45426462959641295,0.5532894817175738
57,ENGAGE-NPi2020-900f,POLES-JRC ENGAGE,0.5288456857841035,0.6052486176336456
58,NGFS Phase 2-Delayed Transition,REMIND-MAgPIE 2.1-4.2,0.7128292705175366,0.8489502314586308
59,RESCUE-End-of-Century-Budget-1150,REMIND-MAgPIE 3.2.0-4.8.0,0.9041878501559414,0.8287513690255751
60,RESCUE-End-of-Century-Budget-1150-with-OAE,REMIND-MAgPIE 3.2.0-4.8.0,0.9132443790188766,0.8321194891578767
61,RESCUE-End-of-Century-Budget-500,REMIND-MAgPIE 3.2.0-4.8.0,0.9648895106691872,0.8766728179356522
62,RESCUE-End-of-Century-Budget-500-with-OAE,REMIND-MAgPIE 3.2.0-4.8.0,0.9861617825528222,0.8787235321765694
63,RESCUE-Peak-Budget-1150,REMIND-MAgPIE 3.2.0-4.8.0,0.879823864283985,0.9293477639777727
64,RESCUE-Peak-Budget-1150-with-OAE,REMIND-MAgPIE 3.2.0-4.8.0,0.8795875137169699,0.9281901729497404
65,NGFS Phase 5-Below 2°C,REMIND-MAgPIE 3.3-4.8,0.7489099977466713,0.8886696805509822
66,NGFS Phase 5-Delayed Transition,REMIND-MAgPIE 3.3-4.8,0.7755396937903466,0.9053231620721665
67,NGFS Phase 5-Low Demand,REMIND-MAgPIE 3.3-4.8,0.5708969313912972,0.7094269515391934
68,NGFS Phase 5-Net-Zero 2050,REMIND-MAgPIE 3.3-4.8,0.8456958011115574,1.0666096784231869
69,ENGAGE-INDCi2030-1000,WITCH 5.0,0.47017128018023474,0.5967450688731732
70,ENGAGE-INDCi2030-1000-NDCp,WITCH 5.0,0.4785775569837906,0.601180688217981
71,ENGAGE-INDCi2030-1000f,WITCH 5.0,0.4754560125136788,0.605073089037395
72,ENGAGE-INDCi2030-1000f-NDCp,WITCH 5.0,0.4789081273606133,0.6046989694357816
73,ENGAGE-INDCi2030-1200,WITCH 5.0,0.4864338503708526,0.6093806645888785
74,ENGAGE-INDCi2030-1200-NDCp,WITCH 5.0,0.48863543106904067,0.6120141191618549
75,ENGAGE-INDCi2030-1200f,WITCH 5.0,0.4793995426099399,0.6146938714320551
76,ENGAGE-INDCi2030-1200f-NDCp,WITCH 5.0,0.4820571065831716,0.6157531638522736
77,ENGAGE-INDCi2030-1400,WITCH 5.0,0.4907766938915165,0.6265897587153496
78,ENGAGE-INDCi2030-1400-NDCp,WITCH 5.0,0.4916956329185154,0.6245573733776868
79,ENGAGE-INDCi2030-1400f,WITCH 5.0,0.4853169491830196,0.6281166377491696
80,ENGAGE-INDCi2030-1400f-NDCp,WITCH 5.0,0.48887550378883504,0.6287770070757428
81,ENGAGE-INDCi2030-1600-NDCp,WITCH 5.0,0.5024915232492747,0.6390950458572943
82,ENGAGE-INDCi2030-500f,WITCH 5.0,0.4725151546571564,0.5852631021868206
83,ENGAGE-INDCi2030-600f,WITCH 5.0,0.46869836161256817,0.5847506154287305
84,ENGAGE-INDCi2030-600f-NDCp,WITCH 5.0,0.47370460236496637,0.5917473271208218
85,ENGAGE-INDCi2030-700f,WITCH 5.0,0.46922717177126316,0.5879378563651566
86,ENGAGE-INDCi2030-700f-NDCp,WITCH 5.0,0.4744647895975238,0.5943874113900051
87,ENGAGE-INDCi2030-800,WITCH 5.0,0.4687200699600714,0.5882300973784315
88,ENGAGE-INDCi2030-800-NDCp,WITCH 5.0,0.4704041599275248,0.5879822791428541
89,ENGAGE-INDCi2030-800f,WITCH 5.0,0.47108507697843766,0.5941902373391452
90,ENGAGE-INDCi2030-800f-NDCp,WITCH 5.0,0.47434984012806897,0.5977181130279491
91,ENGAGE-INDCi2030-900,WITCH 5.0,0.47490240412712453,0.5962106860100059
92,ENGAGE-INDCi2030-900-NDCp,WITCH 5.0,0.46377508580602556,0.5920573007219264
93,ENGAGE-INDCi2030-900f,WITCH 5.0,0.4722196586662879,0.5989811290948809
94,ENGAGE-INDCi2030-900f-NDCp,WITCH 5.0,0.47691307880874845,0.6047678144769003
