,scenario,model,mean_value,mean_value_2050,region
0,SSP1_SPA1_19I_D,IMAGE 3.2,0.7391363686922016,1.1348717722059398,R10LATIN_AM
1,SSP1_SPA1_19I_D_LB,IMAGE 3.2,0.7620268387722312,1.2512612390804598,R10LATIN_AM
2,SSP1_SPA1_19I_LI,IMAGE 3.2,0.6642648704070448,1.0605329680825353,R10LATIN_AM
3,SSP1_SPA1_19I_LIRE,IMAGE 3.2,0.928436526621329,1.2204809373527021,R10LATIN_AM
4,SSP1_SPA1_19I_LIRE_LB,IMAGE 3.2,0.9652122165124685,1.3181422240005876,R10LATIN_AM
5,SSP1_SPA1_19I_RE,IMAGE 3.2,0.8810511882018083,1.277064899397427,R10LATIN_AM
6,SSP1_SPA1_19I_RE_LB,IMAGE 3.2,0.933508406098291,1.4759710138519935,R10LATIN_AM
7,SSP2_SPA1_19I_D_LB,IMAGE 3.2,0.7900982822713405,1.1614159052197384,R10LATIN_AM
8,SSP2_SPA1_19I_LIRE_LB,IMAGE 3.2,0.9726999853943747,1.3172297108078448,R10LATIN_AM
9,SSP2_SPA1_19I_RE_LB,IMAGE 3.2,1.0773634978551805,1.4283819566259144,R10LATIN_AM
10,SSP2_SPA2_19I_D,IMAGE 3.2,0.8679703622441464,1.2199389167534826,R10LATIN_AM
11,SSP2_SPA2_19I_LI,IMAGE 3.2,0.824724844870589,1.174965605303452,R10LATIN_AM
12,SSP2_SPA2_19I_LIRE,IMAGE 3.2,1.168861646520086,1.4631292270277814,R10LATIN_AM
13,SSP2_SPA2_19I_RE,IMAGE 3.2,1.1158708984248844,1.450723878656794,R10LATIN_AM
14,EN_INDCi2030_600f_COV,MESSAGEix-GLOBIOM_1.1,0.6597289470955342,0.7661367251153283,R10LATIN_AM
15,EN_INDCi2030_600f_COV_NDCp,MESSAGEix-GLOBIOM_1.1,0.6495710568953498,0.723135113558328,R10LATIN_AM
16,EN_INDCi2030_700f,MESSAGEix-GLOBIOM_1.1,0.6063881343724035,0.7324640740716731,R10LATIN_AM
17,EN_INDCi2030_700f_COV,MESSAGEix-GLOBIOM_1.1,0.6429606949207833,0.7310175392939569,R10LATIN_AM
18,EN_INDCi2030_700f_COV_NDCp,MESSAGEix-GLOBIOM_1.1,0.6277130991566773,0.6984376762525919,R10LATIN_AM
19,EN_INDCi2030_700f_NDCp,MESSAGEix-GLOBIOM_1.1,0.6034684692306701,0.7258552615925322,R10LATIN_AM
20,EN_NPi2020_200f,MESSAGEix-GLOBIOM_1.1,0.6054807136167862,0.7208250442531985,R10LATIN_AM
21,EN_NPi2020_300f,MESSAGEix-GLOBIOM_1.1,0.5994721161038045,0.7057983150106887,R10LATIN_AM
22,EN_NPi2020_400f,MESSAGEix-GLOBIOM_1.1,0.600125689053463,0.7105617384345357,R10LATIN_AM
23,EN_NPi2020_450,MESSAGEix-GLOBIOM_1.1,0.682479830073789,0.9319110315473934,R10LATIN_AM
24,EN_NPi2020_450f,MESSAGEix-GLOBIOM_1.1,0.5980808230508308,0.7029717038764054,R10LATIN_AM
25,EN_NPi2020_500,MESSAGEix-GLOBIOM_1.1,0.6279939403538717,0.8183634404807378,R10LATIN_AM
26,EN_NPi2020_500f,MESSAGEix-GLOBIOM_1.1,0.5937362312927665,0.693872277086319,R10LATIN_AM
27,EN_NPi2020_600,MESSAGEix-GLOBIOM_1.1,0.5795385960157535,0.7254511589108092,R10LATIN_AM
28,EN_NPi2020_600_COV,MESSAGEix-GLOBIOM_1.1,0.6124959532916383,0.7183630492532893,R10LATIN_AM
29,EN_NPi2020_600_DR10p,MESSAGEix-GLOBIOM_1.1,0.6149033697408147,0.8033370094695251,R10LATIN_AM
30,EN_NPi2020_600_DR1p,MESSAGEix-GLOBIOM_1.1,0.6013863989599795,0.7351525579061238,R10LATIN_AM
31,EN_NPi2020_600_DR2p,MESSAGEix-GLOBIOM_1.1,0.6026986802800349,0.759232798921182,R10LATIN_AM
32,EN_NPi2020_600_DR3p,MESSAGEix-GLOBIOM_1.1,0.5894116432565184,0.7208619346182196,R10LATIN_AM
33,EN_NPi2020_600_DR4p,MESSAGEix-GLOBIOM_1.1,0.5896796476308901,0.7411278892422987,R10LATIN_AM
34,EN_NPi2020_600f,MESSAGEix-GLOBIOM_1.1,0.5884482085088183,0.6698907665170146,R10LATIN_AM
35,EN_NPi2020_600f_COV,MESSAGEix-GLOBIOM_1.1,0.6326912390344561,0.6577675056336191,R10LATIN_AM
36,EN_NPi2020_600f_DR10p,MESSAGEix-GLOBIOM_1.1,0.6208627486325949,0.7159003985973912,R10LATIN_AM
37,EN_NPi2020_600f_DR1p,MESSAGEix-GLOBIOM_1.1,0.5907653023587776,0.6793821171221294,R10LATIN_AM
