,scenario,model,forest_change_2050,forest_change_2100,bioenergy_threshold_breached
0,SSP1_SPA1_19I_D,IMAGE 3.2,0.0246865625233903,0.05981905623135647,1
1,SSP1_SPA1_19I_D_LB,IMAGE 3.2,0.024756726195574785,0.06109148971859679,0
2,SSP1_SPA1_19I_LI,IMAGE 3.2,0.050062694519066586,0.06285919757489417,1
3,SSP1_SPA1_19I_LIRE,IMAGE 3.2,0.04902241480015218,0.06246821118733631,1
4,SSP1_SPA1_19I_LIRE_LB,IMAGE 3.2,0.049087580781485785,0.06344876269788552,1
5,SSP1_SPA1_19I_RE,IMAGE 3.2,0.02644684624140403,0.061346285261113964,1
6,SSP1_SPA1_19I_RE_LB,IMAGE 3.2,0.024912359179095234,0.061648472546633915,0
7,SSP2_SPA1_19I_D_LB,IMAGE 3.2,0.019749061185192207,0.05777549647783342,1
8,SSP2_SPA1_19I_LIRE_LB,IMAGE 3.2,0.03703043740259898,0.03506300566236853,1
9,SSP2_SPA1_19I_RE_LB,IMAGE 3.2,0.019891700876874474,0.05842991062251929,1
10,SSP2_SPA2_19I_D,IMAGE 3.2,0.019566403590883352,0.05418232778748239,1
11,SSP2_SPA2_19I_LI,IMAGE 3.2,0.03666697297070998,0.03309957806501074,1
12,SSP2_SPA2_19I_LIRE,IMAGE 3.2,0.03614562647253983,0.03128532965969716,1
13,SSP2_SPA2_19I_RE,IMAGE 3.2,0.020758924550095204,0.05513439076684551,1
14,EN_INDCi2030_600f_COV,MESSAGEix-GLOBIOM_1.1,-0.00839358719338712,-0.06257588004484141,1
15,EN_INDCi2030_600f_COV_NDCp,MESSAGEix-GLOBIOM_1.1,-0.008460480008559756,-0.061536963244117615,1
16,EN_INDCi2030_700f,MESSAGEix-GLOBIOM_1.1,-0.005677295083843736,-0.06192681034152406,1
17,EN_INDCi2030_700f_COV,MESSAGEix-GLOBIOM_1.1,-0.005401919450113091,-0.05784398151768849,1
18,EN_INDCi2030_700f_COV_NDCp,MESSAGEix-GLOBIOM_1.1,-0.005798353123939615,-0.057241183697275155,1
19,EN_INDCi2030_700f_NDCp,MESSAGEix-GLOBIOM_1.1,-0.00600761372390618,-0.06202179271889979,1
20,EN_NPi2020_200f,MESSAGEix-GLOBIOM_1.1,-0.0079487499121908,-0.06162880188800163,1
21,EN_NPi2020_300f,MESSAGEix-GLOBIOM_1.1,-0.006817217430572398,-0.058774178437877106,1
22,EN_NPi2020_400f,MESSAGEix-GLOBIOM_1.1,-0.006340048403398746,-0.05457393382228165,1
23,EN_NPi2020_450,MESSAGEix-GLOBIOM_1.1,-0.0302280719383759,-0.00562250934625691,1
24,EN_NPi2020_450f,MESSAGEix-GLOBIOM_1.1,-0.006161245557287365,-0.05448856189987941,1
25,EN_NPi2020_500,MESSAGEix-GLOBIOM_1.1,-0.018974406674384603,-0.007009937375729358,1
26,EN_NPi2020_500f,MESSAGEix-GLOBIOM_1.1,-0.006226169906179135,-0.05068697602106259,1
27,EN_NPi2020_600,MESSAGEix-GLOBIOM_1.1,-0.006427329315375985,-0.0071190545611331535,1
28,EN_NPi2020_600_COV,MESSAGEix-GLOBIOM_1.1,-0.006529029655503726,-0.0020091644542940545,1
29,EN_NPi2020_600_DR10p,MESSAGEix-GLOBIOM_1.1,-0.02452243483604749,-0.02162822470013187,1
30,EN_NPi2020_600_DR1p,MESSAGEix-GLOBIOM_1.1,-0.00534062941435115,0.005608453482493225,0
31,EN_NPi2020_600_DR2p,MESSAGEix-GLOBIOM_1.1,-0.0057741564320965555,0.0033967901854334848,0
32,EN_NPi2020_600_DR3p,MESSAGEix-GLOBIOM_1.1,-0.005910961454148267,0.002564485254965887,1
33,EN_NPi2020_600_DR4p,MESSAGEix-GLOBIOM_1.1,-0.00635128199428564,-0.0011601690204565696,1
34,EN_NPi2020_600f,MESSAGEix-GLOBIOM_1.1,-0.005015910653543454,-0.046793014781540465,1
35,EN_NPi2020_600f_COV,MESSAGEix-GLOBIOM_1.1,-0.00391263797307928,-0.04611929147576893,1
36,EN_NPi2020_600f_DR10p,MESSAGEix-GLOBIOM_1.1,-0.006990323452300107,-0.06299644294920129,1
37,EN_NPi2020_600f_DR1p,MESSAGEix-GLOBIOM_1.1,-0.004045747414354706,-0.019237506795439646,1
38,EN_NPi2020_600f_DR2p,MESSAGEix-GLOBIOM_1.1,-0.004011384346081337,-0.02412919734589178,1
39,EN_NPi2020_600f_DR3p,MESSAGEix-GLOBIOM_1.1,-0.0039849405493136425,-0.030656668222738465,1
40,EN_NPi2020_600f_DR4p,MESSAGEix-GLOBIOM_1.1,-0.00445099094377982,-0.03772465809554598,1
41,EN_NPi2020_700,MESSAGEix-GLOBIOM_1.1,-0.005890048072715703,-0.004916305694363077,1
42,EN_NPi2020_700_COV,MESSAGEix-GLOBIOM_1.1,-0.004772033458359137,-0.001445428379938496,1
43,EN_NPi2020_700f,MESSAGEix-GLOBIOM_1.1,-0.004027785100903514,-0.04364848723599268,1
44,EN_NPi2020_700f_COV,MESSAGEix-GLOBIOM_1.1,-0.004608376282789539,-0.038809406511672084,1
45,NGFS2_Divergent Net Zero Policies,MESSAGEix-GLOBIOM_1.1,-0.024773627236570145,-0.02549139972741421,1
46,NGFS2_Net-Zero 2050,MESSAGEix-GLOBIOM_1.1,-0.00894523759626542,-0.0029547106676311996,1
47,CD-LINKS_INDC2030i_1000,REMIND-MAgPIE 1.7-3.0,-0.003806999618100715,-0.0017838313716611598,1
48,CD-LINKS_INDC2030i_400,REMIND-MAgPIE 1.7-3.0,-0.003814909852114301,-0.001784032807590985,1
49,CD-LINKS_NPi2020_1000,REMIND-MAgPIE 1.7-3.0,-2.5450654980163634e-05,0.0019922710738182747,1
50,CD-LINKS_NPi2020_400,REMIND-MAgPIE 1.7-3.0,-1.2272096648002773e-05,0.0020142120950979447,1
51,CO_2Deg2020,REMIND-MAgPIE 1.7-3.0,-5.3388268940135486e-05,0.0019741805778125676,1
52,CO_2Deg2030,REMIND-MAgPIE 1.7-3.0,-0.005125173100286207,-0.003095520166413346,1
53,CO_Bridge,REMIND-MAgPIE 1.7-3.0,-0.004977830465152988,-0.0027795059301924385,1
54,PEP_1p5C_full_NDC,REMIND-MAgPIE 1.7-3.0,-0.005131998679293093,-0.0030945207342999437,1
55,PEP_1p5C_full_eff,REMIND-MAgPIE 1.7-3.0,-2.4761124297334458e-05,0.0020107566941478527,1
56,PEP_1p5C_full_goodpractice,REMIND-MAgPIE 1.7-3.0,-0.0049737862514848685,-0.002775453968988595,1
57,PEP_1p5C_full_netzero,REMIND-MAgPIE 1.7-3.0,-0.00497431308391677,-0.0027759885489561653,1
58,PEP_1p5C_red_eff,REMIND-MAgPIE 1.7-3.0,5.043645781410699e-06,0.0020469066960161486,1
59,PEP_2C_full_NDC,REMIND-MAgPIE 1.7-3.0,-0.005125173100286207,-0.003095520166413346,1
60,PEP_2C_full_eff,REMIND-MAgPIE 1.7-3.0,-5.3388268940135486e-05,0.0019741805778125676,1
61,PEP_2C_full_goodpractice,REMIND-MAgPIE 1.7-3.0,-0.004978442520478243,-0.002780117985517694,1
62,PEP_2C_full_netzero,REMIND-MAgPIE 1.7-3.0,-0.004978969352910034,-0.0027806448179494847,1
63,PEP_2C_red_NDC,REMIND-MAgPIE 1.7-3.0,-0.0048970159196132235,-0.002858554037578287,1
64,PEP_2C_red_eff,REMIND-MAgPIE 1.7-3.0,-1.7013588534731117e-05,0.002024849461700007,1
65,PEP_2C_red_goodpractice,REMIND-MAgPIE 1.7-3.0,-0.005015801137925435,-0.002910439284580457,1
66,PEP_2C_red_netzero,REMIND-MAgPIE 1.7-3.0,-0.0050143833388809345,-0.0029090137380001213,1
67,CEMICS_SSP1-1p5C-fullCDR,REMIND-MAgPIE 2.1-4.2,-4.839690415647802e-07,-9.67933547785238e-07,1
68,CEMICS_SSP1-1p5C-minCDR,REMIND-MAgPIE 2.1-4.2,-4.839690415647802e-07,-9.67933547785238e-07,1
69,CEMICS_SSP2-1p5C-fullCDR,REMIND-MAgPIE 2.1-4.2,-4.1856010235125085e-06,-4.669570542695234e-06,1
70,CEMICS_SSP2-1p5C-minCDR,REMIND-MAgPIE 2.1-4.2,-5.152286108867088e-07,-9.030274539245653e-07,1
71,EN_INDCi2030_300f,REMIND-MAgPIE 2.1-4.2,-0.016246618459475295,-0.016247264706693326,1
72,EN_INDCi2030_400f,REMIND-MAgPIE 2.1-4.2,-0.016078132747130075,-0.016078779783798,1
