,scenario,model,forest_change_2050,forest_change_2100,bioenergy_threshold_breached
0,ENGAGE-INDCi2030-1000,IMAGE 3.0,0.0035688359714988738,0.018004905784487824,1
1,ENGAGE-INDCi2030-1000f,IMAGE 3.0,0.004078796923404959,0.01565129801255033,1
2,ENGAGE-INDCi2030-1200,IMAGE 3.0,0.0038179232585813794,0.017684825985500474,1
3,ENGAGE-INDCi2030-1200f,IMAGE 3.0,0.004101814290854822,0.015303357022971698,1
4,ENGAGE-INDCi2030-1400f,IMAGE 3.0,0.004113076134457494,0.015455097184575273,1
5,ENGAGE-INDCi2030-800f,IMAGE 3.0,0.003619807515926665,0.015529393749637188,1
6,ENGAGE-NPi2020-1000,IMAGE 3.0,0.0035700701461402473,0.01794335197757463,1
7,ENGAGE-NPi2020-1200,IMAGE 3.0,0.003614130170921992,0.017483163989518158,1
8,ENGAGE-NPi2020-1400,IMAGE 3.0,0.0038302341506292192,0.018736825284003056,1
9,ENGAGE-NPi2020-1400f,IMAGE 3.0,0.0039149910945988076,0.016430917858851868,1
10,SSP2021-SSP1-SPA1-19-Default,IMAGE 3.2,0.027962586900591058,0.07036873008417438,1
11,SSP2021-SSP1-SPA1-19-Lifestyle-Renewables,IMAGE 3.2,0.052720074435257225,0.07160975390682273,1
12,SSP2021-SSP1-SPA1-19-Renewables,IMAGE 3.2,0.029532587386698728,0.07164144157189278,1
13,SSP2021-SSP1-SPA1-26-Default,IMAGE 3.2,0.024661892919915995,0.06428492939987412,1
14,SSP2021-SSP1-SPA1-26-Lifestyle,IMAGE 3.2,0.05298459552740037,0.07267268663900023,1
15,SSP2021-SSP1-SPA1-26-Lifestyle-Renewables,IMAGE 3.2,0.0530045586204832,0.07345691181841957,1
16,SSP2021-SSP1-SPA1-26-Renewables,IMAGE 3.2,0.02639570315739692,0.06602783045553645,1
17,SSP2021-SSP2-SPA0-26-Default,IMAGE 3.2,-0.005624109347319883,-0.013798052401620908,1
18,SSP2021-SSP2-SPA2-19-Renewables,IMAGE 3.2,0.020990819392292304,0.06086473565465261,1
19,SSP2021-SSP2-SPA2-26-Default,IMAGE 3.2,0.0071527599189363245,0.04559285056850865,1
20,SSP2021-SSP2-SPA2-26-Lifestyle,IMAGE 3.2,0.03716541858900574,0.039075274239174895,1
21,SSP2021-SSP2-SPA2-26-Lifestyle-Renewables,IMAGE 3.2,0.03723428553399527,0.039613214401346186,1
22,SSP2021-SSP2-SPA2-26-Renewables,IMAGE 3.2,0.008755211997562129,0.03806273725091708,1
23,NAVIGATE Demand-1.5°C-ele_u,IMAGE 3.3,0.01807001077511383,0.06208116223625648,1
24,NAVIGATE Demand-1.5°C-tec_u,IMAGE 3.3,0.018433444403160137,0.06259355526998867,1
25,NAVIGATE Demand-2.0°C-ele_u,IMAGE 3.3,0.0007318934517571707,0.015754347867604712,1
26,NAVIGATE Demand-2.0°C-ref,IMAGE 3.3,0.0010388945892855772,0.015879337637688284,1
27,NAVIGATE Demand-2.0°C-tec_u,IMAGE 3.3,0.0011995531282688598,0.016090255800813857,1
28,NGFS Phase 5-Below 2°C,MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,0.015982374346830863,0.039549381848539455,0
29,NGFS Phase 5-Delayed Transition,MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,0.014450735632347611,0.03934149440860968,0
30,NGFS Phase 5-Low Demand,MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,0.019736178200851273,0.03154006153498112,0
31,NGFS Phase 5-Nationally Determined Contributions (NDCs),MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,0.012356384753111183,0.028082285798534168,0
32,NGFS Phase 5-Net-Zero 2050,MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,0.022334876037671425,0.04238014471397883,1
33,ENGAGE-INDCi2030-1000,POLES-JRC ENGAGE,0.01037118320391578,0.02473372602674989,1
34,ENGAGE-INDCi2030-1000-COV,POLES-JRC ENGAGE,0.010487182353255298,0.024503820305317725,1
35,ENGAGE-INDCi2030-1000-COV-NDCp,POLES-JRC ENGAGE,0.010593496388433876,0.024881928643634366,1
36,ENGAGE-INDCi2030-1000-NDCp,POLES-JRC ENGAGE,0.01038681271892894,0.0244381356018204,1
37,ENGAGE-INDCi2030-1000f,POLES-JRC ENGAGE,0.01059314453916227,0.021723229585205228,1
38,ENGAGE-INDCi2030-1000f-COV,POLES-JRC ENGAGE,0.01095421596537921,0.022226318488479224,1
39,ENGAGE-INDCi2030-1000f-COV-NDCp,POLES-JRC ENGAGE,0.011207602996096522,0.02251172380291433,1
40,ENGAGE-INDCi2030-1000f-NDCp,POLES-JRC ENGAGE,0.010737958292009575,0.021858376742274255,1
41,ENGAGE-INDCi2030-1200,POLES-JRC ENGAGE,0.010811976267729562,0.02376814051511772,1
42,ENGAGE-INDCi2030-1200f,POLES-JRC ENGAGE,0.011390342396748354,0.022285781015383643,1
43,ENGAGE-INDCi2030-300f,POLES-JRC ENGAGE,0.010376757237113565,0.021333528739307772,1
44,ENGAGE-INDCi2030-400f,POLES-JRC ENGAGE,0.010378849814360602,0.021524712522478506,1
45,ENGAGE-INDCi2030-500f,POLES-JRC ENGAGE,0.010391757127114376,0.02153078655200974,1
