,scenario,model,forest_change_2050,forest_change_2100,bioenergy_threshold_breached,region
0,ENGAGE-INDCi2030-1000,IMAGE 3.0,0.011648310295085229,0.05221592861754076,0,R10LATIN_AM
1,ENGAGE-INDCi2030-1000f,IMAGE 3.0,0.012016128957284933,0.04693137200177033,0,R10LATIN_AM
2,ENGAGE-INDCi2030-1200,IMAGE 3.0,0.011799314584336529,0.05165755918294335,0,R10LATIN_AM
3,ENGAGE-INDCi2030-1200f,IMAGE 3.0,0.011922034059302145,0.047286660555755644,0,R10LATIN_AM
4,ENGAGE-INDCi2030-1400f,IMAGE 3.0,0.01196249967643881,0.04784684112479759,0,R10LATIN_AM
5,ENGAGE-INDCi2030-800f,IMAGE 3.0,0.011727372492197352,0.047107568659533305,0,R10LATIN_AM
6,ENGAGE-NPi2020-1000,IMAGE 3.0,0.01186051096522689,0.05125036899490126,0,R10LATIN_AM
7,ENGAGE-NPi2020-1200,IMAGE 3.0,0.011742516120304358,0.05040094204987522,0,R10LATIN_AM
8,ENGAGE-NPi2020-1400,IMAGE 3.0,0.011834109175724083,0.05300506346434464,0,R10LATIN_AM
9,ENGAGE-NPi2020-1400f,IMAGE 3.0,0.011852914111836588,0.051049068433263234,0,R10LATIN_AM
10,SSP2021-SSP1-SPA1-19-Default,IMAGE 3.2,0.03440488271686515,0.08629842473317295,1,R10LATIN_AM
11,SSP2021-SSP1-SPA1-19-Lifestyle-Renewables,IMAGE 3.2,0.1268771895341511,0.15505962837024406,1,R10LATIN_AM
12,SSP2021-SSP1-SPA1-19-Renewables,IMAGE 3.2,0.038040879453788645,0.08980300186682916,0,R10LATIN_AM
13,SSP2021-SSP1-SPA1-26-Default,IMAGE 3.2,0.03480593718553254,0.08798904383105272,0,R10LATIN_AM
14,SSP2021-SSP1-SPA1-26-Lifestyle,IMAGE 3.2,0.12676402941667297,0.15527612747916542,0,R10LATIN_AM
15,SSP2021-SSP1-SPA1-26-Lifestyle-Renewables,IMAGE 3.2,0.1268482486436323,0.15559219017382386,0,R10LATIN_AM
16,SSP2021-SSP1-SPA1-26-Renewables,IMAGE 3.2,0.037948676507134405,0.09157193597657581,0,R10LATIN_AM
17,SSP2021-SSP2-SPA0-26-Default,IMAGE 3.2,-0.006788625449303642,-0.027406371225719817,1,R10LATIN_AM
18,SSP2021-SSP2-SPA2-19-Renewables,IMAGE 3.2,0.02759007740018876,0.10002794622294459,1,R10LATIN_AM
