model,scenario,environmental_score,environmental_score_2050
IMAGE 3.2,SSP1_SPA1_19I_D,1.0226620790506982,1.2649668025253011
IMAGE 3.2,SSP1_SPA1_19I_D_LB,0.014717638214916265,0.26423418323268005
IMAGE 3.2,SSP1_SPA1_19I_LI,1.003680950938036,1.0
IMAGE 3.2,SSP1_SPA1_19I_LIRE,1.006122075173367,1.0108621594063127
IMAGE 3.2,SSP1_SPA1_19I_LIRE_LB,1.0,1.0101817238809012
IMAGE 3.2,SSP1_SPA1_19I_RE,1.0131268217729983,1.2465866668774053
IMAGE 3.2,SSP1_SPA1_19I_RE_LB,0.011240114895811485,0.2626091296580089
IMAGE 3.2,SSP2_SPA1_19I_D_LB,1.0354210481591417,1.316522096384494
IMAGE 3.2,SSP2_SPA1_19I_LIRE_LB,1.177226526658485,1.136077298873855
IMAGE 3.2,SSP2_SPA1_19I_RE_LB,1.0313352122339723,1.3150327132497959
IMAGE 3.2,SSP2_SPA2_19I_D,1.0578550035365573,1.31842932947775
IMAGE 3.2,SSP2_SPA2_19I_LI,1.1894851905014026,1.139872440243931
IMAGE 3.2,SSP2_SPA2_19I_LIRE,1.2008124537823188,1.1453161191565184
IMAGE 3.2,SSP2_SPA2_19I_RE,1.0519107965604477,1.305977531640293
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_600f_COV,1.7868350905252908,1.6103756890729528
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_600f_COV_NDCp,1.7803486115545504,1.6110741554645693
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_700f,1.7827826226297097,1.5820133194607107
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_700f_COV,1.757291473301398,1.5791379639425633
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_700f_COV_NDCp,1.7535279039924845,1.583277356147218
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_700f_NDCp,1.7833756452788854,1.5854623665371819
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_200f,1.7809220062978444,1.605730886939093
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_300f,1.7630991594965273,1.593915904905619
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_400f,1.7368749244547568,1.5889335083994913
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_450,1.431246615017175,1.8383621138225137
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_450f,1.7363419046990192,1.5870665249512403
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_500,1.439909024490502,1.7208561163679805
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_500f,1.7126066962191584,1.5877444374532255
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600,1.440590297839797,1.5898448586467246
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600_COV,1.4086866894876038,1.5909067704441568
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600_DR10p,1.5311783284924352,1.7787862722548824
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600_DR1p,0.3611260777815656,0.5784979993961438
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600_DR2p,0.3749346016756271,0.5830247045582978
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600_DR3p,1.3801310990515097,1.584453164548521
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600_DR4p,1.4033859849229988,1.589050804788818
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600f,1.6882947420035361,1.575107423882671
