model,scenario,environmental_score,environmental_score_2050
IMAGE 3.0,ENGAGE-INDCi2030-1000,1.7023904061319217,1.8432005085998702
IMAGE 3.0,ENGAGE-INDCi2030-1000f,1.7244152834729556,1.8345023585380922
IMAGE 3.0,ENGAGE-INDCi2030-1200,1.7053856878420244,1.838951950757497
IMAGE 3.0,ENGAGE-INDCi2030-1200f,1.7276712880242493,1.8341097627611842
IMAGE 3.0,ENGAGE-INDCi2030-1400f,1.7262513154668522,1.8339176751018025
IMAGE 3.0,ENGAGE-INDCi2030-800f,1.7255560540253072,1.8423311123438304
IMAGE 3.0,ENGAGE-NPi2020-1000,1.7029664218399345,1.8431794578974716
IMAGE 3.0,ENGAGE-NPi2020-1200,1.707272825018752,1.8424279479909889
IMAGE 3.0,ENGAGE-NPi2020-1400,1.6955411607340523,1.8387419700010748
IMAGE 3.0,ENGAGE-NPi2020-1400f,1.717119661962796,1.837296313005829
IMAGE 3.2,SSP2021-SSP1-SPA1-19-Default,1.2123738362262935,1.4271284439490328
IMAGE 3.2,SSP2021-SSP1-SPA1-19-Lifestyle-Renewables,1.2007604324140555,1.0048523051109097
IMAGE 3.2,SSP2021-SSP1-SPA1-19-Renewables,1.2004639017241452,1.400349727315561
IMAGE 3.2,SSP2021-SSP1-SPA1-26-Default,1.26930556692359,1.4834267378568482
IMAGE 3.2,SSP2021-SSP1-SPA1-26-Lifestyle,1.1908135910893825,1.0003405005396655
IMAGE 3.2,SSP2021-SSP1-SPA1-26-Lifestyle-Renewables,1.1834748732323108,1.0
IMAGE 3.2,SSP2021-SSP1-SPA1-26-Renewables,1.252995635240742,1.453853999850364
IMAGE 3.2,SSP2021-SSP2-SPA0-26-Default,2.0,2.0
IMAGE 3.2,SSP2021-SSP2-SPA2-19-Renewables,1.3013114723336758,1.546042411295645
IMAGE 3.2,SSP2021-SSP2-SPA2-26-Default,1.4442245778218479,1.7820713021610393
IMAGE 3.2,SSP2021-SSP2-SPA2-26-Lifestyle,1.5052155470589321,1.2701603256648413
IMAGE 3.2,SSP2021-SSP2-SPA2-26-Lifestyle-Renewables,1.5001815451194818,1.2689856964710255
IMAGE 3.2,SSP2021-SSP2-SPA2-26-Renewables,1.5146907889558772,1.7547390748707004
IMAGE 3.3,NAVIGATE Demand-1.5°C-ele_u,1.289928247578201,1.5958611896922907
IMAGE 3.3,NAVIGATE Demand-1.5°C-tec_u,1.2851333136674152,1.5896622832418512
IMAGE 3.3,NAVIGATE Demand-2.0°C-ele_u,1.7234509509938374,1.891588824727053
IMAGE 3.3,NAVIGATE Demand-2.0°C-ref,1.7222813065068516,1.886352459171264
IMAGE 3.3,NAVIGATE Demand-2.0°C-tec_u,1.7203075508423669,1.8836121864590898
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,NGFS Phase 5-Below 2°C,0.5007788851532357,0.6314689648754054
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,NGFS Phase 5-Delayed Transition,0.5027242795472329,0.6575933638695004
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,NGFS Phase 5-Low Demand,0.5757294778537159,0.5674422014483074
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,NGFS Phase 5-Nationally Determined Contributions (NDCs),0.6080870725965966,0.6933156640995969
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,NGFS Phase 5-Net-Zero 2050,1.4742888277884387,1.523117506262544
POLES-JRC ENGAGE,ENGAGE-INDCi2030-1000,1.6394226328891923,1.7271762585494932
POLES-JRC ENGAGE,ENGAGE-INDCi2030-1000-COV,1.6415740726383803,1.725197718811848
POLES-JRC ENGAGE,ENGAGE-INDCi2030-1000-COV-NDCp,1.6380357643984351,1.7233843732445058
POLES-JRC ENGAGE,ENGAGE-INDCi2030-1000-NDCp,1.642188744953351,1.7269096736933989
POLES-JRC ENGAGE,ENGAGE-INDCi2030-1000f,1.6675946229935823,1.7233903745623558
POLES-JRC ENGAGE,ENGAGE-INDCi2030-1000f-COV,1.6628867564075014,1.7172317590124462
POLES-JRC ENGAGE,ENGAGE-INDCi2030-1000f-COV-NDCp,1.6602159558102814,1.7129098625836128
POLES-JRC ENGAGE,ENGAGE-INDCi2030-1000f-NDCp,1.6663299264740838,1.72092035847864
POLES-JRC ENGAGE,ENGAGE-INDCi2030-1200,1.6484585065422053,1.7196578707182044
POLES-JRC ENGAGE,ENGAGE-INDCi2030-1200f,1.6623303107341514,1.7097929676073846
POLES-JRC ENGAGE,ENGAGE-INDCi2030-300f,1.6712414130122624,1.727081185040389
POLES-JRC ENGAGE,ENGAGE-INDCi2030-400f,1.6694523301310205,1.727045492992119
POLES-JRC ENGAGE,ENGAGE-INDCi2030-500f,1.669395489838009,1.7268253393846589
POLES-JRC ENGAGE,ENGAGE-INDCi2030-600f,1.6690655388688227,1.7275195971023058
POLES-JRC ENGAGE,ENGAGE-INDCi2030-600f-COV,1.6681188360617498,1.7286058356332403
POLES-JRC ENGAGE,ENGAGE-INDCi2030-600f-COV-NDCp,1.667777794303682,1.7274630583709787
POLES-JRC ENGAGE,ENGAGE-INDCi2030-600f-NDCp,1.66896156272307,1.727798184594102
POLES-JRC ENGAGE,ENGAGE-INDCi2030-700f,1.6685678397178223,1.727269121046758
POLES-JRC ENGAGE,ENGAGE-INDCi2030-800f,1.668844762852676,1.7262877476487917
POLES-JRC ENGAGE,ENGAGE-INDCi2030-900,1.631505889151624,1.7273998866041318
POLES-JRC ENGAGE,ENGAGE-INDCi2030-900f,1.6681879801986739,1.7249238692025661
POLES-JRC ENGAGE,ENGAGE-NPi2020-1000f,1.5192532421976122,1.5307205918440159
POLES-JRC ENGAGE,ENGAGE-NPi2020-1000f-COV,1.512520613466585,1.5269912465882056
POLES-JRC ENGAGE,ENGAGE-NPi2020-1200f,1.5136135760520162,1.5254211123232253
POLES-JRC ENGAGE,ENGAGE-NPi2020-900f,1.528168503521554,1.5357616988384013
REMIND-MAgPIE 2.1-4.2,NGFS Phase 2-Delayed Transition,1.6964084572802571,1.6954205180807902
REMIND-MAgPIE 3.2.0-4.8.0,RESCUE-End-of-Century-Budget-1150,1.675357775429039,1.8908440501485093
REMIND-MAgPIE 3.2.0-4.8.0,RESCUE-End-of-Century-Budget-1150-with-OAE,1.6620327489404756,1.8964456316397458
REMIND-MAgPIE 3.2.0-4.8.0,RESCUE-End-of-Century-Budget-500,1.470000739906094,1.794257649450926
REMIND-MAgPIE 3.2.0-4.8.0,RESCUE-End-of-Century-Budget-500-with-OAE,1.4853626002105087,1.7947320547674934
REMIND-MAgPIE 3.2.0-4.8.0,RESCUE-Peak-Budget-1150,1.7883587444495102,1.8216301269731203
REMIND-MAgPIE 3.2.0-4.8.0,RESCUE-Peak-Budget-1150-with-OAE,1.7855007205761533,1.8090008585290476
REMIND-MAgPIE 3.3-4.8,NGFS Phase 5-Below 2°C,0.6508997003704134,0.6988128686347416
REMIND-MAgPIE 3.3-4.8,NGFS Phase 5-Delayed Transition,1.6027365720240414,1.628386269853626
REMIND-MAgPIE 3.3-4.8,NGFS Phase 5-Low Demand,1.6085490353812264,1.6824940875251806
REMIND-MAgPIE 3.3-4.8,NGFS Phase 5-Net-Zero 2050,1.6609237532415455,1.646207203124204
WITCH 5.0,ENGAGE-INDCi2030-1000,1.0510297208906174,1.231673247079026
WITCH 5.0,ENGAGE-INDCi2030-1000-NDCp,1.04762207345963,1.232733790237437
WITCH 5.0,ENGAGE-INDCi2030-1000f,1.0212260092981387,1.2564864310468047
WITCH 5.0,ENGAGE-INDCi2030-1000f-NDCp,1.022128512008269,1.2572866357691916
WITCH 5.0,ENGAGE-INDCi2030-1200,1.0631479181112795,1.274548201556882
WITCH 5.0,ENGAGE-INDCi2030-1200-NDCp,1.0493702030062426,1.2748905503122816
WITCH 5.0,ENGAGE-INDCi2030-1200f,1.051096108129585,1.3012056559394019
WITCH 5.0,ENGAGE-INDCi2030-1200f-NDCp,1.0359620558637288,1.3037710053798768
WITCH 5.0,ENGAGE-INDCi2030-1400,1.0517174302019086,1.3400361211587724
WITCH 5.0,ENGAGE-INDCi2030-1400-NDCp,1.036156347539013,1.3406654295896234
WITCH 5.0,ENGAGE-INDCi2030-1400f,1.0513204720610758,1.3411987889205665
WITCH 5.0,ENGAGE-INDCi2030-1400f-NDCp,1.0366646963800525,1.3422244311194413
WITCH 5.0,ENGAGE-INDCi2030-1600-NDCp,1.048410395049799,1.3597343505162247
WITCH 5.0,ENGAGE-INDCi2030-500f,1.0260406587443847,1.1276890913051258
WITCH 5.0,ENGAGE-INDCi2030-600f,1.0215871732226116,1.1420901761292441
WITCH 5.0,ENGAGE-INDCi2030-600f-NDCp,1.0040347752201813,1.1652443833699286
WITCH 5.0,ENGAGE-INDCi2030-700f,1.0192769725336503,1.1895118743374302
WITCH 5.0,ENGAGE-INDCi2030-700f-NDCp,1.0013669848013151,1.1978297459050224
WITCH 5.0,ENGAGE-INDCi2030-800,1.0587775791862102,1.1509103506852938
WITCH 5.0,ENGAGE-INDCi2030-800-NDCp,1.0511243520933453,1.156949442251248
WITCH 5.0,ENGAGE-INDCi2030-800f,1.016207406396641,1.2212562703619325
