model,scenario,environmental_score,environmental_score_2050,Region
IMAGE 3.0,ENGAGE-INDCi2030-1000,0.5649020449432939,0.8620669335187091,R10LATIN_AM
IMAGE 3.0,ENGAGE-INDCi2030-1000f,0.5937796305120271,0.8593151554201337,R10LATIN_AM
IMAGE 3.0,ENGAGE-INDCi2030-1200,0.5679532680257438,0.8609372184208736,R10LATIN_AM
IMAGE 3.0,ENGAGE-INDCi2030-1200f,0.5918381477415173,0.8600191117607616,R10LATIN_AM
IMAGE 3.0,ENGAGE-INDCi2030-1400f,0.5887770276717325,0.859716374541513,R10LATIN_AM
IMAGE 3.0,ENGAGE-INDCi2030-800f,0.5928167996765523,0.8614754419909622,R10LATIN_AM
IMAGE 3.0,ENGAGE-NPi2020-1000,0.5701783685124796,0.8604793872177504,R10LATIN_AM
IMAGE 3.0,ENGAGE-NPi2020-1200,0.5748200822971659,0.86136214729322,R10LATIN_AM
IMAGE 3.0,ENGAGE-NPi2020-1400,0.560589798766227,0.8606769080985087,R10LATIN_AM
IMAGE 3.0,ENGAGE-NPi2020-1400f,0.571278380228957,0.8605362218945243,R10LATIN_AM
IMAGE 3.2,SSP2021-SSP1-SPA1-19-Default,1.3786574326634227,1.6918171772545758,R10LATIN_AM
IMAGE 3.2,SSP2021-SSP1-SPA1-19-Lifestyle-Renewables,1.0029101966677052,1.0,R10LATIN_AM
IMAGE 3.2,SSP2021-SSP1-SPA1-19-Renewables,0.35950658739527547,0.6646150333303903,R10LATIN_AM
IMAGE 3.2,SSP2021-SSP1-SPA1-26-Default,0.3694190043121274,0.6888167506405082,R10LATIN_AM
IMAGE 3.2,SSP2021-SSP1-SPA1-26-Lifestyle,0.001727132127385173,0.00084658981424854,R10LATIN_AM
IMAGE 3.2,SSP2021-SSP1-SPA1-26-Lifestyle-Renewables,0.0,0.0002165167699937714,R10LATIN_AM
IMAGE 3.2,SSP2021-SSP1-SPA1-26-Renewables,0.34984020479522565,0.6653048353314898,R10LATIN_AM
IMAGE 3.2,SSP2021-SSP2-SPA0-26-Default,2.0,2.0,R10LATIN_AM
IMAGE 3.2,SSP2021-SSP2-SPA2-19-Renewables,1.3036321352798235,1.7428010830312317,R10LATIN_AM
IMAGE 3.2,SSP2021-SSP2-SPA2-26-Default,1.3352385658741632,1.772325326816807,R10LATIN_AM
IMAGE 3.2,SSP2021-SSP2-SPA2-26-Lifestyle,1.4197049559502535,1.3254631182177739,R10LATIN_AM
IMAGE 3.2,SSP2021-SSP2-SPA2-26-Lifestyle-Renewables,1.4207002361113479,1.324881261985271,R10LATIN_AM
IMAGE 3.2,SSP2021-SSP2-SPA2-26-Renewables,1.3504665373170166,1.773785956169893,R10LATIN_AM
IMAGE 3.3,NAVIGATE Demand-1.5°C-ele_u,0.3049536704970222,0.7432124319515232,R10LATIN_AM
IMAGE 3.3,NAVIGATE Demand-1.5°C-tec_u,0.30419944802102167,0.7429755627385833,R10LATIN_AM
IMAGE 3.3,NAVIGATE Demand-2.0°C-ele_u,0.5091642494928946,0.7975237242294134,R10LATIN_AM
IMAGE 3.3,NAVIGATE Demand-2.0°C-ref,0.5107524752727953,0.796733275223814,R10LATIN_AM
IMAGE 3.3,NAVIGATE Demand-2.0°C-tec_u,0.5070896495071809,0.796570205567327,R10LATIN_AM
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,NGFS Phase 5-Below 2°C,0.4221054979069997,0.7465528628879878,R10LATIN_AM
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,NGFS Phase 5-Delayed Transition,0.42713302283622623,0.7935475920004236,R10LATIN_AM
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,NGFS Phase 5-Low Demand,0.5066320532855508,0.703184284169218,R10LATIN_AM
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,NGFS Phase 5-Nationally Determined Contributions (NDCs),0.5241993346709044,0.8500936850472738,R10LATIN_AM
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,NGFS Phase 5-Net-Zero 2050,0.39983579561895227,0.6965317220520747,R10LATIN_AM
POLES-JRC ENGAGE,ENGAGE-INDCi2030-1000,0.620580341093487,0.81597223497275,R10LATIN_AM
POLES-JRC ENGAGE,ENGAGE-INDCi2030-1000-COV,0.6237729323768689,0.8163932273252767,R10LATIN_AM
POLES-JRC ENGAGE,ENGAGE-INDCi2030-1000-COV-NDCp,0.6206017339046445,0.8165477178805586,R10LATIN_AM
POLES-JRC ENGAGE,ENGAGE-INDCi2030-1000-NDCp,0.6278282581743228,0.8153951870376099,R10LATIN_AM
POLES-JRC ENGAGE,ENGAGE-INDCi2030-1000f,1.6405626964494173,1.8164815395819138,R10LATIN_AM
POLES-JRC ENGAGE,ENGAGE-INDCi2030-1000f-COV,0.6503465598238398,0.8125432600865629,R10LATIN_AM
POLES-JRC ENGAGE,ENGAGE-INDCi2030-1000f-COV-NDCp,0.6495016254350819,0.8108246364998041,R10LATIN_AM
POLES-JRC ENGAGE,ENGAGE-INDCi2030-1000f-NDCp,1.6489730107044263,1.8164996491839074,R10LATIN_AM
POLES-JRC ENGAGE,ENGAGE-INDCi2030-1200,0.6312491483126486,0.8152420379343278,R10LATIN_AM
POLES-JRC ENGAGE,ENGAGE-INDCi2030-1200f,1.650300344819584,1.808941908618434,R10LATIN_AM
POLES-JRC ENGAGE,ENGAGE-INDCi2030-300f,1.6402700558570995,1.816463877130586,R10LATIN_AM
POLES-JRC ENGAGE,ENGAGE-INDCi2030-400f,1.637812332132552,1.8163471708066248,R10LATIN_AM
POLES-JRC ENGAGE,ENGAGE-INDCi2030-500f,1.6363135289203337,1.8161998346620076,R10LATIN_AM
POLES-JRC ENGAGE,ENGAGE-INDCi2030-600f,1.6359402162004453,1.8161338799386963,R10LATIN_AM
POLES-JRC ENGAGE,ENGAGE-INDCi2030-600f-COV,1.640746903250832,1.8160759739273824,R10LATIN_AM
POLES-JRC ENGAGE,ENGAGE-INDCi2030-600f-COV-NDCp,1.6416192726951193,1.816110180953371,R10LATIN_AM
POLES-JRC ENGAGE,ENGAGE-INDCi2030-600f-NDCp,1.6365978410136517,1.8157526839954898,R10LATIN_AM
POLES-JRC ENGAGE,ENGAGE-INDCi2030-700f,1.6359438088862888,1.815939592974095,R10LATIN_AM
POLES-JRC ENGAGE,ENGAGE-INDCi2030-800f,1.6371436026540125,1.8157578262281553,R10LATIN_AM
POLES-JRC ENGAGE,ENGAGE-INDCi2030-900,0.6146798445077511,0.8165242424705663,R10LATIN_AM
POLES-JRC ENGAGE,ENGAGE-INDCi2030-900f,1.6444243438191424,1.8159626212334197,R10LATIN_AM
POLES-JRC ENGAGE,ENGAGE-NPi2020-1000f,1.4493993121151312,1.649114162981193,R10LATIN_AM
POLES-JRC ENGAGE,ENGAGE-NPi2020-1000f-COV,0.4436232531026912,0.6473687103544434,R10LATIN_AM
POLES-JRC ENGAGE,ENGAGE-NPi2020-1200f,1.4441451723733656,1.6464529457894166,R10LATIN_AM
POLES-JRC ENGAGE,ENGAGE-NPi2020-900f,1.458140969987224,1.6519198098382555,R10LATIN_AM
REMIND-MAgPIE 2.1-4.2,NGFS Phase 2-Delayed Transition,0.6460959081421663,0.7874300307356191,R10LATIN_AM
REMIND-MAgPIE 3.2.0-4.8.0,RESCUE-End-of-Century-Budget-1150,1.555208316010263,1.8142647810449035,R10LATIN_AM
REMIND-MAgPIE 3.2.0-4.8.0,RESCUE-End-of-Century-Budget-1150-with-OAE,1.562726812461733,1.8283135250872289,R10LATIN_AM
REMIND-MAgPIE 3.2.0-4.8.0,RESCUE-End-of-Century-Budget-500,1.3555564828952031,1.6699105886118855,R10LATIN_AM
REMIND-MAgPIE 3.2.0-4.8.0,RESCUE-End-of-Century-Budget-500-with-OAE,1.4053271188866285,1.6754327811462852,R10LATIN_AM
REMIND-MAgPIE 3.2.0-4.8.0,RESCUE-Peak-Budget-1150,1.735032020896768,1.8421734131695247,R10LATIN_AM
REMIND-MAgPIE 3.2.0-4.8.0,RESCUE-Peak-Budget-1150-with-OAE,1.7354781840919098,1.8405061691473825,R10LATIN_AM
REMIND-MAgPIE 3.3-4.8,NGFS Phase 5-Below 2°C,0.6202010379692808,0.8079126550924024,R10LATIN_AM
REMIND-MAgPIE 3.3-4.8,NGFS Phase 5-Delayed Transition,0.7129006021155146,0.8927735315229322,R10LATIN_AM
REMIND-MAgPIE 3.3-4.8,NGFS Phase 5-Low Demand,1.7072502793325914,1.8324949140772726,R10LATIN_AM
REMIND-MAgPIE 3.3-4.8,NGFS Phase 5-Net-Zero 2050,1.6426350179027955,1.7446418510300141,R10LATIN_AM
WITCH 5.0,ENGAGE-INDCi2030-1000,1.1092648059887424,1.4746074868596517,R10LATIN_AM
WITCH 5.0,ENGAGE-INDCi2030-1000-NDCp,1.0922842806540178,1.4684816091731425,R10LATIN_AM
WITCH 5.0,ENGAGE-INDCi2030-1000f,1.1129073064921189,1.501039020136954,R10LATIN_AM
WITCH 5.0,ENGAGE-INDCi2030-1000f-NDCp,1.0554561367099053,1.4931856718955077,R10LATIN_AM
WITCH 5.0,ENGAGE-INDCi2030-1200,1.1492304375686695,1.5153896800657338,R10LATIN_AM
WITCH 5.0,ENGAGE-INDCi2030-1200-NDCp,1.0991689325444882,1.503461815813191,R10LATIN_AM
WITCH 5.0,ENGAGE-INDCi2030-1200f,1.111771400508653,1.5126237604969328,R10LATIN_AM
WITCH 5.0,ENGAGE-INDCi2030-1200f-NDCp,1.0547484667021507,1.5053978837685056,R10LATIN_AM
WITCH 5.0,ENGAGE-INDCi2030-1400,1.1104106959144364,1.5197728201086074,R10LATIN_AM
WITCH 5.0,ENGAGE-INDCi2030-1400-NDCp,1.0543174529816446,1.5117119450133105,R10LATIN_AM
WITCH 5.0,ENGAGE-INDCi2030-1400f,1.1102576885842423,1.5193862115388577,R10LATIN_AM
WITCH 5.0,ENGAGE-INDCi2030-1400f-NDCp,1.057058930558249,1.512058742362099,R10LATIN_AM
WITCH 5.0,ENGAGE-INDCi2030-1600-NDCp,1.0610124985635545,1.515972993164263,R10LATIN_AM
WITCH 5.0,ENGAGE-INDCi2030-500f,1.1248685367660693,1.4237246970318518,R10LATIN_AM
WITCH 5.0,ENGAGE-INDCi2030-600f,1.1180126365867484,1.4287321032922211,R10LATIN_AM
WITCH 5.0,ENGAGE-INDCi2030-600f-NDCp,1.0572139889729264,1.4263124462409076,R10LATIN_AM
WITCH 5.0,ENGAGE-INDCi2030-700f,1.115998613795967,1.4440958768069083,R10LATIN_AM
