model,scenario,environmental_score,environmental_score_2050,Region
IMAGE 3.0,ENGAGE-INDCi2030-1000,0.5658769015464612,0.7904745709937088,R10LATIN_AM
IMAGE 3.0,ENGAGE-INDCi2030-1000f,0.5908043918811693,0.7879513207362575,R10LATIN_AM
IMAGE 3.0,ENGAGE-INDCi2030-1200,0.5685107551875759,0.7894386757255053,R10LATIN_AM
IMAGE 3.0,ENGAGE-INDCi2030-1200f,0.5891284798530777,0.7885968153779379,R10LATIN_AM
IMAGE 3.0,ENGAGE-INDCi2030-1400f,0.5864860830096392,0.7883192196783411,R10LATIN_AM
IMAGE 3.0,ENGAGE-INDCi2030-800f,0.5899732643518912,0.7899322012617742,R10LATIN_AM
IMAGE 3.0,ENGAGE-NPi2020-1000,0.570431489549001,0.7890188661842681,R10LATIN_AM
IMAGE 3.0,ENGAGE-NPi2020-1200,0.5744382745078352,0.7898283153868945,R10LATIN_AM
IMAGE 3.0,ENGAGE-NPi2020-1400,0.5621545171163688,0.7891999834820195,R10LATIN_AM
IMAGE 3.0,ENGAGE-NPi2020-1400f,0.5713810333176548,0.7890709808925275,R10LATIN_AM
IMAGE 3.2,SSP2021-SSP1-SPA1-19-Default,1.4051082402798256,1.6343636034898688,R10LATIN_AM
IMAGE 3.2,SSP2021-SSP1-SPA1-19-Lifestyle-Renewables,1.0807585618317104,1.0,R10LATIN_AM
IMAGE 3.2,SSP2021-SSP1-SPA1-19-Renewables,0.3885769929154299,0.6094205251597299,R10LATIN_AM
IMAGE 3.2,SSP2021-SSP1-SPA1-26-Default,0.39713351424579896,0.6316123543138071,R10LATIN_AM
IMAGE 3.2,SSP2021-SSP1-SPA1-26-Lifestyle,0.07973732583453984,0.0007762827852522367,R10LATIN_AM
IMAGE 3.2,SSP2021-SSP1-SPA1-26-Lifestyle-Renewables,0.07824644394243412,0.00019853562898553692,R10LATIN_AM
IMAGE 3.2,SSP2021-SSP1-SPA1-26-Renewables,0.3802328514614703,0.6100530409420766,R10LATIN_AM
IMAGE 3.2,SSP2021-SSP2-SPA0-26-Default,1.941458857437904,1.9169526637186038,R10LATIN_AM
IMAGE 3.2,SSP2021-SSP2-SPA2-19-Renewables,1.3403454722521135,1.6811134316985519,R10LATIN_AM
IMAGE 3.2,SSP2021-SSP2-SPA2-26-Default,1.3676285354874307,1.7081857656820123,R10LATIN_AM
IMAGE 3.2,SSP2021-SSP2-SPA2-26-Lifestyle,1.4405409719242623,1.2984342731919507,R10LATIN_AM
IMAGE 3.2,SSP2021-SSP2-SPA2-26-Lifestyle-Renewables,1.4414001101142249,1.297900738569656,R10LATIN_AM
IMAGE 3.2,SSP2021-SSP2-SPA2-26-Renewables,1.3807735094692561,1.70952509365803,R10LATIN_AM
IMAGE 3.3,NAVIGATE Demand-1.5°C-ele_u,0.34148623785647086,0.6814906191867306,R10LATIN_AM
IMAGE 3.3,NAVIGATE Demand-1.5°C-tec_u,0.3408351836526499,0.6812734213309725,R10LATIN_AM
IMAGE 3.3,NAVIGATE Demand-2.0°C-ele_u,0.5177633446128052,0.7312915033109417,R10LATIN_AM
IMAGE 3.3,NAVIGATE Demand-2.0°C-ref,0.519134320821449,0.7305666989897236,R10LATIN_AM
IMAGE 3.3,NAVIGATE Demand-2.0°C-tec_u,0.5159725241520997,0.7304171718338363,R10LATIN_AM
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,NGFS Phase 5-Below 2°C,0.4426131495404423,0.68455363623189,R10LATIN_AM
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,NGFS Phase 5-Delayed Transition,0.44695297146850854,0.727645578272272,R10LATIN_AM
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,NGFS Phase 5-Low Demand,0.5155775214132199,0.644786702454024,R10LATIN_AM
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,NGFS Phase 5-Nationally Determined Contributions (NDCs),0.530741816776425,0.7794956689144614,R10LATIN_AM
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,NGFS Phase 5-Net-Zero 2050,0.4233896660805513,0.638686617900156,R10LATIN_AM
POLES-JRC ENGAGE,ENGAGE-INDCi2030-1000,0.6139390979455849,0.7482079143786854,R10LATIN_AM
POLES-JRC ENGAGE,ENGAGE-INDCi2030-1000-COV,0.6166949823726176,0.7485939444377401,R10LATIN_AM
POLES-JRC ENGAGE,ENGAGE-INDCi2030-1000-COV-NDCp,0.6139575644857356,0.7487356049639252,R10LATIN_AM
POLES-JRC ENGAGE,ENGAGE-INDCi2030-1000-NDCp,0.6201955899417482,0.7476787887374655,R10LATIN_AM
