model,scenario,final_energy_demand
IMAGE 3.0,ENGAGE-INDCi2030-1000,33958.782859374995
IMAGE 3.0,ENGAGE-INDCi2030-1000f,33860.4395625
IMAGE 3.0,ENGAGE-INDCi2030-1200,35193.86731249999
IMAGE 3.0,ENGAGE-INDCi2030-1200f,35356.242796875
IMAGE 3.0,ENGAGE-INDCi2030-1400f,36865.892046875
IMAGE 3.0,ENGAGE-INDCi2030-800f,32808.050062500006
IMAGE 3.0,ENGAGE-NPi2020-1000,34690.012437499994
IMAGE 3.0,ENGAGE-NPi2020-1200,35818.693296875004
IMAGE 3.0,ENGAGE-NPi2020-1400,36992.30053125
IMAGE 3.0,ENGAGE-NPi2020-1400f,37102.207859375005
IMAGE 3.2,SSP2021-SSP1-SPA1-19-Default,30007.3833125
IMAGE 3.2,SSP2021-SSP1-SPA1-19-Lifestyle-Renewables,30805.41875
IMAGE 3.2,SSP2021-SSP1-SPA1-19-Renewables,30360.54446875
IMAGE 3.2,SSP2021-SSP1-SPA1-26-Default,32054.512718750004
IMAGE 3.2,SSP2021-SSP1-SPA1-26-Lifestyle,30206.80906249999
IMAGE 3.2,SSP2021-SSP1-SPA1-26-Lifestyle-Renewables,32825.89671875001
IMAGE 3.2,SSP2021-SSP1-SPA1-26-Renewables,32080.4134375
IMAGE 3.2,SSP2021-SSP2-SPA0-26-Default,34004.509625
IMAGE 3.2,SSP2021-SSP2-SPA2-19-Renewables,33209.88453125
IMAGE 3.2,SSP2021-SSP2-SPA2-26-Default,35529.01353124999
IMAGE 3.2,SSP2021-SSP2-SPA2-26-Lifestyle,32621.7224375
IMAGE 3.2,SSP2021-SSP2-SPA2-26-Lifestyle-Renewables,32297.86196875
IMAGE 3.2,SSP2021-SSP2-SPA2-26-Renewables,34967.033375000006
IMAGE 3.3,NAVIGATE Demand-1.5°C-ele_u,32598.53021875
IMAGE 3.3,NAVIGATE Demand-1.5°C-tec_u,30008.778609375
IMAGE 3.3,NAVIGATE Demand-2.0°C-ele_u,34080.929187500005
IMAGE 3.3,NAVIGATE Demand-2.0°C-ref,34640.582906250005
IMAGE 3.3,NAVIGATE Demand-2.0°C-tec_u,32061.8721875
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,NGFS Phase 5-Below 2°C,38364.40601678104
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,NGFS Phase 5-Delayed Transition,38744.70137942315
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,NGFS Phase 5-Low Demand,24600.093698845114
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,NGFS Phase 5-Nationally Determined Contributions (NDCs),40038.322451557535
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,NGFS Phase 5-Net-Zero 2050,36164.74258739757
POLES-JRC ENGAGE,ENGAGE-INDCi2030-1000,33682.96745300293
POLES-JRC ENGAGE,ENGAGE-INDCi2030-1000-COV,32389.279983520508
POLES-JRC ENGAGE,ENGAGE-INDCi2030-1000-COV-NDCp,32229.436630249023
POLES-JRC ENGAGE,ENGAGE-INDCi2030-1000-NDCp,34844.428634643555
POLES-JRC ENGAGE,ENGAGE-INDCi2030-1000f,33966.12400817871
POLES-JRC ENGAGE,ENGAGE-INDCi2030-1000f-COV,32562.77783203125
POLES-JRC ENGAGE,ENGAGE-INDCi2030-1000f-COV-NDCp,32541.885299682617
POLES-JRC ENGAGE,ENGAGE-INDCi2030-1000f-NDCp,34810.93215942383
POLES-JRC ENGAGE,ENGAGE-INDCi2030-1200,35202.65426635742
POLES-JRC ENGAGE,ENGAGE-INDCi2030-1200f,35427.5235748291
POLES-JRC ENGAGE,ENGAGE-INDCi2030-300f,30372.984802246094
POLES-JRC ENGAGE,ENGAGE-INDCi2030-400f,30722.329360961914
POLES-JRC ENGAGE,ENGAGE-INDCi2030-500f,31074.520309448242
POLES-JRC ENGAGE,ENGAGE-INDCi2030-600f,31422.094512939453
POLES-JRC ENGAGE,ENGAGE-INDCi2030-600f-COV,30035.29214477539
POLES-JRC ENGAGE,ENGAGE-INDCi2030-600f-COV-NDCp,29923.699478149414
POLES-JRC ENGAGE,ENGAGE-INDCi2030-600f-NDCp,31763.983520507812
POLES-JRC ENGAGE,ENGAGE-INDCi2030-700f,32074.172912597656
POLES-JRC ENGAGE,ENGAGE-INDCi2030-800f,32653.903701782227
POLES-JRC ENGAGE,ENGAGE-INDCi2030-900,34744.07177734375
POLES-JRC ENGAGE,ENGAGE-INDCi2030-900f,33391.105392456055
POLES-JRC ENGAGE,ENGAGE-NPi2020-1000f,35175.893630981445
