model,scenario,final_energy_demand,energy_per_gdp,region
IMAGE 3.2,SSP1_SPA1_19I_D,2163.1404838867193,5.165240284851447e-05,R10LATIN_AM
IMAGE 3.2,SSP1_SPA1_19I_D_LB,2035.3941711425784,4.860202121245137e-05,R10LATIN_AM
IMAGE 3.2,SSP1_SPA1_19I_LI,1938.5113388671873,4.628861109458331e-05,R10LATIN_AM
IMAGE 3.2,SSP1_SPA1_19I_LIRE,2280.912918945313,6.388127787722406e-05,R10LATIN_AM
IMAGE 3.2,SSP1_SPA1_19I_LIRE_LB,2176.32766015625,6.095217000858399e-05,R10LATIN_AM
IMAGE 3.2,SSP1_SPA1_19I_RE,2182.872721435547,5.212357774009771e-05,R10LATIN_AM
IMAGE 3.2,SSP1_SPA1_19I_RE_LB,2046.6934436035158,4.8871830121024336e-05,R10LATIN_AM
IMAGE 3.2,SSP2_SPA1_19I_D_LB,2425.589184570312,6.793321017585086e-05,R10LATIN_AM
IMAGE 3.2,SSP2_SPA1_19I_LIRE_LB,2184.3620771484375,6.117718904381167e-05,R10LATIN_AM
IMAGE 3.2,SSP2_SPA1_19I_RE_LB,2418.709726318359,6.774053794334801e-05,R10LATIN_AM
IMAGE 3.2,SSP2_SPA2_19I_D,2514.0269516601566,7.041007701604567e-05,R10LATIN_AM
IMAGE 3.2,SSP2_SPA2_19I_LI,2297.973292480469,6.435908588709428e-05,R10LATIN_AM
IMAGE 3.2,SSP2_SPA2_19I_LIRE,2588.4548117675786,7.249456992843965e-05,R10LATIN_AM
IMAGE 3.2,SSP2_SPA2_19I_RE,2500.7649208984376,7.003864877550704e-05,R10LATIN_AM
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_600f_COV,2724.1652186132637,6.476989164404796e-05,R10LATIN_AM
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_600f_COV_NDCp,2756.9751041917925,6.548957797249398e-05,R10LATIN_AM
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_700f,3152.2568625948406,6.59220325632682e-05,R10LATIN_AM
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_700f_COV,2820.0386811461244,6.611101501754698e-05,R10LATIN_AM
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_700f_COV_NDCp,2847.8702469818777,6.671736300776173e-05,R10LATIN_AM
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_700f_NDCp,3163.7337328618264,6.60710438686582e-05,R10LATIN_AM
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_200f,3079.489363004704,6.424927369701171e-05,R10LATIN_AM
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_300f,3130.4401924778763,6.495490827959703e-05,R10LATIN_AM
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_400f,3196.992500900345,6.601153995865483e-05,R10LATIN_AM
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_450,3193.595143507492,6.616479504003265e-05,R10LATIN_AM
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_450f,3228.0895030558427,6.654998210928469e-05,R10LATIN_AM
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_500,3256.4549194854403,6.706669077658094e-05,R10LATIN_AM
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_500f,3249.8352034934996,6.689266107942901e-05,R10LATIN_AM
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600,3310.6087991259783,6.783751743103951e-05,R10LATIN_AM
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600_COV,2956.9881275588873,6.811593026977635e-05,R10LATIN_AM
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600_DR10p,3245.160177254015,6.692036141314684e-05,R10LATIN_AM
