model,scenario,final_energy_demand,energy_per_gdp,region
IMAGE 3.0,ENGAGE-INDCi2030-1000,2858.231627197266,0.0018029173825152727,R10LATIN_AM
IMAGE 3.0,ENGAGE-INDCi2030-1000f,2859.6757260742193,0.0018038282922339098,R10LATIN_AM
IMAGE 3.0,ENGAGE-INDCi2030-1200,2970.7366191406245,0.0018738833615018395,R10LATIN_AM
IMAGE 3.0,ENGAGE-INDCi2030-1200f,2999.4477536621093,0.0018919937913942125,R10LATIN_AM
IMAGE 3.0,ENGAGE-INDCi2030-1400f,3159.672551513672,0.00199306050355562,R10LATIN_AM
IMAGE 3.0,ENGAGE-INDCi2030-800f,2764.866262207032,0.001744024311056667,R10LATIN_AM
IMAGE 3.0,ENGAGE-NPi2020-1000,2930.515443725586,0.0018485126198128337,R10LATIN_AM
IMAGE 3.0,ENGAGE-NPi2020-1200,3039.656734863281,0.0019173568412083064,R10LATIN_AM
IMAGE 3.0,ENGAGE-NPi2020-1400,3149.5875136718755,0.0019866990561994,R10LATIN_AM
IMAGE 3.0,ENGAGE-NPi2020-1400f,3184.699388183594,0.0020088469494238363,R10LATIN_AM
IMAGE 3.2,SSP2021-SSP1-SPA1-19-Default,2163.1404838867193,0.0016029488539031113,R10LATIN_AM
IMAGE 3.2,SSP2021-SSP1-SPA1-19-Lifestyle-Renewables,2280.912918945313,0.0018780896571163968,R10LATIN_AM
IMAGE 3.2,SSP2021-SSP1-SPA1-19-Renewables,2182.872721435547,0.0016175710052610322,R10LATIN_AM
IMAGE 3.2,SSP2021-SSP1-SPA1-26-Default,2311.4507353515633,0.0017128509843373286,R10LATIN_AM
IMAGE 3.2,SSP2021-SSP1-SPA1-26-Lifestyle,2141.993318847656,0.0015872782008802624,R10LATIN_AM
IMAGE 3.2,SSP2021-SSP1-SPA1-26-Lifestyle-Renewables,2434.140446044922,0.002004256259725831,R10LATIN_AM
IMAGE 3.2,SSP2021-SSP1-SPA1-26-Renewables,2312.9597792968752,0.0017139692289823924,R10LATIN_AM
IMAGE 3.2,SSP2021-SSP2-SPA0-26-Default,2423.6684421386717,0.0020930464014948373,R10LATIN_AM
IMAGE 3.2,SSP2021-SSP2-SPA2-19-Renewables,2500.7649208984376,0.0020591144422078948,R10LATIN_AM
IMAGE 3.2,SSP2021-SSP2-SPA2-26-Default,2626.5384567871097,0.0021626755974494976,R10LATIN_AM
IMAGE 3.2,SSP2021-SSP2-SPA2-26-Lifestyle,2421.1581213378904,0.0019935666934758067,R10LATIN_AM
IMAGE 3.2,SSP2021-SSP2-SPA2-26-Lifestyle-Renewables,2433.7399577636716,0.0020039265001402873,R10LATIN_AM
IMAGE 3.2,SSP2021-SSP2-SPA2-26-Renewables,2613.609228515625,0.0021520297504776633,R10LATIN_AM
IMAGE 3.3,NAVIGATE Demand-1.5°C-ele_u,2447.071526611328,0.0020929621603555373,R10LATIN_AM
IMAGE 3.3,NAVIGATE Demand-1.5°C-tec_u,2206.479948364258,0.0018871859646475825,R10LATIN_AM
IMAGE 3.3,NAVIGATE Demand-2.0°C-ele_u,2552.974486816406,0.0021835401781896977,R10LATIN_AM
IMAGE 3.3,NAVIGATE Demand-2.0°C-ref,2546.017429199219,0.0021775898583147615,R10LATIN_AM
IMAGE 3.3,NAVIGATE Demand-2.0°C-tec_u,2330.084539794922,0.0019929040566188582,R10LATIN_AM
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,NGFS Phase 5-Below 2°C,2806.6758309854667,0.0015512696287231969,R10LATIN_AM
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,NGFS Phase 5-Delayed Transition,2810.1063459770803,0.0015529493569531082,R10LATIN_AM
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,NGFS Phase 5-Low Demand,1542.4059726172932,0.0008486597341133108,R10LATIN_AM
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,NGFS Phase 5-Nationally Determined Contributions (NDCs),2923.5543089433954,0.001612781551824437,R10LATIN_AM
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,NGFS Phase 5-Net-Zero 2050,2600.311687395144,0.001441956260268908,R10LATIN_AM
POLES-JRC ENGAGE,ENGAGE-INDCi2030-1000,2409.9191904067993,0.0024219052206299733,R10LATIN_AM
POLES-JRC ENGAGE,ENGAGE-INDCi2030-1000-COV,2232.2954206466675,0.0024283996768989357,R10LATIN_AM
POLES-JRC ENGAGE,ENGAGE-INDCi2030-1000-COV-NDCp,2229.495518684387,0.0024253538071822025,R10LATIN_AM
POLES-JRC ENGAGE,ENGAGE-INDCi2030-1000-NDCp,2480.7471265792847,0.0024930854282757043,R10LATIN_AM
POLES-JRC ENGAGE,ENGAGE-INDCi2030-1000f,2430.456400871277,0.00244254457544282,R10LATIN_AM
POLES-JRC ENGAGE,ENGAGE-INDCi2030-1000f-COV,2241.992030143738,0.002438948120958763,R10LATIN_AM
POLES-JRC ENGAGE,ENGAGE-INDCi2030-1000f-COV-NDCp,2246.716139793396,0.0024440872375115098,R10LATIN_AM
POLES-JRC ENGAGE,ENGAGE-INDCi2030-1000f-NDCp,2491.502046585083,0.0025038938392021736,R10LATIN_AM
POLES-JRC ENGAGE,ENGAGE-INDCi2030-1200,2482.695792198181,0.0024950437858233163,R10LATIN_AM
POLES-JRC ENGAGE,ENGAGE-INDCi2030-1200f,2505.350920677185,0.0025178115923770623,R10LATIN_AM
POLES-JRC ENGAGE,ENGAGE-INDCi2030-300f,2266.6188859939575,0.0022778921944850003,R10LATIN_AM
