model,scenario,flexibility_score
IMAGE 3.2,SSP1_SPA1_19I_D,38.873238919349404
IMAGE 3.2,SSP1_SPA1_19I_D_LB,38.21429934079102
IMAGE 3.2,SSP1_SPA1_19I_LI,38.78331793365983
IMAGE 3.2,SSP1_SPA1_19I_LIRE,39.14685823296284
IMAGE 3.2,SSP1_SPA1_19I_LIRE_LB,38.6470452096354
IMAGE 3.2,SSP1_SPA1_19I_RE,38.531174611241404
IMAGE 3.2,SSP1_SPA1_19I_RE_LB,37.88422995910326
IMAGE 3.2,SSP2_SPA1_19I_D_LB,39.38937229825526
IMAGE 3.2,SSP2_SPA1_19I_LIRE_LB,38.73014176161243
IMAGE 3.2,SSP2_SPA1_19I_RE_LB,38.75077587432095
IMAGE 3.2,SSP2_SPA2_19I_D,39.435645117075325
IMAGE 3.2,SSP2_SPA2_19I_LI,39.45057692689072
IMAGE 3.2,SSP2_SPA2_19I_LIRE,38.92925198346266
IMAGE 3.2,SSP2_SPA2_19I_RE,38.87893872746273
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_600f_COV,37.705498704025835
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_600f_COV_NDCp,37.60752553361723
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_700f,37.7025999938578
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_700f_COV,37.79264639046136
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_700f_COV_NDCp,37.70674915902762
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_700f_NDCp,37.62724649662185
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_200f,36.939076984964906
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_300f,37.19922272337642
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_400f,37.43463030182999
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_450,36.49756281298835
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_450f,37.54163130042819
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_500,36.52906503381202
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_500f,37.66806989862971
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600,36.846686918078134
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600_COV,37.23135766169042
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600_DR10p,36.50614843278898
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600_DR1p,36.97440085886008
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600_DR2p,36.92700076363161
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600_DR3p,36.90017388445037
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600_DR4p,36.89366922947745
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600f,37.82599561116256
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600f_COV,38.04647431541994
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600f_DR10p,37.97276040972922
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600f_DR1p,37.3112889537483
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600f_DR2p,37.515103440891245
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600f_DR3p,37.627461178038985
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600f_DR4p,37.73796233102383
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_700,37.30423799287154
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_700_COV,37.60640646344168
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_700f,38.00301920600272
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_700f_COV,38.117241031230236
MESSAGEix-GLOBIOM_1.1,NGFS2_Divergent Net Zero Policies,37.15342368372458
MESSAGEix-GLOBIOM_1.1,NGFS2_Net-Zero 2050,37.17148586342773
REMIND-MAgPIE 1.7-3.0,CD-LINKS_INDC2030i_1000,38.06854588741997
REMIND-MAgPIE 1.7-3.0,CD-LINKS_INDC2030i_400,37.84703180898171
REMIND-MAgPIE 1.7-3.0,CD-LINKS_NPi2020_1000,37.57153478014972
REMIND-MAgPIE 1.7-3.0,CD-LINKS_NPi2020_400,37.10202921115773
REMIND-MAgPIE 1.7-3.0,CO_2Deg2020,37.58694396873843
REMIND-MAgPIE 1.7-3.0,CO_2Deg2030,38.15924223466378
REMIND-MAgPIE 1.7-3.0,CO_Bridge,37.9191267892185
REMIND-MAgPIE 1.7-3.0,PEP_1p5C_full_NDC,37.99587861371001
REMIND-MAgPIE 1.7-3.0,PEP_1p5C_full_eff,37.21794841440259
REMIND-MAgPIE 1.7-3.0,PEP_1p5C_full_goodpractice,37.8137886267485
REMIND-MAgPIE 1.7-3.0,PEP_1p5C_full_netzero,37.71000875534902
REMIND-MAgPIE 1.7-3.0,PEP_1p5C_red_eff,36.4175784570468
REMIND-MAgPIE 1.7-3.0,PEP_2C_full_NDC,38.15924223466378
REMIND-MAgPIE 1.7-3.0,PEP_2C_full_eff,37.58694396873843
REMIND-MAgPIE 1.7-3.0,PEP_2C_full_goodpractice,38.01072092213879
REMIND-MAgPIE 1.7-3.0,PEP_2C_full_netzero,37.893800124212824
REMIND-MAgPIE 1.7-3.0,PEP_2C_red_NDC,37.84595932839835
REMIND-MAgPIE 1.7-3.0,PEP_2C_red_eff,37.23429531244014
REMIND-MAgPIE 1.7-3.0,PEP_2C_red_goodpractice,37.660084898653444
REMIND-MAgPIE 1.7-3.0,PEP_2C_red_netzero,37.55232528450431
REMIND-MAgPIE 2.1-4.2,CEMICS_SSP1-1p5C-fullCDR,36.85204928518297
REMIND-MAgPIE 2.1-4.2,CEMICS_SSP1-1p5C-minCDR,36.26057364290111
REMIND-MAgPIE 2.1-4.2,CEMICS_SSP2-1p5C-fullCDR,37.00116969700033
REMIND-MAgPIE 2.1-4.2,CEMICS_SSP2-1p5C-minCDR,36.18565692896057
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_300f,36.99584694210139
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_400f,37.03184752680438
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_500f,37.07784277108149
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_600_COV,36.862007431071575
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_600_COV_NDCp,36.84216490464416
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_600f,37.129283932025984
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_600f_COV,37.24388976075141
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_600f_COV_NDCp,37.224859791916984
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_600f_NDCp,37.10198811334031
REMIND-MAgPIE 2.1-4.2,EN_NPi2020_200f,36.41121450963004
REMIND-MAgPIE 2.1-4.2,EN_NPi2020_300f,36.48765331389557
REMIND-MAgPIE 2.1-4.2,EN_NPi2020_400,35.561588500989004
REMIND-MAgPIE 2.1-4.2,EN_NPi2020_400f,36.58743794954028
REMIND-MAgPIE 2.1-4.2,EN_NPi2020_500,36.038870778673456
REMIND-MAgPIE 2.1-4.2,EN_NPi2020_500f,36.65275693640689
REMIND-MAgPIE 2.1-4.2,EN_NPi2020_600,36.38442982786266
REMIND-MAgPIE 2.1-4.2,EN_NPi2020_600_COV,36.630575318398265
REMIND-MAgPIE 2.1-4.2,EN_NPi2020_600f,36.736483892793416
REMIND-MAgPIE 2.1-4.2,EN_NPi2020_600f_COV,36.91873572956758
REMIND-MAgPIE 2.1-4.2,SusDev_SDP-PkBudg1000,36.6241876897327
REMIND-MAgPIE 2.1-4.2,SusDev_SSP1-PkBudg900,36.38143274177696
REMIND-MAgPIE 2.1-4.2,SusDev_SSP2-PkBudg900,36.48599501794489
REMIND-MAgPIE 2.1-4.3,DeepElec_SSP2_ HighRE_Budg900,35.61549299316262
REMIND-MAgPIE 2.1-4.3,DeepElec_SSP2_def_Budg1100,37.285089393967105
REMIND-MAgPIE 2.1-4.3,DeepElec_SSP2_def_Budg900,37.05932097592462
WITCH 5.0,EN_INDCi2030_500f,38.0113932730668
WITCH 5.0,EN_NPi2020_400f,37.72368755370271
WITCH 5.0,EN_NPi2020_450,37.43126472720605
WITCH 5.0,EN_NPi2020_450f,37.76794945702289
WITCH 5.0,EN_NPi2020_500,37.50681381481848
WITCH 5.0,EN_NPi2020_500f,37.80794814148287
