model,scenario,flexibility_score
IMAGE 3.0,ENGAGE-INDCi2030-1000,39.16455788849339
IMAGE 3.0,ENGAGE-INDCi2030-1000f,39.240629167538025
IMAGE 3.0,ENGAGE-INDCi2030-1200,39.22036787671437
IMAGE 3.0,ENGAGE-INDCi2030-1200f,39.24255651635561
IMAGE 3.0,ENGAGE-INDCi2030-1400f,39.24928279082594
IMAGE 3.0,ENGAGE-INDCi2030-800f,39.173452707458694
IMAGE 3.0,ENGAGE-NPi2020-1000,39.16091978896036
IMAGE 3.0,ENGAGE-NPi2020-1200,39.21425926570395
IMAGE 3.0,ENGAGE-NPi2020-1400,39.229266583187226
IMAGE 3.0,ENGAGE-NPi2020-1400f,39.23294371412365
IMAGE 3.2,SSP2021-SSP1-SPA1-19-Default,38.873238919349404
IMAGE 3.2,SSP2021-SSP1-SPA1-19-Lifestyle-Renewables,39.14685823296284
IMAGE 3.2,SSP2021-SSP1-SPA1-19-Renewables,38.531174611241404
IMAGE 3.2,SSP2021-SSP1-SPA1-26-Default,39.046039604267364
IMAGE 3.2,SSP2021-SSP1-SPA1-26-Lifestyle,39.06279091857431
IMAGE 3.2,SSP2021-SSP1-SPA1-26-Lifestyle-Renewables,39.22909858286979
IMAGE 3.2,SSP2021-SSP1-SPA1-26-Renewables,38.619323851214546
IMAGE 3.2,SSP2021-SSP2-SPA0-26-Default,39.55870029076473
IMAGE 3.2,SSP2021-SSP2-SPA2-19-Renewables,38.87893872746273
IMAGE 3.2,SSP2021-SSP2-SPA2-26-Default,39.5121150130435
IMAGE 3.2,SSP2021-SSP2-SPA2-26-Lifestyle,39.49405911634386
IMAGE 3.2,SSP2021-SSP2-SPA2-26-Lifestyle-Renewables,39.20629822892586
IMAGE 3.2,SSP2021-SSP2-SPA2-26-Renewables,39.20410173551289
IMAGE 3.3,NAVIGATE Demand-1.5°C-ele_u,37.038194839889634
IMAGE 3.3,NAVIGATE Demand-1.5°C-tec_u,37.45389470800921
IMAGE 3.3,NAVIGATE Demand-2.0°C-ele_u,38.095017564841825
IMAGE 3.3,NAVIGATE Demand-2.0°C-ref,38.39893125060417
IMAGE 3.3,NAVIGATE Demand-2.0°C-tec_u,38.449975581877716
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,NGFS Phase 5-Below 2°C,37.806226524158056
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,NGFS Phase 5-Delayed Transition,38.094432413006054
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,NGFS Phase 5-Low Demand,37.662449225334676
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,NGFS Phase 5-Nationally Determined Contributions (NDCs),38.352869331670405
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,NGFS Phase 5-Net-Zero 2050,36.79579539726613
POLES-JRC ENGAGE,ENGAGE-INDCi2030-1000,38.37960930676926
POLES-JRC ENGAGE,ENGAGE-INDCi2030-1000-COV,38.54009705569037
POLES-JRC ENGAGE,ENGAGE-INDCi2030-1000-COV-NDCp,38.503084707056296
POLES-JRC ENGAGE,ENGAGE-INDCi2030-1000-NDCp,38.4521627101202
POLES-JRC ENGAGE,ENGAGE-INDCi2030-1000f,38.59321951372478
POLES-JRC ENGAGE,ENGAGE-INDCi2030-1000f-COV,38.67910925987703
POLES-JRC ENGAGE,ENGAGE-INDCi2030-1000f-COV-NDCp,38.66513545818238
POLES-JRC ENGAGE,ENGAGE-INDCi2030-1000f-NDCp,38.66086111145276
POLES-JRC ENGAGE,ENGAGE-INDCi2030-1200,38.6418780936284
POLES-JRC ENGAGE,ENGAGE-INDCi2030-1200f,38.735749537679084
POLES-JRC ENGAGE,ENGAGE-INDCi2030-300f,38.17742744650539
POLES-JRC ENGAGE,ENGAGE-INDCi2030-400f,38.20245224729116
POLES-JRC ENGAGE,ENGAGE-INDCi2030-500f,38.272225365728865
POLES-JRC ENGAGE,ENGAGE-INDCi2030-600f,38.329986374961706
POLES-JRC ENGAGE,ENGAGE-INDCi2030-600f-COV,38.37518223031019
POLES-JRC ENGAGE,ENGAGE-INDCi2030-600f-COV-NDCp,38.326578549343246
POLES-JRC ENGAGE,ENGAGE-INDCi2030-600f-NDCp,38.342152486761904
POLES-JRC ENGAGE,ENGAGE-INDCi2030-700f,38.39523988663395
POLES-JRC ENGAGE,ENGAGE-INDCi2030-800f,38.44919816919997
POLES-JRC ENGAGE,ENGAGE-INDCi2030-900,38.15239852263152
POLES-JRC ENGAGE,ENGAGE-INDCi2030-900f,38.530379670940235
POLES-JRC ENGAGE,ENGAGE-NPi2020-1000f,38.74525323492153
POLES-JRC ENGAGE,ENGAGE-NPi2020-1000f-COV,38.80200909330301
POLES-JRC ENGAGE,ENGAGE-NPi2020-1200f,38.83839905116331
POLES-JRC ENGAGE,ENGAGE-NPi2020-900f,38.654948734397905
REMIND-MAgPIE 2.1-4.2,NGFS Phase 2-Delayed Transition,37.70859804066711
REMIND-MAgPIE 3.2.0-4.8.0,RESCUE-End-of-Century-Budget-1150,38.01851393998265
REMIND-MAgPIE 3.2.0-4.8.0,RESCUE-End-of-Century-Budget-1150-with-OAE,38.0133068007016
REMIND-MAgPIE 3.2.0-4.8.0,RESCUE-End-of-Century-Budget-500,37.822831321857024
REMIND-MAgPIE 3.2.0-4.8.0,RESCUE-End-of-Century-Budget-500-with-OAE,37.81107058186653
REMIND-MAgPIE 3.2.0-4.8.0,RESCUE-Peak-Budget-1150,37.26489381942254
REMIND-MAgPIE 3.2.0-4.8.0,RESCUE-Peak-Budget-1150-with-OAE,37.269389953395645
REMIND-MAgPIE 3.3-4.8,NGFS Phase 5-Below 2°C,37.37861976878914
REMIND-MAgPIE 3.3-4.8,NGFS Phase 5-Delayed Transition,37.632334333159505
REMIND-MAgPIE 3.3-4.8,NGFS Phase 5-Low Demand,37.15122409959909
REMIND-MAgPIE 3.3-4.8,NGFS Phase 5-Net-Zero 2050,36.3309040452863
WITCH 5.0,ENGAGE-INDCi2030-1000,38.15701749886481
WITCH 5.0,ENGAGE-INDCi2030-1000-NDCp,38.09738625159909
WITCH 5.0,ENGAGE-INDCi2030-1000f,38.195750153308175
WITCH 5.0,ENGAGE-INDCi2030-1000f-NDCp,38.14737864607616
WITCH 5.0,ENGAGE-INDCi2030-1200,38.22329329395693
WITCH 5.0,ENGAGE-INDCi2030-1200-NDCp,38.17387010260852
WITCH 5.0,ENGAGE-INDCi2030-1200f,38.24502876445245
WITCH 5.0,ENGAGE-INDCi2030-1200f-NDCp,38.20144150270572
WITCH 5.0,ENGAGE-INDCi2030-1400,38.27695559405538
WITCH 5.0,ENGAGE-INDCi2030-1400-NDCp,38.235982527418486
WITCH 5.0,ENGAGE-INDCi2030-1400f,38.28275843910611
WITCH 5.0,ENGAGE-INDCi2030-1400f-NDCp,38.24765272211792
WITCH 5.0,ENGAGE-INDCi2030-1600-NDCp,38.28670100815292
WITCH 5.0,ENGAGE-INDCi2030-500f,38.0113932730668
WITCH 5.0,ENGAGE-INDCi2030-600f,38.05997065682849
WITCH 5.0,ENGAGE-INDCi2030-600f-NDCp,37.99435976153199
WITCH 5.0,ENGAGE-INDCi2030-700f,38.10039204286954
WITCH 5.0,ENGAGE-INDCi2030-700f-NDCp,38.04104055934543
WITCH 5.0,ENGAGE-INDCi2030-800,38.03388858862532
WITCH 5.0,ENGAGE-INDCi2030-800-NDCp,37.96046126130392
WITCH 5.0,ENGAGE-INDCi2030-800f,38.13950675430092
WITCH 5.0,ENGAGE-INDCi2030-800f-NDCp,38.07967191930574
WITCH 5.0,ENGAGE-INDCi2030-900,38.102675441122166
WITCH 5.0,ENGAGE-INDCi2030-900-NDCp,38.04523061178978
WITCH 5.0,ENGAGE-INDCi2030-900f,38.16740760153099
WITCH 5.0,ENGAGE-INDCi2030-900f-NDCp,38.114091588427534
