model,scenario,flexibility_score,region
IMAGE 3.2,SSP1_SPA1_19I_D,37.75673667405772,R10LATIN_AM
IMAGE 3.2,SSP1_SPA1_19I_D_LB,36.96990927639524,R10LATIN_AM
IMAGE 3.2,SSP1_SPA1_19I_LI,37.703418933885764,R10LATIN_AM
IMAGE 3.2,SSP1_SPA1_19I_LIRE,37.91635525708267,R10LATIN_AM
IMAGE 3.2,SSP1_SPA1_19I_LIRE_LB,36.997653198984004,R10LATIN_AM
IMAGE 3.2,SSP1_SPA1_19I_RE,37.45248802200814,R10LATIN_AM
IMAGE 3.2,SSP1_SPA1_19I_RE_LB,36.54938121318786,R10LATIN_AM
IMAGE 3.2,SSP2_SPA1_19I_D_LB,37.903016514736585,R10LATIN_AM
IMAGE 3.2,SSP2_SPA1_19I_LIRE_LB,37.17140732181009,R10LATIN_AM
IMAGE 3.2,SSP2_SPA1_19I_RE_LB,37.0249889388258,R10LATIN_AM
IMAGE 3.2,SSP2_SPA2_19I_D,38.11483375785979,R10LATIN_AM
IMAGE 3.2,SSP2_SPA2_19I_LI,38.07529603313753,R10LATIN_AM
IMAGE 3.2,SSP2_SPA2_19I_LIRE,37.64309801083671,R10LATIN_AM
IMAGE 3.2,SSP2_SPA2_19I_RE,37.498085707658944,R10LATIN_AM
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_600f_COV,36.70824463250963,R10LATIN_AM
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_600f_COV_NDCp,37.017904853580575,R10LATIN_AM
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_700f,36.710559827880836,R10LATIN_AM
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_700f_COV,36.69686691787992,R10LATIN_AM
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_700f_COV_NDCp,37.01374919362653,R10LATIN_AM
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_700f_NDCp,36.7397939294009,R10LATIN_AM
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_200f,35.70371441933938,R10LATIN_AM
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_300f,35.92157974554452,R10LATIN_AM
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_400f,36.32873381087339,R10LATIN_AM
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_450,36.185718348346086,R10LATIN_AM
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_450f,36.50771749522789,R10LATIN_AM
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_500,35.94816913002189,R10LATIN_AM
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_500f,36.67304146946658,R10LATIN_AM
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600,35.67176562434147,R10LATIN_AM
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600_COV,35.908644857489975,R10LATIN_AM
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600_DR10p,36.2957301901198,R10LATIN_AM
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600_DR1p,35.79577010808926,R10LATIN_AM
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600_DR2p,35.7885304243332,R10LATIN_AM
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600_DR3p,35.958555401348775,R10LATIN_AM
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600_DR4p,35.96895625064339,R10LATIN_AM
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600f,36.76111918185565,R10LATIN_AM
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600f_COV,36.89884256801807,R10LATIN_AM
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600f_DR10p,37.33511473091628,R10LATIN_AM
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600f_DR1p,36.18523956682512,R10LATIN_AM
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600f_DR2p,36.453754384681204,R10LATIN_AM
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600f_DR3p,36.52922755283453,R10LATIN_AM
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600f_DR4p,36.51792827809749,R10LATIN_AM
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_700,36.16632913552375,R10LATIN_AM
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_700_COV,36.367417509559246,R10LATIN_AM
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_700f,36.94772348149466,R10LATIN_AM
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_700f_COV,37.02885037601505,R10LATIN_AM
MESSAGEix-GLOBIOM_1.1,NGFS2_Divergent Net Zero Policies,36.25619915953905,R10LATIN_AM
MESSAGEix-GLOBIOM_1.1,NGFS2_Net-Zero 2050,36.01071339188773,R10LATIN_AM
REMIND-MAgPIE 1.7-3.0,CD-LINKS_INDC2030i_1000,36.89690398118503,R10LATIN_AM
REMIND-MAgPIE 1.7-3.0,CD-LINKS_INDC2030i_400,36.93012229528117,R10LATIN_AM
