model,scenario,flexibility_score,region
IMAGE 3.0,ENGAGE-INDCi2030-1000,38.18971917385525,R10LATIN_AM
IMAGE 3.0,ENGAGE-INDCi2030-1000f,38.40052361296284,R10LATIN_AM
IMAGE 3.0,ENGAGE-INDCi2030-1200,38.35099556340044,R10LATIN_AM
IMAGE 3.0,ENGAGE-INDCi2030-1200f,38.389118339630464,R10LATIN_AM
IMAGE 3.0,ENGAGE-INDCi2030-1400f,38.407672541073985,R10LATIN_AM
IMAGE 3.0,ENGAGE-INDCi2030-800f,38.20190523598592,R10LATIN_AM
IMAGE 3.0,ENGAGE-NPi2020-1000,38.239748977100916,R10LATIN_AM
IMAGE 3.0,ENGAGE-NPi2020-1200,38.318712817784736,R10LATIN_AM
IMAGE 3.0,ENGAGE-NPi2020-1400,38.34655567543978,R10LATIN_AM
IMAGE 3.0,ENGAGE-NPi2020-1400f,38.332384316338896,R10LATIN_AM
IMAGE 3.2,SSP2021-SSP1-SPA1-19-Default,37.75673667405772,R10LATIN_AM
IMAGE 3.2,SSP2021-SSP1-SPA1-19-Lifestyle-Renewables,37.916355257082664,R10LATIN_AM
IMAGE 3.2,SSP2021-SSP1-SPA1-19-Renewables,37.45248802200814,R10LATIN_AM
IMAGE 3.2,SSP2021-SSP1-SPA1-26-Default,37.85015192597258,R10LATIN_AM
IMAGE 3.2,SSP2021-SSP1-SPA1-26-Lifestyle,37.90451980437085,R10LATIN_AM
IMAGE 3.2,SSP2021-SSP1-SPA1-26-Lifestyle-Renewables,38.07155420437898,R10LATIN_AM
IMAGE 3.2,SSP2021-SSP1-SPA1-26-Renewables,37.42447659037305,R10LATIN_AM
IMAGE 3.2,SSP2021-SSP2-SPA0-26-Default,38.38373480568426,R10LATIN_AM
IMAGE 3.2,SSP2021-SSP2-SPA2-19-Renewables,37.49808570765894,R10LATIN_AM
IMAGE 3.2,SSP2021-SSP2-SPA2-26-Default,38.390731739977525,R10LATIN_AM
IMAGE 3.2,SSP2021-SSP2-SPA2-26-Lifestyle,38.41595703535892,R10LATIN_AM
IMAGE 3.2,SSP2021-SSP2-SPA2-26-Lifestyle-Renewables,38.11589298832286,R10LATIN_AM
IMAGE 3.2,SSP2021-SSP2-SPA2-26-Renewables,38.01871058589798,R10LATIN_AM
IMAGE 3.3,NAVIGATE Demand-1.5°C-ele_u,36.200741752622015,R10LATIN_AM
IMAGE 3.3,NAVIGATE Demand-1.5°C-tec_u,36.805582180043025,R10LATIN_AM
IMAGE 3.3,NAVIGATE Demand-2.0°C-ele_u,36.80702702237399,R10LATIN_AM
IMAGE 3.3,NAVIGATE Demand-2.0°C-ref,37.36730181255028,R10LATIN_AM
IMAGE 3.3,NAVIGATE Demand-2.0°C-tec_u,37.490791698668986,R10LATIN_AM
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,NGFS Phase 5-Below 2°C,36.080329559137276,R10LATIN_AM
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,NGFS Phase 5-Delayed Transition,36.4541283689566,R10LATIN_AM
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,NGFS Phase 5-Low Demand,36.34930825614334,R10LATIN_AM
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,NGFS Phase 5-Nationally Determined Contributions (NDCs),36.707255842195295,R10LATIN_AM
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,NGFS Phase 5-Net-Zero 2050,35.298176748520675,R10LATIN_AM
POLES-JRC ENGAGE,ENGAGE-INDCi2030-1000,37.30482565196709,R10LATIN_AM
POLES-JRC ENGAGE,ENGAGE-INDCi2030-1000-COV,37.52112901880347,R10LATIN_AM
POLES-JRC ENGAGE,ENGAGE-INDCi2030-1000-COV-NDCp,37.50578201143144,R10LATIN_AM
POLES-JRC ENGAGE,ENGAGE-INDCi2030-1000-NDCp,37.492952043314396,R10LATIN_AM
POLES-JRC ENGAGE,ENGAGE-INDCi2030-1000f,37.57197810095681,R10LATIN_AM
POLES-JRC ENGAGE,ENGAGE-INDCi2030-1000f-COV,37.69560373714519,R10LATIN_AM
POLES-JRC ENGAGE,ENGAGE-INDCi2030-1000f-COV-NDCp,37.69016248975154,R10LATIN_AM
