model,scenario,shannon_index
IMAGE 3.0,ENGAGE-INDCi2030-1000,1.1946934086233743
IMAGE 3.0,ENGAGE-INDCi2030-1000f,1.1786862509512022
IMAGE 3.0,ENGAGE-INDCi2030-1200,1.1862658200965914
IMAGE 3.0,ENGAGE-INDCi2030-1200f,1.1792188009571567
IMAGE 3.0,ENGAGE-INDCi2030-1400f,1.175377086348195
IMAGE 3.0,ENGAGE-INDCi2030-800f,1.1922952595904621
IMAGE 3.0,ENGAGE-NPi2020-1000,1.197980578157675
IMAGE 3.0,ENGAGE-NPi2020-1200,1.1896067451609855
IMAGE 3.0,ENGAGE-NPi2020-1400,1.1928822516144715
IMAGE 3.0,ENGAGE-NPi2020-1400f,1.1891085318205796
IMAGE 3.2,SSP2021-SSP1-SPA1-19-Default,1.198907454108835
IMAGE 3.2,SSP2021-SSP1-SPA1-19-Lifestyle-Renewables,1.2148345062815809
IMAGE 3.2,SSP2021-SSP1-SPA1-19-Renewables,1.1848380738387134
IMAGE 3.2,SSP2021-SSP1-SPA1-26-Default,1.1590576982904288
IMAGE 3.2,SSP2021-SSP1-SPA1-26-Lifestyle,1.1129976812296443
IMAGE 3.2,SSP2021-SSP1-SPA1-26-Lifestyle-Renewables,1.0728721206048784
IMAGE 3.2,SSP2021-SSP1-SPA1-26-Renewables,1.1045319840332195
IMAGE 3.2,SSP2021-SSP2-SPA0-26-Default,1.1216047506217377
IMAGE 3.2,SSP2021-SSP2-SPA2-19-Renewables,1.1933252627733264
IMAGE 3.2,SSP2021-SSP2-SPA2-26-Default,1.129239084646596
IMAGE 3.2,SSP2021-SSP2-SPA2-26-Lifestyle,1.0938550947668895
IMAGE 3.2,SSP2021-SSP2-SPA2-26-Lifestyle-Renewables,1.1131489323805464
IMAGE 3.2,SSP2021-SSP2-SPA2-26-Renewables,1.153965329502012
IMAGE 3.3,NAVIGATE Demand-1.5°C-ele_u,0.9953923492185264
IMAGE 3.3,NAVIGATE Demand-1.5°C-tec_u,0.9872236692672738
IMAGE 3.3,NAVIGATE Demand-2.0°C-ele_u,1.0390293886271889
IMAGE 3.3,NAVIGATE Demand-2.0°C-ref,1.0545618072933594
IMAGE 3.3,NAVIGATE Demand-2.0°C-tec_u,1.038086659770447
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,NGFS Phase 5-Below 2°C,0.958032633275597
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,NGFS Phase 5-Delayed Transition,0.9712560835491871
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,NGFS Phase 5-Low Demand,1.0195281182824962
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,NGFS Phase 5-Nationally Determined Contributions (NDCs),0.921640588311682
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,NGFS Phase 5-Net-Zero 2050,0.9363281763760354
POLES-JRC ENGAGE,ENGAGE-INDCi2030-1000,0.9557622694481877
POLES-JRC ENGAGE,ENGAGE-INDCi2030-1000-COV,0.9724550452912367
POLES-JRC ENGAGE,ENGAGE-INDCi2030-1000-COV-NDCp,0.9727943676322286
POLES-JRC ENGAGE,ENGAGE-INDCi2030-1000-NDCp,0.9592765967737307
POLES-JRC ENGAGE,ENGAGE-INDCi2030-1000f,0.9778173034093598
POLES-JRC ENGAGE,ENGAGE-INDCi2030-1000f-COV,0.9848324718328516
POLES-JRC ENGAGE,ENGAGE-INDCi2030-1000f-COV-NDCp,0.9879970751787324
POLES-JRC ENGAGE,ENGAGE-INDCi2030-1000f-NDCp,0.9814583697792185
POLES-JRC ENGAGE,ENGAGE-INDCi2030-1200,0.9830376640210419
POLES-JRC ENGAGE,ENGAGE-INDCi2030-1200f,0.9885955963214295
POLES-JRC ENGAGE,ENGAGE-INDCi2030-300f,0.9315761698187227
POLES-JRC ENGAGE,ENGAGE-INDCi2030-400f,0.9340901407695247
POLES-JRC ENGAGE,ENGAGE-INDCi2030-500f,0.940990160475593
POLES-JRC ENGAGE,ENGAGE-INDCi2030-600f,0.9486869642648346
POLES-JRC ENGAGE,ENGAGE-INDCi2030-600f-COV,0.9518518158659772
POLES-JRC ENGAGE,ENGAGE-INDCi2030-600f-COV-NDCp,0.949731474250775
POLES-JRC ENGAGE,ENGAGE-INDCi2030-600f-NDCp,0.9442231907962965
POLES-JRC ENGAGE,ENGAGE-INDCi2030-700f,0.9571821998195739
POLES-JRC ENGAGE,ENGAGE-INDCi2030-800f,0.9628806938557632
POLES-JRC ENGAGE,ENGAGE-INDCi2030-900,0.9291342408606644
POLES-JRC ENGAGE,ENGAGE-INDCi2030-900f,0.9725436909889977
POLES-JRC ENGAGE,ENGAGE-NPi2020-1000f,0.9951151712077112
POLES-JRC ENGAGE,ENGAGE-NPi2020-1000f-COV,0.9917674125120192
POLES-JRC ENGAGE,ENGAGE-NPi2020-1200f,0.9902292454313794
POLES-JRC ENGAGE,ENGAGE-NPi2020-900f,0.992475489488511
REMIND-MAgPIE 2.1-4.2,NGFS Phase 2-Delayed Transition,0.8758805046343546
REMIND-MAgPIE 3.2.0-4.8.0,RESCUE-End-of-Century-Budget-1150,0.8227632105946927
REMIND-MAgPIE 3.2.0-4.8.0,RESCUE-End-of-Century-Budget-1150-with-OAE,0.8218774755270583
REMIND-MAgPIE 3.2.0-4.8.0,RESCUE-End-of-Century-Budget-500,0.8168241902132677
REMIND-MAgPIE 3.2.0-4.8.0,RESCUE-End-of-Century-Budget-500-with-OAE,0.8154589056870968
REMIND-MAgPIE 3.2.0-4.8.0,RESCUE-Peak-Budget-1150,0.7711788425218385
REMIND-MAgPIE 3.2.0-4.8.0,RESCUE-Peak-Budget-1150-with-OAE,0.7716378116631748
REMIND-MAgPIE 3.3-4.8,NGFS Phase 5-Below 2°C,0.795303171411885
REMIND-MAgPIE 3.3-4.8,NGFS Phase 5-Delayed Transition,0.8130291204799709
REMIND-MAgPIE 3.3-4.8,NGFS Phase 5-Low Demand,0.843057533861535
REMIND-MAgPIE 3.3-4.8,NGFS Phase 5-Net-Zero 2050,0.7788032109307337
WITCH 5.0,ENGAGE-INDCi2030-1000,1.0728819772182856
WITCH 5.0,ENGAGE-INDCi2030-1000-NDCp,1.06053666047434
WITCH 5.0,ENGAGE-INDCi2030-1000f,1.0643535855989885
WITCH 5.0,ENGAGE-INDCi2030-1000f-NDCp,1.0435553538021987
WITCH 5.0,ENGAGE-INDCi2030-1200,1.0425949492279978
WITCH 5.0,ENGAGE-INDCi2030-1200-NDCp,1.0348986984189685
WITCH 5.0,ENGAGE-INDCi2030-1200f,1.0435042003527955
WITCH 5.0,ENGAGE-INDCi2030-1200f-NDCp,1.0399564906257135
WITCH 5.0,ENGAGE-INDCi2030-1400,1.0289436685968318
WITCH 5.0,ENGAGE-INDCi2030-1400-NDCp,1.0250238495030224
WITCH 5.0,ENGAGE-INDCi2030-1400f,1.0358835256446208
WITCH 5.0,ENGAGE-INDCi2030-1400f-NDCp,1.0295542010516125
WITCH 5.0,ENGAGE-INDCi2030-1600-NDCp,0.9893019529140579
WITCH 5.0,ENGAGE-INDCi2030-500f,1.069794441194629
WITCH 5.0,ENGAGE-INDCi2030-600f,1.0717987103103939
WITCH 5.0,ENGAGE-INDCi2030-600f-NDCp,1.0659582117994377
WITCH 5.0,ENGAGE-INDCi2030-700f,1.070962123643075
WITCH 5.0,ENGAGE-INDCi2030-700f-NDCp,1.0658989661961915
WITCH 5.0,ENGAGE-INDCi2030-800,1.0755422341394743
WITCH 5.0,ENGAGE-INDCi2030-800-NDCp,1.0702089586208068
WITCH 5.0,ENGAGE-INDCi2030-800f,1.0705495600169566
WITCH 5.0,ENGAGE-INDCi2030-800f-NDCp,1.0647956915397203
WITCH 5.0,ENGAGE-INDCi2030-900,1.0721342549439046
WITCH 5.0,ENGAGE-INDCi2030-900-NDCp,1.0697847699448721
WITCH 5.0,ENGAGE-INDCi2030-900f,1.0661022201916581
WITCH 5.0,ENGAGE-INDCi2030-900f-NDCp,1.0611590777073951
