model,scenario,shannon_index,region
IMAGE 3.2,SSP1_SPA1_19I_D,1.0179831635450365,R10LATIN_AM
IMAGE 3.2,SSP1_SPA1_19I_D_LB,1.0268542067590547,R10LATIN_AM
IMAGE 3.2,SSP1_SPA1_19I_LI,1.0152514388636884,R10LATIN_AM
IMAGE 3.2,SSP1_SPA1_19I_LIRE,1.0351131115473535,R10LATIN_AM
IMAGE 3.2,SSP1_SPA1_19I_LIRE_LB,1.0536774880312545,R10LATIN_AM
IMAGE 3.2,SSP1_SPA1_19I_RE,0.9587660922186538,R10LATIN_AM
IMAGE 3.2,SSP1_SPA1_19I_RE_LB,0.9528873349646869,R10LATIN_AM
IMAGE 3.2,SSP2_SPA1_19I_D_LB,1.1743586033930316,R10LATIN_AM
IMAGE 3.2,SSP2_SPA1_19I_LIRE_LB,1.0839754814015718,R10LATIN_AM
IMAGE 3.2,SSP2_SPA1_19I_RE_LB,1.0643053520246855,R10LATIN_AM
IMAGE 3.2,SSP2_SPA2_19I_D,1.083272998589099,R10LATIN_AM
IMAGE 3.2,SSP2_SPA2_19I_LI,0.9975296744983073,R10LATIN_AM
IMAGE 3.2,SSP2_SPA2_19I_LIRE,0.9896802184684529,R10LATIN_AM
IMAGE 3.2,SSP2_SPA2_19I_RE,1.035003642564935,R10LATIN_AM
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_600f_COV,0.8460611655116249,R10LATIN_AM
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_600f_COV_NDCp,0.8634151309866338,R10LATIN_AM
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_700f,0.8554900712493468,R10LATIN_AM
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_700f_COV,0.8339411004499429,R10LATIN_AM
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_700f_COV_NDCp,0.8579553184816483,R10LATIN_AM
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_700f_NDCp,0.8551990391079421,R10LATIN_AM
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_200f,0.8102834568170141,R10LATIN_AM
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_300f,0.8083419334921492,R10LATIN_AM
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_400f,0.8257302529893126,R10LATIN_AM
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_450,0.728654987001399,R10LATIN_AM
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_450f,0.83137835669829,R10LATIN_AM
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_500,0.7612617751880835,R10LATIN_AM
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_500f,0.8366890961760782,R10LATIN_AM
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600,0.8127722925806793,R10LATIN_AM
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600_COV,0.7868883895696902,R10LATIN_AM
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600_DR10p,0.7709212983620964,R10LATIN_AM
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600_DR1p,0.8592744489908322,R10LATIN_AM
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600_DR2p,0.8538831725414071,R10LATIN_AM
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600_DR3p,0.8654967682854475,R10LATIN_AM
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600_DR4p,0.8656325765768343,R10LATIN_AM
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600f,0.8762838390814045,R10LATIN_AM
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600f_COV,0.8831777175776582,R10LATIN_AM
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600f_DR10p,0.8410333039224238,R10LATIN_AM
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600f_DR1p,0.9332434586836637,R10LATIN_AM
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600f_DR2p,0.9732054090132242,R10LATIN_AM
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600f_DR3p,0.9712870845450863,R10LATIN_AM
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600f_DR4p,0.8997956776530147,R10LATIN_AM
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_700,0.8275062135760537,R10LATIN_AM
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_700_COV,0.8274024486784213,R10LATIN_AM
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_700f,0.8831405530731771,R10LATIN_AM
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_700f_COV,0.886358728811142,R10LATIN_AM
MESSAGEix-GLOBIOM_1.1,NGFS2_Divergent Net Zero Policies,0.7422968052704757,R10LATIN_AM
MESSAGEix-GLOBIOM_1.1,NGFS2_Net-Zero 2050,0.8305417387384515,R10LATIN_AM
REMIND-MAgPIE 1.7-3.0,CD-LINKS_INDC2030i_1000,0.749864067430908,R10LATIN_AM
REMIND-MAgPIE 1.7-3.0,CD-LINKS_INDC2030i_400,0.7490342304449322,R10LATIN_AM
REMIND-MAgPIE 1.7-3.0,CD-LINKS_NPi2020_1000,0.7279663837381042,R10LATIN_AM
REMIND-MAgPIE 1.7-3.0,CD-LINKS_NPi2020_400,0.7195759464756026,R10LATIN_AM
REMIND-MAgPIE 1.7-3.0,CO_2Deg2020,0.7307764395142186,R10LATIN_AM
REMIND-MAgPIE 1.7-3.0,CO_2Deg2030,0.7476969280783586,R10LATIN_AM
