model,scenario,shannon_index,region
IMAGE 3.0,ENGAGE-INDCi2030-1000,1.0247276603392408,R10LATIN_AM
IMAGE 3.0,ENGAGE-INDCi2030-1000f,0.9972416810509802,R10LATIN_AM
IMAGE 3.0,ENGAGE-INDCi2030-1200,1.0110279187052604,R10LATIN_AM
IMAGE 3.0,ENGAGE-INDCi2030-1200f,0.988895013504266,R10LATIN_AM
IMAGE 3.0,ENGAGE-INDCi2030-1400f,0.98660046320006,R10LATIN_AM
IMAGE 3.0,ENGAGE-INDCi2030-800f,1.0300807415022026,R10LATIN_AM
IMAGE 3.0,ENGAGE-NPi2020-1000,1.0373137565899695,R10LATIN_AM
IMAGE 3.0,ENGAGE-NPi2020-1200,1.0303191562528202,R10LATIN_AM
IMAGE 3.0,ENGAGE-NPi2020-1400,1.0253973326219743,R10LATIN_AM
IMAGE 3.0,ENGAGE-NPi2020-1400f,1.0348817141474338,R10LATIN_AM
IMAGE 3.2,SSP2021-SSP1-SPA1-19-Default,1.0179831635450365,R10LATIN_AM
IMAGE 3.2,SSP2021-SSP1-SPA1-19-Lifestyle-Renewables,1.0351131115473533,R10LATIN_AM
IMAGE 3.2,SSP2021-SSP1-SPA1-19-Renewables,0.9587660922186537,R10LATIN_AM
IMAGE 3.2,SSP2021-SSP1-SPA1-26-Default,0.982937107491471,R10LATIN_AM
IMAGE 3.2,SSP2021-SSP1-SPA1-26-Lifestyle,0.9417496497576492,R10LATIN_AM
IMAGE 3.2,SSP2021-SSP1-SPA1-26-Lifestyle-Renewables,0.9375711736804063,R10LATIN_AM
IMAGE 3.2,SSP2021-SSP1-SPA1-26-Renewables,0.8916010447285945,R10LATIN_AM
IMAGE 3.2,SSP2021-SSP2-SPA0-26-Default,0.9742763713911884,R10LATIN_AM
IMAGE 3.2,SSP2021-SSP2-SPA2-19-Renewables,1.0350036425649347,R10LATIN_AM
IMAGE 3.2,SSP2021-SSP2-SPA2-26-Default,1.0218843261893702,R10LATIN_AM
IMAGE 3.2,SSP2021-SSP2-SPA2-26-Lifestyle,0.9273196922633694,R10LATIN_AM
IMAGE 3.2,SSP2021-SSP2-SPA2-26-Lifestyle-Renewables,0.8851242779319192,R10LATIN_AM
IMAGE 3.2,SSP2021-SSP2-SPA2-26-Renewables,0.9719918427368825,R10LATIN_AM
IMAGE 3.3,NAVIGATE Demand-1.5°C-ele_u,0.8458982744045676,R10LATIN_AM
IMAGE 3.3,NAVIGATE Demand-1.5°C-tec_u,0.8664619239018388,R10LATIN_AM
IMAGE 3.3,NAVIGATE Demand-2.0°C-ele_u,0.8838744949724919,R10LATIN_AM
IMAGE 3.3,NAVIGATE Demand-2.0°C-ref,0.8974875614868413,R10LATIN_AM
IMAGE 3.3,NAVIGATE Demand-2.0°C-tec_u,0.8942579992864556,R10LATIN_AM
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,NGFS Phase 5-Below 2°C,0.77617133898591,R10LATIN_AM
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,NGFS Phase 5-Delayed Transition,0.7885306791492199,R10LATIN_AM
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,NGFS Phase 5-Low Demand,0.8066671918954282,R10LATIN_AM
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,NGFS Phase 5-Nationally Determined Contributions (NDCs),0.7191646490776855,R10LATIN_AM
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,NGFS Phase 5-Net-Zero 2050,0.7742643133337793,R10LATIN_AM
POLES-JRC ENGAGE,ENGAGE-INDCi2030-1000,0.8684095666728986,R10LATIN_AM
POLES-JRC ENGAGE,ENGAGE-INDCi2030-1000-COV,0.86468275501011,R10LATIN_AM
POLES-JRC ENGAGE,ENGAGE-INDCi2030-1000-COV-NDCp,0.8639392148081281,R10LATIN_AM
POLES-JRC ENGAGE,ENGAGE-INDCi2030-1000-NDCp,0.8627150791272701,R10LATIN_AM
POLES-JRC ENGAGE,ENGAGE-INDCi2030-1000f,0.8605276760262813,R10LATIN_AM
POLES-JRC ENGAGE,ENGAGE-INDCi2030-1000f-COV,0.8651502632668587,R10LATIN_AM
POLES-JRC ENGAGE,ENGAGE-INDCi2030-1000f-COV-NDCp,0.8615571940269311,R10LATIN_AM
POLES-JRC ENGAGE,ENGAGE-INDCi2030-1000f-NDCp,0.863019675216752,R10LATIN_AM
POLES-JRC ENGAGE,ENGAGE-INDCi2030-1200,0.8612110271037885,R10LATIN_AM
POLES-JRC ENGAGE,ENGAGE-INDCi2030-1200f,0.8632874468039873,R10LATIN_AM
POLES-JRC ENGAGE,ENGAGE-INDCi2030-300f,0.8665945672788643,R10LATIN_AM
POLES-JRC ENGAGE,ENGAGE-INDCi2030-400f,0.8664924472371277,R10LATIN_AM
