scenario,model,Nd,Dy,Ni,Mn,Ag,Cd,Te,Se,In
ENGAGE-INDCi2030-1000,IMAGE 3.0,0.09056087552555325,0.05698211572102189,0.04040674644944866,0.04619163894360124,0.04768846146136993,0.1697942768586658,0.08851630047014672,0.24301323770410424,0.20449403387019738
ENGAGE-INDCi2030-1000f,IMAGE 3.0,0.09078452094788098,0.05712283641593125,0.04050581199429602,0.0463057119198131,0.047640441527268804,0.15670568876086954,0.08842716891116582,0.2327763910838804,0.20428811844056094
ENGAGE-INDCi2030-1200,IMAGE 3.0,0.09056227445158398,0.0569829959440156,0.04040669853998835,0.0461923524822651,0.047534719890596926,0.1638938318811923,0.08823093510803874,0.23456839336424293,0.2038347709580068
ENGAGE-INDCi2030-1200f,IMAGE 3.0,0.09078452094788098,0.05712283641593125,0.04050581199429602,0.0463057119198131,0.047640441527268804,0.15670568876086954,0.08842716891116582,0.2327763910838804,0.20428811844056094
ENGAGE-INDCi2030-1400f,IMAGE 3.0,0.09078452094788098,0.05712283641593125,0.04050581199429602,0.0463057119198131,0.047640441527268804,0.15670568876086954,0.08842716891116582,0.2327763910838804,0.20428811844056094
ENGAGE-INDCi2030-800f,IMAGE 3.0,0.09078452094788098,0.05712283641593125,0.04050581199429602,0.052866590251249755,0.047640441527268804,0.15670568876086954,0.08842716891116582,0.2327763910838804,0.20428811844056094
ENGAGE-NPi2020-1000,IMAGE 3.0,0.09898753332454532,0.06228428166251758,0.04418910814078894,0.050489754794330766,0.05730390060602934,0.253584370455769,0.10636386934528301,0.3629354300728794,0.24572622878421463
ENGAGE-NPi2020-1200,IMAGE 3.0,0.10916108004976506,0.0686856135116793,0.04872841271407566,0.055678891873450626,0.06267000542869786,0.22169194113854448,0.11632409310344291,0.3172902961495538,0.2687367514081559
ENGAGE-NPi2020-1400,IMAGE 3.0,0.10406448164735231,0.0654787655404722,0.04644597778937685,0.053079311956863384,0.05805131061614657,0.18875576648753398,0.10775116444775815,0.283645032449611,0.2489312155512473
ENGAGE-NPi2020-1400f,IMAGE 3.0,0.09663116005318903,0.0608016200423518,0.04313294685117689,0.04928785891230464,0.054962775302186795,0.1784466411161702,0.10201842089752684,0.2685541121921409,0.2356871932920304
SSP2021-SSP1-SPA1-19-Default,IMAGE 3.2,0.1677501811041027,0.07042909214712845,0.11596002306177519,0.16396586155225912,0.10339914132500422,0.5395124157463601,0.1416769305725842,0.822960514097848,0.4164560318869509
SSP2021-SSP1-SPA1-19-Lifestyle-Renewables,IMAGE 3.2,0.10050422807781725,0.042196208039119,0.06955625459585131,0.09823692730440231,0.08894500753379891,0.45353975370343425,0.12428514462469169,0.6491158949175644,0.35823977277771984
SSP2021-SSP1-SPA1-19-Renewables,IMAGE 3.2,0.2108386085140773,0.08851955741255006,0.14590533460986166,0.20608224602771927,0.14338775122994513,0.814009164137579,0.1371635934400198,1.2416718886298237,0.5658508051297484
SSP2021-SSP1-SPA1-26-Default,IMAGE 3.2,0.11223536531141037,0.04712146856508294,0.07751828423719909,0.10970341879093123,0.07252058054649728,0.3656500330299568,0.13460810647294943,0.523326227698395,0.31097723852078696
SSP2021-SSP1-SPA1-26-Lifestyle,IMAGE 3.2,0.10174250357112556,0.042716091941763616,0.07040146115166683,0.09944726822184874,0.0681782717098063,0.38704657469552406,0.1208941276245263,0.5903924336024673,0.27929463497512197
SSP2021-SSP1-SPA1-26-Lifestyle-Renewables,IMAGE 3.2,0.06051879860555645,0.032874119006113096,0.04203273848068652,0.05915353943677519,0.06398297995988274,0.3632299941202973,0.11742370527130457,0.5540631391836786,0.2712771211107354
SSP2021-SSP1-SPA1-26-Renewables,IMAGE 3.2,0.2139439303918737,0.08982331159772196,0.14783959292396281,0.20911751414927193,0.13780513846556597,0.702682593342752,0.16166685177176363,1.0056945101199,0.5550315060993964
SSP2021-SSP2-SPA0-26-Default,IMAGE 3.2,0.059678690689062217,0.03755063143093922,0.026663396841166066,0.036115084930938804,0.039646565553719405,0.11909575913014232,0.0735894428467809,0.19371744158128437,0.17000938740174645
SSP2021-SSP2-SPA2-19-Renewables,IMAGE 3.2,0.2571879215733573,0.10945963509303949,0.1509962556915216,0.19704817324350318,0.16883531254691378,0.8609086467261452,0.19807007018233683,1.2321510564371054,0.6800103308853854
SSP2021-SSP2-SPA2-26-Default,IMAGE 3.2,0.046331951226273975,0.02915268421418188,0.021053999472783115,0.030142458849198958,0.05889958602705951,0.17693060703679792,0.10932567951603374,0.28778979858668563,0.2525687256594525
SSP2021-SSP2-SPA2-26-Lifestyle,IMAGE 3.2,0.05184583487024144,0.030927981651729056,0.03579805097253304,0.050676231324720676,0.0584993636201987,0.175728364403665,0.1085828120437989,0.28583426827434294,0.25085252237009903
SSP2021-SSP2-SPA2-26-Lifestyle-Renewables,IMAGE 3.2,0.08900938812810573,0.03737015577076215,0.06167963691394637,0.08700140241045223,0.07297712493662292,0.41428956072796097,0.11095442958023652,0.6319482924417845,0.28798948687897713
SSP2021-SSP2-SPA2-26-Renewables,IMAGE 3.2,0.09828305852385519,0.04126366087785358,0.06803196288756956,0.09606586568663256,0.07329842834355088,0.39455355078207466,0.1120046128656455,0.6018434117805346,0.2952207554176608
NAVIGATE Demand-1.5°C-ele_u,IMAGE 3.3,0.20950918732074822,0.11406377461804601,0.12299974665410815,0.1605184348733467,0.13668904577755395,0.6969915217821719,0.18575691267217562,0.9975493255381285,0.5505362701998394
NAVIGATE Demand-1.5°C-tec_u,IMAGE 3.3,0.21398139676676053,0.11434130126235816,0.12552696918016212,0.16394488155990974,0.11927938674849534,0.6082178774030925,0.17416654260736084,0.9100885019067715,0.4804161761368021
NAVIGATE Demand-2.0°C-ele_u,IMAGE 3.3,0.17586099309001518,0.11065409207800234,0.07847653266861622,0.08969996645830801,0.09497453593445053,0.4132200417003198,0.17628571570916582,0.6303168713602003,0.40726258245756974
NAVIGATE Demand-2.0°C-ref,IMAGE 3.3,0.17928431212148715,0.11280809025954895,0.07998254812055013,0.09144607056532819,0.0918556606599957,0.42615702943486194,0.17049665704670122,0.6099251482989168,0.39388845868702355
NAVIGATE Demand-2.0°C-tec_u,IMAGE 3.3,0.17573238011574815,0.11057316707213882,0.07839073768857316,0.08963436589916668,0.08837680474783725,0.35313468172356915,0.16403942513406322,0.5386639690487403,0.37897069332135447
NGFS Phase 5-Below 2°C,MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,0.27099975722010033,0.17051667661856182,0.12134548975284938,0.19983329936600241,0.24152582266392988,0.7255281964012223,0.4483049281750858,1.1801215007861416,1.0356926654128662
NGFS Phase 5-Delayed Transition,MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,0.27099975722010033,0.17051667661856182,0.12134548074826856,0.19998789589544394,0.24152375297345718,0.725521979182793,0.44830108654677253,1.1801113880528533,1.0356837903235752
NGFS Phase 5-Low Demand,MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,0.27099975722010033,0.17051667661856182,0.12134548975284938,0.13822661128957758,0.24152582266392988,0.7255281964012223,0.4483049281750858,1.1801215007861416,1.0356926654128662
NGFS Phase 5-Nationally Determined Contributions (NDCs),MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,0.27099975722010033,0.17051667661856182,0.12134548975284938,0.14437868635928033,0.24152582266392988,0.7255281964012223,0.4483049281750858,1.1801215007861416,1.0356926654128662
NGFS Phase 5-Net-Zero 2050,MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,0.2863455032519718,0.17051667661856182,0.19329640036852952,0.27394358386467443,0.24152582266392988,1.0097476125407043,0.4483049281750858,1.4451726002034702,1.0356926654128662
ENGAGE-INDCi2030-1000,POLES-JRC ENGAGE,0.21850335830419942,0.1374852393604411,0.09735993382660013,0.11243776715236946,0.09585596387935495,0.5441722348368929,0.1569963366857221,0.8300685008696497,0.37827620471317874
ENGAGE-INDCi2030-1000-COV,POLES-JRC ENGAGE,0.17521177667251397,0.11024559641345233,0.07809364640808009,0.10415694659134432,0.08943841699539545,0.5077399599039514,0.13588204681272978,0.7744955004464985,0.35295065186715563
ENGAGE-INDCi2030-1000-COV-NDCp,POLES-JRC ENGAGE,0.19865537319989235,0.12499662131783373,0.08842793498381986,0.10458337428748395,0.09163000269379046,0.5188677623487256,0.10749623873455816,0.7914696084622741,0.36905400600670835
ENGAGE-INDCi2030-1000-NDCp,POLES-JRC ENGAGE,0.27511588354924715,0.17310659843025644,0.12241191618121872,0.14032608990149265,0.09357151272021202,0.5312034549891294,0.12377139107027486,0.8102862059321502,0.36926107952575865
ENGAGE-INDCi2030-1000f,POLES-JRC ENGAGE,0.21850335830419942,0.1374852393604411,0.09735993382660013,0.111450206020855,0.08893471774859077,0.5045673091981222,0.1569963366857221,0.7696560080090352,0.36269945785335594
ENGAGE-INDCi2030-1000f-COV,POLES-JRC ENGAGE,0.17521177667251397,0.11024559641345233,0.07809364640808009,0.09025669511616018,0.08034108030845166,0.4560945761881439,0.13588204681272978,0.6957167545028224,0.31704984970875977
ENGAGE-INDCi2030-1000f-COV-NDCp,POLES-JRC ENGAGE,0.19865537319989235,0.12499662131783373,0.08842793498381986,0.10132650794068973,0.09162992911017792,0.4672304453367026,0.10749615240954075,0.7111177621749202,0.36905370963732953
ENGAGE-INDCi2030-1000f-NDCp,POLES-JRC ENGAGE,0.27511588354924715,0.17310659843025644,0.12241191618121872,0.14032608990149265,0.07538762516071441,0.41745239659804206,0.12377139107027486,0.6367728135420974,0.3036353186834427
ENGAGE-INDCi2030-1200,POLES-JRC ENGAGE,0.21850335830419942,0.1374852393604411,0.09735993382660013,0.111450206020855,0.08893471774859077,0.4932318273519918,0.1569963366857221,0.752365110347796,0.36269945785335594
ENGAGE-INDCi2030-1200f,POLES-JRC ENGAGE,0.21850335830419942,0.1374852393604411,0.09735993382660013,0.111450206020855,0.08893471774859077,0.4584951542410903,0.1569963366857221,0.6993785440945443,0.36269945785335594
ENGAGE-INDCi2030-300f,POLES-JRC ENGAGE,0.21850335830419942,0.1374852393604411,0.09735993382660013,0.11559554596488991,0.09475472367272426,0.5379205179892202,0.1569963366857221,0.8205322678548129,0.37393038261737144
ENGAGE-INDCi2030-400f,POLES-JRC ENGAGE,0.21850335830419942,0.1374852393604411,0.09735993382660013,0.11652326330044467,0.09527025884438597,0.5408472000144855,0.1569963366857221,0.8249965650124254,0.3759648380674027
ENGAGE-INDCi2030-500f,POLES-JRC ENGAGE,0.21850335830419942,0.1374852393604411,0.09735993382660013,0.11524080931723939,0.09551942086353958,0.5422616874111168,0.1569963366857221,0.827154193347088,0.3769481056612972
ENGAGE-INDCi2030-600f,POLES-JRC ENGAGE,0.21850335830419942,0.1374852393604411,0.09735993382660013,0.11332224501356407,0.09598464796502681,0.5449027716095045,0.1569963366857221,0.8311828457862984,0.3787840304713779
ENGAGE-INDCi2030-600f-COV,POLES-JRC ENGAGE,0.17521177667251397,0.11024559641345233,0.07865458717062708,0.11094877261330396,0.09268420435944963,0.5261662246059134,0.13588204681272978,0.8026025241765303,0.3657594962592034
ENGAGE-INDCi2030-600f-COV-NDCp,POLES-JRC ENGAGE,0.19865537319989235,0.12499662131783373,0.08842793498381986,0.11266736876122177,0.0929115619786467,0.5274569288953344,0.10749615240954075,0.8045713364495541,0.36905370963732953
ENGAGE-INDCi2030-600f-NDCp,POLES-JRC ENGAGE,0.27511588354924715,0.17310659843025644,0.12241191618121872,0.14032608990149265,0.10200024771090331,0.5790532013283892,0.12377139107027486,0.8832751691098242,0.40252338010441435
ENGAGE-INDCi2030-700f,POLES-JRC ENGAGE,0.21850335830419942,0.1374852393604411,0.09735993382660013,0.111450206020855,0.09561195793812614,0.5427870183831823,0.1569963366857221,0.8279555217951916,0.3773132845396185
ENGAGE-INDCi2030-800f,POLES-JRC ENGAGE,0.21850335830419942,0.1374852393604411,0.09735993382660013,0.111450206020855,0.0958445987216757,0.544107715082427,0.1569963366857221,0.8299700838383542,0.37823135441342814
ENGAGE-INDCi2030-900,POLES-JRC ENGAGE,0.21850335830419942,0.1374852393604411,0.09735993382660013,0.11350425437430399,0.09402695416676457,0.5337889862359882,0.1569963366857221,0.8142301191063955,0.3710583872247122
ENGAGE-INDCi2030-900f,POLES-JRC ENGAGE,0.21850335830419942,0.1374852393604411,0.09735993382660013,0.111450206020855,0.09212318132426493,0.5229813089627335,0.1569963366857221,0.7977443230701784,0.3635455321414001
ENGAGE-NPi2020-1000f,POLES-JRC ENGAGE,0.23716971958426447,0.14923036386788852,0.10572878863218403,0.12097120298158215,0.1036602390618767,0.4765719184223639,0.1924075675001811,0.6820800267082979,0.44450795408620064
ENGAGE-NPi2020-1000f-COV,POLES-JRC ENGAGE,0.17184659551553172,0.10812817936114856,0.07651617310295783,0.09021233136413516,0.09650838005228732,0.4921061691135295,0.11321933380985473,0.7043129819386421,0.38870242523662185
ENGAGE-NPi2020-1200f,POLES-JRC ENGAGE,0.23716971958426447,0.14923036386788852,0.10572878863218403,0.12097120298158215,0.1036602390618767,0.41699516394838376,0.1924075675001811,0.6337820205790798,0.44450795408620064
ENGAGE-NPi2020-900f,POLES-JRC ENGAGE,0.24389325530723818,0.1534609025900192,0.10871685593671189,0.12440062140027196,0.10447437578062845,0.5252219357924907,0.1939187164912045,0.7517089827261523,0.4479990732508282
NGFS Phase 2-Delayed Transition,REMIND-MAgPIE 2.1-4.2,0.20092834326652845,0.09365066828868661,0.14889148126645188,0.22541362101502438,0.12055731548388748,0.5954163745284778,0.22377085010155634,0.9082351978987591,0.5169647122256722
RESCUE-End-of-Century-Budget-1150,REMIND-MAgPIE 3.2.0-4.8.0,0.25554400105098773,0.16079170784509006,0.11431573479539404,0.14454905380519872,0.20266648300102286,0.798152200692465,0.37617668414566385,1.1423326749250953,0.8690590002098675
RESCUE-End-of-Century-Budget-1150-with-OAE,REMIND-MAgPIE 3.2.0-4.8.0,0.25554400105098773,0.16079170784509006,0.11431573479539404,0.14548103467964363,0.20266648300102286,0.798152200692465,0.37617668414566385,1.1423326749250953,0.8690590002098675
RESCUE-End-of-Century-Budget-500,REMIND-MAgPIE 3.2.0-4.8.0,0.25554400105098773,0.16079170784509006,0.11431573479539404,0.14664842623438704,0.20266648300102286,0.798152200692465,0.37617668414566385,1.1457254438133253,0.8690590002098675
RESCUE-End-of-Century-Budget-500-with-OAE,REMIND-MAgPIE 3.2.0-4.8.0,0.25554400105098773,0.16079170784509006,0.11431573479539404,0.15204660244961712,0.20266648300102286,0.798152200692465,0.37617668414566385,1.147941389154977,0.8690590002098675
RESCUE-Peak-Budget-1150,REMIND-MAgPIE 3.2.0-4.8.0,0.3226068479889622,0.20298854928046875,0.14437372423001346,0.16454941448566957,0.2897211767579461,1.477318118158979,0.49960638753124004,2.11436961041732,1.1668968434368885
RESCUE-Peak-Budget-1150-with-OAE,REMIND-MAgPIE 3.2.0-4.8.0,0.3211418075007736,0.20206672618468396,0.1437194947567369,0.16380215336572745,0.28960385547186285,1.476719884838529,0.497938523727475,2.1135134059633502,1.166424313813992
NGFS Phase 5-Below 2°C,REMIND-MAgPIE 3.3-4.8,0.3041004029455761,0.19134404621082474,0.1361617653285636,0.15510998468099108,0.2922868374410812,1.4904006862151282,0.5008471188621588,2.133093664488092,1.177230438605811
NGFS Phase 5-Delayed Transition,REMIND-MAgPIE 3.3-4.8,0.247119441452838,0.15549086211966462,0.11068060630027372,0.1313458249616985,0.22667831558303372,0.9824532775216513,0.4207459263173755,1.4061083581885188,0.9720247146581898
NGFS Phase 5-Low Demand,REMIND-MAgPIE 3.3-4.8,0.2720531304538274,0.17117947316456836,0.12173321211015986,0.13876389668796624,0.2636438901843889,1.3443473482669108,0.41423343852192107,1.9240589715117684,1.0618665390297444
NGFS Phase 5-Net-Zero 2050,REMIND-MAgPIE 3.3-4.8,0.3989372384451307,0.2510166532134625,0.18370787896494467,0.23823622446782014,0.44173910090663193,2.2524731694495514,0.5884728133907967,3.2237882682299857,1.7791725418168292
ENGAGE-INDCi2030-1000,WITCH 5.0,0.22646918719080095,0.14249744557859004,0.1196903983654091,0.22730206336228467,0.06579177707303122,0.3332968752613367,0.12211852782415278,0.4770216892606921,0.2821232951717548
ENGAGE-INDCi2030-1000-NDCp,WITCH 5.0,0.22648731485478862,0.14250885174754657,0.12219181470960987,0.22378460562024552,0.07384241343179428,0.37653007098792846,0.13406699554655993,0.5388979731036366,0.3097271415836026
ENGAGE-INDCi2030-1000f,WITCH 5.0,0.22646918719080095,0.14249744557859004,0.11869496370422766,0.22620747324849222,0.06579177707303122,0.3332968752613367,0.12211852782415278,0.4770216892606921,0.2821232951717548
ENGAGE-INDCi2030-1000f-NDCp,WITCH 5.0,0.22648731485478862,0.14250885174754657,0.1195741746139625,0.22790382270071152,0.07384241343179428,0.37653007098792846,0.13406699554655993,0.5388979731036366,0.3097271415836026
ENGAGE-INDCi2030-1200,WITCH 5.0,0.22646918719080095,0.14249744557859004,0.11755608844008551,0.22659724344891433,0.06579177707303122,0.3332968752613367,0.12211852782415278,0.4770216892606921,0.2821232951717548
ENGAGE-INDCi2030-1200-NDCp,WITCH 5.0,0.22648731485478862,0.14250885174754657,0.11699880271300998,0.22818262078143492,0.07384241343179428,0.37653007098792846,0.13406699554655993,0.5388979731036366,0.3097271415836026
ENGAGE-INDCi2030-1200f,WITCH 5.0,0.22646918719080095,0.14249744557859004,0.11644006793212607,0.22670909792855581,0.06579177707303122,0.3332968752613367,0.12211852782415278,0.4770216892606921,0.2821232951717548
ENGAGE-INDCi2030-1200f-NDCp,WITCH 5.0,0.22648731485478862,0.14250885174754657,0.11656150290067427,0.23064015037537464,0.07384241343179428,0.37653007098792846,0.13406699554655993,0.5388979731036366,0.3097271415836026
ENGAGE-INDCi2030-1400,WITCH 5.0,0.22646918719080095,0.14249744557859004,0.11672597383154976,0.22123232251066768,0.06579177707303122,0.3332968752613367,0.12211852782415278,0.4770216892606921,0.2821232951717548
ENGAGE-INDCi2030-1400-NDCp,WITCH 5.0,0.22648731485478862,0.14250885174754657,0.11621996050338974,0.22971018283334615,0.07384241343179428,0.37653007098792846,0.13406699554655993,0.5388979731036366,0.3097271415836026
ENGAGE-INDCi2030-1400f,WITCH 5.0,0.22646918719080095,0.14249744557859004,0.11654505013062252,0.22164819692322277,0.06579177707303122,0.3332968752613367,0.12211852782415278,0.4770216892606921,0.2821232951717548
ENGAGE-INDCi2030-1400f-NDCp,WITCH 5.0,0.22648731485478862,0.14250885174754657,0.11642655034487145,0.2271996789634279,0.07384241343179428,0.37653007098792846,0.13406699554655993,0.5388979731036366,0.3097271415836026
ENGAGE-INDCi2030-1600-NDCp,WITCH 5.0,0.22648731485478862,0.14250885174754657,0.11561323554311968,0.22130056228202788,0.07384241343179428,0.37653007098792846,0.13406699554655993,0.5388979731036366,0.3097271415836026
ENGAGE-INDCi2030-500f,WITCH 5.0,0.22646918719080095,0.14249744557859004,0.12265151965154689,0.22561791833196795,0.06579177707303122,0.3332968752613367,0.12211852782415278,0.4770216892606921,0.2821232951717548
ENGAGE-INDCi2030-600f,WITCH 5.0,0.22646918719080095,0.14249744557859004,0.12188540284957933,0.22448570015986485,0.06579177707303122,0.3332968752613367,0.12211852782415278,0.4770216892606921,0.2821232951717548
ENGAGE-INDCi2030-600f-NDCp,WITCH 5.0,0.22648731485478862,0.14250885174754657,0.12805976755690865,0.22379708881293428,0.07384241343179428,0.37653007098792846,0.13406699554655993,0.5388979731036366,0.3097271415836026
ENGAGE-INDCi2030-700f,WITCH 5.0,0.22646918719080095,0.14249744557859004,0.12085300338640138,0.2274527798948022,0.06579177707303122,0.3332968752613367,0.12211852782415278,0.4770216892606921,0.2821232951717548
ENGAGE-INDCi2030-700f-NDCp,WITCH 5.0,0.22648731485478862,0.14250885174754657,0.1260904328509157,0.21938409463912897,0.07384241343179428,0.37653007098792846,0.13406699554655993,0.5388979731036366,0.3097271415836026
ENGAGE-INDCi2030-800,WITCH 5.0,0.22646918719080095,0.14249744557859004,0.12451522172498121,0.23996794670366098,0.06579177707303122,0.3332968752613367,0.12211852782415278,0.4770216892606921,0.2821232951717548
ENGAGE-INDCi2030-800-NDCp,WITCH 5.0,0.22648731485478862,0.14250885174754657,0.1306089471419623,0.24643053778539367,0.07384241343179428,0.37653007098792846,0.13406699554655993,0.5388979731036366,0.3097271415836026
ENGAGE-INDCi2030-800f,WITCH 5.0,0.22646918719080095,0.14249744557859004,0.12022899937208219,0.2252915244199844,0.06579177707303122,0.3332968752613367,0.12211852782415278,0.4770216892606921,0.2821232951717548
ENGAGE-INDCi2030-800f-NDCp,WITCH 5.0,0.22648731485478862,0.14250885174754657,0.12321205825568242,0.2260332478982376,0.07384241343179428,0.37653007098792846,0.13406699554655993,0.5388979731036366,0.3097271415836026
ENGAGE-INDCi2030-900,WITCH 5.0,0.22646918719080095,0.14249744557859004,0.12136788193983275,0.22991769265091502,0.06579177707303122,0.3332968752613367,0.12211852782415278,0.4770216892606921,0.2821232951717548
ENGAGE-INDCi2030-900-NDCp,WITCH 5.0,0.22648731485478862,0.14250885174754657,0.12482641023009888,0.2245558539430792,0.07384241343179428,0.37653007098792846,0.13406699554655993,0.5388979731036366,0.3097271415836026
ENGAGE-INDCi2030-900f,WITCH 5.0,0.22646918719080095,0.14249744557859004,0.11949897490596494,0.22868929637115354,0.06579177707303122,0.3332968752613367,0.12211852782415278,0.4770216892606921,0.2821232951717548
ENGAGE-INDCi2030-900f-NDCp,WITCH 5.0,0.22648731485478862,0.14250885174754657,0.12204721901859644,0.2261591908852708,0.07384241343179428,0.37653007098792846,0.13406699554655993,0.5388979731036366,0.3097271415836026
