model,scenario,economic_score,environmental_score,resource_score,resilience_score,robustness_score,fairness_score,transition_speed_score
IMAGE 3.0,ENGAGE-INDCi2030-1000,0.1901710135729386,0.801490526700261,0.0,0.16421118943523827,0.685534765618571,0.47519357463136014,0.5131401826063915
IMAGE 3.0,ENGAGE-INDCi2030-1000f,0.2714008128704039,0.8161814065997782,0.0,0.1320499857966189,0.6579786448514927,0.4830403077466961,0.48113900635703793
IMAGE 3.0,ENGAGE-INDCi2030-1200,0.16277631601945,0.8034884185925515,0.0,0.22417510365594934,0.65191284749099,0.4766912817122212,0.22243825050519098
IMAGE 3.0,ENGAGE-INDCi2030-1200f,0.1939175301932751,0.8183532040211524,0.0,0.2230195874562458,0.6183538333409737,0.48064415079482536,0.17963594335801364
IMAGE 3.0,ENGAGE-INDCi2030-1400f,0.207358766709184,0.8174060638406045,0.0,0.29605717222288835,0.6255885943850926,0.48064415079482536,0.20776053255087756
IMAGE 3.0,ENGAGE-INDCi2030-800f,0.274881923314334,0.8169423154083952,0.0,0.10915471760055583,0.6895234301088845,0.47766768619928984,0.5816619500846547
IMAGE 3.0,ENGAGE-NPi2020-1000,0.1655840117794377,0.8018747366759,0.0,0.1900481040313092,0.5797374220560365,0.6814701917541245,0.31847205620957336
IMAGE 3.0,ENGAGE-NPi2020-1200,0.1557359005417443,0.8047471636555975,0.0,0.2528852426380325,0.5945103845542322,0.6972564112682744,0.1306856798732249
IMAGE 3.0,ENGAGE-NPi2020-1400,0.1670048651792104,0.7969219908585222,0.0,0.3129800202610295,0.5837120627490731,0.7181042955149054,0.08095780970772783
IMAGE 3.0,ENGAGE-NPi2020-1400f,0.1836013166188894,0.8113151320803554,0.0,0.31503403517574086,0.5473636966766346,0.68090444872972,0.14412868834074755
IMAGE 3.2,SSP2021-SSP1-SPA1-19-Default,0.3207147621789531,0.47464309568891727,0.0,0.11711095479017854,0.6161457647927285,0.46711907337037206,0.16105054348411255
