,scenario,model,year,north_value,south_value,north_value_damages,south_value_damages
0,EN_INDCi2030_1000f,AIM/CGE 2.2,2020,0.0067901045885098215,0.021632957058514403,0.0067901045885098215,0.021632957058514403
0,EN_INDCi2030_1000f,AIM/CGE 2.2,2030,0.006809435584097878,0.016655376489551166,0.006825970491314212,0.01737921104628116
0,EN_INDCi2030_1000f,AIM/CGE 2.2,2040,0.007719821233798131,0.019811985756537438,0.0077542076447179335,0.021529476356595897
0,EN_INDCi2030_1000f,AIM/CGE 2.2,2050,0.006371995529616674,0.015387678375672047,0.006404432288387526,0.016974628943891165
0,EN_INDCi2030_1000f,AIM/CGE 2.2,2060,0.009816159799069182,0.018040820958381002,0.009865196116646597,0.02006742524930617
0,EN_INDCi2030_1000f,AIM/CGE 2.2,2070,0.008974391309117348,0.01546114455830833,0.00901823970975899,0.01734146670015826
0,EN_INDCi2030_1000f,AIM/CGE 2.2,2080,0.006608078654445922,0.011583462525359698,0.006639666941031485,0.013082533577022503
0,EN_INDCi2030_1000f,AIM/CGE 2.2,2090,0.006133842172506985,0.009900030538520087,0.006157974391496364,0.011073086941413297
0,EN_INDCi2030_1000f,AIM/CGE 2.2,2100,0.005858107449190866,0.008548974361143796,0.0058808070844559345,0.00960571049667039
0,EN_INDCi2030_1200,AIM/CGE 2.2,2020,0.0067901045885098215,0.021632957058514403,0.0067901045885098215,0.021632957058514403
0,EN_INDCi2030_1200,AIM/CGE 2.2,2030,0.006809435584097878,0.016655376489551166,0.006825970491314212,0.01737921104628116
0,EN_INDCi2030_1200,AIM/CGE 2.2,2040,0.0074267604683917665,0.019563272358153125,0.007459817235590304,0.021255860520653053
0,EN_INDCi2030_1200,AIM/CGE 2.2,2050,0.006279556506845902,0.015252632240707937,0.0063115020444372075,0.016823029845327388
0,EN_INDCi2030_1200,AIM/CGE 2.2,2060,0.009689698811137211,0.018237229582137176,0.00973809835527318,0.02028566433246187
0,EN_INDCi2030_1200,AIM/CGE 2.2,2070,0.006657600126240248,0.013421969128377979,0.006690088367912736,0.015048709858524346
0,EN_INDCi2030_1200,AIM/CGE 2.2,2080,0.006198192128454309,0.011265638914215803,0.006227774708926481,0.012715785800686929
0,EN_INDCi2030_1200,AIM/CGE 2.2,2090,0.005834856645759805,0.009626744765326175,0.005862205524252398,0.010932356133148465
0,EN_INDCi2030_1200,AIM/CGE 2.2,2100,0.005635171824513299,0.00842978116290281,0.005661196625640711,0.009623734623337614
0,EN_INDCi2030_1200f,AIM/CGE 2.2,2020,0.0067901045885098215,0.021632957058514403,0.0067901045885098215,0.021632957058514403
0,EN_INDCi2030_1200f,AIM/CGE 2.2,2030,0.006809435584097878,0.016655376489551166,0.006825970491314212,0.01737921104628116
0,EN_INDCi2030_1200f,AIM/CGE 2.2,2040,0.006596705226029517,0.01722477066188904,0.006625953095300668,0.01869881940344778
0,EN_INDCi2030_1200f,AIM/CGE 2.2,2050,0.006154390952610563,0.01476969625194985,0.006185602468323066,0.016278792811941927
0,EN_INDCi2030_1200f,AIM/CGE 2.2,2060,0.010508172385179069,0.01948147501411231,0.010577128462673724,0.022281504268538553
0,EN_INDCi2030_1200f,AIM/CGE 2.2,2070,0.007658525951551899,0.01354609256961833,0.007707673142005733,0.01565785975343935
0,EN_INDCi2030_1200f,AIM/CGE 2.2,2080,0.00770160072940839,0.013026195733332517,0.007750045064748368,0.015202415669187936
0,EN_INDCi2030_1200f,AIM/CGE 2.2,2090,0.006146277230299197,0.009842321768803364,0.006175112947705049,0.011183486256606786
0,EN_INDCi2030_1200f,AIM/CGE 2.2,2100,0.00587257218920963,0.008667397636765972,0.005899708289932374,0.009899891818794745
0,EN_INDCi2030_1400,AIM/CGE 2.2,2020,0.0067901045885098215,0.021632957058514403,0.0067901045885098215,0.021632957058514403
