model,scenario,region,economic_score,environmental_score,resource_score,resilience_score,robustness_score,transition_speed_score,economic_dimension_score,environmental_dimension_score,resource_dimension_score,resilience_dimension_score,robustness_dimension_score,transition_speed_dimension_score
IMAGE 3.2,SSP1_SPA1_19I_D,R10LATIN_AM,0.24652137108301275,1.2340182270376832,0.0,0.5667424106510168,1.9706646027131491,0.21712636238265837,0.24652137108301275,0.6170091135188416,0.0,0.017148300815446195,0.5351309865713074,0.0339374128303019
IMAGE 3.2,SSP1_SPA1_19I_D_LB,R10LATIN_AM,0.26721266559123635,0.2212253815484885,5.078939848516647,0.8230994356049801,1.5425841354447722,0.7236420226422925,0.26721266559123635,0.11061269077424425,0.6974264518299764,0.11653060280089526,0.27820917924359045,0.328503018540957
IMAGE 3.2,SSP1_SPA1_19I_LI,R10LATIN_AM,0.17884306583747317,0.0008716671174266924,0.0,0.5225083036496811,2.390148279192005,0.49462874342925,0.17884306583747317,0.0004358335587133462,0.0,0.0,0.7868932428432241,0.19531970240697152
IMAGE 3.2,SSP1_SPA1_19I_LIRE,R10LATIN_AM,0.41763473417563063,1.0025790629399969,0.0,0.6657343885709034,2.595336261323224,0.6489668220893259,0.41763473417563063,0.5012895314699984,0.0,0.05552466536226443,0.9100412751453614,0.2850754457958735
IMAGE 3.2,SSP1_SPA1_19I_LIRE_LB,R10LATIN_AM,0.45087724197998236,0.0,0.0,0.941585682299082,2.055568501870398,1.0807686486072337,0.45087724197998236,0.0,0.0,0.16246433897290105,0.5860879091327262,0.5361910115219491
IMAGE 3.2,SSP1_SPA1_19I_RE,R10LATIN_AM,0.37480188761624367,0.22320636480489559,0.0,0.9161582387204784,1.9967037482502454,0.3665987137257348,0.37480188761624367,0.11160318240244779,0.0,0.15260684481255746,0.5507589463690294,0.12086347882360247
IMAGE 3.2,SSP1_SPA1_19I_RE_LB,R10LATIN_AM,0.42221933866829203,0.21995237347448052,6.5169790101548575,1.084818828447827,1.5569008571351357,0.8505274229321634,0.42221933866829203,0.10997618673724026,0.894894147846657,0.21799174177154423,0.28680167129343226,0.4022935796720111
IMAGE 3.2,SSP2_SPA1_19I_D_LB,R10LATIN_AM,0.2925871774592896,0.18929072515550546,0.0,1.6453259884126878,1.5641506691876121,0.41050677803741087,0.2925871774592896,0.09464536257775273,0.0,0.4352843704663797,0.2911528037503607,0.14639833702111907
IMAGE 3.2,SSP2_SPA1_19I_LIRE_LB,R10LATIN_AM,0.45764563208308506,0.2546208341821884,0.0,1.8891336229539082,1.901910114469243,1.033217910872923,0.45764563208308506,0.1273104170910942,0.0,0.529801631956229,0.4938664843756438,0.5085377463583093
IMAGE 3.2,SSP2_SPA1_19I_RE_LB,R10LATIN_AM,0.5522537180254099,0.18821459695386392,0.0,1.98058223671099,1.4612170998022613,0.5423109928671508,0.5522537180254099,0.09410729847693196,0.0,0.5652536495094405,0.22937498228158165,0.2230494485714281
