model,scenario,region,economic_score,environmental_score,resource_score,resilience_score,robustness_score,transition_speed_score,economic_dimension_score,environmental_dimension_score,resource_dimension_score,resilience_dimension_score,robustness_dimension_score,transition_speed_dimension_score
IMAGE 3.0,ENGAGE-INDCi2030-1000,R10LATIN_AM,0.20662446672486243,0.5649020449432939,0.0,0.4217915448617703,1.8146156755641591,0.9385078787325947,0.20662446672486243,0.28245102247164694,0.0,0.02848866808556513,0.5270585623751418,0.4431287797290756
IMAGE 3.0,ENGAGE-INDCi2030-1000f,R10LATIN_AM,0.32778848680722505,0.5937796305120271,0.0,0.40244649536254595,1.9334493964383508,0.7055056978686736,0.32778848680722505,0.29688981525601355,0.0,0.012670199572110135,0.6220406975611523,0.32089310206002586
IMAGE 3.0,ENGAGE-INDCi2030-1200,R10LATIN_AM,0.18031017284030643,0.5679532680257438,0.0,0.469815410539312,1.8827520669477107,0.39682307199655725,0.18031017284030643,0.2839766340128719,0.0,0.06775783651778057,0.5815190294031077,0.1589545750546658
IMAGE 3.0,ENGAGE-INDCi2030-1200f,R10LATIN_AM,0.2073062720021244,0.5918381477415173,0.0,0.4488386401744992,1.9467175386021855,0.3550090736196325,0.2073062720021244,0.29591907387075866,0.0,0.050605108035846655,0.6326457384822118,0.1370184609431804
IMAGE 3.0,ENGAGE-INDCi2030-1400f,R10LATIN_AM,0.23673937100802728,0.5887770276717325,0.0,0.5046625484243659,1.956162812213905,0.5167086664780649,0.23673937100802728,0.29438851383586623,0.0,0.0962523799636814,0.6401952139043184,0.2218479644206754
IMAGE 3.0,ENGAGE-INDCi2030-800f,R10LATIN_AM,0.33159901593476293,0.5928167996765523,0.0,0.38695159219419956,1.8073356115310852,1.071331788753817,0.33159901593476293,0.29640839983827616,0.0,0.0,0.5212397087613238,0.5128097612198845
IMAGE 3.0,ENGAGE-NPi2020-1000,R10LATIN_AM,0.1861493441343004,0.5701783685124796,0.0,0.42546861181110757,1.7318643284852007,0.5373027746999743,0.1861493441343004,0.2850891842562398,0.0,0.03149540982392512,0.46091656516040075,0.23265187520451924
IMAGE 3.0,ENGAGE-NPi2020-1200,R10LATIN_AM,0.1902777736368904,0.5748200822971659,0.0,0.5086726868971764,1.7764784593612795,0.2420369427590206,0.1902777736368904,0.28741004114858293,0.0,0.09953147465761283,0.4965760175355758,0.07775195570163339
IMAGE 3.0,ENGAGE-NPi2020-1400,R10LATIN_AM,0.2037548890866087,0.560589798766227,0.0,0.5319021462251191,1.809987877641972,0.16503241490277606,0.2037548890866087,0.2802948993831135,0.0,0.11852622941274434,0.5233596280606633,0.03735447696906087
IMAGE 3.0,ENGAGE-NPi2020-1400f,R10LATIN_AM,0.22274325802847944,0.571278380228957,0.0,0.5208600553268742,1.755527473857244,0.44145964197381615,0.22274325802847944,0.2856391901144785,0.0,0.10949709939146426,0.4798301871198875,0.18237144334217228
