model,scenario,region,economic_score,environmental_score,resource_score,resilience_score,robustness_score,transition_speed_score,economic_dimension_score,environmental_dimension_score,resource_dimension_score,resilience_dimension_score,robustness_dimension_score,transition_speed_dimension_score
IMAGE 3.0,ENGAGE-INDCi2030-1000,R10LATIN_AM,0.2336395770259904,0.5658769015464612,0.0,1.0007105125832028,0.9286371806000668,0.3793656952470852,0.2336395770259904,0.2537424510374733,0.0,0.4146704104157594,0.20120597000992885,0.25557919719849337
IMAGE 3.0,ENGAGE-INDCi2030-1000f,R10LATIN_AM,0.3153020224771333,0.5908043918811693,0.0,0.9878708308807912,0.9881605117949618,0.39531015789079693,0.3153020224771333,0.26671367216836916,0.0,0.4086675030664138,0.23874211376917215,0.26632100388606716
IMAGE 3.0,ENGAGE-INDCi2030-1200,R10LATIN_AM,0.2159041999109676,0.5685107551875759,0.0,1.0219656868727225,0.9681695315648327,0.14930493386432986,0.2159041999109676,0.25511299807396115,0.0,0.42460779398269116,0.2261355560926644,0.10058694186875815
IMAGE 3.0,ENGAGE-INDCi2030-1200f,R10LATIN_AM,0.2340991019429159,0.5891284798530777,0.0,1.0055599232504384,0.9911090112631674,0.23798811737517878,0.2340991019429159,0.2658415977950402,0.0,0.4169376444180537,0.24060147374938293,0.16033292610158945
IMAGE 3.0,ENGAGE-INDCi2030-1400f,R10LATIN_AM,0.2539364995498439,0.5864860830096392,0.0,1.0275737612275142,0.9953845720089303,0.33604237495991673,0.2539364995498439,0.26446660523415255,0.0,0.4272297243031081,0.24329769487112848,0.2263922159883024
IMAGE 3.0,ENGAGE-INDCi2030-800f,R10LATIN_AM,0.31787025293701754,0.5899732643518912,0.0,0.9863649545436186,0.9234325398019056,0.46852083903515074,0.31787025293701754,0.2662811882389609,0.0,0.40796346410803985,0.1979238595955212,0.3156431417273447
IMAGE 3.0,ENGAGE-NPi2020-1000,R10LATIN_AM,0.2198396999624806,0.570431489549001,0.0,0.9965138680805112,0.93648949676212,0.22706952948427622,0.2198396999624806,0.2561124677277941,0.0,0.4127083627021415,0.20615773702943224,0.15297705823409408
IMAGE 3.0,ENGAGE-NPi2020-1200,R10LATIN_AM,0.2226221897546233,0.5744382745078352,0.0,1.041186287770044,0.9457513848039405,0.17245146919375098,0.2226221897546233,0.2581974306754127,0.0,0.43359395805276296,0.2119983973896778,0.1161807949544121
IMAGE 3.0,ENGAGE-NPi2020-1400,R10LATIN_AM,0.2317055315297084,0.5621545171163688,0.0,1.046389718429503,0.9513106482219144,0.17814383214593477,0.2317055315297084,0.25180547820432353,0.0,0.4360267062214041,0.21550413718386568,0.12001574780257096
IMAGE 3.0,ENGAGE-NPi2020-1400f,R10LATIN_AM,0.24450336245235055,0.5713810333176548,0.0,1.035924454010635,0.9392917513717902,0.3000418323309867,0.24450336245235055,0.25660657050474006,0.0,0.431133904814881,0.20792487320556755,0.20213860028428002
IMAGE 3.2,SSP2021-SSP1-SPA1-19-Default,R10LATIN_AM,0.3081324708574777,1.4051082402798256,0.0,1.0887885160360593,1.130071065881508,0.23356588717617174,0.3081324708574777,0.6904432632139464,0.0,0.4558493201813755,0.3282326522221566,0.15735366345805227
IMAGE 3.2,SSP2021-SSP1-SPA1-19-Lifestyle-Renewables,R10LATIN_AM,0.40938782360053116,1.0807585618317104,0.0,1.0650047492440438,1.839797279208799,0.287090956276761,0.40938782360053116,0.5216652857122362,0.0,0.4447297494801722,0.7757947197067365,0.19341357705095796
IMAGE 3.2,SSP2021-SSP1-SPA1-19-Renewables,R10LATIN_AM,0.38404173192788776,0.3885769929154299,1.2416718886298237,1.153606599386546,1.184720232742441,0.3134928347677955,0.38404173192788776,0.16148301013665453,0.1711368185747056,0.4861535721039174,0.36269508808446244,0.21120055935803203
IMAGE 3.2,SSP2021-SSP1-SPA1-26-Default,R10LATIN_AM,0.29240013784272245,0.39713351424579896,0.0,1.0841834450515706,1.1298525780240802,0.18373463477658614,0.29240013784272245,0.1659354651891757,0.0,0.45369632175838087,0.3280948710956399,0.12378227932067896
IMAGE 3.2,SSP2021-SSP1-SPA1-26-Lifestyle,R10LATIN_AM,0.26079318668015755,0.07973732583453984,0.0,1.0795326870904267,1.740699798321922,0.17455602165790834,0.26079318668015755,0.0007757924461262519,0.0,0.45152196340651185,0.7133026310739735,0.1175986348803472
IMAGE 3.2,SSP2021-SSP1-SPA1-26-Lifestyle-Renewables,R10LATIN_AM,0.37544571281020195,0.07824644394243412,0.0,1.0635415106623736,1.8591518432508995,0.25626819646985444,0.37544571281020195,0.0,0.0,0.44404564485520287,0.7879999455181588,0.1726482408447932
IMAGE 3.2,SSP2021-SSP1-SPA1-26-Renewables,R10LATIN_AM,0.37258452803109565,0.3802328514614703,1.0056945101199,1.1813886983639421,1.1494860531420898,0.26806254917164235,0.37258452803109565,0.15714106866988423,0.1386125920188871,0.49914247400951006,0.3404759816573139,0.1805941126849856
IMAGE 3.2,SSP2021-SSP2-SPA0-26-Default,R10LATIN_AM,0.35350382744480824,1.941458857437904,0.0,1.0811606263015376,1.4467809869129593,0.10682767620056004,0.35350382744480824,0.9695376431709631,0.0,0.4522830701442926,0.5279538184803169,0.07196995422619071
IMAGE 3.2,SSP2021-SSP2-SPA2-19-Renewables,R10LATIN_AM,0.5096451801752,1.3403454722521135,1.2321510564371054,1.1919911111288517,1.0825600946244143,0.37226633163499173,0.5096451801752,0.6567434332729152,0.16982458388004448,0.5040993960720965,0.29827165018400953,0.2507963460463425
IMAGE 3.2,SSP2021-SSP2-SPA2-26-Default,R10LATIN_AM,0.3512530836478094,1.3676285354874307,0.0,1.1005346548151573,1.2094414776287739,0.12505120522602226,0.3512530836478094,0.6709403958071163,0.0,0.4613409658808353,0.37828460875363545,0.08424717110901285
IMAGE 3.2,SSP2021-SSP2-SPA2-26-Lifestyle,R10LATIN_AM,0.3105561217397022,1.4405409719242623,0.0,1.0318013043350027,1.723628261584211,0.11901281572882094,0.3105561217397022,0.7088809715937483,0.0,0.4292062179715494,0.7025371103224587,0.08017909969559377
IMAGE 3.2,SSP2021-SSP2-SPA2-26-Lifestyle-Renewables,R10LATIN_AM,0.41566379797852593,1.4414001101142249,0.0,1.0301439280253206,1.6885013653858547,0.2675035072496715,0.41566379797852593,0.709328031096906,0.0,0.4284313485736458,0.6803856581263392,0.18021748536362342
IMAGE 3.2,SSP2021-SSP2-SPA2-26-Renewables,R10LATIN_AM,0.46842447001737186,1.3807735094692561,0.0,1.0685126559309375,1.1936831079497843,0.24458396689877088,0.46842447001737186,0.677780489293813,0.0,0.44636979316035297,0.36834718727859905,0.16477655911111544
