model,scenario,final_energy_demand,energy_diversity,gini_coefficient,resilience_score
IMAGE 3.0,ENGAGE-INDCi2030-1000,0.5482044826071826,0.04355402760821505,0.0,0.5917585102153976
IMAGE 3.0,ENGAGE-INDCi2030-1000f,0.5424438215512931,0.0,0.0,0.5424438215512931
IMAGE 3.0,ENGAGE-INDCi2030-1200,0.6205520968924323,0.06315265370945772,0.0,0.6837047506018901
IMAGE 3.0,ENGAGE-INDCi2030-1200f,0.6300635751425392,0.05186935366203845,0.0,0.6819329288045777
IMAGE 3.0,ENGAGE-INDCi2030-1400f,0.718494387601291,0.0754314191445843,0.0,0.7939258067458753
IMAGE 3.0,ENGAGE-INDCi2030-800f,0.48079794022617117,0.02653920324003238,0.0,0.5073371434662035
IMAGE 3.0,ENGAGE-NPi2020-1000,0.591037760395029,0.04033802949880391,0.0,0.6313757898938329
IMAGE 3.0,ENGAGE-NPi2020-1200,0.6571525651426711,0.07057515118256838,0.0,0.7277277163252395
IMAGE 3.0,ENGAGE-NPi2020-1400,0.7258990247876844,0.09397559257138435,0.0,0.8198746173590687
IMAGE 3.0,ENGAGE-NPi2020-1400f,0.7323370727788086,0.09068708796080666,0.0,0.8230241607396152
IMAGE 3.2,SSP2021-SSP1-SPA1-19-Default,0.3167431201222878,0.2027937956022172,0.0,0.519536915724505
IMAGE 3.2,SSP2021-SSP1-SPA1-19-Lifestyle-Renewables,0.36348968864408226,0.11941858889710741,0.0,0.4829082775411897
IMAGE 3.2,SSP2021-SSP1-SPA1-19-Renewables,0.3374302618381928,0.2623430423908272,0.0,0.59977330422902
IMAGE 3.2,SSP2021-SSP1-SPA1-26-Default,0.4366579391459054,0.16683985791885314,0.0,0.6034977970647586
IMAGE 3.2,SSP2021-SSP1-SPA1-26-Lifestyle,0.3284248939500131,0.1705237740971212,0.0,0.49894866804713434
IMAGE 3.2,SSP2021-SSP1-SPA1-26-Lifestyle-Renewables,0.48184334485367647,0.14247359120676215,0.0,0.6243169360604386
IMAGE 3.2,SSP2021-SSP1-SPA1-26-Renewables,0.43817512706377953,0.2684727270643852,0.0,0.7066478541281647
IMAGE 3.2,SSP2021-SSP2-SPA0-26-Default,0.5508830220330326,0.0560170419225693,0.0,0.6069000639556019
IMAGE 3.2,SSP2021-SSP2-SPA2-19-Renewables,0.5043362214166481,0.18495344402884903,0.0,0.6892896654454972
IMAGE 3.2,SSP2021-SSP2-SPA2-26-Default,0.6401839765602035,0.094065658574475,0.0,0.7342496351346786
IMAGE 3.2,SSP2021-SSP2-SPA2-26-Lifestyle,0.4698834160330448,0.1093587408714318,0.0,0.5792421569044766
IMAGE 3.2,SSP2021-SSP2-SPA2-26-Lifestyle-Renewables,0.4509126224034419,0.14886425650571955,0.0,0.5997768789091614
IMAGE 3.2,SSP2021-SSP2-SPA2-26-Renewables,0.6072648320616503,0.12297699296252422,0.0,0.7302418250241745
IMAGE 3.3,NAVIGATE Demand-1.5°C-ele_u,0.468524884078166,0.5728607194426449,0.0,1.0413856035208109
IMAGE 3.3,NAVIGATE Demand-1.5°C-tec_u,0.3168248525089846,0.4945742374649126,0.0,0.8113990899738972
IMAGE 3.3,NAVIGATE Demand-2.0°C-ele_u,0.5553594552175077,0.19566090238998848,0.0,0.7510203576074962
IMAGE 3.3,NAVIGATE Demand-2.0°C-ref,0.588142323850486,0.15446577900260391,0.0,0.74260810285309
IMAGE 3.3,NAVIGATE Demand-2.0°C-tec_u,0.43708903517753467,0.15130344844612037,0.0,0.588392483623655
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,NGFS Phase 5-Below 2°C,0.8062729281063656,0.6791860707137909,0.0,1.4854589988201565
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,NGFS Phase 5-Delayed Transition,0.8285495118179382,0.5846430537693394,0.0,1.4131925655872777
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,NGFS Phase 5-Low Demand,0.0,0.33996371505925804,0.0,0.33996371505925804
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,NGFS Phase 5-Nationally Determined Contributions (NDCs),0.9043260290603407,0.489914315171242,0.0,1.3942403442315827
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,NGFS Phase 5-Net-Zero 2050,0.6774231146836889,0.8991807863336909,0.0,1.5766039010173798
POLES-JRC ENGAGE,ENGAGE-INDCi2030-1000,0.5320480274079881,0.08084090694900911,0.0,0.6128889343569972
POLES-JRC ENGAGE,ENGAGE-INDCi2030-1000-COV,0.4562676208042441,0.03412177931355322,0.0,0.4903894001177973
POLES-JRC ENGAGE,ENGAGE-INDCi2030-1000-COV-NDCp,0.44690446734596323,0.037241479560586835,0.0,0.48414594690655005
POLES-JRC ENGAGE,ENGAGE-INDCi2030-1000-NDCp,0.6000830070112186,0.05746011220936936,0.0,0.6575431192205881
POLES-JRC ENGAGE,ENGAGE-INDCi2030-1000f,0.5486345055102464,0.10642899591319264,0.0,0.655063501423439
POLES-JRC ENGAGE,ENGAGE-INDCi2030-1000f-COV,0.4664306144291873,0.05173997433747555,0.0,0.5181705887666629
POLES-JRC ENGAGE,ENGAGE-INDCi2030-1000f-COV-NDCp,0.4652067913392144,0.0461546082027836,0.0,0.511361399541998
POLES-JRC ENGAGE,ENGAGE-INDCi2030-1000f-NDCp,0.5981208820221294,0.06964085754002218,0.0,0.6677617395621516
POLES-JRC ENGAGE,ENGAGE-INDCi2030-1200,0.6210668108027331,0.03440990906164414,0.0,0.6554767198643772
POLES-JRC ENGAGE,ENGAGE-INDCi2030-1200f,0.6342389934439581,0.039749758924368994,0.0,0.673988752368327
POLES-JRC ENGAGE,ENGAGE-INDCi2030-300f,0.33815897998137595,0.36530942256463605,0.0,0.7034684025460121
POLES-JRC ENGAGE,ENGAGE-INDCi2030-400f,0.3586225566401816,0.3464746330578129,0.0,0.7050971896979945
POLES-JRC ENGAGE,ENGAGE-INDCi2030-500f,0.37925286643913947,0.3168092554871553,0.0,0.6960621219262948
POLES-JRC ENGAGE,ENGAGE-INDCi2030-600f,0.39961274089635634,0.30231086911494925,0.0,0.7019236100113055
POLES-JRC ENGAGE,ENGAGE-INDCi2030-600f-COV,0.31837793742364967,0.3146343014468115,0.0,0.6330122388704611
