model,scenario,final_energy_demand,energy_diversity,gini_coefficient,resilience_score,Region
IMAGE 3.0,ENGAGE-INDCi2030-1000,0.40206269669084505,0.019728848170925215,0.0,0.4217915448617703,R10LATIN_AM
IMAGE 3.0,ENGAGE-INDCi2030-1000f,0.40244649536254595,0.0,0.0,0.40244649536254595,R10LATIN_AM
IMAGE 3.0,ENGAGE-INDCi2030-1200,0.43196318837925546,0.03785222216005651,0.0,0.469815410539312,R10LATIN_AM
IMAGE 3.0,ENGAGE-INDCi2030-1200f,0.43959375680378093,0.009244883370718245,0.0,0.4488386401744992,R10LATIN_AM
IMAGE 3.0,ENGAGE-INDCi2030-1400f,0.48217675826606127,0.022485790158304604,0.0,0.5046625484243659,R10LATIN_AM
IMAGE 3.0,ENGAGE-INDCi2030-800f,0.37724895045919893,0.009702641735000645,0.0,0.38695159219419956,R10LATIN_AM
IMAGE 3.0,ENGAGE-NPi2020-1000,0.4212735922962574,0.004195019514850191,0.0,0.42546861181110757,R10LATIN_AM
IMAGE 3.0,ENGAGE-NPi2020-1200,0.45028011202622636,0.05839257487095003,0.0,0.5086726868971764,R10LATIN_AM
IMAGE 3.0,ENGAGE-NPi2020-1400,0.4794964541750415,0.052405692050077606,0.0,0.5319021462251191,R10LATIN_AM
IMAGE 3.0,ENGAGE-NPi2020-1400f,0.4888281495413298,0.03203190578554439,0.0,0.5208600553268742,R10LATIN_AM
IMAGE 3.2,SSP2021-SSP1-SPA1-19-Default,0.3178088413492118,0.19392034309756265,0.0,0.5117291844467744,R10LATIN_AM
IMAGE 3.2,SSP2021-SSP1-SPA1-19-Lifestyle-Renewables,0.4337354503681427,0.1025279114387966,0.0,0.5362633618069393,R10LATIN_AM
IMAGE 3.2,SSP2021-SSP1-SPA1-19-Renewables,0.3239696739254375,0.2896615984209192,0.0,0.6136312723463567,R10LATIN_AM
IMAGE 3.2,SSP2021-SSP1-SPA1-26-Default,0.3641145188656023,0.16486652211483546,0.0,0.5289810409804377,R10LATIN_AM
IMAGE 3.2,SSP2021-SSP1-SPA1-26-Lifestyle,0.31120623771923367,0.18297309284030125,0.0,0.4941793305595349,R10LATIN_AM
IMAGE 3.2,SSP2021-SSP1-SPA1-26-Lifestyle-Renewables,0.4868939286495802,0.07499475832566532,0.0,0.5618886869752455,R10LATIN_AM
IMAGE 3.2,SSP2021-SSP1-SPA1-26-Renewables,0.36458567511811685,0.31262003558993534,0.0,0.6772057107080522,R10LATIN_AM
IMAGE 3.2,SSP2021-SSP2-SPA0-26-Default,0.5243043742446377,0.08400782797533989,0.0,0.6083122022199776,R10LATIN_AM
IMAGE 3.2,SSP2021-SSP2-SPA2-19-Renewables,0.510007632607032,0.2595334755718561,0.0,0.7695411081788881,R10LATIN_AM
IMAGE 3.2,SSP2021-SSP2-SPA2-26-Default,0.5536416316832635,0.09953561304633667,0.0,0.6531772447296001,R10LATIN_AM
IMAGE 3.2,SSP2021-SSP2-SPA2-26-Lifestyle,0.4823900340880458,0.028819948619831143,0.0,0.511209982707877,R10LATIN_AM
IMAGE 3.2,SSP2021-SSP2-SPA2-26-Lifestyle-Renewables,0.48675498920440485,0.02421898744905796,0.0,0.5109739766534628,R10LATIN_AM
IMAGE 3.2,SSP2021-SSP2-SPA2-26-Renewables,0.5491561576090219,0.052923055106870565,0.0,0.6020792127158925,R10LATIN_AM
IMAGE 3.3,NAVIGATE Demand-1.5°C-ele_u,0.5242688804556217,0.5424584746583127,0.0,1.0667273551139345,R10LATIN_AM
IMAGE 3.3,NAVIGATE Demand-1.5°C-tec_u,0.4375680483484077,0.513135859285048,0.0,0.9507039076334557,R10LATIN_AM
IMAGE 3.3,NAVIGATE Demand-2.0°C-ele_u,0.5624326218438108,0.29765202824128356,0.0,0.8600846500850944,R10LATIN_AM
IMAGE 3.3,NAVIGATE Demand-2.0°C-ref,0.55992554038725,0.21973056107239836,0.0,0.7796561014596484,R10LATIN_AM
IMAGE 3.3,NAVIGATE Demand-2.0°C-tec_u,0.4821108416057245,0.24611647711577977,0.0,0.7282273187215043,R10LATIN_AM
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,NGFS Phase 5-Below 2°C,0.2960345452002357,0.7644453627956773,0.0,1.060479907995913,R10LATIN_AM
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,NGFS Phase 5-Delayed Transition,0.2967422744628273,0.6867535943843069,0.0,0.9834958688471342,R10LATIN_AM
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,NGFS Phase 5-Low Demand,0.0,0.5393607990777293,0.0,0.5393607990777293,R10LATIN_AM
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,NGFS Phase 5-Nationally Determined Contributions (NDCs),0.3219517067992453,0.5579635979956534,0.0,0.8799153047948987,R10LATIN_AM
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,NGFS Phase 5-Net-Zero 2050,0.2499769340522474,1.0,0.0,1.2499769340522473,R10LATIN_AM
POLES-JRC ENGAGE,ENGAGE-INDCi2030-1000,0.6628642944857421,0.12274819307325757,0.0,0.7856124875589997,R10LATIN_AM
POLES-JRC ENGAGE,ENGAGE-INDCi2030-1000-COV,0.6656006399637296,0.08662699609107655,0.0,0.7522276360548061,R10LATIN_AM
POLES-JRC ENGAGE,ENGAGE-INDCi2030-1000-COV-NDCp,0.6643173066898183,0.09000057030788727,0.0,0.7543178769977055,R10LATIN_AM
POLES-JRC ENGAGE,ENGAGE-INDCi2030-1000-NDCp,0.6928550483298253,0.07475156424866972,0.0,0.7676066125784949,R10LATIN_AM
POLES-JRC ENGAGE,ENGAGE-INDCi2030-1000f,0.6715603889502811,0.17092928721207445,0.0,0.8424896761623556,R10LATIN_AM
POLES-JRC ENGAGE,ENGAGE-INDCi2030-1000f-COV,0.6700450747258604,0.1079830375262695,0.0,0.7780281122521299,R10LATIN_AM
POLES-JRC ENGAGE,ENGAGE-INDCi2030-1000f-COV-NDCp,0.6722103673627767,0.09980223472240245,0.0,0.7720126020851792,R10LATIN_AM
POLES-JRC ENGAGE,ENGAGE-INDCi2030-1000f-NDCp,0.6974090163816574,0.11301621867109193,0.0,0.8104252350527493,R10LATIN_AM
POLES-JRC ENGAGE,ENGAGE-INDCi2030-1200,0.6936801740366995,0.06439043041177075,0.0,0.7580706044484702,R10LATIN_AM
POLES-JRC ENGAGE,ENGAGE-INDCi2030-1200f,0.7032730609431491,0.07523623237020484,0.0,0.778509293313354,R10LATIN_AM
POLES-JRC ENGAGE,ENGAGE-INDCi2030-300f,0.6021864830504107,0.4385669732527273,0.0,1.040753456303138,R10LATIN_AM
POLES-JRC ENGAGE,ENGAGE-INDCi2030-400f,0.6129802115729889,0.4169337876490249,0.0,1.0299139992220137,R10LATIN_AM
POLES-JRC ENGAGE,ENGAGE-INDCi2030-500f,0.6264821616201927,0.4182015629589185,0.0,1.0446837245791112,R10LATIN_AM
POLES-JRC ENGAGE,ENGAGE-INDCi2030-600f,0.6332633480932564,0.40736868157591194,0.0,1.0406320296691682,R10LATIN_AM
POLES-JRC ENGAGE,ENGAGE-INDCi2030-600f-COV,0.627733317344068,0.3886509553671269,0.0,1.016384272711195,R10LATIN_AM
POLES-JRC ENGAGE,ENGAGE-INDCi2030-600f-COV-NDCp,0.6275393545442435,0.39144802298710263,0.0,1.018987377531346,R10LATIN_AM
POLES-JRC ENGAGE,ENGAGE-INDCi2030-600f-NDCp,0.6542636950956077,0.36525146178121315,0.0,1.0195151568768208,R10LATIN_AM
POLES-JRC ENGAGE,ENGAGE-INDCi2030-700f,0.6446511419751604,0.3773613833130564,0.0,1.0220125252882168,R10LATIN_AM
POLES-JRC ENGAGE,ENGAGE-INDCi2030-800f,0.6520540042819934,0.33707061608975103,0.0,0.9891246203717445,R10LATIN_AM
POLES-JRC ENGAGE,ENGAGE-INDCi2030-900,0.665110376739763,0.07742416335728593,0.0,0.742534540097049,R10LATIN_AM
POLES-JRC ENGAGE,ENGAGE-INDCi2030-900f,0.6613129184851468,0.25298200044546004,0.0,0.9142949189306069,R10LATIN_AM
POLES-JRC ENGAGE,ENGAGE-NPi2020-1000f,0.6934524338594042,0.0888345147108902,0.0,0.7822869485702945,R10LATIN_AM
POLES-JRC ENGAGE,ENGAGE-NPi2020-1000f-COV,0.6857605895964193,0.06734166352802883,0.0,0.7531022531244481,R10LATIN_AM
POLES-JRC ENGAGE,ENGAGE-NPi2020-1200f,0.7139750018205481,0.06129476991982342,0.0,0.7752697717403715,R10LATIN_AM
POLES-JRC ENGAGE,ENGAGE-NPi2020-900f,0.6818803265125829,0.12789719213704087,0.0,0.8097775186496238,R10LATIN_AM
REMIND-MAgPIE 2.1-4.2,NGFS Phase 2-Delayed Transition,0.605043675363431,0.4817493365169212,0.0,1.0867930118803522,R10LATIN_AM
REMIND-MAgPIE 3.2.0-4.8.0,RESCUE-End-of-Century-Budget-1150,0.9799667066039798,0.46279043932990094,0.0,1.4427571459338808,R10LATIN_AM
REMIND-MAgPIE 3.2.0-4.8.0,RESCUE-End-of-Century-Budget-1150-with-OAE,1.0,0.4883189806101897,0.0,1.4883189806101897,R10LATIN_AM
REMIND-MAgPIE 3.2.0-4.8.0,RESCUE-End-of-Century-Budget-500,0.9674586579970801,0.6101758251347986,0.0,1.5776344831318787,R10LATIN_AM
