model,scenario,final_energy_demand,energy_diversity,gini_coefficient,resilience_score,Region
IMAGE 3.0,ENGAGE-INDCi2030-1000,0.13494319842493968,0.19848004498800723,0.6672872691702557,1.0007105125832028,R10LATIN_AM
IMAGE 3.0,ENGAGE-INDCi2030-1000f,0.135063215009077,0.1855203467014585,0.6672872691702557,0.9878708308807912,R10LATIN_AM
IMAGE 3.0,ENGAGE-INDCi2030-1200,0.1442932956010594,0.21038512210140728,0.6672872691702557,1.0219656868727225,R10LATIN_AM
IMAGE 3.0,ENGAGE-INDCi2030-1200f,0.1466794288132433,0.19159322526693945,0.6672872691702557,1.0055599232504384,R10LATIN_AM
IMAGE 3.0,ENGAGE-INDCi2030-1400f,0.1599954373214745,0.20029105473578407,0.6672872691702557,1.0275737612275142,R10LATIN_AM
IMAGE 3.0,ENGAGE-INDCi2030-800f,0.1271837628615642,0.19189392251179874,0.6672872691702557,0.9863649545436186,R10LATIN_AM
IMAGE 3.0,ENGAGE-NPi2020-1000,0.14095058260519785,0.1882760163050577,0.6672872691702557,0.9965138680805112,R10LATIN_AM
IMAGE 3.0,ENGAGE-NPi2020-1200,0.15002112836887732,0.22387789023091081,0.6672872691702557,1.041186287770044,R10LATIN_AM
IMAGE 3.0,ENGAGE-NPi2020-1400,0.15915728710061042,0.21994516215863685,0.6672872691702557,1.046389718429503,R10LATIN_AM
IMAGE 3.0,ENGAGE-NPi2020-1400f,0.16207537484986845,0.20656180999051083,0.6672872691702557,1.035924454010635,R10LATIN_AM
IMAGE 3.2,SSP2021-SSP1-SPA1-19-Default,0.10859641646842913,0.31290483039737443,0.6672872691702557,1.0887885160360593,R10LATIN_AM
IMAGE 3.2,SSP2021-SSP1-SPA1-19-Lifestyle-Renewables,0.1448474945751205,0.25286998549866757,0.6672872691702557,1.0650047492440438,R10LATIN_AM
IMAGE 3.2,SSP2021-SSP1-SPA1-19-Renewables,0.11052295279009915,0.3757963774261912,0.6672872691702557,1.153606599386546,R10LATIN_AM
IMAGE 3.2,SSP2021-SSP1-SPA1-26-Default,0.12307653235067506,0.29381964353063983,0.6672872691702557,1.0841834450515706,R10LATIN_AM
IMAGE 3.2,SSP2021-SSP1-SPA1-26-Lifestyle,0.10653173518495629,0.3057136827352148,0.6672872691702557,1.0795326870904267,R10LATIN_AM
IMAGE 3.2,SSP2021-SSP1-SPA1-26-Lifestyle-Renewables,0.16147053017084434,0.2347837113212736,0.6672872691702557,1.0635415106623736,R10LATIN_AM
IMAGE 3.2,SSP2021-SSP1-SPA1-26-Renewables,0.12322386627387791,0.39087756291980846,0.6672872691702557,1.1813886983639421,R10LATIN_AM
IMAGE 3.2,SSP2021-SSP2-SPA0-26-Default,0.1731690435384793,0.24070431359280264,0.6672872691702557,1.0811606263015376,R10LATIN_AM
IMAGE 3.2,SSP2021-SSP2-SPA2-19-Renewables,0.16869835038043657,0.3560054915781593,0.6672872691702557,1.1919911111288517,R10LATIN_AM
IMAGE 3.2,SSP2021-SSP2-SPA2-26-Default,0.18234301334441116,0.25090437230049034,0.6672872691702557,1.1005346548151573,R10LATIN_AM
IMAGE 3.2,SSP2021-SSP2-SPA2-26-Lifestyle,0.1600621301933394,0.20445190497140753,0.6672872691702557,1.0318013043350027,R10LATIN_AM
IMAGE 3.2,SSP2021-SSP2-SPA2-26-Lifestyle-Renewables,0.1614270828146094,0.20142957604045553,0.6672872691702557,1.0301439280253206,R10LATIN_AM
IMAGE 3.2,SSP2021-SSP2-SPA2-26-Renewables,0.1809403735847653,0.22028501317591642,0.6672872691702557,1.0685126559309375,R10LATIN_AM
IMAGE 3.3,NAVIGATE Demand-1.5°C-ele_u,0.17315794437730478,0.5418563123719513,0.6672872691702557,1.382301525919512,R10LATIN_AM
IMAGE 3.3,NAVIGATE Demand-1.5°C-tec_u,0.14604597532004981,0.5225945569507677,0.6672872691702557,1.3359278014410734,R10LATIN_AM
IMAGE 3.3,NAVIGATE Demand-2.0°C-ele_u,0.1850920187163626,0.38104521703175787,0.6672872691702557,1.2334245049183763,R10LATIN_AM
IMAGE 3.3,NAVIGATE Demand-2.0°C-ref,0.18430803644973057,0.32985932438333737,0.6672872691702557,1.1814546300033237,R10LATIN_AM
IMAGE 3.3,NAVIGATE Demand-2.0°C-tec_u,0.15997482471128413,0.34719198911742827,0.6672872691702557,1.174454082998968,R10LATIN_AM
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,NGFS Phase 5-Below 2°C,0.10178743864103611,0.6876774504792336,0.6672872691702557,1.4567521582905254,R10LATIN_AM
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,NGFS Phase 5-Delayed Transition,0.10200875063311213,0.6366424448247417,0.6672872691702557,1.4059384646281097,R10LATIN_AM
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,NGFS Phase 5-Low Demand,0.00921532330744492,0.5398214778714185,0.6672872691702557,1.2163240703491192,R10LATIN_AM
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,NGFS Phase 5-Nationally Determined Contributions (NDCs),0.10989192006579694,0.5520414847959447,0.6672872691702557,1.3292206740319974,R10LATIN_AM
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,NGFS Phase 5-Net-Zero 2050,0.08738489488284949,0.8424111177322623,0.6672872691702557,1.5970832817853675,R10LATIN_AM
POLES-JRC ENGAGE,ENGAGE-INDCi2030-1000,0.21649771961747127,0.26615250189198864,0.6672872691702557,1.1499374906797155,R10LATIN_AM
POLES-JRC ENGAGE,ENGAGE-INDCi2030-1000-COV,0.21735339438005508,0.2424248209558082,0.6672872691702557,1.127065484506119,R10LATIN_AM
POLES-JRC ENGAGE,ENGAGE-INDCi2030-1000-COV-NDCp,0.2169520869050656,0.24464089072421863,0.6672872691702557,1.12888024679954,R10LATIN_AM
POLES-JRC ENGAGE,ENGAGE-INDCi2030-1000-NDCp,0.22587604241394738,0.2346239593765258,0.6672872691702557,1.1277872709607288,R10LATIN_AM
POLES-JRC ENGAGE,ENGAGE-INDCi2030-1000f,0.2192170504279299,0.29780221796994377,0.6672872691702557,1.1843065375681294,R10LATIN_AM
