model,scenario,resource_ratio,resource_score
IMAGE 3.0,ENGAGE-INDCi2030-1000,0.1097386318893454,0.02692343110919072
IMAGE 3.0,ENGAGE-INDCi2030-1000f,0.10717296555574074,0.024238892664095728
IMAGE 3.0,ENGAGE-INDCi2030-1200,0.10802299695777005,0.025128307608041165
IMAGE 3.0,ENGAGE-INDCi2030-1200f,0.10717296555574074,0.024238892664095728
IMAGE 3.0,ENGAGE-INDCi2030-1400f,0.10717296555574074,0.024238892664095728
IMAGE 3.0,ENGAGE-INDCi2030-800f,0.10790195203701147,0.025001654450105642
IMAGE 3.0,ENGAGE-NPi2020-1000,0.14242938635403973,0.06112880926385268
IMAGE 3.0,ENGAGE-NPi2020-1200,0.14099634281970724,0.0596293701469955
IMAGE 3.0,ENGAGE-NPi2020-1400,0.12846700294292904,0.046519522560689835
IMAGE 3.0,ENGAGE-NPi2020-1400f,0.12105808096211969,0.038767331391603564
IMAGE 3.2,SSP2021-SSP1-SPA1-19-Default,0.2824566879437792,0.20764383717569693
IMAGE 3.2,SSP2021-SSP1-SPA1-19-Lifestyle-Renewables,0.2205132435082665,0.14283043730732486
IMAGE 3.2,SSP2021-SSP1-SPA1-19-Renewables,0.3948254387923693,0.3252188420503651
IMAGE 3.2,SSP2021-SSP1-SPA1-26-Default,0.19485119146368984,0.1159794144789177
IMAGE 3.2,SSP2021-SSP1-SPA1-26-Lifestyle,0.19556815194376118,0.11672959307663937
IMAGE 3.2,SSP2021-SSP1-SPA1-26-Lifestyle-Renewables,0.17383957057500327,0.0939942859644896
IMAGE 3.2,SSP2021-SSP1-SPA1-26-Renewables,0.3581783276513565,0.2868738018278133
IMAGE 3.2,SSP2021-SSP2-SPA0-26-Default,0.08400737782286438,0.0
IMAGE 3.2,SSP2021-SSP2-SPA2-19-Renewables,0.4282963780421454,0.3602405524078539
IMAGE 3.2,SSP2021-SSP2-SPA2-26-Default,0.11246616562094075,0.029777336571041535
IMAGE 3.2,SSP2021-SSP2-SPA2-26-Lifestyle,0.1165272699479254,0.034026599443823094
IMAGE 3.2,SSP2021-SSP2-SPA2-26-Lifestyle-Renewables,0.19924660864320534,0.12057847954287021
IMAGE 3.2,SSP2021-SSP2-SPA2-26-Renewables,0.19784058968504187,0.11910731710125247
IMAGE 3.3,NAVIGATE Demand-1.5°C-ele_u,0.3527349132706798,0.28117818389569554
IMAGE 3.3,NAVIGATE Demand-1.5°C-tec_u,0.32332922595241254,0.25041007618177397
IMAGE 3.3,NAVIGATE Demand-2.0°C-ele_u,0.24186125905073863,0.16516754626791758
IMAGE 3.3,NAVIGATE Demand-2.0°C-ref,0.23953821946604592,0.16273687592201047
IMAGE 3.3,NAVIGATE Demand-2.0°C-tec_u,0.21972402497235452,0.14200465280312527
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,NGFS Phase 5-Below 2°C,0.4882075929329733,0.4229275657424403
