model,scenario,resource_score,Region
IMAGE 3.0,ENGAGE-INDCi2030-1000,0.0,R10LATIN_AM
IMAGE 3.0,ENGAGE-INDCi2030-1000f,0.0,R10LATIN_AM
IMAGE 3.0,ENGAGE-INDCi2030-1200,0.0,R10LATIN_AM
IMAGE 3.0,ENGAGE-INDCi2030-1200f,0.0,R10LATIN_AM
IMAGE 3.0,ENGAGE-INDCi2030-1400f,0.0,R10LATIN_AM
IMAGE 3.0,ENGAGE-INDCi2030-800f,0.0,R10LATIN_AM
IMAGE 3.0,ENGAGE-NPi2020-1000,0.0,R10LATIN_AM
IMAGE 3.0,ENGAGE-NPi2020-1200,0.0,R10LATIN_AM
IMAGE 3.0,ENGAGE-NPi2020-1400,0.0,R10LATIN_AM
IMAGE 3.0,ENGAGE-NPi2020-1400f,0.0,R10LATIN_AM
IMAGE 3.2,SSP2021-SSP1-SPA1-19-Default,0.0,R10LATIN_AM
IMAGE 3.2,SSP2021-SSP1-SPA1-19-Lifestyle-Renewables,0.0,R10LATIN_AM
IMAGE 3.2,SSP2021-SSP1-SPA1-19-Renewables,1.2416718886298237,R10LATIN_AM
IMAGE 3.2,SSP2021-SSP1-SPA1-26-Default,0.0,R10LATIN_AM
IMAGE 3.2,SSP2021-SSP1-SPA1-26-Lifestyle,0.0,R10LATIN_AM
IMAGE 3.2,SSP2021-SSP1-SPA1-26-Lifestyle-Renewables,0.0,R10LATIN_AM
IMAGE 3.2,SSP2021-SSP1-SPA1-26-Renewables,1.0056945101199,R10LATIN_AM
IMAGE 3.2,SSP2021-SSP2-SPA0-26-Default,0.0,R10LATIN_AM
IMAGE 3.2,SSP2021-SSP2-SPA2-19-Renewables,1.2321510564371054,R10LATIN_AM
IMAGE 3.2,SSP2021-SSP2-SPA2-26-Default,0.0,R10LATIN_AM
IMAGE 3.2,SSP2021-SSP2-SPA2-26-Lifestyle,0.0,R10LATIN_AM
IMAGE 3.2,SSP2021-SSP2-SPA2-26-Lifestyle-Renewables,0.0,R10LATIN_AM
IMAGE 3.2,SSP2021-SSP2-SPA2-26-Renewables,0.0,R10LATIN_AM
IMAGE 3.3,NAVIGATE Demand-1.5°C-ele_u,0.0,R10LATIN_AM
IMAGE 3.3,NAVIGATE Demand-1.5°C-tec_u,0.0,R10LATIN_AM
IMAGE 3.3,NAVIGATE Demand-2.0°C-ele_u,0.0,R10LATIN_AM
IMAGE 3.3,NAVIGATE Demand-2.0°C-ref,0.0,R10LATIN_AM
IMAGE 3.3,NAVIGATE Demand-2.0°C-tec_u,0.0,R10LATIN_AM
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,NGFS Phase 5-Below 2°C,2.215814166199008,R10LATIN_AM
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,NGFS Phase 5-Delayed Transition,2.2157951783764283,R10LATIN_AM
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,NGFS Phase 5-Low Demand,2.215814166199008,R10LATIN_AM
