model,scenario,CDR_2050,flexibility_scores,shannon_index,carbon_budgets,robustness_score
IMAGE 3.2,SSP1_SPA1_19I_D,0.7209407566707214,0.8515454549321669,0.12560445674172374,0.6993404223503229,2.3974310906949348
IMAGE 3.2,SSP1_SPA1_19I_D_LB,0.3938030566714843,0.6821081858033433,0.09264862619356144,0.46590281608713185,1.6344626847555208
IMAGE 3.2,SSP1_SPA1_19I_LI,0.891189700143229,0.8284235075664502,0.1616595279922608,0.6237202941306403,2.50499302983258
IMAGE 3.2,SSP1_SPA1_19I_LIRE,1.0,0.9219029061889132,0.09701385868987736,0.6465532251917876,2.6654699900705783
IMAGE 3.2,SSP1_SPA1_19I_LIRE_LB,0.7182878828839421,0.7933828468340046,0.009938470404855656,0.4317466920850511,1.9533558922078536
IMAGE 3.2,SSP1_SPA1_19I_RE,0.6348189945317371,0.7635883127021311,0.15086035417828442,0.6619276723466544,2.211195333758807
IMAGE 3.2,SSP1_SPA1_19I_RE_LB,0.38983920299328056,0.5972353742800658,0.12216649706361418,0.47243588613585463,1.5816769604728154
IMAGE 3.2,SSP2_SPA1_19I_D_LB,0.36725265944374397,0.9842620697382849,0.022800762536896425,0.5158668197474153,1.8901823114663407
IMAGE 3.2,SSP2_SPA1_19I_LIRE_LB,0.5572313338219215,0.8147499847312489,0.004141594327397688,0.4426340890010435,1.8187570018816115
IMAGE 3.2,SSP2_SPA1_19I_RE_LB,0.3736136786553303,0.8200557636250847,0.0,0.5193296281054268,1.712999070385842
IMAGE 3.2,SSP2_SPA2_19I_D,0.6896111188626115,0.9961604900349036,0.14162408180248984,0.6737346483010275,2.5011303390010324
IMAGE 3.2,SSP2_SPA2_19I_LI,0.6925932412532546,1.0,0.10414545282228477,0.7131934466807585,2.509932140756298
IMAGE 3.2,SSP2_SPA2_19I_LIRE,0.8031421367763744,0.865948445627688,0.10177495254961276,0.5892424745634759,2.360108009517151
IMAGE 3.2,SSP2_SPA2_19I_RE,0.7468204158400576,0.8530110823625182,0.13562502972604065,0.5823013999635651,2.3177579278921816
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_600f_COV,0.1720321081277113,0.5512770850018007,0.4162360366452714,0.8464379437577506,1.9859831735325342
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_600f_COV_NDCp,0.1672806311375831,0.5260846288463421,0.42998604049659483,0.8116133309063295,1.9349646313868496
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_700f,0.1735321556846518,0.5505317214649144,0.4264291863567973,0.9417125926832849,2.0922056561896483
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_700f_COV,0.1649627963813791,0.5736859165259799,0.39552878269208425,0.8464379437577506,1.980615439357194
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_700f_COV_NDCp,0.16130045617949157,0.5515986223438644,0.4055861594995368,0.8116133309063295,1.9300985689292223
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_700f_NDCp,0.16810925539459193,0.5311556038261791,0.4344948510576879,0.9274619094003088,2.0612216196787676
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_200f,0.24643647660487045,0.3542022585620097,0.3577288424033602,0.29545074955537887,1.2538183271256194
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_300f,0.23653229472242196,0.421095164871238,0.31474763569752806,0.3523290432494681,1.3247041385406562
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_400f,0.23237728908988786,0.48162699286169686,0.2933272328405807,0.3965429681019167,1.4038744828940821
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_450,0.28435379936131966,0.24067294871990444,0.45669003658973517,0.1050385748282689,1.086755359499228
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_450f,0.2308662250024555,0.5091408311353073,0.2842076242437307,0.4177626492127828,1.4419773295942764
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_500,0.27084038236068275,0.24877331245815962,0.4277247398413804,0.16443522264843266,1.1117736573086554
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_500f,0.22708010637468856,0.541652781379078,0.2728871288057202,0.4472226838353687,1.4888427003948554
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600,0.24052360761413727,0.3304454208528934,0.36735792533318934,0.2876812814495579,1.2260082352497779
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600_COV,0.23573817550011217,0.4293582232285134,0.2952431365856468,0.2648061926761048,1.2251457279903772
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600_DR10p,0.2628458498011763,0.24288062301984614,0.487401058763386,0.3503927998965151,1.3435203314809236
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600_DR1p,0.23312200685138804,0.36328530793801367,0.34666901260757865,0.24358640325481692,1.1866627306517972
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600_DR2p,0.23535445063181468,0.3510970239840757,0.35040801056681603,0.2548966110966938,1.1917560962794003
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600_DR3p,0.2370470023015245,0.34419886018328655,0.35052933823539667,0.2664283059950998,1.1982035067153076
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600_DR4p,0.23890586011710108,0.34252627742896624,0.3497648109762221,0.27922407891062806,1.2104210274329175
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600f,0.21518528838461673,0.5822612109339266,0.262438191935294,0.4805543629071803,1.5404390541610176
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600f_COV,0.21081032438565311,0.6389542838134789,0.23178666481554222,0.42076489523248,1.5023161682471542
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600f_DR10p,0.20832374711798385,0.6199997646383203,0.4149000122836223,0.7087387932691385,1.9519623173090648
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600f_DR1p,0.21771830320412405,0.44991145797858917,0.28814203175269637,0.311683831809488,1.2674556247448976
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600f_DR2p,0.21755938043437284,0.5023195561322075,0.2616191556412828,0.36522932184682927,1.3467274140546923
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600f_DR3p,0.21432172387716167,0.5312108062062386,0.2581831302128263,0.4109095164769314,1.4146251767731581
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600f_DR4p,0.21502532760131318,0.5596246611431364,0.2608579671378157,0.449772415052802,1.4852803709350673
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_700,0.23035761669964375,0.44809840015877167,0.3018725903366511,0.3763306731467328,1.3566592803417994
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_700_COV,0.22696959520272342,0.5257968753091768,0.24981486981236714,0.33583574828951523,1.3384170886137827
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_700f,0.20638969354136802,0.6277803988186559,0.26801212477477465,0.5201380674735371,1.6223202846083358
