model,scenario,CDR_2050,flexibility_scores,shannon_index,carbon_budgets,robustness_score
IMAGE 3.0,ENGAGE-INDCi2030-1000,0.3731622880224517,0.8778911764261869,0.04539804019973834,0.734467079697815,2.030918584346192
IMAGE 3.0,ENGAGE-INDCi2030-1000f,0.2646814031309129,0.9014587356087703,0.08147817842342354,0.7437340251497684,1.9913523423128752
IMAGE 3.0,ENGAGE-INDCi2030-1200,0.2892170417914612,0.8951816074127025,0.06439382728236855,0.7338503377864806,1.9826428142730128
IMAGE 3.0,ENGAGE-INDCi2030-1200f,0.21191396749452698,0.9020558454233344,0.08027781054929012,0.7402097409204264,1.9344573643875778
IMAGE 3.0,ENGAGE-INDCi2030-1400f,0.21155885738877442,0.9041397051092568,0.08893703643723508,0.7402097409204264,1.9448453398556924
IMAGE 3.0,ENGAGE-INDCi2030-800f,0.36449161345001974,0.8806468704938538,0.05080346884363202,0.7407037244955843,2.03664567728309
IMAGE 3.0,ENGAGE-NPi2020-1000,0.37362052516640615,0.8767640608165433,0.03798875907742959,0.5906369450356912,1.8790102900960703
IMAGE 3.0,ENGAGE-NPi2020-1200,0.3341977842801612,0.8932891053630531,0.05686338117900641,0.6158716627665376,1.9002219335887585
IMAGE 3.0,ENGAGE-NPi2020-1400,0.2631908282537493,0.8979385058648031,0.04948038864437262,0.6741075243096162,1.8847172470725413
IMAGE 3.0,ENGAGE-NPi2020-1400f,0.2715496435582871,0.8990777137505471,0.05798635419863115,0.6039130163808263,1.8325267278882917
IMAGE 3.2,SSP2021-SSP1-SPA1-19-Default,0.7195403947099539,0.7876379674288514,0.03589958040380405,0.3882089837653672,1.9312869263079766
IMAGE 3.2,SSP2021-SSP1-SPA1-19-Lifestyle-Renewables,1.0,0.8724076656391155,0.0,0.24812124090909468,2.12052890654821
IMAGE 3.2,SSP2021-SSP1-SPA1-19-Renewables,0.6329864603975812,0.681663400853538,0.06761196777848805,0.28892226304178986,1.6711840920713972
IMAGE 3.2,SSP2021-SSP1-SPA1-26-Default,0.341366667718542,0.841173157315762,0.125720942044273,0.611479425025074,1.9197401921036512
IMAGE 3.2,SSP2021-SSP1-SPA1-26-Lifestyle,0.5622587840790102,0.8463628635527704,0.229540234399183,0.5008286582618342,2.138990540292798
IMAGE 3.2,SSP2021-SSP1-SPA1-26-Lifestyle-Renewables,0.5219690036600472,0.8978864578714787,0.31998326015641926,0.5718557976298284,2.3116945193177734
IMAGE 3.2,SSP2021-SSP1-SPA1-26-Renewables,0.319306769057334,0.7089728198097736,0.24862191843468648,0.47830845575595154,1.7552099630577458
IMAGE 3.2,SSP2021-SSP2-SPA0-26-Default,0.630380507555633,1.0,0.21013989739198027,0.6287500353731165,2.46927044032073
IMAGE 3.2,SSP2021-SSP2-SPA2-19-Renewables,0.7455499219668904,0.7894038187031703,0.04848184135862308,0.07760843373001522,1.6610440157586992
IMAGE 3.2,SSP2021-SSP2-SPA2-26-Default,0.399776419032196,0.9855674664141231,0.1929321061960751,0.7115035113332783,2.2897795029756725
IMAGE 3.2,SSP2021-SSP2-SPA2-26-Lifestyle,0.5171714470959871,0.9799735889427899,0.2726876300630447,0.4672682325931183,2.23710089869494
IMAGE 3.2,SSP2021-SSP2-SPA2-26-Lifestyle-Renewables,0.4520915379451771,0.8908227053264202,0.2291993142594059,0.38419838882647384,1.9563119463574772
IMAGE 3.2,SSP2021-SSP2-SPA2-26-Renewables,0.5135277792294998,0.8901422121211741,0.13719914283012957,0.5384167092463468,2.0792858434271504
IMAGE 3.3,NAVIGATE Demand-1.5°C-ele_u,0.11852847536054267,0.21912498212801382,0.4946226882429509,0.21432266849947176,1.0465988142309792
IMAGE 3.3,NAVIGATE Demand-1.5°C-tec_u,0.11870870705064397,0.3479125004547658,0.5130348953182026,0.17019212718283694,1.1498482300064494
IMAGE 3.3,NAVIGATE Demand-2.0°C-ele_u,0.022365773906392616,0.5465380666535976,0.3962647882471251,0.5620717586555498,1.5272403874626652
IMAGE 3.3,NAVIGATE Demand-2.0°C-ref,0.023388900419172607,0.640693230935753,0.36125471188623376,0.49248005379986637,1.5178168970410257
IMAGE 3.3,NAVIGATE Demand-2.0°C-tec_u,0.023726348860897695,0.6565072189918584,0.3983896993747161,0.5386165581314359,1.617239825358908
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,NGFS Phase 5-Below 2°C,0.2539395962991214,0.4570680323884812,0.5788314992526561,0.5285776672095591,1.8184167951498178
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,NGFS Phase 5-Delayed Transition,0.2295477356532778,0.5463567814077921,0.5490258383454365,0.8371061842002303,2.1620365396067367
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,NGFS Phase 5-Low Demand,0.27688043720383515,0.41252454578371367,0.44022065748911754,0.32102248143699885,1.450648121913665
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,NGFS Phase 5-Nationally Determined Contributions (NDCs),0.23072560089273364,0.6264228385594403,0.6608591795836406,0.7459580978842575,2.2639657169200715
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,NGFS Phase 5-Net-Zero 2050,0.2910590698778231,0.14402747776631197,0.6277533516541965,0.2717985034590323,1.334638402757364
POLES-JRC ENGAGE,ENGAGE-INDCi2030-1000,0.49008307263022466,0.6347071207957536,0.5839489000047826,0.7523719317600922,2.4611110251908532
POLES-JRC ENGAGE,ENGAGE-INDCi2030-1000-COV,0.483307075463731,0.6844276535418714,0.5463233782170364,0.5803221657152626,2.294380272937901
POLES-JRC ENGAGE,ENGAGE-INDCi2030-1000-COV-NDCp,0.48451644840645225,0.672960898573704,0.545558545558041,0.47146325506734593,2.174499147605543
POLES-JRC ENGAGE,ENGAGE-INDCi2030-1000-NDCp,0.4927026392072848,0.6571848107839529,0.5760276051524615,0.716231188496107,2.4421462436398063
POLES-JRC ENGAGE,ENGAGE-INDCi2030-1000f,0.48069820793751955,0.7008854637610978,0.5342368468005755,0.7523719317600922,2.468192450259285
POLES-JRC ENGAGE,ENGAGE-INDCi2030-1000f-COV,0.4787267535342318,0.7274948714250927,0.5184246550570011,0.5803221657152626,2.304968445731588
POLES-JRC ENGAGE,ENGAGE-INDCi2030-1000f-COV-NDCp,0.47959398574913026,0.7231656633115916,0.511291638160378,0.47146982311875973,2.1855211103398595
POLES-JRC ENGAGE,ENGAGE-INDCi2030-1000f-NDCp,0.49189895852050386,0.7218414326586797,0.5260298821041202,0.7162396901116739,2.4560099633949775
POLES-JRC ENGAGE,ENGAGE-INDCi2030-1200,0.479677030053127,0.7159603248127452,0.5224701524064536,0.7523719317600922,2.4704794390324176
POLES-JRC ENGAGE,ENGAGE-INDCi2030-1200f,0.4750840127500467,0.745042533512315,0.5099425713241179,0.7523719317600922,2.482441049346572
POLES-JRC ENGAGE,ENGAGE-INDCi2030-300f,0.5087447606061765,0.5720693813327713,0.6384643758684303,0.7523719317600922,2.4716504495674703
POLES-JRC ENGAGE,ENGAGE-INDCi2030-400f,0.5055413135468705,0.5798222873040907,0.6327978845866614,0.7523719317600922,2.470533417197715
POLES-JRC ENGAGE,ENGAGE-INDCi2030-500f,0.5004050440230382,0.6014386202852824,0.6172452380869091,0.7523719317600922,2.471460834155322
POLES-JRC ENGAGE,ENGAGE-INDCi2030-600f,0.49682217844081117,0.6193334949427997,0.5998966400232323,0.7523719317600922,2.4684242451669354
POLES-JRC ENGAGE,ENGAGE-INDCi2030-600f-COV,0.4943680438349369,0.6333355731135618,0.592763063559174,0.5803221657152626,2.300788846222935
POLES-JRC ENGAGE,ENGAGE-INDCi2030-600f-COV-NDCp,0.49591403253638117,0.6182777202410248,0.5975423141997124,0.47146982311875973,2.183203890095878
POLES-JRC ENGAGE,ENGAGE-INDCi2030-600f-NDCp,0.4989400901408325,0.6231026646409306,0.6099579867683862,0.716231188496107,2.4482319300462563
POLES-JRC ENGAGE,ENGAGE-INDCi2030-700f,0.49147135859653,0.6395496135294839,0.580748376519174,0.7523719317600922,2.46414128040528
POLES-JRC ENGAGE,ENGAGE-INDCi2030-800f,0.48709591264738294,0.6562663696263412,0.567903969241923,0.7523719317600922,2.4636381832757395
POLES-JRC ENGAGE,ENGAGE-INDCi2030-900,0.5105929833720414,0.5643151979920695,0.6439684844768144,0.7523719317600922,2.4712485976010177
POLES-JRC ENGAGE,ENGAGE-INDCi2030-900f,0.4829593956497223,0.6814171212743081,0.5461235707875323,0.7523719317600922,2.462872019471655
POLES-JRC ENGAGE,ENGAGE-NPi2020-1000f,0.5260366172195526,0.7479868634884558,0.49524744756297456,0.544435235264702,2.3137061635356853
POLES-JRC ENGAGE,ENGAGE-NPi2020-1000f-COV,0.5195546673106392,0.7655703334676995,0.5027932966733445,0.549165395153927,2.3370836926056104
POLES-JRC ENGAGE,ENGAGE-NPi2020-1200f,0.5137216619358478,0.7768442662356894,0.5062603257372917,0.6177787338549459,2.4146049877637745
POLES-JRC ENGAGE,ENGAGE-NPi2020-900f,0.5337943767598822,0.7200097256346886,0.5011972909546497,0.47211936325820747,2.227120756607428
REMIND-MAgPIE 2.1-4.2,NGFS Phase 2-Delayed Transition,0.16078776254344382,0.42682185943760065,0.7640024220017254,0.921138180567607,2.2727502245503772
REMIND-MAgPIE 3.2.0-4.8.0,RESCUE-End-of-Century-Budget-1150,0.0008241178451330412,0.5228365628903577,0.8837288187967568,1.0,2.4073894995322473
REMIND-MAgPIE 3.2.0-4.8.0,RESCUE-End-of-Century-Budget-1150-with-OAE,0.0,0.5212233448043829,0.8857252659065002,1.0,2.406948610710883
