model,scenario,CDR_2050,flexibility_scores,shannon_index,carbon_budgets,robustness_score,Region
IMAGE 3.0,ENGAGE-INDCi2030-1000,0.012832231739158763,0.600113490996095,0.309555275522852,0.006136182341960991,0.9286371806000668,R10LATIN_AM
IMAGE 3.0,ENGAGE-INDCi2030-1000f,0.004420060288667154,0.6416126901507248,0.3359962128608165,0.0061315484947533656,0.9881605117949618,R10LATIN_AM
IMAGE 3.0,ENGAGE-INDCi2030-1200,0.007461031451193344,0.6318625425673451,0.32273414051039456,0.006111817035899623,0.9681695315648327,R10LATIN_AM
IMAGE 3.0,ENGAGE-INDCi2030-1200f,0.0015843496473147923,0.6393674352052546,0.3440255325102623,0.006131693900335773,0.9911090112631674,R10LATIN_AM
IMAGE 3.0,ENGAGE-INDCi2030-1400f,0.0,0.6430200361851933,0.3462328419234012,0.006131693900335773,0.9953845720089303,R10LATIN_AM
IMAGE 3.0,ENGAGE-INDCi2030-800f,0.010365571869856594,0.6025124529032165,0.30440572337808397,0.0061487916507486085,0.9234325398019056,R10LATIN_AM
IMAGE 3.0,ENGAGE-NPi2020-1000,0.023189679349284408,0.609962414374311,0.29744771410744913,0.005889688931075485,0.93648949676212,R10LATIN_AM
IMAGE 3.0,ENGAGE-NPi2020-1200,0.010124010605869116,0.6255073249294445,0.3041763733732901,0.005943675895336895,0.9457513848039405,R10LATIN_AM
IMAGE 3.0,ENGAGE-NPi2020-1400,0.005410517627308765,0.6309885012260736,0.3089110647898442,0.006000564578687731,0.9513106482219144,R10LATIN_AM
IMAGE 3.0,ENGAGE-NPi2020-1400f,0.005392190762033012,0.6281987115228347,0.29978728808267296,0.0059135610042495585,0.9392917513717902,R10LATIN_AM
IMAGE 3.2,SSP2021-SSP1-SPA1-19-Default,0.2943899824975839,0.5148760687405015,0.31604334041009524,0.0047616742333274065,1.130071065881508,R10LATIN_AM
IMAGE 3.2,SSP2021-SSP1-SPA1-19-Lifestyle-Renewables,0.9900342978163709,0.546298762654225,0.29956468862251645,0.0038995301156868932,1.839797279208799,R10LATIN_AM
IMAGE 3.2,SSP2021-SSP1-SPA1-19-Renewables,0.35227155373626967,0.4549813366495465,0.3730089247852317,0.0044584175713933425,1.184720232742441,R10LATIN_AM
IMAGE 3.2,SSP2021-SSP1-SPA1-26-Default,0.24196256247594677,0.5332659003764294,0.34975691351356086,0.004867201658143108,1.1298525780240802,R10LATIN_AM
IMAGE 3.2,SSP2021-SSP1-SPA1-26-Lifestyle,0.8033040971384641,0.5439688221119287,0.3893783866154916,0.0040484924560376025,1.740699798321922,R10LATIN_AM
IMAGE 3.2,SSP2021-SSP1-SPA1-26-Lifestyle-Renewables,0.8847592138865737,0.5768514021038685,0.3933979932290259,0.004143234031431454,1.8591518432508995,R10LATIN_AM
IMAGE 3.2,SSP2021-SSP1-SPA1-26-Renewables,0.2577972934939073,0.4494669746894659,0.4376202960360483,0.004601488922668376,1.1494860531420898,R10LATIN_AM
IMAGE 3.2,SSP2021-SSP2-SPA0-26-Default,0.44534477840221787,0.638307626653144,0.35808836054430304,0.005040221313294331,1.4467809869129593,R10LATIN_AM
IMAGE 3.2,SSP2021-SSP2-SPA2-19-Renewables,0.31409317373108886,0.46395774836944803,0.2996699954945848,0.004839177029292589,1.0825600946244143,R10LATIN_AM
IMAGE 3.2,SSP2021-SSP2-SPA2-26-Default,0.2521667983593081,0.6396850510135473,0.31229050352033993,0.005299124735578345,1.2094414776287739,R10LATIN_AM
IMAGE 3.2,SSP2021-SSP2-SPA2-26-Lifestyle,0.6710147912481745,0.6446509310547767,0.40325970399168204,0.0047028352895776915,1.723628261584211,R10LATIN_AM
IMAGE 3.2,SSP2021-SSP2-SPA2-26-Lifestyle-Renewables,0.6544093244046258,0.5855799850167848,0.4438508102639566,0.004661245700487445,1.6885013653858547,R10LATIN_AM
IMAGE 3.2,SSP2021-SSP2-SPA2-26-Renewables,0.26179371462430284,0.5664485478913204,0.36028602933979276,0.005154816094368271,1.1936831079497843,R10LATIN_AM
IMAGE 3.3,NAVIGATE Demand-1.5°C-ele_u,0.24393071659317592,0.2085611571494025,0.48158540543366407,0.005904223922839092,0.9399815030990815,R10LATIN_AM
IMAGE 3.3,NAVIGATE Demand-1.5°C-tec_u,0.25014668218741576,0.3276307244724375,0.46180360460732633,0.005925010315571725,1.0455060215827512,R10LATIN_AM
IMAGE 3.3,NAVIGATE Demand-2.0°C-ele_u,0.20330825842056455,0.32791515775995955,0.44505307533771316,0.006125152991898366,0.9824016445101357,R10LATIN_AM
IMAGE 3.3,NAVIGATE Demand-2.0°C-ref,0.21418149586380045,0.4382114835739411,0.4319575900028615,0.0060621916132046465,1.0904127610538077,R10LATIN_AM
IMAGE 3.3,NAVIGATE Demand-2.0°C-tec_u,0.21393203610966038,0.46252184154988063,0.4350643613088389,0.006108378116069476,1.1176266170844493,R10LATIN_AM
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,NGFS Phase 5-Below 2°C,0.2293547393858586,0.18485667720949792,0.5486612593022018,0.006142556729708103,0.9690152326272664,R10LATIN_AM
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,NGFS Phase 5-Delayed Transition,0.21317269323059984,0.25844313164150506,0.5367718325013804,0.006631666320461609,1.0150193236939469,R10LATIN_AM
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,NGFS Phase 5-Low Demand,0.2357372797164987,0.23780812625232395,0.5193248864776487,0.00600899417644349,0.9988792866229149,R10LATIN_AM
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,NGFS Phase 5-Nationally Determined Contributions (NDCs),0.21299587781197346,0.30827409093206987,0.6035005029725887,0.006528925273693635,1.1312993969903258,R10LATIN_AM
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,NGFS Phase 5-Net-Zero 2050,0.24770500520411884,0.03088119455580601,0.5504957781032623,0.0059975108962227325,0.8350794887594098,R10LATIN_AM
POLES-JRC ENGAGE,ENGAGE-INDCi2030-1000,0.1984889747435047,0.4259123562812038,0.459930012987168,0.005699496384241465,1.090030840396118,R10LATIN_AM
