model,scenario,shannon_index
IMAGE 3.0,ENGAGE-INDCi2030-1000,1.652088963534116
IMAGE 3.0,ENGAGE-INDCi2030-1000f,1.667867987183815
IMAGE 3.0,ENGAGE-INDCi2030-1200,1.6449886515369132
IMAGE 3.0,ENGAGE-INDCi2030-1200f,1.6490764355622256
IMAGE 3.0,ENGAGE-INDCi2030-1400f,1.6405402241277929
IMAGE 3.0,ENGAGE-INDCi2030-800f,1.6582531997906589
IMAGE 3.0,ENGAGE-NPi2020-1000,1.6532540753047715
IMAGE 3.0,ENGAGE-NPi2020-1200,1.6422995830488833
IMAGE 3.0,ENGAGE-NPi2020-1400,1.633821925795025
IMAGE 3.0,ENGAGE-NPi2020-1400f,1.635013305671284
IMAGE 3.2,SSP2021-SSP1-SPA1-19-Default,1.5943985912968541
IMAGE 3.2,SSP2021-SSP1-SPA1-19-Lifestyle-Renewables,1.6246042790516717
IMAGE 3.2,SSP2021-SSP1-SPA1-19-Renewables,1.5728247202911332
IMAGE 3.2,SSP2021-SSP1-SPA1-26-Default,1.6074242071620235
IMAGE 3.2,SSP2021-SSP1-SPA1-26-Lifestyle,1.6060895751269961
IMAGE 3.2,SSP2021-SSP1-SPA1-26-Lifestyle-Renewables,1.6162517696130432
IMAGE 3.2,SSP2021-SSP1-SPA1-26-Renewables,1.5706040200541929
IMAGE 3.2,SSP2021-SSP2-SPA0-26-Default,1.6475737852966013
IMAGE 3.2,SSP2021-SSP2-SPA2-19-Renewables,1.600861904676901
IMAGE 3.2,SSP2021-SSP2-SPA2-26-Default,1.633789296123997
IMAGE 3.2,SSP2021-SSP2-SPA2-26-Lifestyle,1.6282488232793006
IMAGE 3.2,SSP2021-SSP2-SPA2-26-Lifestyle-Renewables,1.6139365196941002
IMAGE 3.2,SSP2021-SSP2-SPA2-26-Renewables,1.6233151183244832
IMAGE 3.3,NAVIGATE Demand-1.5°C-ele_u,1.4603284475256262
IMAGE 3.3,NAVIGATE Demand-1.5°C-tec_u,1.4886905604785365
IMAGE 3.3,NAVIGATE Demand-2.0°C-ele_u,1.5969827401544285
IMAGE 3.3,NAVIGATE Demand-2.0°C-ref,1.611907165331107
IMAGE 3.3,NAVIGATE Demand-2.0°C-tec_u,1.6130528340873418
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,NGFS Phase 5-Below 2°C,1.4218082388468423
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,NGFS Phase 5-Delayed Transition,1.4560598702619587
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,NGFS Phase 5-Low Demand,1.5447038208703485
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,NGFS Phase 5-Nationally Determined Contributions (NDCs),1.4903787860713336
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,NGFS Phase 5-Net-Zero 2050,1.342107186815539
POLES-JRC ENGAGE,ENGAGE-INDCi2030-1000,1.638580441285972
POLES-JRC ENGAGE,ENGAGE-INDCi2030-1000-COV,1.6555061370329736
POLES-JRC ENGAGE,ENGAGE-INDCi2030-1000-COV-NDCp,1.6543759126500366
POLES-JRC ENGAGE,ENGAGE-INDCi2030-1000-NDCp,1.6470509808297347
POLES-JRC ENGAGE,ENGAGE-INDCi2030-1000f,1.629310229480341
POLES-JRC ENGAGE,ENGAGE-INDCi2030-1000f-COV,1.649123307907544
