model,scenario,shannon_index,region
IMAGE 3.0,ENGAGE-INDCi2030-1000,1.5747962029630385,R10LATIN_AM
IMAGE 3.0,ENGAGE-INDCi2030-1000f,1.585705362664042,R10LATIN_AM
IMAGE 3.0,ENGAGE-INDCi2030-1200,1.5647747977874533,R10LATIN_AM
IMAGE 3.0,ENGAGE-INDCi2030-1200f,1.5805933607755107,R10LATIN_AM
IMAGE 3.0,ENGAGE-INDCi2030-1400f,1.5732717388804853,R10LATIN_AM
IMAGE 3.0,ENGAGE-INDCi2030-800f,1.5803402411277157,R10LATIN_AM
IMAGE 3.0,ENGAGE-NPi2020-1000,1.583385706826061,R10LATIN_AM
IMAGE 3.0,ENGAGE-NPi2020-1200,1.5534169128214008,R10LATIN_AM
IMAGE 3.0,ENGAGE-NPi2020-1400,1.5567273879306545,R10LATIN_AM
IMAGE 3.0,ENGAGE-NPi2020-1400f,1.5679931691941271,R10LATIN_AM
IMAGE 3.2,SSP2021-SSP1-SPA1-19-Default,1.4784761937943467,R10LATIN_AM
IMAGE 3.2,SSP2021-SSP1-SPA1-19-Lifestyle-Renewables,1.5290120701815884,R10LATIN_AM
IMAGE 3.2,SSP2021-SSP1-SPA1-19-Renewables,1.4255356148386886,R10LATIN_AM
IMAGE 3.2,SSP2021-SSP1-SPA1-26-Default,1.494541641218289,R10LATIN_AM
IMAGE 3.2,SSP2021-SSP1-SPA1-26-Lifestyle,1.4845295274866461,R10LATIN_AM
IMAGE 3.2,SSP2021-SSP1-SPA1-26-Lifestyle-Renewables,1.5442366571306623,R10LATIN_AM
IMAGE 3.2,SSP2021-SSP1-SPA1-26-Renewables,1.4128406386600307,R10LATIN_AM
IMAGE 3.2,SSP2021-SSP2-SPA0-26-Default,1.5392528377331636,R10LATIN_AM
IMAGE 3.2,SSP2021-SSP2-SPA2-19-Renewables,1.4421951025494946,R10LATIN_AM
IMAGE 3.2,SSP2021-SSP2-SPA2-26-Default,1.530666675699031,R10LATIN_AM
IMAGE 3.2,SSP2021-SSP2-SPA2-26-Lifestyle,1.5697692360668596,R10LATIN_AM
IMAGE 3.2,SSP2021-SSP2-SPA2-26-Lifestyle-Renewables,1.5723133592592136,R10LATIN_AM
IMAGE 3.2,SSP2021-SSP2-SPA2-26-Renewables,1.5564413095868475,R10LATIN_AM
IMAGE 3.3,NAVIGATE Demand-1.5°C-ele_u,1.285750389117666,R10LATIN_AM
IMAGE 3.3,NAVIGATE Demand-1.5°C-tec_u,1.3019644676683577,R10LATIN_AM
IMAGE 3.3,NAVIGATE Demand-2.0°C-ele_u,1.421117268960875,R10LATIN_AM
IMAGE 3.3,NAVIGATE Demand-2.0°C-ref,1.4642043119609132,R10LATIN_AM
IMAGE 3.3,NAVIGATE Demand-2.0°C-tec_u,1.449614095163628,R10LATIN_AM
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,NGFS Phase 5-Below 2°C,1.163001691715847,R10LATIN_AM
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,NGFS Phase 5-Delayed Transition,1.205961721703917,R10LATIN_AM
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,NGFS Phase 5-Low Demand,1.2874632634485805,R10LATIN_AM
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,NGFS Phase 5-Nationally Determined Contributions (NDCs),1.2771767579961044,R10LATIN_AM
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,NGFS Phase 5-Net-Zero 2050,1.0327506434381812,R10LATIN_AM
POLES-JRC ENGAGE,ENGAGE-INDCi2030-1000,1.5178311700277372,R10LATIN_AM
POLES-JRC ENGAGE,ENGAGE-INDCi2030-1000-COV,1.537804556363121,R10LATIN_AM
POLES-JRC ENGAGE,ENGAGE-INDCi2030-1000-COV-NDCp,1.5359391225792767,R10LATIN_AM
POLES-JRC ENGAGE,ENGAGE-INDCi2030-1000-NDCp,1.544371132443225,R10LATIN_AM
POLES-JRC ENGAGE,ENGAGE-INDCi2030-1000f,1.491189206646213,R10LATIN_AM
POLES-JRC ENGAGE,ENGAGE-INDCi2030-1000f-COV,1.5259956324675479,R10LATIN_AM
POLES-JRC ENGAGE,ENGAGE-INDCi2030-1000f-COV-NDCp,1.5305192459850026,R10LATIN_AM
POLES-JRC ENGAGE,ENGAGE-INDCi2030-1000f-NDCp,1.5232125112008,R10LATIN_AM
POLES-JRC ENGAGE,ENGAGE-INDCi2030-1200,1.550100370294869,R10LATIN_AM
POLES-JRC ENGAGE,ENGAGE-INDCi2030-1200f,1.5441031329181638,R10LATIN_AM
POLES-JRC ENGAGE,ENGAGE-INDCi2030-300f,1.3431976851073446,R10LATIN_AM
POLES-JRC ENGAGE,ENGAGE-INDCi2030-400f,1.3551598571788008,R10LATIN_AM
POLES-JRC ENGAGE,ENGAGE-INDCi2030-500f,1.3544588348382771,R10LATIN_AM
POLES-JRC ENGAGE,ENGAGE-INDCi2030-600f,1.3604489277218246,R10LATIN_AM
POLES-JRC ENGAGE,ENGAGE-INDCi2030-600f-COV,1.3707989827621498,R10LATIN_AM
POLES-JRC ENGAGE,ENGAGE-INDCi2030-600f-COV-NDCp,1.3692523310216904,R10LATIN_AM
POLES-JRC ENGAGE,ENGAGE-INDCi2030-600f-NDCp,1.383737843167976,R10LATIN_AM
POLES-JRC ENGAGE,ENGAGE-INDCi2030-700f,1.3770416049074885,R10LATIN_AM
POLES-JRC ENGAGE,ENGAGE-INDCi2030-800f,1.3993205747848458,R10LATIN_AM
POLES-JRC ENGAGE,ENGAGE-INDCi2030-900,1.5428933061535168,R10LATIN_AM
POLES-JRC ENGAGE,ENGAGE-INDCi2030-900f,1.4458177716385259,R10LATIN_AM
POLES-JRC ENGAGE,ENGAGE-NPi2020-1000f,1.5365838985245162,R10LATIN_AM
POLES-JRC ENGAGE,ENGAGE-NPi2020-1000f-COV,1.5484684720156985,R10LATIN_AM
POLES-JRC ENGAGE,ENGAGE-NPi2020-1200f,1.5518121303730124,R10LATIN_AM
POLES-JRC ENGAGE,ENGAGE-NPi2020-900f,1.5149840066961286,R10LATIN_AM
REMIND-MAgPIE 2.1-4.2,NGFS Phase 2-Delayed Transition,1.3193197935530832,R10LATIN_AM
REMIND-MAgPIE 3.2.0-4.8.0,RESCUE-End-of-Century-Budget-1150,1.3298032052239641,R10LATIN_AM
REMIND-MAgPIE 3.2.0-4.8.0,RESCUE-End-of-Century-Budget-1150-with-OAE,1.315687077848076,R10LATIN_AM
REMIND-MAgPIE 3.2.0-4.8.0,RESCUE-End-of-Century-Budget-500,1.2483057605982217,R10LATIN_AM
REMIND-MAgPIE 3.2.0-4.8.0,RESCUE-End-of-Century-Budget-500-with-OAE,1.2528767917415002,R10LATIN_AM
REMIND-MAgPIE 3.2.0-4.8.0,RESCUE-Peak-Budget-1150,1.2193946857148168,R10LATIN_AM
REMIND-MAgPIE 3.2.0-4.8.0,RESCUE-Peak-Budget-1150-with-OAE,1.2180560007493955,R10LATIN_AM
REMIND-MAgPIE 3.3-4.8,NGFS Phase 5-Below 2°C,1.3137069915282706,R10LATIN_AM
REMIND-MAgPIE 3.3-4.8,NGFS Phase 5-Delayed Transition,1.3056071412775359,R10LATIN_AM
REMIND-MAgPIE 3.3-4.8,NGFS Phase 5-Low Demand,1.1682124097088291,R10LATIN_AM
REMIND-MAgPIE 3.3-4.8,NGFS Phase 5-Net-Zero 2050,1.1189986520097595,R10LATIN_AM
WITCH 5.0,ENGAGE-INDCi2030-1000,1.3724676222043828,R10LATIN_AM
WITCH 5.0,ENGAGE-INDCi2030-1000-NDCp,1.3579031438774065,R10LATIN_AM
WITCH 5.0,ENGAGE-INDCi2030-1000f,1.3828075080719835,R10LATIN_AM
WITCH 5.0,ENGAGE-INDCi2030-1000f-NDCp,1.3432397540839642,R10LATIN_AM
WITCH 5.0,ENGAGE-INDCi2030-1200,1.4129964473697854,R10LATIN_AM
WITCH 5.0,ENGAGE-INDCi2030-1200-NDCp,1.409619603292258,R10LATIN_AM
WITCH 5.0,ENGAGE-INDCi2030-1200f,1.402710962382266,R10LATIN_AM
WITCH 5.0,ENGAGE-INDCi2030-1200f-NDCp,1.3690181260499168,R10LATIN_AM
WITCH 5.0,ENGAGE-INDCi2030-1400,1.424413573946029,R10LATIN_AM
WITCH 5.0,ENGAGE-INDCi2030-1400-NDCp,1.3974623397150696,R10LATIN_AM
WITCH 5.0,ENGAGE-INDCi2030-1400f,1.4196711403748632,R10LATIN_AM
WITCH 5.0,ENGAGE-INDCi2030-1400f-NDCp,1.3937574801453152,R10LATIN_AM
WITCH 5.0,ENGAGE-INDCi2030-1600-NDCp,1.4164132377593324,R10LATIN_AM
WITCH 5.0,ENGAGE-INDCi2030-500f,1.3071793957533238,R10LATIN_AM
WITCH 5.0,ENGAGE-INDCi2030-600f,1.3263563866489227,R10LATIN_AM
WITCH 5.0,ENGAGE-INDCi2030-600f-NDCp,1.275937250741774,R10LATIN_AM
WITCH 5.0,ENGAGE-INDCi2030-700f,1.3462324479691645,R10LATIN_AM
WITCH 5.0,ENGAGE-INDCi2030-700f-NDCp,1.3011571899756313,R10LATIN_AM
WITCH 5.0,ENGAGE-INDCi2030-800,1.397467000562354,R10LATIN_AM
WITCH 5.0,ENGAGE-INDCi2030-800-NDCp,1.3843504213647626,R10LATIN_AM
WITCH 5.0,ENGAGE-INDCi2030-800f,1.3598792824344312,R10LATIN_AM
WITCH 5.0,ENGAGE-INDCi2030-800f-NDCp,1.3161900980253933,R10LATIN_AM
WITCH 5.0,ENGAGE-INDCi2030-900,1.403555229020904,R10LATIN_AM
WITCH 5.0,ENGAGE-INDCi2030-900-NDCp,1.3201456264745772,R10LATIN_AM
WITCH 5.0,ENGAGE-INDCi2030-900f,1.370303943464801,R10LATIN_AM
WITCH 5.0,ENGAGE-INDCi2030-900f-NDCp,1.3349047002390149,R10LATIN_AM
IMAGE 3.0,ENGAGE-INDCi2030-1000,1.689363005132191,R10INDIA+
IMAGE 3.0,ENGAGE-INDCi2030-1000f,1.6896291968075359,R10INDIA+
IMAGE 3.0,ENGAGE-INDCi2030-1200,1.6708544308727435,R10INDIA+
IMAGE 3.0,ENGAGE-INDCi2030-1200f,1.6706259418979479,R10INDIA+
IMAGE 3.0,ENGAGE-INDCi2030-1400f,1.6729041000999816,R10INDIA+
IMAGE 3.0,ENGAGE-INDCi2030-800f,1.684856201204668,R10INDIA+
IMAGE 3.0,ENGAGE-NPi2020-1000,1.6983425497849205,R10INDIA+
IMAGE 3.0,ENGAGE-NPi2020-1200,1.6895619622216604,R10INDIA+
IMAGE 3.0,ENGAGE-NPi2020-1400,1.681186776151558,R10INDIA+
IMAGE 3.0,ENGAGE-NPi2020-1400f,1.6818149211296067,R10INDIA+
IMAGE 3.2,SSP2021-SSP1-SPA1-19-Default,1.6200706372686742,R10INDIA+
IMAGE 3.2,SSP2021-SSP1-SPA1-19-Lifestyle-Renewables,1.7091567302587956,R10INDIA+
IMAGE 3.2,SSP2021-SSP1-SPA1-19-Renewables,1.6277563878757637,R10INDIA+
IMAGE 3.2,SSP2021-SSP1-SPA1-26-Default,1.6557550953821094,R10INDIA+
IMAGE 3.2,SSP2021-SSP1-SPA1-26-Lifestyle,1.6520920983883167,R10INDIA+
IMAGE 3.2,SSP2021-SSP1-SPA1-26-Lifestyle-Renewables,1.6871035714044729,R10INDIA+
IMAGE 3.2,SSP2021-SSP1-SPA1-26-Renewables,1.6477525526864345,R10INDIA+
IMAGE 3.2,SSP2021-SSP2-SPA0-26-Default,1.7418718910200612,R10INDIA+
IMAGE 3.2,SSP2021-SSP2-SPA2-19-Renewables,1.6903217940463788,R10INDIA+
IMAGE 3.2,SSP2021-SSP2-SPA2-26-Default,1.6894389605327869,R10INDIA+
IMAGE 3.2,SSP2021-SSP2-SPA2-26-Lifestyle,1.7040540776777489,R10INDIA+
IMAGE 3.2,SSP2021-SSP2-SPA2-26-Lifestyle-Renewables,1.6966086270254848,R10INDIA+
IMAGE 3.2,SSP2021-SSP2-SPA2-26-Renewables,1.7094467703951417,R10INDIA+
IMAGE 3.3,NAVIGATE Demand-1.5°C-ele_u,1.5860775027520675,R10INDIA+
IMAGE 3.3,NAVIGATE Demand-1.5°C-tec_u,1.5663678276210269,R10INDIA+
IMAGE 3.3,NAVIGATE Demand-2.0°C-ele_u,1.69867802369513,R10INDIA+
IMAGE 3.3,NAVIGATE Demand-2.0°C-ref,1.6840668728344448,R10INDIA+
IMAGE 3.3,NAVIGATE Demand-2.0°C-tec_u,1.6417975933753337,R10INDIA+
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,NGFS Phase 5-Below 2°C,1.3248033728542188,R10INDIA+
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,NGFS Phase 5-Delayed Transition,1.354519359798932,R10INDIA+
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,NGFS Phase 5-Low Demand,1.2682682327756103,R10INDIA+
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,NGFS Phase 5-Nationally Determined Contributions (NDCs),1.5125710973692377,R10INDIA+
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,NGFS Phase 5-Net-Zero 2050,1.1426533460611181,R10INDIA+
POLES-JRC ENGAGE,ENGAGE-INDCi2030-1000,1.5990485968625971,R10INDIA+
POLES-JRC ENGAGE,ENGAGE-INDCi2030-1000-COV,1.6082312009294606,R10INDIA+
POLES-JRC ENGAGE,ENGAGE-INDCi2030-1000-COV-NDCp,1.6097043659174723,R10INDIA+
POLES-JRC ENGAGE,ENGAGE-INDCi2030-1000-NDCp,1.6181494263375273,R10INDIA+
POLES-JRC ENGAGE,ENGAGE-INDCi2030-1000f,1.574858363522817,R10INDIA+
POLES-JRC ENGAGE,ENGAGE-INDCi2030-1000f-COV,1.5963179082471104,R10INDIA+
POLES-JRC ENGAGE,ENGAGE-INDCi2030-1000f-COV-NDCp,1.6074921469480175,R10INDIA+
