model,scenario,total_CDR
IMAGE 3.0,ENGAGE-INDCi2030-1000,108277.90283235634
IMAGE 3.0,ENGAGE-INDCi2030-1000f,80811.18343271317
IMAGE 3.0,ENGAGE-INDCi2030-1200,87023.46224159372
IMAGE 3.0,ENGAGE-INDCi2030-1200f,67450.78035790024
IMAGE 3.0,ENGAGE-INDCi2030-1400f,67360.86857629525
IMAGE 3.0,ENGAGE-INDCi2030-800f,106082.53923696604
IMAGE 3.0,ENGAGE-NPi2020-1000,108393.92577099733
IMAGE 3.0,ENGAGE-NPi2020-1200,98412.3205972384
IMAGE 3.0,ENGAGE-NPi2020-1400,80433.77867669423
IMAGE 3.0,ENGAGE-NPi2020-1400f,82550.18134719908
IMAGE 3.2,SSP2021-SSP1-SPA1-19-Default,195978.79384257842
IMAGE 3.2,SSP2021-SSP1-SPA1-19-Lifestyle-Renewables,266989.5095934527
IMAGE 3.2,SSP2021-SSP1-SPA1-19-Renewables,174063.84883572295
IMAGE 3.2,SSP2021-SSP1-SPA1-26-Default,100227.4395466056
IMAGE 3.2,SSP2021-SSP1-SPA1-26-Lifestyle,156156.01888786364
IMAGE 3.2,SSP2021-SSP1-SPA1-26-Lifestyle-Renewables,145954.88442489054
IMAGE 3.2,SSP2021-SSP1-SPA1-26-Renewables,94642.00348459554
IMAGE 3.2,SSP2021-SSP2-SPA0-26-Default,173404.03696610135
IMAGE 3.2,SSP2021-SSP2-SPA2-19-Renewables,202564.25253972958
IMAGE 3.2,SSP2021-SSP2-SPA2-26-Default,115016.44362911383
IMAGE 3.2,SSP2021-SSP2-SPA2-26-Lifestyle,144740.17143577078
IMAGE 3.2,SSP2021-SSP2-SPA2-26-Lifestyle-Renewables,128262.32278080475
IMAGE 3.2,SSP2021-SSP2-SPA2-26-Renewables,143817.61625036312
IMAGE 3.3,NAVIGATE Demand-1.5°C-ele_u,43806.125255701736
IMAGE 3.3,NAVIGATE Demand-1.5°C-tec_u,43851.7588552422
IMAGE 3.3,NAVIGATE Demand-2.0°C-ele_u,19458.297154985266
IMAGE 3.3,NAVIGATE Demand-2.0°C-ref,19717.346745749204
IMAGE 3.3,NAVIGATE Demand-2.0°C-tec_u,19802.78669832681
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,NGFS Phase 5-Below 2°C,78091.42138072607
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,NGFS Phase 5-Delayed Transition,71915.54631605982
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,NGFS Phase 5-Low Demand,83899.90681621662
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,NGFS Phase 5-Nationally Determined Contributions (NDCs),72213.77483857854
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,NGFS Phase 5-Net-Zero 2050,87489.85287460661
POLES-JRC ENGAGE,ENGAGE-INDCi2030-1000,137881.55499668617
POLES-JRC ENGAGE,ENGAGE-INDCi2030-1000-COV,136165.91253109474
POLES-JRC ENGAGE,ENGAGE-INDCi2030-1000-COV-NDCp,136472.11861800542
POLES-JRC ENGAGE,ENGAGE-INDCi2030-1000-NDCp,138544.81378363958
POLES-JRC ENGAGE,ENGAGE-INDCi2030-1000f,135505.3626806309
POLES-JRC ENGAGE,ENGAGE-INDCi2030-1000f-COV,135006.20206852458
POLES-JRC ENGAGE,ENGAGE-INDCi2030-1000f-COV-NDCp,135225.78014372892
POLES-JRC ENGAGE,ENGAGE-INDCi2030-1000f-NDCp,138341.32658003873
POLES-JRC ENGAGE,ENGAGE-INDCi2030-1200,135246.80647106667
POLES-JRC ENGAGE,ENGAGE-INDCi2030-1200f,134083.88161488075
POLES-JRC ENGAGE,ENGAGE-INDCi2030-300f,142606.5841819813
POLES-JRC ENGAGE,ENGAGE-INDCi2030-400f,141795.49030514262
POLES-JRC ENGAGE,ENGAGE-INDCi2030-500f,140495.01719494362
POLES-JRC ENGAGE,ENGAGE-INDCi2030-600f,139587.85678883095
POLES-JRC ENGAGE,ENGAGE-INDCi2030-600f-COV,138966.48439999123
POLES-JRC ENGAGE,ENGAGE-INDCi2030-600f-COV-NDCp,139357.91960906095
POLES-JRC ENGAGE,ENGAGE-INDCi2030-600f-NDCp,140124.09952353826
POLES-JRC ENGAGE,ENGAGE-INDCi2030-700f,138233.0608045628
