,model,scenario,total_CDR,total_CDR_gdp,total_CDR_land,region
0,IMAGE 3.2,SSP1_SPA1_19I_D,25674.222122934192,0.1061333134375113,12.658469596024721,R10LATIN_AM
1,IMAGE 3.2,SSP1_SPA1_19I_D_LB,22549.57999754445,0.09321652006842204,11.117889820975874,R10LATIN_AM
2,IMAGE 3.2,SSP1_SPA1_19I_LI,81727.41999522655,0.33784867332140983,40.295049883789225,R10LATIN_AM
3,IMAGE 3.2,SSP1_SPA1_19I_LIRE,87021.08407406931,0.40152937386204257,42.90504856155797,R10LATIN_AM
4,IMAGE 3.2,SSP1_SPA1_19I_LIRE_LB,80919.33031366183,0.37337489391105283,39.896627738184634,R10LATIN_AM
5,IMAGE 3.2,SSP1_SPA1_19I_RE,31619.926904568405,0.13071194901114383,15.58995172019098,R10LATIN_AM
6,IMAGE 3.2,SSP1_SPA1_19I_RE_LB,23418.36664493617,0.09680795139266783,11.546238119466931,R10LATIN_AM
7,IMAGE 3.2,SSP2_SPA1_19I_D_LB,15981.449155011738,0.07374099439117522,7.879528936019568,R10LATIN_AM
8,IMAGE 3.2,SSP2_SPA1_19I_LIRE_LB,61146.454387296864,0.28213964242409767,30.14778272023057,R10LATIN_AM
9,IMAGE 3.2,SSP2_SPA1_19I_RE_LB,14728.54712086153,0.06795990151425116,7.261795354019063,R10LATIN_AM
10,IMAGE 3.2,SSP2_SPA2_19I_D,22778.087481390492,0.10510178425716621,11.230558485399733,R10LATIN_AM
11,IMAGE 3.2,SSP2_SPA2_19I_LI,61493.76732957372,0.2837422005826229,30.319022659236122,R10LATIN_AM
12,IMAGE 3.2,SSP2_SPA2_19I_LIRE,64294.820150711224,0.29666671189379595,31.700059919461726,R10LATIN_AM
13,IMAGE 3.2,SSP2_SPA2_19I_RE,24814.909359384408,0.11450001023931194,12.234797636023805,R10LATIN_AM
14,MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_600f_COV,9442.394621202202,0.036610782134804495,4.6948246028769,R10LATIN_AM
15,MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_600f_COV_NDCp,8884.95068154159,0.03447413166933272,4.417659579846963,R10LATIN_AM
16,MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_700f,10150.249143353678,0.03085223789522136,5.0467748188096575,R10LATIN_AM
17,MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_700f_COV,9065.656390602464,0.034932061258974745,4.507507721426888,R10LATIN_AM
18,MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_700f_COV_NDCp,8519.766130967806,0.032844741924235914,4.23608726885981,R10LATIN_AM
