,model,scenario,total_CDR,total_CDR_gdp,total_CDR_land,region
0,IMAGE 3.0,ENGAGE-INDCi2030-1000,-3814.9697114091414,-0.013426422083243846,-1.8809410798431734,R10LATIN_AM
1,IMAGE 3.0,ENGAGE-INDCi2030-1000f,-4829.947112161216,-0.016998538251478765,-2.3813677758868104,R10LATIN_AM
2,IMAGE 3.0,ENGAGE-INDCi2030-1200,-4463.036258707024,-0.01570723049334205,-2.2004652395341977,R10LATIN_AM
3,IMAGE 3.0,ENGAGE-INDCi2030-1200f,-5172.092090183101,-0.018202684872838756,-2.5500596903989425,R10LATIN_AM
4,IMAGE 3.0,ENGAGE-INDCi2030-1400f,-5363.253087837285,-0.018875457773940254,-2.644310130258594,R10LATIN_AM
5,IMAGE 3.0,ENGAGE-INDCi2030-800f,-4112.5865678199025,-0.01447385622703501,-2.0276787510762206,R10LATIN_AM
6,IMAGE 3.0,ENGAGE-NPi2020-1000,-2565.2834305694178,-0.009028270394643488,-1.26479299994672,R10LATIN_AM
7,IMAGE 3.0,ENGAGE-NPi2020-1200,-4141.732338954904,-0.014576431989046922,-2.042048846353145,R10LATIN_AM
8,IMAGE 3.0,ENGAGE-NPi2020-1400,-4710.442674924428,-0.01657795378121072,-2.3224470446028946,R10LATIN_AM
9,IMAGE 3.0,ENGAGE-NPi2020-1400f,-4712.653917787355,-0.016585736039590765,-2.323537280660589,R10LATIN_AM
10,IMAGE 3.2,SSP2021-SSP1-SPA1-19-Default,25674.22212293419,0.10613331343751128,12.65846959602472,R10LATIN_AM
11,IMAGE 3.2,SSP2021-SSP1-SPA1-19-Lifestyle-Renewables,87021.08407406931,0.40152937386204257,42.90504856155797,R10LATIN_AM
12,IMAGE 3.2,SSP2021-SSP1-SPA1-19-Renewables,31619.926904568405,0.13071194901114383,15.58995172019098,R10LATIN_AM
13,IMAGE 3.2,SSP2021-SSP1-SPA1-26-Default,20288.778099205716,0.08387071027727877,10.003219551484367,R10LATIN_AM
14,IMAGE 3.2,SSP2021-SSP1-SPA1-26-Lifestyle,77950.84523642476,0.3222368900051761,38.433039945084865,R10LATIN_AM
15,IMAGE 3.2,SSP2021-SSP1-SPA1-26-Lifestyle-Renewables,77332.72508732739,0.35682571659220197,38.12828075602067,R10LATIN_AM
