model,scenario,Final energy per cap reductions,Share of final energy from electricity,Share of food demand from crops
IMAGE 3.2,SSP1_SPA1_19I_D,-0.003239170657021201,0.08619691683175851,0.010377137414742554
IMAGE 3.2,SSP1_SPA1_19I_D_LB,-0.0052914720367775794,0.12157995591387766,0.010377137414742554
IMAGE 3.2,SSP1_SPA1_19I_LI,-0.004073205160232352,0.08329936466285368,0.025062051729194623
IMAGE 3.2,SSP1_SPA1_19I_LIRE,-0.004602981327814934,0.10097028133110786,0.025062051729194623
IMAGE 3.2,SSP1_SPA1_19I_LIRE_LB,-0.006213793932036041,0.13250064925187863,0.025062051729194623
IMAGE 3.2,SSP1_SPA1_19I_RE,-0.00241988595207885,0.10827071385854556,0.010344938835724182
IMAGE 3.2,SSP1_SPA1_19I_RE_LB,-0.00535437552072944,0.13619840955024015,0.010377137414742554
IMAGE 3.2,SSP2_SPA1_19I_D_LB,-0.005493018048509102,0.12079523888491389,0.003674619249562139
IMAGE 3.2,SSP2_SPA1_19I_LIRE_LB,-0.006430403763213313,0.1320879021620214,0.020202748285409022
IMAGE 3.2,SSP2_SPA1_19I_RE_LB,-0.00494831606840361,0.12073195526053565,0.003674619249562139
IMAGE 3.2,SSP2_SPA2_19I_D,-0.007534247890946401,0.10438992383154538,0.003674619249562139
IMAGE 3.2,SSP2_SPA2_19I_LI,-0.007626433858853018,0.12693092224589797,0.020202748285409022
IMAGE 3.2,SSP2_SPA2_19I_LIRE,-0.008044181085181283,0.10922235049548512,0.020202748285409022
IMAGE 3.2,SSP2_SPA2_19I_RE,-0.008299408320587578,0.11199703878957601,0.0037011104275314066
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_600f_COV,-0.009094419297907039,0.144852094318983,0.03282664546805658
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_600f_COV_NDCp,-0.008735089630347255,0.13204291762769044,0.03285346871685213
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_700f,-0.009472481767356392,0.1301032431554704,0.03289440080594208
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_700f_COV,-0.0073758272569991665,0.1286770769594679,0.03282664546805658
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_700f_COV_NDCp,-0.007001577373434445,0.11570817089565,0.03285346871685213
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_700f_NDCp,-0.009037541670326735,0.12015085889899879,0.03285804920457491
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_200f,-0.0075781565642021875,0.11556504096364562,0.036137330295306636
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_300f,-0.006477416493270709,0.10987215685629043,0.03555088992557842
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_400f,-0.005104582098837303,0.10478294028230867,0.03525970875530904
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_450,-0.013354381697871474,0.14712441014521943,0.039336846759329025
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_450f,-0.004532845849844806,0.1012065358571943,0.03523867885061582
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_500,-0.011077978217025532,0.13353449619088137,0.0386065368252132
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_500f,-0.003788250279647562,0.10131198910296552,0.03514717772674125
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600,-0.007820281256425254,0.11547182309018161,0.03663027503793348
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600_COV,-0.008400504255712093,0.11403097333793777,0.03592730325949889
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600_DR10p,-0.007635903417085886,0.12007259867639491,0.03699239743190774
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600_DR1p,-0.008187520415724285,0.11930048946856342,0.03617516987425562
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600_DR2p,-0.007985027562852624,0.11618317597096645,0.036413742727973375
