model,scenario,Final energy per cap reductions,Share of final energy from electricity
IMAGE 3.0,ENGAGE-INDCi2030-1000,-0.012138616301883377,0.09126940606790684
IMAGE 3.0,ENGAGE-INDCi2030-1000f,-0.00760948617755227,0.11735256957798224
IMAGE 3.0,ENGAGE-INDCi2030-1200,-0.009471999043565181,0.05368091498820765
IMAGE 3.0,ENGAGE-INDCi2030-1200f,-0.0052283795277022135,0.0756234071256231
IMAGE 3.0,ENGAGE-INDCi2030-1400f,-0.004440336163681981,0.08672344725931852
IMAGE 3.0,ENGAGE-INDCi2030-800f,-0.012229839466309574,0.103963300030945
IMAGE 3.0,ENGAGE-NPi2020-1000,-0.00963360115893614,0.07123068670608834
IMAGE 3.0,ENGAGE-NPi2020-1200,-0.006187258357116476,0.059248602733088296
IMAGE 3.0,ENGAGE-NPi2020-1400,-0.004648294454674788,0.06054453371182461
IMAGE 3.0,ENGAGE-NPi2020-1400f,-0.0035992932165367225,0.08033186185592422
IMAGE 3.2,SSP2021-SSP1-SPA1-19-Default,-0.003239170657021201,0.08619691683175851
IMAGE 3.2,SSP2021-SSP1-SPA1-19-Lifestyle-Renewables,-0.004602981327814934,0.10097028133110786
IMAGE 3.2,SSP2021-SSP1-SPA1-19-Renewables,-0.00241988595207885,0.10827071385854556
IMAGE 3.2,SSP2021-SSP1-SPA1-26-Default,-0.001608581813743161,0.0774944560138145
IMAGE 3.2,SSP2021-SSP1-SPA1-26-Lifestyle,-0.003438537976203526,0.07246842970950901
IMAGE 3.2,SSP2021-SSP1-SPA1-26-Lifestyle-Renewables,-0.004241665984470858,0.09802498772075757
IMAGE 3.2,SSP2021-SSP1-SPA1-26-Renewables,-0.0013276710536376662,0.09781977706991224
IMAGE 3.2,SSP2021-SSP2-SPA0-26-Default,-0.002744361778442221,0.0598766053181361
IMAGE 3.2,SSP2021-SSP2-SPA2-19-Renewables,-0.008299408320587578,0.11199703878957601
IMAGE 3.2,SSP2021-SSP2-SPA2-26-Default,-0.002228433555253928,0.06204358538480992
IMAGE 3.2,SSP2021-SSP2-SPA2-26-Lifestyle,-0.002508109161107365,0.06142941073720454
IMAGE 3.2,SSP2021-SSP2-SPA2-26-Lifestyle-Renewables,-0.0029123604322033522,0.09530778995356393
IMAGE 3.2,SSP2021-SSP2-SPA2-26-Renewables,-0.002728637424081762,0.09588205763469482
IMAGE 3.3,NAVIGATE Demand-1.5°C-ele_u,-0.007310697117748281,0.10988302474167175
IMAGE 3.3,NAVIGATE Demand-1.5°C-tec_u,-0.007250634236133591,0.09029194748143171
IMAGE 3.3,NAVIGATE Demand-2.0°C-ele_u,-0.006011876481933888,0.09992096091138916
IMAGE 3.3,NAVIGATE Demand-2.0°C-ref,-0.004394559003959818,0.06369473763447797
IMAGE 3.3,NAVIGATE Demand-2.0°C-tec_u,-0.005317871831274967,0.05622735023156067
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,NGFS Phase 5-Below 2°C,-0.0044562672129705855,0.09073560631616129
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,NGFS Phase 5-Delayed Transition,-0.005241122188318785,0.09086824786850489
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,NGFS Phase 5-Low Demand,-0.010051727148910249,0.08098649313570738
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,NGFS Phase 5-Nationally Determined Contributions (NDCs),-0.0035070862394379135,0.0744680550103839
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,NGFS Phase 5-Net-Zero 2050,-0.005932964022094027,0.09660930488865327
POLES-JRC ENGAGE,ENGAGE-INDCi2030-1000,-0.017912598918776154,0.10652540485515599
POLES-JRC ENGAGE,ENGAGE-INDCi2030-1000-COV,-0.013479537216285323,0.09168432249094538
POLES-JRC ENGAGE,ENGAGE-INDCi2030-1000-COV-NDCp,-0.012256651205256631,0.09085862230979422
POLES-JRC ENGAGE,ENGAGE-INDCi2030-1000-NDCp,-0.015379052137049022,0.09701830926893928
POLES-JRC ENGAGE,ENGAGE-INDCi2030-1000f,-0.012431642836644372,0.09285213650436613
POLES-JRC ENGAGE,ENGAGE-INDCi2030-1000f-COV,-0.010296888797683548,0.08705945967924822
POLES-JRC ENGAGE,ENGAGE-INDCi2030-1000f-COV-NDCp,-0.008997818228019754,0.08363317369222034
POLES-JRC ENGAGE,ENGAGE-INDCi2030-1000f-NDCp,-0.010869878768192613,0.09772506710117562
POLES-JRC ENGAGE,ENGAGE-INDCi2030-1200,-0.011461557963034184,0.09126920684291262
POLES-JRC ENGAGE,ENGAGE-INDCi2030-1200f,-0.009391683829102451,0.08619518314601005
POLES-JRC ENGAGE,ENGAGE-INDCi2030-300f,-0.021310634498847514,0.11544762899042066
POLES-JRC ENGAGE,ENGAGE-INDCi2030-400f,-0.020710164100672085,0.11326682786791448
POLES-JRC ENGAGE,ENGAGE-INDCi2030-500f,-0.019547188033097164,0.10974106171516018
POLES-JRC ENGAGE,ENGAGE-INDCi2030-600f,-0.018644326039239552,0.10772471635124253
POLES-JRC ENGAGE,ENGAGE-INDCi2030-600f-COV,-0.016849390117816027,0.10205415774122806
POLES-JRC ENGAGE,ENGAGE-INDCi2030-600f-COV-NDCp,-0.015552088909257814,0.10391196994835966
POLES-JRC ENGAGE,ENGAGE-INDCi2030-600f-NDCp,-0.0178413094597534,0.10160037729226304
POLES-JRC ENGAGE,ENGAGE-INDCi2030-700f,-0.017252937290135856,0.10361076227027355
POLES-JRC ENGAGE,ENGAGE-INDCi2030-800f,-0.015821967358471023,0.0993921905755995
POLES-JRC ENGAGE,ENGAGE-INDCi2030-900,-0.021761331511019985,0.11742815317429062
POLES-JRC ENGAGE,ENGAGE-INDCi2030-900f,-0.013858974903631839,0.09365601744583846
POLES-JRC ENGAGE,ENGAGE-NPi2020-1000f,-0.007332124769186529,0.08911047752634793
POLES-JRC ENGAGE,ENGAGE-NPi2020-1000f-COV,-0.007598157708747076,0.08247483706209535
POLES-JRC ENGAGE,ENGAGE-NPi2020-1200f,-0.0062768809796829445,0.082468548715243
POLES-JRC ENGAGE,ENGAGE-NPi2020-900f,-0.007986038550985328,0.09405798718306785
REMIND-MAgPIE 2.1-4.2,NGFS Phase 2-Delayed Transition,-0.015101144914190824,0.16402125156933445
REMIND-MAgPIE 3.2.0-4.8.0,RESCUE-End-of-Century-Budget-1150,-0.0045171155478698,0.08412924231025326
REMIND-MAgPIE 3.2.0-4.8.0,RESCUE-End-of-Century-Budget-1150-with-OAE,-0.004371697948343488,0.083797359060445
REMIND-MAgPIE 3.2.0-4.8.0,RESCUE-End-of-Century-Budget-500,-0.00863886145517477,0.1156022634384632
REMIND-MAgPIE 3.2.0-4.8.0,RESCUE-End-of-Century-Budget-500-with-OAE,-0.008154545355937105,0.11778103222728675
REMIND-MAgPIE 3.2.0-4.8.0,RESCUE-Peak-Budget-1150,-0.004514423616836939,0.08979167819829137
REMIND-MAgPIE 3.2.0-4.8.0,RESCUE-Peak-Budget-1150-with-OAE,-0.004604244669171871,0.09046015863734375
REMIND-MAgPIE 3.3-4.8,NGFS Phase 5-Below 2°C,-0.005111984360008946,0.10121908719079381
REMIND-MAgPIE 3.3-4.8,NGFS Phase 5-Delayed Transition,-0.010916259086508152,0.1268546734530313
REMIND-MAgPIE 3.3-4.8,NGFS Phase 5-Low Demand,-0.013891782049335652,0.16709056056550642
REMIND-MAgPIE 3.3-4.8,NGFS Phase 5-Net-Zero 2050,-0.00882299372007974,0.19947564018786001
WITCH 5.0,ENGAGE-INDCi2030-1000,-0.008416820989852726,0.1264600694402232
WITCH 5.0,ENGAGE-INDCi2030-1000-NDCp,-0.004247946973267573,0.12077651424360603
WITCH 5.0,ENGAGE-INDCi2030-1000f,-0.00709324298013065,0.1200943304712378
WITCH 5.0,ENGAGE-INDCi2030-1000f-NDCp,-0.002730839537246413,0.11594580079177746
WITCH 5.0,ENGAGE-INDCi2030-1200,-0.006114434861363774,0.11274643647465804
WITCH 5.0,ENGAGE-INDCi2030-1200-NDCp,-0.0022856832945272187,0.10983064749391658
WITCH 5.0,ENGAGE-INDCi2030-1200f,-0.0052745130646261185,0.11095549565479168
WITCH 5.0,ENGAGE-INDCi2030-1200f-NDCp,-0.002285683294527212,0.10734319281185167
WITCH 5.0,ENGAGE-INDCi2030-1400,-0.004058534223631352,0.098748755730314
WITCH 5.0,ENGAGE-INDCi2030-1400-NDCp,-0.002285683294527212,0.09770661209821624
WITCH 5.0,ENGAGE-INDCi2030-1400f,-0.0039215726093532535,0.09902376185187756
WITCH 5.0,ENGAGE-INDCi2030-1400f-NDCp,-0.002285683294527212,0.0970406165879702
WITCH 5.0,ENGAGE-INDCi2030-1600-NDCp,-0.0022856832945272187,0.08846542957860593
WITCH 5.0,ENGAGE-INDCi2030-500f,-0.012888683743992525,0.15563096409626792
WITCH 5.0,ENGAGE-INDCi2030-600f,-0.011539234660576735,0.14658628619148278
WITCH 5.0,ENGAGE-INDCi2030-600f-NDCp,-0.006982565379333977,0.1406752016383519
WITCH 5.0,ENGAGE-INDCi2030-700f,-0.010218846603699247,0.14015643438901648
WITCH 5.0,ENGAGE-INDCi2030-700f-NDCp,-0.0056579399314007975,0.13178217996150338
WITCH 5.0,ENGAGE-INDCi2030-800,-0.01205437331987539,0.149182538927906
WITCH 5.0,ENGAGE-INDCi2030-800-NDCp,-0.007755373090490833,0.1424799610280657
WITCH 5.0,ENGAGE-INDCi2030-800f,-0.008957324214462742,0.13102467960361347
WITCH 5.0,ENGAGE-INDCi2030-800f-NDCp,-0.004587223896133377,0.1256559949806923
WITCH 5.0,ENGAGE-INDCi2030-900,-0.010099216177509515,0.13653720665522706
WITCH 5.0,ENGAGE-INDCi2030-900-NDCp,-0.00562721231790398,0.12998148688988087
WITCH 5.0,ENGAGE-INDCi2030-900f,-0.007959198501035679,0.1237566621134541
WITCH 5.0,ENGAGE-INDCi2030-900f-NDCp,-0.003638329289506838,0.11894899885350746
