model,scenario,Final energy per cap reductions,Share of final energy from electricity,Share of food demand from crops,region
IMAGE 3.2,SSP1_SPA1_19I_D,0.0,0.1010953401051668,0.014522835005180146,R10LATIN_AM
IMAGE 3.2,SSP1_SPA1_19I_D_LB,-0.0036601257386635055,0.14458957070284245,0.014522835005180035,R10LATIN_AM
IMAGE 3.2,SSP1_SPA1_19I_LI,-0.0014606810499831827,0.09820041304978955,0.030265838740029416,R10LATIN_AM
IMAGE 3.2,SSP1_SPA1_19I_LIRE,-0.0029446397714446293,0.10490510476756734,0.030373509395079545,R10LATIN_AM
IMAGE 3.2,SSP1_SPA1_19I_LIRE_LB,-0.004771135418671475,0.16409636762552934,0.030373509395079545,R10LATIN_AM
IMAGE 3.2,SSP1_SPA1_19I_RE,-0.0008353132496246238,0.11808868541172335,0.01453405070633984,R10LATIN_AM
IMAGE 3.2,SSP1_SPA1_19I_RE_LB,-0.0037071656440758466,0.1703525685769409,0.014522835005180035,R10LATIN_AM
IMAGE 3.2,SSP2_SPA1_19I_D_LB,-0.003121406938693727,0.12147289326995186,0.0,R10LATIN_AM
IMAGE 3.2,SSP2_SPA1_19I_LIRE_LB,-0.0047151282651089615,0.1614677185911838,0.02759026496700212,R10LATIN_AM
IMAGE 3.2,SSP2_SPA1_19I_RE_LB,-0.0032107473651074997,0.14754278065976803,0.0,R10LATIN_AM
IMAGE 3.2,SSP2_SPA2_19I_D,-0.005357336155524167,0.0993516441090711,0.0,R10LATIN_AM
IMAGE 3.2,SSP2_SPA2_19I_LI,-0.005862519570031234,0.11316069954542907,0.02759026496700212,R10LATIN_AM
IMAGE 3.2,SSP2_SPA2_19I_LIRE,-0.004379414484094041,0.10155446398266682,0.02759026496700212,R10LATIN_AM
IMAGE 3.2,SSP2_SPA2_19I_RE,-0.006241651714691807,0.11537553029810821,0.0,R10LATIN_AM
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_600f_COV,-0.0026660482804996832,0.16246817525277185,0.053223873759442375,R10LATIN_AM
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_600f_COV_NDCp,-0.002536298262444857,0.14265534171286204,0.05287186935356325,R10LATIN_AM
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_700f,-0.002511639478984813,0.11736334542749671,0.05381388584239033,R10LATIN_AM
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_700f_COV,-0.0014903231552035948,0.1549000075186101,0.053223873759442375,R10LATIN_AM
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_700f_COV_NDCp,-0.001555616412260867,0.1243840489353567,0.05287186935356325,R10LATIN_AM
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_700f_NDCp,-0.0024397716063036673,0.1147026067698097,0.05287195632505459,R10LATIN_AM
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_200f,-0.0020322589626454376,0.11823657172790764,0.06103630122380321,R10LATIN_AM
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_300f,-0.0009743900784178611,0.1275439526924964,0.059360038861670406,R10LATIN_AM
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_400f,0.0,0.13860503435645855,0.059360038861670406,R10LATIN_AM
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_450,-0.005817023035956936,0.12395143433340605,0.07205591227105212,R10LATIN_AM
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_450f,0.0,0.13071250957189345,0.059360038861670406,R10LATIN_AM
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_500,-0.004494014856429147,0.10934961613541028,0.06732022187350795,R10LATIN_AM
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_500f,0.0,0.12670974491286358,0.059110413362921665,R10LATIN_AM
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600,-0.0023967464848035844,0.11048116351334214,0.06422641423816033,R10LATIN_AM
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600_COV,-0.0029700057776810007,0.13080146083242405,0.06422641423816033,R10LATIN_AM
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600_DR10p,-0.0020311715374954076,0.12529341693637674,0.06167615420797945,R10LATIN_AM
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600_DR1p,-0.0017556290312936637,0.11293461189862786,0.06422641423816033,R10LATIN_AM
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600_DR2p,-0.0017658126910730168,0.11318287963516332,0.06422641423816033,R10LATIN_AM
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600_DR3p,-0.0027215121603917716,0.11203655482980168,0.06422641423816033,R10LATIN_AM
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600_DR4p,-0.0023922654119622674,0.1117303375546283,0.06422641423816033,R10LATIN_AM
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600f,-0.0001232609067778473,0.13347827512499705,0.05825714734225085,R10LATIN_AM
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600f_COV,-0.0006890296281098079,0.135517264747595,0.05825714734225085,R10LATIN_AM
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600f_DR10p,-0.0013413132510529183,0.12927564397770253,0.05661223967133644,R10LATIN_AM
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600f_DR1p,-9.255821382010698e-05,0.12476649497129416,0.059110413362921665,R10LATIN_AM
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600f_DR2p,0.0,0.12087923953717178,0.059110413362921665,R10LATIN_AM
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600f_DR3p,0.0,0.12865420564611801,0.05825714734225085,R10LATIN_AM
