model,scenario,Final energy per cap reductions,Share of final energy from electricity,region
IMAGE 3.0,ENGAGE-INDCi2030-1000,-0.008243193623658551,0.11076796762004665,R10LATIN_AM
IMAGE 3.0,ENGAGE-INDCi2030-1000f,-0.0033580193971206596,0.1301912414971379,R10LATIN_AM
IMAGE 3.0,ENGAGE-INDCi2030-1200,-0.005305043377886669,0.06354867181832374,R10LATIN_AM
IMAGE 3.0,ENGAGE-INDCi2030-1200f,-0.0017235666249558676,0.09671202273926921,R10LATIN_AM
IMAGE 3.0,ENGAGE-INDCi2030-1400f,-0.0016747428434081418,0.12096674964864262,R10LATIN_AM
IMAGE 3.0,ENGAGE-INDCi2030-800f,-0.007931699805904212,0.13366912635588857,R10LATIN_AM
IMAGE 3.0,ENGAGE-NPi2020-1000,-0.005496540553236499,0.08205388180442097,R10LATIN_AM
IMAGE 3.0,ENGAGE-NPi2020-1200,-0.0016640930935111,0.08079318378836137,R10LATIN_AM
IMAGE 3.0,ENGAGE-NPi2020-1400,-3.627111164316438e-05,0.08735859345480201,R10LATIN_AM
IMAGE 3.0,ENGAGE-NPi2020-1400f,-0.001393951491318969,0.1130097064461632,R10LATIN_AM
IMAGE 3.2,SSP2021-SSP1-SPA1-19-Default,0.0,0.10109534010516674,R10LATIN_AM
IMAGE 3.2,SSP2021-SSP1-SPA1-19-Lifestyle-Renewables,-0.0029446397714446224,0.10490510476756731,R10LATIN_AM
IMAGE 3.2,SSP2021-SSP1-SPA1-19-Renewables,-0.0008353132496246307,0.11808868541172332,R10LATIN_AM
IMAGE 3.2,SSP2021-SSP1-SPA1-26-Default,-0.0006485540371856807,0.08678945235419411,R10LATIN_AM
IMAGE 3.2,SSP2021-SSP1-SPA1-26-Lifestyle,-0.0008242509336502529,0.08397591077437844,R10LATIN_AM
IMAGE 3.2,SSP2021-SSP1-SPA1-26-Lifestyle-Renewables,-0.0020285678292830053,0.10023689455040963,R10LATIN_AM
IMAGE 3.2,SSP2021-SSP1-SPA1-26-Renewables,-0.00023841522474737226,0.10881725189000718,R10LATIN_AM
IMAGE 3.2,SSP2021-SSP2-SPA0-26-Default,-0.0011747543596927965,0.06621722188403378,R10LATIN_AM
IMAGE 3.2,SSP2021-SSP2-SPA2-19-Renewables,-0.0062416517146918,0.11537553029810821,R10LATIN_AM
