model,scenario,final_demand_reduction,electrification,transition_speed_score
IMAGE 3.0,ENGAGE-INDCi2030-1000,0.5290753103583018,0.2578179082146164,0.7868932185729183
IMAGE 3.0,ENGAGE-INDCi2030-1000f,0.3074248560122813,0.4367212497062712,0.7441461057185526
IMAGE 3.0,ENGAGE-INDCi2030-1200,0.3985741079976254,0.0,0.3985741079976254
IMAGE 3.0,ENGAGE-INDCi2030-1200f,0.19089621667151402,0.15050264752285986,0.3413988641943739
IMAGE 3.0,ENGAGE-INDCi2030-1400f,0.15233027467282556,0.22663736445788565,0.3789676391307112
IMAGE 3.0,ENGAGE-INDCi2030-800f,0.533539667814787,0.3448848027518165,0.8784244705666036
IMAGE 3.0,ENGAGE-NPi2020-1000,0.4064827309146034,0.12037315954913944,0.5268558904637428
IMAGE 3.0,ENGAGE-NPi2020-1200,0.23782265118940654,0.03818854034160813,0.27601119153101467
IMAGE 3.0,ENGAGE-NPi2020-1400,0.16250751586886727,0.04707727741328024,0.20958479328214752
IMAGE 3.0,ENGAGE-NPi2020-1400f,0.11117059362109569,0.1827977440968498,0.2939683377179455
IMAGE 3.2,SSP2021-SSP1-SPA1-19-Default,0.09354660695132629,0.22302591399670485,0.3165725209480311
IMAGE 3.2,SSP2021-SSP1-SPA1-19-Lifestyle-Renewables,0.16028994320466902,0.3243558110771277,0.4846457542817967
IMAGE 3.2,SSP2021-SSP1-SPA1-19-Renewables,0.05345174941705578,0.37442917633393263,0.4278809257509884
IMAGE 3.2,SSP2021-SSP1-SPA1-26-Default,0.0137474516957637,0.16333609458775994,0.17708354628352363
IMAGE 3.2,SSP2021-SSP1-SPA1-26-Lifestyle,0.10330341580102372,0.12886278770081447,0.2321662035018382
IMAGE 3.2,SSP2021-SSP1-SPA1-26-Lifestyle-Renewables,0.14260758305692744,0.3041541638205689,0.44676174687749637
IMAGE 3.2,SSP2021-SSP1-SPA1-26-Renewables,0.0,0.30274663243996314,0.30274663243996314
IMAGE 3.2,SSP2021-SSP2-SPA0-26-Default,0.06933122568809134,0.04249598414101795,0.11182720982910929
IMAGE 3.2,SSP2021-SSP2-SPA2-19-Renewables,0.34118885754662437,0.39998788516875255,0.7411767427153769
IMAGE 3.2,SSP2021-SSP2-SPA2-26-Default,0.044082287825765995,0.057359210939561714,0.10144149876532771
IMAGE 3.2,SSP2021-SSP2-SPA2-26-Lifestyle,0.057769292483434105,0.05314661239208793,0.11091590487552203
IMAGE 3.2,SSP2021-SSP2-SPA2-26-Lifestyle-Renewables,0.07755288788667239,0.28551701653370615,0.36306990442037856
IMAGE 3.2,SSP2021-SSP2-SPA2-26-Renewables,0.06856169374870655,0.28945589484596673,0.35801758859467325
IMAGE 3.3,NAVIGATE Demand-1.5°C-ele_u,0.2928024607528919,0.3854879501058801,0.678290410858772
IMAGE 3.3,NAVIGATE Demand-1.5°C-tec_u,0.2898630519406543,0.25111356013112734,0.5409766120717816
IMAGE 3.3,NAVIGATE Demand-2.0°C-ele_u,0.22923966256882206,0.31715856564673406,0.5463982282155562
IMAGE 3.3,NAVIGATE Demand-2.0°C-ref,0.15008999277044316,0.06868439604078472,0.21877438881122788
IMAGE 3.3,NAVIGATE Demand-2.0°C-tec_u,0.19527586777511097,0.01746589418695285,0.21274176196206382
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,NGFS Phase 5-Below 2°C,0.15310992202586962,0.25415659775901106,0.4072665197848807
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,NGFS Phase 5-Delayed Transition,0.19151982792526256,0.2550663806895111,0.44658620861477366
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,NGFS Phase 5-Low Demand,0.42694533920968436,0.18728783301389837,0.6142331722235828
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,NGFS Phase 5-Nationally Determined Contributions (NDCs),0.10665808949629083,0.14257813507114353,0.24923622456743436
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,NGFS Phase 5-Net-Zero 2050,0.2253777769314256,0.2944440537314305,0.5198218306628561
POLES-JRC ENGAGE,ENGAGE-INDCi2030-1000,0.8116474236091495,0.3624581739468465,1.174105597555996
POLES-JRC ENGAGE,ENGAGE-INDCi2030-1000-COV,0.5946984480823875,0.26066380282754087,0.8553622509099283
POLES-JRC ENGAGE,ENGAGE-INDCi2030-1000-COV-NDCp,0.5348518036899533,0.25500035937977295,0.7898521630697263
POLES-JRC ENGAGE,ENGAGE-INDCi2030-1000-NDCp,0.687658538357228,0.29724939788723526,0.9849079362444633
POLES-JRC ENGAGE,ENGAGE-INDCi2030-1000f,0.543415694225018,0.2686737909243091,0.8120894851493271
POLES-JRC ENGAGE,ENGAGE-INDCi2030-1000f-COV,0.4389432702355338,0.22894205977158483,0.6678853300071186
POLES-JRC ENGAGE,ENGAGE-INDCi2030-1000f-COV-NDCp,0.37536824057439105,0.20544130566449403,0.5808095462388851
POLES-JRC ENGAGE,ENGAGE-INDCi2030-1000f-NDCp,0.4669847448261566,0.3020970206751554,0.769081765501312
POLES-JRC ENGAGE,ENGAGE-INDCi2030-1200,0.4959408487056129,0.2578165417386076,0.7537573904442205
POLES-JRC ENGAGE,ENGAGE-INDCi2030-1200f,0.3946435731514479,0.22301402271774318,0.617657595869191
POLES-JRC ENGAGE,ENGAGE-INDCi2030-300f,0.9779434030866667,0.4236553408748444,1.4015987439615112
POLES-JRC ENGAGE,ENGAGE-INDCi2030-400f,0.9485570677588445,0.40869731602504406,1.3572543837838886
POLES-JRC ENGAGE,ENGAGE-INDCi2030-500f,0.8916423475597653,0.3845142315689632,1.2761565791287286
POLES-JRC ENGAGE,ENGAGE-INDCi2030-600f,0.8474573129821054,0.3706842019766279,1.2181415149587331
POLES-JRC ENGAGE,ENGAGE-INDCi2030-600f-COV,0.7596151994671465,0.331790074618802,1.0914052740859486
POLES-JRC ENGAGE,ENGAGE-INDCi2030-600f-COV-NDCp,0.6961267603172482,0.344532731834881,1.040659492152129
POLES-JRC ENGAGE,ENGAGE-INDCi2030-600f-NDCp,0.8081585989234608,0.32867761325681794,1.1368362121802786
POLES-JRC ENGAGE,ENGAGE-INDCi2030-700f,0.7793643370806184,0.34246676080833227,1.1218310978889505
POLES-JRC ENGAGE,ENGAGE-INDCi2030-800f,0.7093343033209148,0.3135317517474966,1.0228660550684114
POLES-JRC ENGAGE,ENGAGE-INDCi2030-900,1.0,0.4372396744723586,1.4372396744723586
POLES-JRC ENGAGE,ENGAGE-INDCi2030-900f,0.6132676950431989,0.27418757710807845,0.8874552721512774
POLES-JRC ENGAGE,ENGAGE-NPi2020-1000f,0.29385110553599336,0.24300990649437276,0.5368610120303661
POLES-JRC ENGAGE,ENGAGE-NPi2020-1000f-COV,0.3068704536902486,0.19749632254841237,0.504366776238661
