model,scenario,final_demand_reduction,electrification,transition_speed_score,Region
IMAGE 3.0,ENGAGE-INDCi2030-1000,0.10644498176175297,0.2729207134853322,0.3793656952470852,R10LATIN_AM
IMAGE 3.0,ENGAGE-INDCi2030-1000f,0.043362358061835,0.3519477998289619,0.39531015789079693,R10LATIN_AM
IMAGE 3.0,ENGAGE-INDCi2030-1200,0.06850442575845066,0.0808005081058792,0.14930493386432986,R10LATIN_AM
IMAGE 3.0,ENGAGE-INDCi2030-1200f,0.022256545986258258,0.21573157138892052,0.23798811737517878,R10LATIN_AM
IMAGE 3.0,ENGAGE-INDCi2030-1400f,0.02162608080811797,0.3144162941517988,0.33604237495991673,R10LATIN_AM
IMAGE 3.0,ENGAGE-INDCi2030-800f,0.10242263857008116,0.3660982004650696,0.46852083903515074,R10LATIN_AM
IMAGE 3.0,ENGAGE-NPi2020-1000,0.07097724324499295,0.15609228623928326,0.22706952948427622,R10LATIN_AM
IMAGE 3.0,ENGAGE-NPi2020-1200,0.021488559783463177,0.1509629094102878,0.17245146919375098,R10LATIN_AM
IMAGE 3.0,ENGAGE-NPi2020-1400,0.00046837160372579004,0.17767546054220898,0.17814383214593477,R10LATIN_AM
IMAGE 3.0,ENGAGE-NPi2020-1400f,0.018000200874130984,0.2820416314568557,0.3000418323309867,R10LATIN_AM
IMAGE 3.2,SSP2021-SSP1-SPA1-19-Default,0.0,0.23356588717617174,0.23356588717617174,R10LATIN_AM
IMAGE 3.2,SSP2021-SSP1-SPA1-19-Lifestyle-Renewables,0.03802435573838198,0.24906660053837903,0.287090956276761,R10LATIN_AM
IMAGE 3.2,SSP2021-SSP1-SPA1-19-Renewables,0.010786463072570517,0.30270637169522496,0.3134928347677955,R10LATIN_AM
IMAGE 3.2,SSP2021-SSP1-SPA1-26-Default,0.008374827258891092,0.17535980751769503,0.18373463477658614,R10LATIN_AM
IMAGE 3.2,SSP2021-SSP1-SPA1-26-Lifestyle,0.010643614551002593,0.16391240710690574,0.17455602165790834,R10LATIN_AM
IMAGE 3.2,SSP2021-SSP1-SPA1-26-Lifestyle-Renewables,0.026195049570444662,0.2300731468994098,0.25626819646985444,R10LATIN_AM
IMAGE 3.2,SSP2021-SSP1-SPA1-26-Renewables,0.0030786738015122902,0.2649838753701301,0.26806254917164235,R10LATIN_AM
IMAGE 3.2,SSP2021-SSP2-SPA0-26-Default,0.015169691760379992,0.09165798444018004,0.10682767620056004,R10LATIN_AM
IMAGE 3.2,SSP2021-SSP2-SPA2-19-Renewables,0.08059891994126321,0.2916674116937285,0.37226633163499173,R10LATIN_AM
IMAGE 3.2,SSP2021-SSP2-SPA2-26-Default,0.004781001279696817,0.12027020394632543,0.12505120522602226,R10LATIN_AM
IMAGE 3.2,SSP2021-SSP2-SPA2-26-Lifestyle,0.009413908685464198,0.10959890704335674,0.11901281572882094,R10LATIN_AM
IMAGE 3.2,SSP2021-SSP2-SPA2-26-Lifestyle-Renewables,0.022827750774682406,0.24467575647498907,0.2675035072496715,R10LATIN_AM
IMAGE 3.2,SSP2021-SSP2-SPA2-26-Renewables,0.017516688724726347,0.22706727817404454,0.24458396689877088,R10LATIN_AM
IMAGE 3.3,NAVIGATE Demand-1.5°C-ele_u,0.04557955710374526,0.26846369514064855,0.31404325224439383,R10LATIN_AM
IMAGE 3.3,NAVIGATE Demand-1.5°C-tec_u,0.05180021411405047,0.19041167059338213,0.2422118847074326,R10LATIN_AM
IMAGE 3.3,NAVIGATE Demand-2.0°C-ele_u,0.027451759799052077,0.22291063167682232,0.2503623914758744,R10LATIN_AM
IMAGE 3.3,NAVIGATE Demand-2.0°C-ref,0.021566013048939882,0.09503621655434918,0.11660222960328906,R10LATIN_AM
IMAGE 3.3,NAVIGATE Demand-2.0°C-tec_u,0.029006845403263544,0.09226320640431605,0.1212700518075796,R10LATIN_AM
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,NGFS Phase 5-Below 2°C,0.004651881537213022,0.37384854300466325,0.37850042454187627,R10LATIN_AM
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,NGFS Phase 5-Delayed Transition,0.022124004579112906,0.3640029300617078,0.3861269346408207,R10LATIN_AM
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,NGFS Phase 5-Low Demand,0.09311017530289432,0.2692776019752306,0.36238777727812493,R10LATIN_AM
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,NGFS Phase 5-Nationally Determined Contributions (NDCs),0.013547636738252787,0.2644220261983391,0.27796966293659187,R10LATIN_AM
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,NGFS Phase 5-Net-Zero 2050,0.03272274075193689,0.37018960476379514,0.402912345515732,R10LATIN_AM
POLES-JRC ENGAGE,ENGAGE-INDCi2030-1000,0.13177857129306136,0.48749306494123257,0.6192716362342939,R10LATIN_AM
POLES-JRC ENGAGE,ENGAGE-INDCi2030-1000-COV,0.08741826489329048,0.28438113330855075,0.3717993982018412,R10LATIN_AM
POLES-JRC ENGAGE,ENGAGE-INDCi2030-1000-COV-NDCp,0.08024390471483286,0.27214830208643076,0.3523922068012636,R10LATIN_AM
POLES-JRC ENGAGE,ENGAGE-INDCi2030-1000-NDCp,0.11281576027451724,0.37467016210591414,0.48748592238043137,R10LATIN_AM
POLES-JRC ENGAGE,ENGAGE-INDCi2030-1000f,0.07268791091612563,0.2525077562232688,0.32519566713939446,R10LATIN_AM
POLES-JRC ENGAGE,ENGAGE-INDCi2030-1000f-COV,0.05547622374286631,0.2223367839228893,0.2778130076657556,R10LATIN_AM
POLES-JRC ENGAGE,ENGAGE-INDCi2030-1000f-COV-NDCp,0.044655190688516325,0.2177581381165202,0.26241332880503654,R10LATIN_AM
POLES-JRC ENGAGE,ENGAGE-INDCi2030-1000f-NDCp,0.05879523663945935,0.343391049674084,0.40218628631354336,R10LATIN_AM
POLES-JRC ENGAGE,ENGAGE-INDCi2030-1200,0.06323384495386837,0.24250236587293542,0.3057362108268038,R10LATIN_AM
POLES-JRC ENGAGE,ENGAGE-INDCi2030-1200f,0.044907328550761585,0.21442541065661433,0.25933273920737593,R10LATIN_AM
POLES-JRC ENGAGE,ENGAGE-INDCi2030-300f,0.17033044342185558,0.667076425690435,0.8374068691122906,R10LATIN_AM
POLES-JRC ENGAGE,ENGAGE-INDCi2030-400f,0.1624526293525072,0.6207323489250983,0.7831849782776055,R10LATIN_AM
POLES-JRC ENGAGE,ENGAGE-INDCi2030-500f,0.1498193495883881,0.5639547681238972,0.7137741177122854,R10LATIN_AM
POLES-JRC ENGAGE,ENGAGE-INDCi2030-600f,0.140022483211343,0.5205990390594067,0.6606215222707498,R10LATIN_AM
POLES-JRC ENGAGE,ENGAGE-INDCi2030-600f-COV,0.12390100581781188,0.43546072447645795,0.5593617302942698,R10LATIN_AM
POLES-JRC ENGAGE,ENGAGE-INDCi2030-600f-COV-NDCp,0.11679745331561686,0.4198662654862142,0.5366637188018311,R10LATIN_AM
POLES-JRC ENGAGE,ENGAGE-INDCi2030-600f-NDCp,0.14222260198297962,0.5075777975941507,0.6498003995771303,R10LATIN_AM
POLES-JRC ENGAGE,ENGAGE-INDCi2030-700f,0.12416661047925147,0.4500379354837698,0.5742045459630213,R10LATIN_AM
POLES-JRC ENGAGE,ENGAGE-INDCi2030-800f,0.10869747515394626,0.38241809887799927,0.4911155740319455,R10LATIN_AM
POLES-JRC ENGAGE,ENGAGE-INDCi2030-900,0.1726321642886858,0.6776177373411973,0.8502499016298831,R10LATIN_AM
POLES-JRC ENGAGE,ENGAGE-INDCi2030-900f,0.08745306997083789,0.3023212958987071,0.389774365869545,R10LATIN_AM
POLES-JRC ENGAGE,ENGAGE-NPi2020-1000f,0.03051359563193057,0.22429982016012945,0.25481341579206,R10LATIN_AM
POLES-JRC ENGAGE,ENGAGE-NPi2020-1000f-COV,0.03059333992325759,0.199348372985231,0.22994171290848858,R10LATIN_AM
POLES-JRC ENGAGE,ENGAGE-NPi2020-1200f,0.02796672210495325,0.1920837638678541,0.22005048597280735,R10LATIN_AM
POLES-JRC ENGAGE,ENGAGE-NPi2020-900f,0.0365484069440694,0.2501937506523051,0.2867421575963745,R10LATIN_AM
REMIND-MAgPIE 2.1-4.2,NGFS Phase 2-Delayed Transition,0.1270224614665687,0.4508828744750597,0.5779053359416284,R10LATIN_AM
REMIND-MAgPIE 3.2.0-4.8.0,RESCUE-End-of-Century-Budget-1150,0.0,0.25430862464182274,0.25430862464182274,R10LATIN_AM
REMIND-MAgPIE 3.2.0-4.8.0,RESCUE-End-of-Century-Budget-1150-with-OAE,0.0,0.2527533592175598,0.2527533592175598,R10LATIN_AM
REMIND-MAgPIE 3.2.0-4.8.0,RESCUE-End-of-Century-Budget-500,0.0,0.3621030970684291,0.3621030970684291,R10LATIN_AM
REMIND-MAgPIE 3.2.0-4.8.0,RESCUE-End-of-Century-Budget-500-with-OAE,0.0,0.3593820578894427,0.3593820578894427,R10LATIN_AM
REMIND-MAgPIE 3.2.0-4.8.0,RESCUE-Peak-Budget-1150,0.0,0.3199377217703383,0.3199377217703383,R10LATIN_AM
REMIND-MAgPIE 3.2.0-4.8.0,RESCUE-Peak-Budget-1150-with-OAE,0.0,0.31994777771274696,0.31994777771274696,R10LATIN_AM
REMIND-MAgPIE 3.3-4.8,NGFS Phase 5-Below 2°C,0.022723977749655778,0.3417056088398013,0.36442958658945707,R10LATIN_AM
REMIND-MAgPIE 3.3-4.8,NGFS Phase 5-Delayed Transition,0.013929896832972716,0.3650321927694265,0.3789620896023992,R10LATIN_AM
REMIND-MAgPIE 3.3-4.8,NGFS Phase 5-Low Demand,0.13837367833847347,0.5863166705519621,0.7246903488904356,R10LATIN_AM
