,model,scenario
0,IMAGE 3.2,SSP1_SPA1_19I_D
1,IMAGE 3.2,SSP1_SPA1_19I_D_LB
2,IMAGE 3.2,SSP1_SPA1_19I_LI
3,IMAGE 3.2,SSP1_SPA1_19I_LIRE
4,IMAGE 3.2,SSP1_SPA1_19I_LIRE_LB
5,IMAGE 3.2,SSP1_SPA1_19I_RE
6,IMAGE 3.2,SSP1_SPA1_19I_RE_LB
7,IMAGE 3.2,SSP2_SPA1_19I_D_LB
8,IMAGE 3.2,SSP2_SPA1_19I_LIRE_LB
9,IMAGE 3.2,SSP2_SPA1_19I_RE_LB
10,IMAGE 3.2,SSP2_SPA2_19I_D
11,IMAGE 3.2,SSP2_SPA2_19I_LI
12,IMAGE 3.2,SSP2_SPA2_19I_LIRE
13,IMAGE 3.2,SSP2_SPA2_19I_RE
14,MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_600f_COV
15,MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_600f_COV_NDCp
16,MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_700f
17,MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_700f_COV
18,MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_700f_COV_NDCp
19,MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_700f_NDCp
20,MESSAGEix-GLOBIOM_1.1,EN_NPi2020_200f
21,MESSAGEix-GLOBIOM_1.1,EN_NPi2020_300f
22,MESSAGEix-GLOBIOM_1.1,EN_NPi2020_400f
23,MESSAGEix-GLOBIOM_1.1,EN_NPi2020_450
24,MESSAGEix-GLOBIOM_1.1,EN_NPi2020_450f
25,MESSAGEix-GLOBIOM_1.1,EN_NPi2020_500
26,MESSAGEix-GLOBIOM_1.1,EN_NPi2020_500f
27,MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600
28,MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600_COV
29,MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600_DR10p
30,MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600_DR1p
31,MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600_DR2p
32,MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600_DR3p
33,MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600_DR4p
34,MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600f
35,MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600f_COV
36,MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600f_DR10p
37,MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600f_DR1p
38,MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600f_DR2p
39,MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600f_DR3p
40,MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600f_DR4p
41,MESSAGEix-GLOBIOM_1.1,EN_NPi2020_700
42,MESSAGEix-GLOBIOM_1.1,EN_NPi2020_700_COV
43,MESSAGEix-GLOBIOM_1.1,EN_NPi2020_700f
44,MESSAGEix-GLOBIOM_1.1,EN_NPi2020_700f_COV
45,MESSAGEix-GLOBIOM_1.1,NGFS2_Divergent Net Zero Policies
46,MESSAGEix-GLOBIOM_1.1,NGFS2_Net-Zero 2050
47,WITCH 5.0,EN_INDCi2030_500f
48,WITCH 5.0,EN_NPi2020_400f
49,WITCH 5.0,EN_NPi2020_450
50,WITCH 5.0,EN_NPi2020_450f
51,WITCH 5.0,EN_NPi2020_500
52,WITCH 5.0,EN_NPi2020_500f
