,model,scenario
0,COFFEE 1.1,EN_INDCi2030_400f
1,COFFEE 1.1,EN_INDCi2030_500f
2,COFFEE 1.1,EN_NPi2020_400f
3,COFFEE 1.1,EN_NPi2020_500f
4,GCAM 5.3,NGFS2_Divergent Net Zero Policies
5,GCAM 5.3,NGFS2_Net-Zero 2050
6,IMAGE 3.2,SSP1_SPA1_19I_D
7,IMAGE 3.2,SSP1_SPA1_19I_LI
8,IMAGE 3.2,SSP1_SPA1_19I_LIRE
9,IMAGE 3.2,SSP1_SPA1_19I_RE
10,IMAGE 3.2,SSP2_SPA2_19I_D
11,IMAGE 3.2,SSP2_SPA2_19I_LIRE
12,IMAGE 3.2,SSP2_SPA2_19I_RE
13,MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_600f_COV
14,MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_600f_COV_NDCp
15,MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_700f
16,MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_700f_COV
17,MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_700f_COV_NDCp
18,MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_700f_NDCp
19,MESSAGEix-GLOBIOM_1.1,EN_NPi2020_200f
20,MESSAGEix-GLOBIOM_1.1,EN_NPi2020_300f
21,MESSAGEix-GLOBIOM_1.1,EN_NPi2020_400f
22,MESSAGEix-GLOBIOM_1.1,EN_NPi2020_450f
23,MESSAGEix-GLOBIOM_1.1,EN_NPi2020_500f
24,MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600
25,MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600_DR10p
26,MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600f
27,MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600f_COV
28,MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600f_DR10p
29,MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600f_DR1p
30,MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600f_DR2p
31,MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600f_DR3p
32,MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600f_DR4p
33,MESSAGEix-GLOBIOM_1.1,EN_NPi2020_700
34,MESSAGEix-GLOBIOM_1.1,EN_NPi2020_700_COV
35,MESSAGEix-GLOBIOM_1.1,EN_NPi2020_700f
36,MESSAGEix-GLOBIOM_1.1,EN_NPi2020_700f_COV
37,MESSAGEix-GLOBIOM_GEI 1.0,SSP2_int_mc_50
38,MESSAGEix-GLOBIOM_GEI 1.0,SSP2_noint_mc_50
39,MESSAGEix-GLOBIOM_GEI 1.0,SSP2_openres_lc_100
40,MESSAGEix-GLOBIOM_GEI 1.0,SSP2_openres_lc_120
41,MESSAGEix-GLOBIOM_GEI 1.0,SSP2_openres_lc_80
42,MESSAGEix-GLOBIOM_GEI 1.0,SSP2_openres_lc_CB400
43,MESSAGEix-GLOBIOM_GEI 1.0,SSP2_openres_lc_CB450
44,MESSAGEix-GLOBIOM_GEI 1.0,SSP2_openres_lc_CB500
45,MESSAGEix-GLOBIOM_GEI 1.0,SSP2_openres_lc_CB550
46,MESSAGEix-GLOBIOM_GEI 1.0,SSP2_openres_lc_CB600
47,MESSAGEix-GLOBIOM_GEI 1.0,SSP2_openres_mc_50
48,WITCH 5.0,EN_INDCi2030_500f
