Model,Scenario,Region,Variable,Unit,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
IMAGE 3.2,SSP1_SPA1_19I_D,World,Capacity|Electricity|Wind|Offshore,GW,,0.685549987792968,3.055800048828125,11.7174697265625,34.36744921875,48.42905078125,157.08290625,448.0628125,588.951875,743.3423125,883.2748750000001,906.110875,821.633375,736.722875,697.2398125,739.0448125,797.382125,908.149875,1105.95,1131.722,1090.06
IMAGE 3.2,SSP1_SPA1_19I_D,World,Capacity|Electricity|Wind|Onshore,GW,,57.75473046875,177.81759375,404.5421875,698.920125,796.9321875,1281.048,2378.755,2699.243,3124.377,3836.46,4149.052,3794.547,3671.748,3776.332,3793.656,3631.929,3558.606,3376.366,3482.606,3692.841
IMAGE 3.2,SSP1_SPA1_19I_D_LB,World,Capacity|Electricity|Wind|Offshore,GW,,0.685549987792968,3.055800048828125,11.7174697265625,34.36744921875,49.72966015625,396.6555,602.7345,718.0068125,839.232125,945.9523125,983.281875,934.4068125,930.723125,1000.295,989.694625,961.4726875,900.8185,947.421375,998.0003125,950.814125
IMAGE 3.2,SSP1_SPA1_19I_D_LB,World,Capacity|Electricity|Wind|Onshore,GW,,57.75473046875,177.81759375,404.5421875,698.920125,804.104,2323.143,3230.439,3573.933,4029.902,4065.458,3691.398,3407.922,3686.029,3872.557,4094.96,4009.609,3628.594,3318.724,2937.433,2589.386
IMAGE 3.2,SSP1_SPA1_19I_LI,World,Capacity|Electricity|Wind|Offshore,GW,,0.685549987792968,3.055800048828125,11.7174697265625,34.36744921875,46.730859375,144.65240625,432.808,561.795125,688.6116875,780.452,783.7025,683.8923125,632.1411875,693.617875,749.893375,750.6708125,726.422875,696.360625,631.483375,580.462
IMAGE 3.2,SSP1_SPA1_19I_LI,World,Capacity|Electricity|Wind|Onshore,GW,,57.75473046875,177.81759375,404.5421875,698.920125,791.7933125000001,1224.825,2497.872,2915.55,3335.159,3625.604,3561.716,3149.412,2906.29,3561.758,3823.274,3748.615,3640.658,3267.769,2722.832,2443.62
IMAGE 3.2,SSP1_SPA1_19I_LIRE,World,Capacity|Electricity|Wind|Offshore,GW,,0.685549987792968,3.055800048828125,11.7174697265625,34.36744921875,45.57583984375,92.709296875,238.587796875,343.59159375,514.4573125000001,643.9023125,907.6443125,954.858875,972.001125,1039.206,1285.134,1300.835,1372.328,1563.56,1610.79,1491.163
IMAGE 3.2,SSP1_SPA1_19I_LIRE,World,Capacity|Electricity|Wind|Onshore,GW,,57.75473046875,177.81759375,404.5421875,698.920125,791.139375,1081.174,1767.3,2168.0,2849.332,3396.713,4471.088,4771.415,4760.468,5278.576,5694.567,5634.818,5862.603,5827.022,5570.972,5301.487
IMAGE 3.2,SSP1_SPA1_19I_LIRE_LB,World,Capacity|Electricity|Wind|Offshore,GW,,0.685549987792968,3.055800048828125,11.7174697265625,34.36744921875,47.26158984375,232.450703125,350.94490625,526.4848125,836.4363125,1139.358,1380.485,1487.596,1471.528,1439.846,1328.871,1225.125,1292.516,1488.207,1630.4,1690.499
IMAGE 3.2,SSP1_SPA1_19I_LIRE_LB,World,Capacity|Electricity|Wind|Onshore,GW,,57.75473046875,177.81759375,404.5421875,698.920125,806.5275,1713.539,2276.682,2988.073,3813.354,4524.956,5371.894,5186.814,5355.631,5637.049,5246.976,4849.974,4884.473,4933.793,5023.549,4830.045
