Model,Scenario,Region,Variable,Unit,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
IMAGE 3.0,ENGAGE-INDCi2030-1000,R10AFRICA,Capacity|Electricity|Solar|PV,GW,6.3445587158203125,22.363328918457032,57.90025146484375,99.77891674804688,136.18163134765626,234.35803955078123,362.69607421875,,706.80940625,,669.2909296875,,403.575875,,385.5084375,,494.96912890625
IMAGE 3.0,ENGAGE-INDCi2030-1000,R10AFRICA,Capacity|Electricity|Wind,GW,6.557382373251021,18.09757985520363,39.07403441238404,49.327089364051815,55.81905885696411,68.69752089309694,89.62805801391602,,180.511717163086,,243.83267639160155,,253.9478342285157,,346.0411059570313,,426.5434018554688
IMAGE 3.0,ENGAGE-INDCi2030-1000,R10AFRICA,Carbon Sequestration|CCS|Biomass,Mt CO2/yr,0.0,0.8391143855988048,26.925689783032187,12.932275870500128,156.54184653038476,302.54999135978704,397.2186215667316,,389.072817315018,,428.8768568090117,,450.0630384954244,,455.56115002879,,576.3614435137149
IMAGE 3.0,ENGAGE-INDCi2030-1000,R10AFRICA,Carbon Sequestration|Land Use,Mt CO2/yr,-145.8645861262812,-208.6226735647745,-299.2960201293041,-15.899644962327564,-16.697430092186245,31.32122480910529,-56.43159199369073,,4.745803604062246,,118.9348879378378,,127.79459043616998,,302.42681789807574,,513.2572448231284
IMAGE 3.0,ENGAGE-INDCi2030-1000,R10AFRICA,Emissions|CO2,Mt CO2/yr,4012.249273029138,3807.384819376887,3299.463114720524,2338.630335702512,1438.2019819931318,925.13546538816,1461.684368902208,,982.343456337746,,862.3841466098215,,1385.0216847725171,,1398.9688591639424,,1497.6013396353014
IMAGE 3.0,ENGAGE-INDCi2030-1000,R10AFRICA,Final Energy,EJ/yr,24.272523193359376,26.971958740234378,30.542296630859376,27.92330322265625,28.816331787109377,30.86033544921875,33.528634033203126,,44.39055615234375,,62.06869042968749,,79.046681640625,,95.05682470703124,,114.15789599609374
IMAGE 3.0,ENGAGE-INDCi2030-1000,R10AFRICA,Final Energy|Electricity,EJ/yr,3.1116720123291017,3.8056299743652335,4.741909149169922,4.750500854492188,5.231112792968751,6.746158203125001,9.531033935546876,,15.90558203125,,21.9074150390625,,28.780139648437498,,40.00070458984375,,51.41344995117187
IMAGE 3.0,ENGAGE-INDCi2030-1000,R10AFRICA,GDP|MER,billion USD_2010/yr,2229.874215878125,2997.545097720625,3985.97343398875,5228.041621160625,6848.664583440001,8966.776245218749,11729.31385192,,19966.04533524,,33153.80967116,,52834.03039290001,,80300.85798766001,,116317.01797052
IMAGE 3.0,ENGAGE-INDCi2030-1000,R10AFRICA,Investment|Energy Supply,billion USD_2010/yr,98.69134810301924,72.51131123523946,95.87055176701745,97.76242617184514,117.07890283402897,161.78006959073792,222.56398341577784,,303.7737390664776,,314.1795706431401,,355.13816160610384,,569.4388156216692,,563.0913772888016
IMAGE 3.0,ENGAGE-INDCi2030-1000,R10AFRICA,Land Cover,million ha,2975.7588,2975.6716750000005,2975.6716750000005,2975.6366625,2975.6366625,2975.7643125,2975.7643125,,2975.7291750000004,,2975.6383375,,2975.6026500000003,,2975.6968375,,2975.7204625000004
