model,scenario
IMAGE 3.2,SSP1_SPA1_19I_D
IMAGE 3.2,SSP1_SPA1_19I_D_LB
IMAGE 3.2,SSP1_SPA1_19I_LI
IMAGE 3.2,SSP1_SPA1_19I_LIRE
IMAGE 3.2,SSP1_SPA1_19I_LIRE_LB
IMAGE 3.2,SSP1_SPA1_19I_RE
IMAGE 3.2,SSP1_SPA1_19I_RE_LB
IMAGE 3.2,SSP2_SPA1_19I_D_LB
IMAGE 3.2,SSP2_SPA1_19I_LIRE_LB
IMAGE 3.2,SSP2_SPA1_19I_RE_LB
IMAGE 3.2,SSP2_SPA2_19I_D
IMAGE 3.2,SSP2_SPA2_19I_LI
IMAGE 3.2,SSP2_SPA2_19I_LIRE
IMAGE 3.2,SSP2_SPA2_19I_RE
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_600f_COV
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_600f_COV_NDCp
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_700f
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_700f_COV
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_700f_COV_NDCp
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_700f_NDCp
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_200f
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_300f
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_400f
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_450
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_450f
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_500
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_500f
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600_COV
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600_DR10p
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600_DR1p
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600_DR2p
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600_DR3p
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600_DR4p
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600f
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600f_COV
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600f_DR10p
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600f_DR1p
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600f_DR2p
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600f_DR3p
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600f_DR4p
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_700
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_700_COV
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_700f
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_700f_COV
MESSAGEix-GLOBIOM_1.1,NGFS2_Divergent Net Zero Policies
MESSAGEix-GLOBIOM_1.1,NGFS2_Net-Zero 2050
REMIND-MAgPIE 1.7-3.0,CD-LINKS_INDC2030i_1000
REMIND-MAgPIE 1.7-3.0,CD-LINKS_INDC2030i_400
REMIND-MAgPIE 1.7-3.0,CD-LINKS_NPi2020_1000
REMIND-MAgPIE 1.7-3.0,CD-LINKS_NPi2020_400
REMIND-MAgPIE 1.7-3.0,CO_2Deg2020
REMIND-MAgPIE 1.7-3.0,CO_2Deg2030
REMIND-MAgPIE 1.7-3.0,CO_Bridge
REMIND-MAgPIE 1.7-3.0,PEP_1p5C_full_NDC
REMIND-MAgPIE 1.7-3.0,PEP_1p5C_full_eff
REMIND-MAgPIE 1.7-3.0,PEP_1p5C_full_goodpractice
REMIND-MAgPIE 1.7-3.0,PEP_1p5C_full_netzero
REMIND-MAgPIE 1.7-3.0,PEP_1p5C_red_eff
REMIND-MAgPIE 1.7-3.0,PEP_2C_full_NDC
REMIND-MAgPIE 1.7-3.0,PEP_2C_full_eff
REMIND-MAgPIE 1.7-3.0,PEP_2C_full_goodpractice
REMIND-MAgPIE 1.7-3.0,PEP_2C_full_netzero
REMIND-MAgPIE 1.7-3.0,PEP_2C_red_NDC
REMIND-MAgPIE 1.7-3.0,PEP_2C_red_eff
REMIND-MAgPIE 1.7-3.0,PEP_2C_red_goodpractice
REMIND-MAgPIE 1.7-3.0,PEP_2C_red_netzero
REMIND-MAgPIE 2.1-4.2,CEMICS_SSP1-1p5C-fullCDR
REMIND-MAgPIE 2.1-4.2,CEMICS_SSP1-1p5C-minCDR
REMIND-MAgPIE 2.1-4.2,CEMICS_SSP2-1p5C-fullCDR
REMIND-MAgPIE 2.1-4.2,CEMICS_SSP2-1p5C-minCDR
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_300f
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_400f
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_500f
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_600_COV
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_600_COV_NDCp
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_600f
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_600f_COV
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_600f_COV_NDCp
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_600f_NDCp
REMIND-MAgPIE 2.1-4.2,EN_NPi2020_200f
REMIND-MAgPIE 2.1-4.2,EN_NPi2020_300f
REMIND-MAgPIE 2.1-4.2,EN_NPi2020_400
REMIND-MAgPIE 2.1-4.2,EN_NPi2020_400f
REMIND-MAgPIE 2.1-4.2,EN_NPi2020_500
REMIND-MAgPIE 2.1-4.2,EN_NPi2020_500f
REMIND-MAgPIE 2.1-4.2,EN_NPi2020_600
REMIND-MAgPIE 2.1-4.2,EN_NPi2020_600_COV
REMIND-MAgPIE 2.1-4.2,EN_NPi2020_600f
REMIND-MAgPIE 2.1-4.2,EN_NPi2020_600f_COV
REMIND-MAgPIE 2.1-4.2,SusDev_SDP-PkBudg1000
REMIND-MAgPIE 2.1-4.2,SusDev_SSP1-PkBudg900
REMIND-MAgPIE 2.1-4.2,SusDev_SSP2-PkBudg900
REMIND-MAgPIE 2.1-4.3,DeepElec_SSP2_ HighRE_Budg900
REMIND-MAgPIE 2.1-4.3,DeepElec_SSP2_def_Budg1100
REMIND-MAgPIE 2.1-4.3,DeepElec_SSP2_def_Budg900
WITCH 5.0,EN_INDCi2030_500f
WITCH 5.0,EN_NPi2020_400f
WITCH 5.0,EN_NPi2020_450
WITCH 5.0,EN_NPi2020_450f
WITCH 5.0,EN_NPi2020_500
WITCH 5.0,EN_NPi2020_500f
