model,scenario
IMAGE 3.0,ENGAGE-INDCi2030-1000
IMAGE 3.0,ENGAGE-INDCi2030-1000f
IMAGE 3.0,ENGAGE-INDCi2030-1200
IMAGE 3.0,ENGAGE-INDCi2030-1200f
IMAGE 3.0,ENGAGE-INDCi2030-1400f
IMAGE 3.0,ENGAGE-INDCi2030-800f
IMAGE 3.0,ENGAGE-NPi2020-1000
IMAGE 3.0,ENGAGE-NPi2020-1200
IMAGE 3.0,ENGAGE-NPi2020-1400
IMAGE 3.0,ENGAGE-NPi2020-1400f
IMAGE 3.2,SSP2021-SSP1-SPA1-19-Default
IMAGE 3.2,SSP2021-SSP1-SPA1-19-Lifestyle-Renewables
IMAGE 3.2,SSP2021-SSP1-SPA1-19-Renewables
IMAGE 3.2,SSP2021-SSP1-SPA1-26-Default
IMAGE 3.2,SSP2021-SSP1-SPA1-26-Lifestyle
IMAGE 3.2,SSP2021-SSP1-SPA1-26-Lifestyle-Renewables
IMAGE 3.2,SSP2021-SSP1-SPA1-26-Renewables
IMAGE 3.2,SSP2021-SSP2-SPA0-26-Default
IMAGE 3.2,SSP2021-SSP2-SPA2-19-Renewables
IMAGE 3.2,SSP2021-SSP2-SPA2-26-Default
IMAGE 3.2,SSP2021-SSP2-SPA2-26-Lifestyle
IMAGE 3.2,SSP2021-SSP2-SPA2-26-Lifestyle-Renewables
IMAGE 3.2,SSP2021-SSP2-SPA2-26-Renewables
IMAGE 3.3,NAVIGATE Demand-1.5°C-ele_u
IMAGE 3.3,NAVIGATE Demand-1.5°C-tec_u
IMAGE 3.3,NAVIGATE Demand-2.0°C-ele_u
IMAGE 3.3,NAVIGATE Demand-2.0°C-ref
IMAGE 3.3,NAVIGATE Demand-2.0°C-tec_u
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,NGFS Phase 5-Below 2°C
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,NGFS Phase 5-Delayed Transition
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,NGFS Phase 5-Low Demand
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,NGFS Phase 5-Nationally Determined Contributions (NDCs)
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,NGFS Phase 5-Net-Zero 2050
POLES-JRC ENGAGE,ENGAGE-INDCi2030-1000
POLES-JRC ENGAGE,ENGAGE-INDCi2030-1000-COV
POLES-JRC ENGAGE,ENGAGE-INDCi2030-1000-COV-NDCp
POLES-JRC ENGAGE,ENGAGE-INDCi2030-1000-NDCp
POLES-JRC ENGAGE,ENGAGE-INDCi2030-1000f
POLES-JRC ENGAGE,ENGAGE-INDCi2030-1000f-COV
POLES-JRC ENGAGE,ENGAGE-INDCi2030-1000f-COV-NDCp
POLES-JRC ENGAGE,ENGAGE-INDCi2030-1000f-NDCp
POLES-JRC ENGAGE,ENGAGE-INDCi2030-1200
POLES-JRC ENGAGE,ENGAGE-INDCi2030-1200f
POLES-JRC ENGAGE,ENGAGE-INDCi2030-300f
POLES-JRC ENGAGE,ENGAGE-INDCi2030-400f
POLES-JRC ENGAGE,ENGAGE-INDCi2030-500f
POLES-JRC ENGAGE,ENGAGE-INDCi2030-600f
