model,scenario,version,Climate Category|SCI 2025 [Tier I],missing_iamee_variables,missing_sci_variables,incomplete_variable_count
IMAGE 3.2,SSP2021-SSP1-SPA1-19-Default,1,GW2,Food Demand|Crops; Food Demand|Livestock,Food Availability|Crops [per capita]; Food Availability|Livestock [per capita],2
IMAGE 3.2,SSP2021-SSP1-SPA1-19-Lifestyle-Renewables,1,GW2,Food Demand|Crops; Food Demand|Livestock,Food Availability|Crops [per capita]; Food Availability|Livestock [per capita],2
IMAGE 3.2,SSP2021-SSP1-SPA1-19-Renewables,1,GW2,Food Demand|Crops; Food Demand|Livestock,Food Availability|Crops [per capita]; Food Availability|Livestock [per capita],2
IMAGE 3.2,SSP2021-SSP1-SPA1-26-Default,1,GW3,Food Demand|Crops; Food Demand|Livestock,Food Availability|Crops [per capita]; Food Availability|Livestock [per capita],2
IMAGE 3.2,SSP2021-SSP1-SPA1-26-Lifestyle,1,GW2,Food Demand|Crops; Food Demand|Livestock,Food Availability|Crops [per capita]; Food Availability|Livestock [per capita],2
IMAGE 3.2,SSP2021-SSP1-SPA1-26-Lifestyle-Renewables,1,GW3,Food Demand|Crops; Food Demand|Livestock,Food Availability|Crops [per capita]; Food Availability|Livestock [per capita],2
IMAGE 3.2,SSP2021-SSP1-SPA1-26-Renewables,1,GW3,Food Demand|Crops; Food Demand|Livestock,Food Availability|Crops [per capita]; Food Availability|Livestock [per capita],2
IMAGE 3.2,SSP2021-SSP2-SPA0-26-Default,1,GW3,Food Demand|Crops; Food Demand|Livestock,Food Availability|Crops [per capita]; Food Availability|Livestock [per capita],2
IMAGE 3.2,SSP2021-SSP2-SPA2-19-Renewables,1,GW2,Food Demand|Crops; Food Demand|Livestock,Food Availability|Crops [per capita]; Food Availability|Livestock [per capita],2
IMAGE 3.2,SSP2021-SSP2-SPA2-26-Default,1,GW3,Food Demand|Crops; Food Demand|Livestock,Food Availability|Crops [per capita]; Food Availability|Livestock [per capita],2
IMAGE 3.2,SSP2021-SSP2-SPA2-26-Lifestyle,1,GW2,Food Demand|Crops; Food Demand|Livestock,Food Availability|Crops [per capita]; Food Availability|Livestock [per capita],2
IMAGE 3.2,SSP2021-SSP2-SPA2-26-Lifestyle-Renewables,1,GW3,Food Demand|Crops; Food Demand|Livestock,Food Availability|Crops [per capita]; Food Availability|Livestock [per capita],2
IMAGE 3.2,SSP2021-SSP2-SPA2-26-Renewables,1,GW3,Food Demand|Crops; Food Demand|Livestock,Food Availability|Crops [per capita]; Food Availability|Livestock [per capita],2
REMIND-MAgPIE 2.1-4.2,NGFS Phase 2-Delayed Transition,1,GW3,Food Demand|Crops; Food Demand|Livestock,Food Availability|Crops [per capita]; Food Availability|Livestock [per capita],2
WITCH 5.0,ENGAGE-INDCi2030-1000,1,GW3,Food Demand|Crops; Food Demand|Livestock,Food Availability|Crops [per capita]; Food Availability|Livestock [per capita],2
WITCH 5.0,ENGAGE-INDCi2030-1000-NDCp,1,GW3,Food Demand|Crops; Food Demand|Livestock,Food Availability|Crops [per capita]; Food Availability|Livestock [per capita],2
WITCH 5.0,ENGAGE-INDCi2030-1000f,1,GW3,Food Demand|Crops; Food Demand|Livestock,Food Availability|Crops [per capita]; Food Availability|Livestock [per capita],2
WITCH 5.0,ENGAGE-INDCi2030-1000f-NDCp,1,GW3,Food Demand|Crops; Food Demand|Livestock,Food Availability|Crops [per capita]; Food Availability|Livestock [per capita],2
WITCH 5.0,ENGAGE-INDCi2030-1200,1,GW4,Food Demand|Crops; Food Demand|Livestock,Food Availability|Crops [per capita]; Food Availability|Livestock [per capita],2
WITCH 5.0,ENGAGE-INDCi2030-1200-NDCp,1,GW4,Food Demand|Crops; Food Demand|Livestock,Food Availability|Crops [per capita]; Food Availability|Livestock [per capita],2
WITCH 5.0,ENGAGE-INDCi2030-1200f,1,GW4,Food Demand|Crops; Food Demand|Livestock,Food Availability|Crops [per capita]; Food Availability|Livestock [per capita],2
WITCH 5.0,ENGAGE-INDCi2030-1200f-NDCp,1,GW4,Food Demand|Crops; Food Demand|Livestock,Food Availability|Crops [per capita]; Food Availability|Livestock [per capita],2
WITCH 5.0,ENGAGE-INDCi2030-1400,1,GW4,Food Demand|Crops; Food Demand|Livestock,Food Availability|Crops [per capita]; Food Availability|Livestock [per capita],2
WITCH 5.0,ENGAGE-INDCi2030-1400-NDCp,1,GW4,Food Demand|Crops; Food Demand|Livestock,Food Availability|Crops [per capita]; Food Availability|Livestock [per capita],2
WITCH 5.0,ENGAGE-INDCi2030-1400f,1,GW4,Food Demand|Crops; Food Demand|Livestock,Food Availability|Crops [per capita]; Food Availability|Livestock [per capita],2
WITCH 5.0,ENGAGE-INDCi2030-1400f-NDCp,1,GW4,Food Demand|Crops; Food Demand|Livestock,Food Availability|Crops [per capita]; Food Availability|Livestock [per capita],2
WITCH 5.0,ENGAGE-INDCi2030-1600-NDCp,1,GW4,Food Demand|Crops; Food Demand|Livestock,Food Availability|Crops [per capita]; Food Availability|Livestock [per capita],2
WITCH 5.0,ENGAGE-INDCi2030-500f,1,GW2,Food Demand|Crops; Food Demand|Livestock,Food Availability|Crops [per capita]; Food Availability|Livestock [per capita],2
WITCH 5.0,ENGAGE-INDCi2030-600f,1,GW3,Food Demand|Crops; Food Demand|Livestock,Food Availability|Crops [per capita]; Food Availability|Livestock [per capita],2
WITCH 5.0,ENGAGE-INDCi2030-600f-NDCp,1,GW3,Food Demand|Crops; Food Demand|Livestock,Food Availability|Crops [per capita]; Food Availability|Livestock [per capita],2
WITCH 5.0,ENGAGE-INDCi2030-700f,1,GW3,Food Demand|Crops; Food Demand|Livestock,Food Availability|Crops [per capita]; Food Availability|Livestock [per capita],2
WITCH 5.0,ENGAGE-INDCi2030-700f-NDCp,1,GW3,Food Demand|Crops; Food Demand|Livestock,Food Availability|Crops [per capita]; Food Availability|Livestock [per capita],2
WITCH 5.0,ENGAGE-INDCi2030-800,1,GW2,Food Demand|Crops; Food Demand|Livestock,Food Availability|Crops [per capita]; Food Availability|Livestock [per capita],2
WITCH 5.0,ENGAGE-INDCi2030-800-NDCp,1,GW2,Food Demand|Crops; Food Demand|Livestock,Food Availability|Crops [per capita]; Food Availability|Livestock [per capita],2
WITCH 5.0,ENGAGE-INDCi2030-800f,1,GW3,Food Demand|Crops; Food Demand|Livestock,Food Availability|Crops [per capita]; Food Availability|Livestock [per capita],2
WITCH 5.0,ENGAGE-INDCi2030-800f-NDCp,1,GW3,Food Demand|Crops; Food Demand|Livestock,Food Availability|Crops [per capita]; Food Availability|Livestock [per capita],2
WITCH 5.0,ENGAGE-INDCi2030-900,1,GW3,Food Demand|Crops; Food Demand|Livestock,Food Availability|Crops [per capita]; Food Availability|Livestock [per capita],2
WITCH 5.0,ENGAGE-INDCi2030-900-NDCp,1,GW3,Food Demand|Crops; Food Demand|Livestock,Food Availability|Crops [per capita]; Food Availability|Livestock [per capita],2
